ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1902893	regulation of miRNA transcription	30/972	61/18903	7.04744898790223e-23	2.60289375974641e-19	2.26112588215614e-19	KLF4/ETS1/SMAD3/GATA3/KLF5/REST/SPI1/ZNF512B/NR3C1/PPARG/FOS/RARA/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/NFATC3/POU5F1/GATA2/JUN/MYB/TP53/WT1	30
BP	GO:0061614	miRNA transcription	30/972	62/18903	1.29949763342307e-22	2.60289375974641e-19	2.26112588215614e-19	KLF4/ETS1/SMAD3/GATA3/KLF5/REST/SPI1/ZNF512B/NR3C1/PPARG/FOS/RARA/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/NFATC3/POU5F1/GATA2/JUN/MYB/TP53/WT1	30
BP	GO:1902895	positive regulation of miRNA transcription	25/972	47/18903	2.23431960724236e-20	2.98356144887097e-17	2.59181074440114e-17	KLF4/ETS1/SMAD3/GATA3/KLF5/SPI1/NR3C1/PPARG/FOS/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/GATA2/JUN/MYB/TP53/WT1	25
BP	GO:2000628	regulation of miRNA metabolic process	30/972	74/18903	7.46513518519047e-20	7.47633288796826e-17	6.49466761111571e-17	KLF4/ETS1/SMAD3/GATA3/KLF5/REST/SPI1/ZNF512B/NR3C1/PPARG/FOS/RARA/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/NFATC3/POU5F1/GATA2/JUN/MYB/TP53/WT1	30
BP	GO:0048568	embryonic organ development	72/972	449/18903	4.78825483695016e-18	3.59387245362532e-15	3.12198605557068e-15	LEF1/HOXC4/GATA1/EOMES/SMAD3/HOXB3/TAL1/GATA3/MAFB/PCGF2/RARB/HOXA3/HOXB2/RUNX2/SOX15/NCOA1/PBX2/MBD2/ZFPM2/ARID2/FOXI1/HOXB6/HOXA2/TEAD3/RARA/TFEB/PRDM1/SRF/PBX3/SNAI1/GLI3/SOX18/E2F8/TSHZ1/FOXC1/SATB2/PBX4/SETDB2/RARG/RBPJ/HOXA9/HOXA7/HESX1/HOXA5/TBX6/PAX8/HIF1A/HOXB5/BPTF/HOXB4/GLI1/ATF4/GCM1/TBX1/E2F7/PAX5/MESP1/KDM2B/CEBPA/GATA2/MEF2C/HOXA4/TEAD4/TP53/EPAS1/HES1/CEBPB/HOXA1/HLX/ZEB1/MBD3/SP3	72
BP	GO:2000630	positive regulation of miRNA metabolic process	25/972	56/18903	5.38273457857013e-18	3.59387245362532e-15	3.12198605557068e-15	KLF4/ETS1/SMAD3/GATA3/KLF5/SPI1/NR3C1/PPARG/FOS/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/GATA2/JUN/MYB/TP53/WT1	25
BP	GO:0030099	myeloid cell differentiation	67/972	407/18903	1.80656265875964e-17	1.03387000157016e-14	8.98119721783363e-15	LEF1/LTF/GATA1/KLF1/IRF4/ETS1/CEBPE/TAL1/MAF/FLI1/NKX2-3/BATF2/GATA3/MAFB/L3MBTL3/SPI1/KLF2/TET2/PURB/GABPA/IKZF1/RELB/PPARG/BATF3/FOS/CEBPG/RARA/IRF8/SRF/KLF13/ZBTB46/STAT3/PKNOX1/CREB1/IRF7/MEIS1/RARG/RBPJ/HOXA9/HOXA7/STAT5B/BATF/HSF1/HOXA5/HIF1A/STAT1/BCL6/FOXO3/RUNX1/ETV2/MYC/TFE3/SMAD5/MEIS2/ZNF675/CEBPA/ZBTB16/ZNF385A/GATA2/JUN/MEF2C/MYB/EPAS1/CEBPB/MITF/ZNF16/SP3	67
BP	GO:0010586	miRNA metabolic process	30/972	90/18903	4.85225711706935e-17	2.42976775137248e-14	2.11073184592517e-14	KLF4/ETS1/SMAD3/GATA3/KLF5/REST/SPI1/ZNF512B/NR3C1/PPARG/FOS/RARA/SRF/RELA/STAT3/SMAD1/FOSL1/EGR1/HIF1A/FOXO3/SREBF1/MYC/SREBF2/NFATC3/POU5F1/GATA2/JUN/MYB/TP53/WT1	30
BP	GO:0016570	histone modification	70/972	474/18903	1.16941024656483e-15	5.20517494193191e-13	4.52171962005068e-13	LEF1/EOMES/IRF4/FOXP3/PRDM5/NFYA/GATA3/MYSM1/GTF2B/ATF2/PCGF2/REST/DOT1L/KDM5B/ZNF274/SMYD3/SPI1/NCOA1/MECP2/GLYR1/TET2/SETDB1/MBD2/CTCF/KDM2A/PCGF6/PRDM4/RLF/TET3/ZZZ3/NFYB/PRDM2/PRDM1/AKAP8L/PRDM16/BAZ2A/AKAP8/JDP2/TRERF1/SRCAP/MTF2/ARID5A/GATAD2B/SETDB2/ZNF451/CXXC1/NCOA3/TET1/GFI1/CLOCK/RAG1/BCL6/SREBF1/PHF20/ZBTB7B/THAP7/NFYC/ZNF304/PAX5/KDM2B/GATA2/ZNF335/PHF1/MYB/ASH1L/TP53/ELK4/SKI/MBD3/DR1	70
BP	GO:1903706	regulation of hemopoiesis	64/972	413/18903	1.98797163142264e-15	7.96381435547908e-13	6.91814127735078e-13	TBX21/LEF1/LTF/GATA1/IRF4/ETS1/FOXP3/TCF7/TAL1/GATA3/MAFB/MYSM1/IKZF3/SPI1/SOX13/XBP1/PURB/GABPA/ARID2/ZNF683/SOX4/FOS/RARA/PRDM1/ZBTB1/KLF13/ZBTB46/GFI1B/STAT3/GLI3/CREB1/IRF7/MEIS1/IRF1/RARG/EGR3/HOXA9/HOXA7/STAT5B/BATF/HSF1/HOXA5/HIF1A/RAG1/STAT1/BCL6/FOXO3/RUNX1/ZBTB7B/MYC/TFE3/SOX12/MEIS2/ZNF675/CEBPA/ZBTB16/GATA2/MEF2C/MYB/CEBPB/MITF/HLX/ZEB1/ZNF16	64
BP	GO:1903131	mononuclear cell differentiation	69/972	473/18903	3.54678862619652e-15	1.29167593059484e-12	1.12207494719672e-12	TBX21/LEF1/GATA1/EOMES/POU2AF1/IRF4/RORC/FOXP3/TCF7/NKX2-3/BATF2/GATA3/MAFB/TCF3/IKZF3/ATF2/KLF6/RUNX2/SPI1/SOX13/XBP1/NFIL3/BCL11B/ARID2/IKZF1/RELB/ZNF683/SOX4/PPARG/BATF3/FOS/CEBPG/RARA/IRF8/PRDM1/ZBTB1/SRF/ZBTB46/STAT3/GLI3/PKNOX1/IRF7/IRF1/EGR1/RBPJ/EGR3/HOXA7/STAT5B/BATF/RORA/RAG1/BCL6/FOXO3/RUNX1/ZBTB7B/MYC/SOX12/PAX5/PATZ1/ZBTB16/JUN/MYB/TP53/LYL1/STAT6/CEBPB/HLX/ZEB1/SP3	69
BP	GO:0045165	cell fate commitment	50/972	282/18903	1.20806102627847e-14	4.03291039272628e-12	3.50337697620755e-12	TBX21/SOX6/KLF4/GATA1/EOMES/IRF4/FOXP3/TAL1/GATA3/TCF3/AR/RUNX2/SOX13/BCL11B/MGA/HOXA2/PPARG/TEAD3/RARA/PRDM1/TCF7L2/STAT3/GLI3/SOX18/SMAD1/GATAD2B/RBPJ/BATF/TBX6/ISL2/ETV2/GCM1/TBX1/SOX12/POU5F1/SMAD5/MESP1/GATA2/ETS2/MEF2C/OLIG1/NKX6-2/TEAD4/TP53/STAT6/EPAS1/HES1/MITF/WT1/MBD3	50
BP	GO:0140467	integrated stress response signaling	18/972	40/18903	2.09717563103626e-13	6.46252736763942e-11	5.61397784308168e-11	CEBPE/CEBPD/MAF/BATF2/MAFB/DDIT3/NFE2/BATF3/FOS/CEBPG/CREB3/NFE2L3/FOSL1/BATF/ATF4/CEBPA/JUN/CEBPB	18
