compound name	compound synonyms	target or activity of compound	gene symbol of protein target	status	tested concentrations	max conc for AUC
1,9-pyrazoloanthrone	anthrapyrazolone, pyrazolanthrone, pyrazolanthrone, pyrazoleanthrone, SP 6001...	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	MAPK10;MAPK8;MAPK9	probe	0.00200 - 66.0 uM	66
16-beta-bromoandrosterone	16alpha bromoepiandrosterone, BRD4142, BRD-K98404142	dehydroepiandrosterone (DHEA) analog		probe	0.00110 - 37.0 uM	37
1S,3R-RSL-3	BRD-K23853216	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4	GPX4	probe	0.00100 - 33.0 uM	33
3-Cl-AHPC	BRD-A09890259	binder of nuclear receptor SHP	NR0B2	probe	0.00200 - 66.0 uM	66
8,9-dihydropiplartine	GP_70, BRD-K26531177	analog of the natural product piperlongumine		probe	0.0100 - 330 uM	330
A-804598	BRD-K76894955	inhibitor of purinergic receptor P2X	P2RX7	probe	0.00200 - 66.0 uM	66
AA-COCF3	AACOCF3, AA-COCF3, arachidonyl trifluoromethyl ketone, BRD-K07303502	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	probe	0.00100 - 270 uM	270
abiraterone	Abiraterone, CB-7598, Zytiga, BRD-K50071428	"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"""	CYP17A1	approved	0.000510 - 17.0 uM	17
ABT-199	venetoclax, BRD-K62391742	inhibitor of BCL2	BCL2	experimental	0.00200 - 66.0 uM	66
ABT-737	ABT-737, BRD-K56301217	"inhibitor of BCL2, BCL-xL, and BCL-W"""	BCL2;BCL2L1;BCL2L2	experimental	0.00110 - 37.0 uM	37
AC55649	AC-55649, AC55649, BRD-K93176058	agonist of retinoic acid receptor beta	RARB	probe	0.00100 - 33.0 uM	33
adavosertib	MK-1775, MK 1775, MK1775, AZD1775, BRD6913, BRD-K54256913	inhibitor of WEE1	WEE1	experimental	0.00100 - 33.0 uM	33
afatinib	BIBW2992, Afatinib, Tovok, BRD-K66175015	inhibitor of EGFR and HER2	EGFR;ERBB2	experimental	0.00200 - 66.0 uM	66
AGK-2	AGK2, BRD-K32536677	inhibitor of sirtuin 2	SIRT2	probe	0.00100 - 33.0 uM	33
alisertib	MLN8237, alisertib, BRD-K75295174	inhibitor of aurora kinases A and B	AURKA;AURKB	experimental	0.00200 - 66.0 uM	66
alvocidib	flavopiridol, BRD-K68682020	inhibitor of cyclin-dependent kinases	CDK1;CDK2;CDK4;CDK6	experimental	0.00200 - 66.0 uM	66
AM-580	AM-580, BRD-K06854232	agonist of retinoic acid receptor alpha	RARA	probe	0.0160 - 530 uM	530
apicidin	BRD-K64606589	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"""	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	probe	0.00100 - 33.0 uM	33
AT-406	BRD-K83030136	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	XIAP	probe	0.00200 - 66.0 uM	66
AT7867	BRD-K12040459	inhibitor of AKT1/2/3 and S6K	AKT1;AKT2;AKT3;RPS6KB2	probe	0.00200 - 66.0 uM	66
austocystin D	austocystin D, BRD-K25987073	natural product; inducer of DNA damage		probe	0.00110 - 37.0 uM	37
avicin D	BRD-A15100685	natural product		probe	0.00200 - 66.0 uM	66
avrainvillamide	avrainvillamide, BRD-K10466330	natural product; inhibitor of nucleophosmin	NPM1	probe	0.00100 - 33.0 uM	33
axitinib	AG013736, Inlyta, BRD-K29905972	"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"""	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	approved	0.00200 - 66.0 uM	66
AZ-3146	AZ3146, BRD-K59146805	inhibitor of TTK protein kinase	TTK	probe	0.00200 - 66.0 uM	66
azacitidine	azacitidine, 5-aza-CR, 5-azacytidine, 5-AZC, 5-AZCR, 5AC, 5-AC, AZACITIDINE, ...	inhibitor of DNA methyltransferase	DNMT1	approved	0.00200 - 66.0 uM	66
AZD1480	BRD-K65928735	inhibitor of Janus kinases 1 and 2	JAK1;JAK2	experimental	0.00200 - 66.0 uM	66
AZD4547	BRD-K28392481	inhibitor of fibroblast growth factor receptors	FGFR1;FGFR2;FGFR3	experimental	0.00200 - 66.0 uM	66
AZD6482	BRD-K58772419	inhibitor of PI3K catalytic subunits beta and delta	PIK3CB;PIK3CD	experimental	0.00200 - 66.0 uM	66
AZD7545	AZD-7545, AZD7545, BRD-K52836380	inhibitor of pyruvate dehydrogenase kinase 2	PDK2	probe	0.00230 - 74.0 uM	74
AZD7762	AZD 7762, BRD-K86525559	inhibitor of checkpoint kinases 1 and 2	CHEK1;CHEK2	experimental	0.00200 - 66.0 uM	66
AZD8055	BRD-K69932463	inhibitor of mTOR	MTOR	experimental	0.00200 - 66.0 uM	66
B02	BO2, BRD-K10882151	inhibitor of RAD51	RAD51	probe	0.00410 - 130 uM	130
bafilomycin A1	bafilomycin A1, bafilomycin, BRD-K86787118	inhibitor of the vacuolar-type H+-ATPase	ATP6V0A1	probe	0.0000100 - 0.330 uM	0.33
barasertib	AZD1152-HQPA, Barasertib, barasertib-HQPA, BRD-K63923597	inhibitor of aurora kinase B	AURKB	experimental	0.00200 - 66.0 uM	66
bardoxolone methyl	CDDO-methyl ester, CDDO-Me, BRD-K59437938	electrophilic inducer of the NFE2L2-KEAP1 pathway		experimental	0.00200 - 66.0 uM	66
Bax channel blocker	BAX-channel-blocker, Bax channel blocker, BRD3547, BRD-A18763547, BRD-K01826533	inhibitor of BAX-mediated mitochondrial cytochrome c release	BAX	probe	0.00100 - 33.0 uM	33
BCL-LZH-4	BRD-A68258842	"inhibitor of BCL2, BCL-xL, and MCL1"""		probe	0.00200 - 66.0 uM	66
BEC	bec, BEC chloride, BRD2571, BRD-K53792571	inhibitor of arginase I and II	ARG1;ARG2	probe	0.00810 - 270 uM	270
belinostat	PXD101, PXD-101, belinostat, BRD-K17743125	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"""	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	experimental	0.00200 - 66.0 uM	66
bendamustine	bendamustine, bendamustine hydrochloride, Levact, Ribomustin, Treakisym, Treanda, BRD-K17068645	DNA alkylator		approved	0.00200 - 66.0 uM	66
betulinic acid	Betulinic acid, betulinic acid, mairin, betulinic-acid, BRD-K45401373	natural product; inhibitor of specificity protein 1 transcription factor in cells		probe	0.00200 - 66.0 uM	66
bexarotene	bexarotene, Targretin, BRD-K92441787	inhibitor of retinoid X receptors	RXRA;RXRB;RXRG	approved	0.00200 - 66.0 uM	66
BI-2536	BI 2536, BRD-K64890080	inhibitor of polo-like kinase 1 (PLK1)	PLK1	experimental	0.00100 - 33.0 uM	33
BIBR1532	BIBR-1532, BRD-K04623885	inhibitor of telomerase reverse transcriptase	TERT	probe	0.00810 - 270 uM	270
birinapant	TL-32711, BRD-K18589165	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	DIABLO;XIAP	experimental	0.00200 - 66.0 uM	66
BIX-01294	BIX01294, BIX 01294, BIX-01294, BRD-K26818574	inhibitor of G9a histone methyltransferase	EHMT2	probe	0.00100 - 33.0 uM	33
blebbistatin	blebbistatin, blebbistatin-(+/-), blebbistatin, BRD-A75817871	inhibitor of myosin II ATPases	MYH1;MYH2	probe	0.00410 - 130 uM	130
bleomycin A2	bleomycin A2, bleomycin sulfate, bleomycin, Bleomycin, Blenoxane, BRD-A42083487, BRD-K01825699	inducer of DNA damage		approved	0.00200 - 66.0 uM	66
BMS-195614	BRD-K45935533	antagonist of retinoic acid receptors	RARA;RARB;RARG	probe	0.00200 - 66.0 uM	66
BMS-270394	BRD-K04905989	antagonist of retinoic acid receptor gamma	RARG	probe	0.00200 - 66.0 uM	66
BMS-345541	BRD-K13566078	inhibitor of IKK-2	IKBKB	probe	0.00200 - 66.0 uM	66
BMS-536924	BMS-536924, BRD-K34581968	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	IGF1R;INSR	probe	0.00110 - 37.0 uM	37
BMS-754807	BRD-K13049116	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	IGF1R	probe	0.00100 - 33.0 uM	33
bortezomib	MLN-341, PS-341, Bortezomib, MG-341, Velcade, BRD-K88510285	inhibitor of 26S proteasome	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	approved	0.00000400 - 0.130 uM	0.13
bosutinib	SKI-606, Bosulif, BRD-K90746395	inhibitor of SRC and ABL1	ABL1;SRC	approved	0.00200 - 66.0 uM	66
BRD-A02303741		inhibitor of histone methyltransferases	DOT1L	probe	0.00170 - 55.0 uM	55
BRD-A05715709		putative inhibitor of IDH1 R132H	IDH1	probe	0.00200 - 66.0 uM	66
BRD-A71883111		putative inhibitor of IDH1 R132H	IDH1	probe	0.00100 - 33.0 uM	33
BRD-A86708339		screening hit		probe	0.00200 - 66.0 uM	66
BRD-A94377914		"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"""	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	probe	0.00100 - 33.0 uM	33
BRD-K01737880		screening hit		probe	0.00200 - 66.0 uM	66
BRD-K01825520	BRD-A52530402	inhibitor of HMG-CoA reductase	HMGCR	approved	0.00200 - 66.0 uM	66
BRD-K02251932		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K02492147		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K04800985		product of diversity oriented synthesis		transcriptionally active	0.00200 - 67.0 uM	67
BRD-K09344309		screening hit		probe	0.00100 - 33.0 uM	33
BRD-K09587429		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K11533227		inhibitor of HDAC1 and HDAC2	HDAC1;HDAC2	probe	0.00200 - 66.0 uM	66
BRD-K13999467		product of diversity oriented synthesis		transcriptionally active	0.00200 - 67.0 uM	67
