Mixture	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells	P-value	Correlation	RMSE
TUH06_163_S74	0	0	0.483001514066151	0	0.367487616710775	0.149510869223073	0	0	0	0	0	0.285663959036624	0.978636069745329
TUH93_164_S75	4.59786253711835e-05	0	0.811679689763307	0.0212838904612188	0.141543871198196	0.0254465699519067	0	0	0	0	0	0.248622622699359	0.971441195518322
TUH31_165_S76	0	0	0.751363226820649	0	0.172970841904005	0.0756659312753464	0	0	0	0	0	0.199542490610898	0.993044587528262
TUH88_166_S77	0.000648298116269593	0	0.699944581690739	0.0136763816141915	0.268591862759679	0.0161317256583248	0	0	0.00100715016079605	0	0	0.181255376954731	0.993916962237209
TUH67_167_S78	0	0	0.774904071707441	0	0.181126746870306	0.0439691814222523	0	0	0	0	0	0.145183344042344	1.00706348374505
TUH86_168_S79	0	0	0.794129668038973	0	0.17282447421187	0.0120973046433314	0	0	0.020948553105826	0	0	0.142746833134251	1.00462359523132
TUH76_169_S80	0	0	0.871870572049373	0	0.0959923746274691	0.0321370533231575	0	0	0	0	0	0.220606077320728	0.981319631896853
TUH97_170_S81	0	0	0.85153233014443	0	0.0590204941005444	0.0894471757550258	0	0	0	0	0	0.249308686846743	0.977120497672358
TUH128_171_S82	0	0	0.839441508025324	0.00195142566073689	0.120649603174447	0.0379574631394919	0	0	0	0	0	0.184789832309668	0.993408030603296
TUH142_172_S83	0	0	0.576205026349363	0.164674486509427	0.259120487141211	0	0	0	0	0	0	0.116278321537011	1.01561421972843
TUH179_173_S84	0	0	0.835238552340475	0.0226830191004669	0.127426446967469	0.0128777845770812	0	0	0.00177419701450793	0	0	0.232107509594553	0.97661066919443
TUH53_174_S85	0	0	0.375244858606343	0.45440336820291	0.170351773190747	0	0	0	0	0	0	0.335363219714995	0.943115024829655
TUH81_175_S86	0	0	0.78718496464284	0.151139535452745	0	0.0616754999044149	0	0	0	0	0	0.270900975249702	0.965436852565176
TUH99_176_S87	0.000250822452671498	0	0.940515062703894	0.00519847950967225	0.0236194050525568	0.0300132890823348	0	0	0.000402941198870747	0	0	0.260299100727704	0.968303878776466
TUH110_177_S88	0.000254776255416204	0	0.969218566130387	7.8521689173019e-05	0.0174785482992151	0.0128972723505517	0	7.23152752568944e-05	0	0	0	0.316620416913431	0.948836405330065
TUH162_178_S89	0	0	0.920534951767687	0	0.0694276192991106	0.0100374289332028	0	0	0	0	0	0.22159090310707	0.980650018228436
TUH109_180_S91	0	0	0.591879370530365	0.346339493363239	0.0603061382965479	0.00147499780984846	0	0	0	0	0	0.328515677270429	0.944500304251193
TUH163_181_S92	0	0	0.596608648933592	0.231253168452663	0.170162335373411	0.00197584724033397	0	0	0	0	0	0.150192387244331	1.00423329849946
TUH167_182_S93	0	0	0.690441270291533	0	0.266745657138974	0.0428130725694933	0	0	0	0	0	0.15676429510326	1.00394238272788
TUH180_183_S94	0	0	0.831307681077141	0.0311930738502026	0.135356907471508	0.00214233760114805	0	0	0	0	0	0.224797972313463	0.978944133793345
TUH105_184_S95	0.00584694878892657	0	0.591324013166127	0.150962321228159	0.245553106348907	0.00619881993820132	0	0	0.00011479052967842	0	0	0.259329564385571	0.967987591812448
TUH164_185_S96	0.00452553761956121	0	0.545913874635309	0.172994310727345	0.275003408194843	0.00156286882294141	0	0	0	0	0	0.251576194793401	0.971107625499333
TUH169_186_S97	0.0500564951842581	0	0.872492794150449	0.0117667878054038	0.0568502491993988	0.00883367366049026	0	0	0	0	0	0.161867651807158	0.999429168532562
TUH82_187_S98	0	0.000227558766084194	0.530517481095269	0.288344824456678	0.180910135681968	0	0	0	0	0	0	0.180731193689569	0.995974098414119
TUH86_188_S99	0	0	0.815106679326796	0	0.172375999584924	0.0125173210882799	0	0	0	0	0	0.238358509183503	0.974774299075932
TUH119_189_S100	5.02146005313812e-05	0	0.937247672532796	0.00990995316346316	0.0513647636131862	0.00142739609002384	0	0	0	0	0	0.246093178466386	0.972579568396999
TUH130_190_S101	0.00107554119374085	0	0.577434397237492	0.206035894041331	0.215411218454703	4.29490727336826e-05	0	0	0	0	0	0.287655462000524	0.958566054811131
TUH144_191_S102	0	0	0.306473063162777	0.489379466677012	0.204147470160211	0	0	0	0	0	0	0.234950494941644	0.98570938418798
TUH165_192_S103	0	0	0.282581946146869	0.489978973352896	0.22651850873858	0.000920571761654101	0	0	0	0	0	0.262101023926418	0.975283559648632
TUH168_193_S104	0.00270152964235886	0	0.65041579653378	0.250269939478178	0.095260247507266	0.00135248683841711	0	0	0	0	0	0.192270614057423	0.990101329698589
TUH170_194_S105	0	0	0.561849107051598	0.191410256376741	0.2205379690471	0.0227571337387955	0	0	0.00344553378576576	0	0	0.313589573257636	0.94966040563341
TUH171_195_S106	0	0	0.866575892523639	0	0.126593144666291	0.00683096281007023	0	0	0	0	0	0.237260026545995	0.975173085209715
TUH178_196_S107	0	0	0.940807389163093	0	0.0360772530213207	0.0231153578155867	0	0	0	0	0	0.257913129212291	0.968937326144128
TUH181_197_S108	0	0	0.520277918178147	0.280518567912202	0.154229783085959	0.0449737308236912	0	0	0	0	0	0.31512079749764	0.949527019497484
