source	target	weight_zscore	weight_mean	weight_mean_scaled	weight_zscore_scaled
MAR03905	ethanol[c]	5.19361455253386	8.43356398472758	0.784158925346712	0.925314628520483
MAR03905	NAD+[c]	5.19361455253386	8.43356398472758	0.784158925346712	0.925314628520483
MAR03905	acetaldehyde[c]	5.19361455253386	8.43356398472758	0.784158925346712	0.925314628520483
MAR03905	H+[c]	5.19361455253386	8.43356398472758	0.784158925346712	0.925314628520483
MAR03905	NADH[c]	5.19361455253386	8.43356398472758	0.784158925346712	0.925314628520483
MAR03907	ethanol[c]	5.27031012843038	8.45729045382875	0.786365029734647	0.938979011505013
MAR03907	NADP+[c]	5.27031012843038	8.45729045382875	0.786365029734647	0.938979011505013
MAR03907	acetaldehyde[c]	5.27031012843038	8.45729045382875	0.786365029734647	0.938979011505013
MAR03907	H+[c]	5.27031012843038	8.45729045382875	0.786365029734647	0.938979011505013
MAR03907	NADPH[c]	5.27031012843038	8.45729045382875	0.786365029734647	0.938979011505013
MAR04137	CoA[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04137	NAD+[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04137	pyruvate[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04137	acetyl-CoA[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04137	CO2[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04137	NADH[m]	3.65819142759361	1.00407067623196	0.0933592232029091	0.651757655028353
MAR04281	H+[x]	5.26600755005391	3.30658322129078	0.307448517622245	0.938212447357475
MAR04281	NADH[x]	5.26600755005391	3.30658322129078	0.307448517622245	0.938212447357475
MAR04281	pyruvate[x]	5.26600755005391	3.30658322129078	0.307448517622245	0.938212447357475
MAR04281	L-lactate[x]	5.26600755005391	3.30658322129078	0.307448517622245	0.938212447357475
MAR04281	NAD+[x]	5.26600755005391	3.30658322129078	0.307448517622245	0.938212447357475
MAR04388	H+[c]	4.39081670941988	3.26298488087342	0.303394712157498	0.782285033146363
MAR04388	NADH[c]	4.39081670941988	3.26298488087342	0.303394712157498	0.782285033146363
MAR04388	pyruvate[c]	4.39081670941988	3.26298488087342	0.303394712157498	0.782285033146363
MAR04388	L-lactate[c]	4.39081670941988	3.26298488087342	0.303394712157498	0.782285033146363
MAR04388	NAD+[c]	4.39081670941988	3.26298488087342	0.303394712157498	0.782285033146363
MAR04283	acetaldehyde[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04283	H2O[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04283	NADP+[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04283	acetate[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04283	H+[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04283	NADPH[c]	3.57760378380276	1.05481574717453	0.0980775368801432	0.637399846045148
MAR04363	2-phospho-D-glycerate[c]	3.60344525611872	1.97224881525904	0.183381132139452	0.642003863558308
MAR04363	H2O[c]	3.60344525611872	1.97224881525904	0.183381132139452	0.642003863558308
MAR04363	PEP[c]	3.60344525611872	1.97224881525904	0.183381132139452	0.642003863558308
MAR04365	2-phospho-D-glycerate[c]	3.64067000560204	2.2313062591352	0.207468482061842	0.648635970136784
