node_from	node_to	weight
chr1:1005127-1034268	chr1:1239426-1278099	1
chr1:1096739-1107115	chr1:1083959-1091234	1
chr1:1096739-1107115	chr1:1109733-1122642	1
chr1:1096739-1107115	chr1:1150970-1156235	1
chr1:1109733-1122642	chr1:1062660-1064244	1
chr1:1109733-1122642	chr1:1064245-1069045	1
chr1:1109733-1122642	chr1:1069046-1083958	1
chr1:1109733-1122642	chr1:1083959-1091234	1
chr1:1109733-1122642	chr1:1091235-1092012	1
chr1:1109733-1122642	chr1:1096739-1107115	1
chr1:1109733-1122642	chr1:1150970-1156235	1
chr1:1160798-1206873	chr1:1062660-1064244	1
chr1:1160798-1206873	chr1:1239426-1278099	1
chr1:1212439-1220554	chr1:1062660-1064244	1
chr1:1212439-1220554	chr1:1096739-1107115	1
chr1:1212439-1220554	chr1:1109733-1122642	1
chr1:1212439-1220554	chr1:1239426-1278099	1
chr1:1239426-1278099	chr1:942418-943676	1
chr1:1239426-1278099	chr1:978382-989620	1
chr1:1239426-1278099	chr1:1040209-1043143	1
chr1:1239426-1278099	chr1:1043144-1048247	1
chr1:1239426-1278099	chr1:1062660-1064244	1
chr1:1239426-1278099	chr1:1064245-1069045	1
chr1:1239426-1278099	chr1:1069046-1083958	1
chr1:1239426-1278099	chr1:1083959-1091234	1
chr1:1239426-1278099	chr1:1091235-1092012	1
chr1:1239426-1278099	chr1:1150970-1156235	1
chr1:1239426-1278099	chr1:1552730-1554066	1
chr1:1465274-1482323	chr1:1648711-1672992	1
chr1:1533887-1545982	chr1:1648711-1672992	1
chr1:1648711-1672992	chr1:1482324-1484551	1
chr1:1648711-1672992	chr1:1494305-1497726	1
chr1:1648711-1672992	chr1:1497727-1500245	1
chr1:1648711-1672992	chr1:1500246-1505406	1
chr1:1648711-1672992	chr1:1552730-1554066	1
chr1:1648711-1672992	chr1:1554067-1562477	1
chr1:1648711-1672992	chr1:1585572-1619752	1
chr1:1648711-1672992	chr1:1832735-1835035	1
chr1:2104999-2122560	chr1:2308195-2319571	1
chr1:2104999-2122560	chr1:2327551-2327802	1
chr1:2104999-2122560	chr1:2327925-2329775	1
chr1:2104999-2122560	chr1:2420090-2426369	1
chr1:2354920-2357804	chr1:2716377-2721584	1
chr1:2354920-2357804	chr1:2721585-2730656	1
chr1:2354920-2357804	chr1:2730657-2735145	1
chr1:2354920-2357804	chr1:2735720-2746290	1
chr1:2354920-2357804	chr1:3302614-3303598	1
chr1:2354920-2357804	chr1:3303599-3304674	1
chr1:2354920-2357804	chr1:3317711-3324475	1
chr1:2354920-2357804	chr1:3324476-3326133	1
chr1:2354920-2357804	chr1:3326134-3338275	1
chr1:2354920-2357804	chr1:3339940-3343969	1
chr1:2354920-2357804	chr1:3343970-3346908	1
chr1:2354920-2357804	chr1:3346909-3363739	1
chr1:2387105-2417285	chr1:2420090-2426369	1
chr1:2420090-2426369	chr1:3303599-3304674	1
chr1:2420090-2426369	chr1:3324476-3326133	1
chr1:2420090-2426369	chr1:3339940-3343969	1
chr1:2420090-2426369	chr1:3343970-3346908	1
chr1:2420090-2426369	chr1:3346909-3363739	1
chr1:2927637-2944794	chr1:3180611-3190697	1
chr1:2927637-2944794	chr1:3190698-3197687	1
chr1:2927637-2944794	chr1:3205490-3215024	1
chr1:2927637-2944794	chr1:3218697-3223713	1
chr1:2927637-2944794	chr1:3223714-3228334	1
chr1:2927637-2944794	chr1:3240537-3250805	1
chr1:2927637-2944794	chr1:3281303-3284413	1
chr1:2927637-2944794	chr1:3284414-3292302	1
chr1:2927637-2944794	chr1:3300869-3302613	1
chr1:2927637-2944794	chr1:3302614-3303598	1
chr1:2927637-2944794	chr1:3303599-3304674	1
chr1:2927637-2944794	chr1:3304675-3317710	1
chr1:2927637-2944794	chr1:3317711-3324475	1
chr1:2927637-2944794	chr1:3324476-3326133	1
chr1:2927637-2944794	chr1:3326134-3338275	1
chr1:2927637-2944794	chr1:3339940-3343969	1
