	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007602	BP	GO:0007602	phototransduction	7/374	32/10733	9.33628763362999e-05	9.33628763362999e-05	0.345835749292042	GNA11/GPR52/GRK1/OPN4/OPN5/PDE6C/PLEKHB1	7
GO:0009583	BP	GO:0009583	detection of light stimulus	7/374	43/10733	0.000642750198365378	0.000642750198365378	0.590891986306416	GNA11/GPR52/GRK1/OPN4/OPN5/PDE6C/PLEKHB1	7
GO:0031638	BP	GO:0031638	zymogen activation	7/374	43/10733	0.000642750198365378	0.000642750198365378	0.590891986306416	CTSH/CTSZ/IFI16/PLAU/RIPK2/TBC1D10A/THBS1	7
GO:0097094	BP	GO:0097094	craniofacial suture morphogenesis	4/374	13/10733	0.000807810095490381	0.000807810095490381	0.590891986306416	BMP4/INSIG1/NEUROG1/TGFB3	4
GO:0009584	BP	GO:0009584	detection of visible light	6/374	33/10733	0.000857220175418731	0.000857220175418731	0.590891986306416	GNA11/GPR52/GRK1/OPN4/OPN5/PDE6C	6
GO:0003085	BP	GO:0003085	negative regulation of systemic arterial blood pressure	4/374	15/10733	0.00145915725850623	0.00145915725850623	0.590891986306416	ADRB2/GPR37L1/PRCP/SOD2	4
GO:0042594	BP	GO:0042594	response to starvation	13/374	144/10733	0.00154064294532901	0.00154064294532901	0.590891986306416	AKR1C3/ATG7/BHLHA15/DAP/GPT/IFI16/JMY/MAP1LC3B2/PIK3C3/SFRP1/SP7/TBC1D5/TFEB	13
GO:0009991	BP	GO:0009991	response to extracellular stimulus	23/374	336/10733	0.00155921065153698	0.00155921065153698	0.590891986306416	ACSL1/ADRB2/AKR1C3/ALPL/ATG7/BHLHA15/DAP/G6PD/GATA4/GLRX2/GPT/IFI16/JMY/MAP1LC3B2/PIK3C3/RARA/SFRP1/SOD2/SP7/TBC1D5/TFEB/TNFRSF11B/TXN2	23
GO:0031667	BP	GO:0031667	response to nutrient levels	22/374	316/10733	0.00158269329415802	0.00158269329415802	0.590891986306416	ACSL1/ADRB2/AKR1C3/ALPL/ATG7/BHLHA15/DAP/G6PD/GATA4/GPT/IFI16/JMY/MAP1LC3B2/PIK3C3/RARA/SFRP1/SOD2/SP7/TBC1D5/TFEB/TNFRSF11B/TXN2	22
GO:0009162	BP	GO:0009162	deoxyribonucleoside monophosphate metabolic process	4/374	16/10733	0.0018925429122499	0.0018925429122499	0.590891986306416	ADA/DCK/NT5C2/NT5M	4
GO:0009267	BP	GO:0009267	cellular response to starvation	11/374	116/10733	0.00235949645183945	0.00235949645183945	0.590891986306416	AKR1C3/ATG7/BHLHA15/DAP/IFI16/JMY/MAP1LC3B2/PIK3C3/SFRP1/SP7/TFEB	11
GO:0070371	BP	GO:0070371	ERK1 and ERK2 cascade	17/374	226/10733	0.00236572136446224	0.00236572136446224	0.590891986306416	AGER/BMP4/CTSH/DUSP10/DUSP4/ERBB4/FGFR4/GATA4/GLIPR2/NEK10/NRG1/PTK2B/RAMP3/RIPK2/STYX/SYK/WNK2	17
GO:0070372	BP	GO:0070372	regulation of ERK1 and ERK2 cascade	16/374	207/10733	0.00239503425239998	0.00239503425239998	0.590891986306416	AGER/BMP4/DUSP10/DUSP4/ERBB4/FGFR4/GATA4/GLIPR2/NEK10/NRG1/PTK2B/RAMP3/RIPK2/STYX/SYK/WNK2	16
GO:0048705	BP	GO:0048705	skeletal system morphogenesis	14/374	172/10733	0.00274603727146085	0.00274603727146085	0.590891986306416	ALPL/BMP4/EYA1/FUZ/HOXC11/HOXD8/INSIG1/MTHFD1L/NEUROG1/PLEKHA1/RARA/SFRP1/SKI/TGFB3	14
GO:0007422	BP	GO:0007422	peripheral nervous system development	7/374	56/10733	0.00314064763370462	0.00314064763370462	0.590891986306416	ETV1/GFRA3/ILK/NDRG1/NGF/NRG1/SKI	7
GO:0003161	BP	GO:0003161	cardiac conduction system development	5/374	30/10733	0.00347273514074485	0.00347273514074485	0.590891986306416	BMP4/GATA4/HEY1/ID2/NRG1	5
GO:1901136	BP	GO:1901136	carbohydrate derivative catabolic process	10/374	105/10733	0.00355953918319258	0.00355953918319258	0.590891986306416	ABCD1/ADA/APOBEC3B/GNS/HEXB/NEU3/NT5C2/NT5M/PRKCD/SUCLG2	10
GO:0030149	BP	GO:0030149	sphingolipid catabolic process	4/374	19/10733	0.00371074524027519	0.00371074524027519	0.590891986306416	HEXB/NEU3/PRKCD/SMPD2	4
GO:0045598	BP	GO:0045598	regulation of fat cell differentiation	10/374	107/10733	0.00407831374216506	0.00407831374216506	0.590891986306416	AXIN1/CCDC85B/DKKL1/DUSP10/ID2/INSIG1/RORA/SFRP1/SIRT6/SOD2	10
GO:0009950	BP	GO:0009950	dorsal/ventral axis specification	3/374	10/10733	0.00419570614101027	0.00419570614101027	0.590891986306416	AXIN1/SFRP1/VAX2	3
GO:0009119	BP	GO:0009119	ribonucleoside metabolic process	4/374	20/10733	0.0045126874783443	0.0045126874783443	0.590891986306416	ADA/APOBEC3B/NT5C2/PGM2	4
GO:0022011	BP	GO:0022011	myelination in peripheral nervous system	4/374	20/10733	0.0045126874783443	0.0045126874783443	0.590891986306416	ILK/NDRG1/NRG1/SKI	4
GO:0032292	BP	GO:0032292	peripheral nervous system axon ensheathment	4/374	20/10733	0.0045126874783443	0.0045126874783443	0.590891986306416	ILK/NDRG1/NRG1/SKI	4
GO:0060292	BP	GO:0060292	long-term synaptic depression	4/374	20/10733	0.0045126874783443	0.0045126874783443	0.590891986306416	AGER/GRIA1/PTK2B/SORCS3	4
GO:0055123	BP	GO:0055123	digestive system development	10/374	110/10733	0.00496658705828163	0.00496658705828163	0.590891986306416	ADA/BMP4/CCKBR/FOXL1/GATA4/GLI1/ID2/PTF1A/SFRP1/TGFB3	10
GO:0001843	BP	GO:0001843	neural tube closure	8/374	77/10733	0.00521275037145704	0.00521275037145704	0.590891986306416	BMP4/FUZ/FZD2/MTHFD1L/RARA/SFRP1/SKI/ST14	8
GO:0046466	BP	GO:0046466	membrane lipid catabolic process	4/374	21/10733	0.00542356415575643	0.00542356415575643	0.590891986306416	HEXB/NEU3/PRKCD/SMPD2	4
GO:0010755	BP	GO:0010755	regulation of plasminogen activation	3/374	11/10733	0.00562130776328759	0.00562130776328759	0.590891986306416	CTSZ/PLAU/THBS1	3
GO:0046479	BP	GO:0046479	glycosphingolipid catabolic process	3/374	11/10733	0.00562130776328759	0.00562130776328759	0.590891986306416	HEXB/NEU3/PRKCD	3
GO:0060606	BP	GO:0060606	tube closure	8/374	78/10733	0.00563702862013249	0.00563702862013249	0.590891986306416	BMP4/FUZ/FZD2/MTHFD1L/RARA/SFRP1/SKI/ST14	8
GO:0043405	BP	GO:0043405	regulation of MAP kinase activity	12/374	150/10733	0.00616301210692774	0.00616301210692774	0.590891986306416	ADAM9/AGER/AXIN1/BMP4/DUSP10/NEK10/PRKCD/PTK2B/SFRP1/SYK/THBS1/TRIB1	12
GO:0014044	BP	GO:0014044	Schwann cell development	4/374	22/10733	0.00644954757286767	0.00644954757286767	0.590891986306416	ILK/NDRG1/NRG1/SKI	4
GO:2000379	BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	6/374	49/10733	0.00678341183754882	0.00678341183754882	0.590891986306416	AKR1C3/PRKCD/PTK2B/SOD2/SYK/THBS1	6
GO:0045664	BP	GO:0045664	regulation of neuron differentiation	12/374	152/10733	0.00683375635558367	0.00683375635558367	0.590891986306416	BMP4/EYA1/GDF6/GPR37L1/HEY1/ID2/NEUROD1/NEUROG1/NGF/NLGN1/RARA/SFRP1	12
GO:0001655	BP	GO:0001655	urogenital system development	17/374	252/10733	0.00709058706269785	0.00709058706269785	0.590891986306416	BMP4/CRIP1/CTSH/ERBB4/EYA1/GCNT1/GDF6/GLI1/HOXC11/ILK/MTSS1/PROM1/PTPRO/RARA/RGN/SFRP1/SNX17	17
GO:0090092	BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	14/374	192/10733	0.00727408388169427	0.00727408388169427	0.590891986306416	AXIN1/BAMBI/BMP4/BRMS1/BRMS1L/GATA4/GDF6/IGSF1/ILK/PDPK1/SFRP1/SKI/TGFB3/THBS1	14
GO:0009125	BP	GO:0009125	nucleoside monophosphate catabolic process	3/374	12/10733	0.00730341958233169	0.00730341958233169	0.590891986306416	ADA/NT5C2/NT5M	3
GO:0019377	BP	GO:0019377	glycolipid catabolic process	3/374	12/10733	0.00730341958233169	0.00730341958233169	0.590891986306416	HEXB/NEU3/PRKCD	3
GO:0043101	BP	GO:0043101	purine-containing compound salvage	3/374	12/10733	0.00730341958233169	0.00730341958233169	0.590891986306416	ADA/DCK/PGM2	3
GO:0060033	BP	GO:0060033	anatomical structure regression	3/374	12/10733	0.00730341958233169	0.00730341958233169	0.590891986306416	GLI1/OPN4/OPN5	3
GO:0043506	BP	GO:0043506	regulation of JUN kinase activity	6/374	50/10733	0.00748795222020006	0.00748795222020006	0.590891986306416	AGER/AXIN1/DUSP10/PTK2B/SFRP1/SYK	6
GO:0003073	BP	GO:0003073	regulation of systemic arterial blood pressure	7/374	66/10733	0.00784510180471332	0.00784510180471332	0.590891986306416	ADRB2/CTSZ/CYP4F2/GPR37L1/PRCP/PTPRO/SOD2	7
GO:0060349	BP	GO:0060349	bone morphogenesis	7/374	66/10733	0.00784510180471332	0.00784510180471332	0.590891986306416	ALPL/BMP4/INSIG1/NEUROG1/RARA/SKI/TGFB3	7
GO:0031669	BP	GO:0031669	cellular response to nutrient levels	12/374	155/10733	0.00794642604713464	0.00794642604713464	0.590891986306416	AKR1C3/ATG7/BHLHA15/DAP/IFI16/JMY/MAP1LC3B2/PIK3C3/SFRP1/SP7/TFEB/TXN2	12
