A	B	nOverlap
phototransduction	detection of light stimulus	7
phototransduction	detection of visible light	6
phototransduction	anatomical structure regression	2
phototransduction	regulation of circadian rhythm	3
phototransduction	phototransduction, visible light	3
phototransduction	detection of stimulus	7
phototransduction	detection of external stimulus	7
phototransduction	detection of abiotic stimulus	7
phototransduction	cellular response to radiation	4
phototransduction	cellular response to abiotic stimulus	5
phototransduction	cellular response to environmental stimulus	5
phototransduction	response to radiation	7
phototransduction	behavior	2
phototransduction	cellular response to light stimulus	4
phototransduction	entrainment of circadian clock	2
phototransduction	rhythmic process	3
phototransduction	visual perception	4
phototransduction	sensory perception of light stimulus	4
phototransduction	photoreceptor disc membrane	2
phototransduction	G protein-coupled photoreceptor activity	3
phototransduction	photoreceptor activity	3
phototransduction	retinoid binding	2
phototransduction	isoprenoid binding	2
phototransduction	retinal binding	2
detection of light stimulus	detection of visible light	6
detection of light stimulus	anatomical structure regression	2
detection of light stimulus	regulation of circadian rhythm	3
detection of light stimulus	phototransduction, visible light	3
detection of light stimulus	detection of stimulus	7
detection of light stimulus	detection of external stimulus	7
detection of light stimulus	detection of abiotic stimulus	7
detection of light stimulus	cellular response to radiation	4
detection of light stimulus	cellular response to abiotic stimulus	5
detection of light stimulus	cellular response to environmental stimulus	5
detection of light stimulus	response to radiation	7
detection of light stimulus	behavior	2
detection of light stimulus	cellular response to light stimulus	4
detection of light stimulus	entrainment of circadian clock	2
detection of light stimulus	rhythmic process	3
detection of light stimulus	visual perception	4
detection of light stimulus	sensory perception of light stimulus	4
detection of light stimulus	photoreceptor disc membrane	2
detection of light stimulus	G protein-coupled photoreceptor activity	3
detection of light stimulus	photoreceptor activity	3
detection of light stimulus	retinoid binding	2
detection of light stimulus	isoprenoid binding	2
detection of light stimulus	retinal binding	2
zymogen activation	ERK1 and ERK2 cascade	2
zymogen activation	regulation of plasminogen activation	3
zymogen activation	protein processing	7
zymogen activation	response to hypoxia	2
zymogen activation	positive regulation of epithelial cell migration	2
zymogen activation	positive regulation of proteolysis	4
zymogen activation	response to oxygen levels	2
zymogen activation	regulation of epithelial cell migration	2
zymogen activation	response to decreased oxygen levels	2
zymogen activation	plasminogen activation	3
zymogen activation	activation of cysteine-type endopeptidase activity	3
zymogen activation	regulation of binding	3
zymogen activation	positive regulation of MAPK cascade	2
zymogen activation	negative regulation of protein processing	3
zymogen activation	negative regulation of protein maturation	3
zymogen activation	positive regulation of cysteine-type endopeptidase activity	4
zymogen activation	protein maturation	7
