A	B	nOverlap
regulation of vascular endothelial growth factor signaling pathway	regulation of cellular response to vascular endothelial growth factor stimulus	4
regulation of vascular endothelial growth factor signaling pathway	negative regulation of ERK1 and ERK2 cascade	2
regulation of vascular endothelial growth factor signaling pathway	vascular endothelial growth factor signaling pathway	4
regulation of vascular endothelial growth factor signaling pathway	negative regulation of MAPK cascade	3
regulation of vascular endothelial growth factor signaling pathway	blood vessel development	3
regulation of vascular endothelial growth factor signaling pathway	negative regulation of sprouting angiogenesis	2
regulation of vascular endothelial growth factor signaling pathway	cellular response to vascular endothelial growth factor stimulus	4
regulation of vascular endothelial growth factor signaling pathway	cellular response to growth factor stimulus	4
regulation of vascular endothelial growth factor signaling pathway	regulation of cellular response to growth factor stimulus	4
regulation of vascular endothelial growth factor signaling pathway	regulation of sprouting angiogenesis	2
regulation of vascular endothelial growth factor signaling pathway	regulation of protein kinase B signaling	2
regulation of vascular endothelial growth factor signaling pathway	regulation of Ras protein signal transduction	2
regulation of vascular endothelial growth factor signaling pathway	chemotaxis	2
regulation of vascular endothelial growth factor signaling pathway	taxis	2
regulation of vascular endothelial growth factor signaling pathway	blood vessel morphogenesis	3
regulation of vascular endothelial growth factor signaling pathway	protein kinase B signaling	2
dentate gyrus development	interneuron migration	2
dentate gyrus development	positive regulation of neuron migration	2
dentate gyrus development	neuron migration	4
dentate gyrus development	regionalization	2
dentate gyrus development	pattern specification process	2
dentate gyrus development	forebrain regionalization	2
dentate gyrus development	response to xenobiotic stimulus	3
dentate gyrus development	regulation of cell development	2
dentate gyrus development	cerebral cortex GABAergic interneuron differentiation	2
dentate gyrus development	multicellular organismal response to stress	2
dentate gyrus development	chemotaxis	2
dentate gyrus development	taxis	2
dentate gyrus development	GABAergic neuron differentiation	2
dentate gyrus development	regulation of neuron migration	2
dentate gyrus development	regulation of nervous system development	2
dentate gyrus development	limbic system development	4
regulation of cellular response to vascular endothelial growth factor stimulus	negative regulation of ERK1 and ERK2 cascade	2
regulation of cellular response to vascular endothelial growth factor stimulus	vascular endothelial growth factor signaling pathway	4
regulation of cellular response to vascular endothelial growth factor stimulus	negative regulation of MAPK cascade	3
regulation of cellular response to vascular endothelial growth factor stimulus	blood vessel development	3
regulation of cellular response to vascular endothelial growth factor stimulus	negative regulation of sprouting angiogenesis	2
regulation of cellular response to vascular endothelial growth factor stimulus	cellular response to vascular endothelial growth factor stimulus	4
regulation of cellular response to vascular endothelial growth factor stimulus	cellular response to growth factor stimulus	4
regulation of cellular response to vascular endothelial growth factor stimulus	regulation of cellular response to growth factor stimulus	4
regulation of cellular response to vascular endothelial growth factor stimulus	regulation of sprouting angiogenesis	2
regulation of cellular response to vascular endothelial growth factor stimulus	regulation of protein kinase B signaling	2
regulation of cellular response to vascular endothelial growth factor stimulus	regulation of Ras protein signal transduction	2
regulation of cellular response to vascular endothelial growth factor stimulus	chemotaxis	2
regulation of cellular response to vascular endothelial growth factor stimulus	taxis	2
regulation of cellular response to vascular endothelial growth factor stimulus	blood vessel morphogenesis	3
regulation of cellular response to vascular endothelial growth factor stimulus	protein kinase B signaling	2
negative regulation of transcription regulatory region DNA binding	embryonic epithelial tube formation	2
