	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1900746	BP	GO:1900746	regulation of vascular endothelial growth factor signaling pathway	4/286	12/10733	0.00020637653666859	0.00020637653666859	0.447439282526203	CD63/PIK3CB/SEMA6A/SPRY2	4
GO:0021542	BP	GO:0021542	dentate gyrus development	4/286	13/10733	0.000291873054629045	0.000291873054629045	0.447439282526203	DRD1/EMX2/FEZF2/MDK	4
GO:1902547	BP	GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus	4/286	14/10733	0.000400094738473505	0.000400094738473505	0.447439282526203	CD63/PIK3CB/SEMA6A/SPRY2	4
GO:2000678	BP	GO:2000678	negative regulation of transcription regulatory region DNA binding	4/286	18/10733	0.0011243301263613	0.0011243301263613	0.820417505436832	HAND1/LHX2/MAD2L2/ZNF593	4
GO:0060707	BP	GO:0060707	trophoblast giant cell differentiation	3/286	10/10733	0.00195508789625409	0.00195508789625409	0.820417505436832	HAND1/HECTD1/NR2F2	3
GO:1902337	BP	GO:1902337	regulation of apoptotic process involved in morphogenesis	3/286	10/10733	0.00195508789625409	0.00195508789625409	0.820417505436832	BMP7/TNFRSF1A/VDR	3
GO:1904748	BP	GO:1904748	regulation of apoptotic process involved in development	3/286	10/10733	0.00195508789625409	0.00195508789625409	0.820417505436832	BMP7/TNFRSF1A/VDR	3
GO:0070373	BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	6/286	50/10733	0.00201524578226995	0.00201524578226995	0.820417505436832	ACE2/LMO3/PTPRC/SEMA6A/SMAD4/SPRY2	6
GO:0001838	BP	GO:0001838	embryonic epithelial tube formation	9/286	108/10733	0.00233127003598631	0.00233127003598631	0.820417505436832	BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET	9
GO:0001959	BP	GO:0001959	regulation of cytokine-mediated signaling pathway	9/286	109/10733	0.0024832371062095	0.0024832371062095	0.820417505436832	AGPAT2/CASP1/ECM1/F2RL1/IRAK2/PTPRC/SIGIRR/TNFRSF1A/USP27X	9
GO:0097237	BP	GO:0097237	cellular response to toxic substance	7/286	73/10733	0.00321631308159487	0.00321631308159487	0.820417505436832	ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3/OPRD1	7
GO:0033138	BP	GO:0033138	positive regulation of peptidyl-serine phosphorylation	7/286	75/10733	0.00374571667424372	0.00374571667424372	0.820417505436832	MAD2L2/NTRK2/OPRD1/RET/RPTOR/SPRY2/TCL1A	7
GO:0060759	BP	GO:0060759	regulation of response to cytokine stimulus	9/286	116/10733	0.00378001400644589	0.00378001400644589	0.820417505436832	AGPAT2/CASP1/ECM1/F2RL1/IRAK2/PTPRC/SIGIRR/TNFRSF1A/USP27X	9
GO:0007411	BP	GO:0007411	axon guidance	11/286	162/10733	0.00403814013632812	0.00403814013632812	0.820417505436832	ALCAM/BMP7/DLX5/FEZF2/L1CAM/LHX2/NTRK1/RET/SEMA6A/SMAD4/UNC5B	11
GO:0097485	BP	GO:0097485	neuron projection guidance	11/286	162/10733	0.00403814013632812	0.00403814013632812	0.820417505436832	ALCAM/BMP7/DLX5/FEZF2/L1CAM/LHX2/NTRK1/RET/SEMA6A/SMAD4/UNC5B	11
GO:1904936	BP	GO:1904936	interneuron migration	3/286	13/10733	0.0043912951423061	0.0043912951423061	0.820417505436832	DRD1/FEZF2/NR2F2	3
GO:2001224	BP	GO:2001224	positive regulation of neuron migration	3/286	13/10733	0.0043912951423061	0.0043912951423061	0.820417505436832	DRD1/MDK/SEMA6A	3
GO:0072175	BP	GO:0072175	epithelial tube formation	9/286	119/10733	0.00447651773367169	0.00447651773367169	0.820417505436832	BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET	9
GO:0038084	BP	GO:0038084	vascular endothelial growth factor signaling pathway	4/286	26/10733	0.00464617961350218	0.00464617961350218	0.820417505436832	CD63/PIK3CB/SEMA6A/SPRY2	4
GO:0016331	BP	GO:0016331	morphogenesis of embryonic epithelium	9/286	123/10733	0.00555634507371473	0.00555634507371473	0.857516976556332	BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET	9
GO:0060562	BP	GO:0060562	epithelial tube morphogenesis	15/286	270/10733	0.00581645530039602	0.00581645530039602	0.857516976556332	BMP7/CLUAP1/FGF1/HAND1/HECTD1/HOXA11/IFT52/IRX3/LHX2/MDK/MTHFD1/RET/SMAD4/SPRY2/VDR	15
GO:0001764	BP	GO:0001764	neuron migration	9/286	124/10733	0.00585539235163251	0.00585539235163251	0.857516976556332	DRD1/EMX2/FEZF2/MDK/NR2F2/NTRK2/OLIG3/SEMA6A/SH3RF1	9
GO:0003002	BP	GO:0003002	regionalization	15/286	277/10733	0.00731116499618927	0.00731116499618927	0.857516976556332	ACVR2B/CLUAP1/EMX2/FEZF2/FGF1/HOXA11/IFT52/IRX3/LHX2/MYF6/NR2F2/PBX2/SMAD4/SMAD6/SMARCD3	15
GO:0043409	BP	GO:0043409	negative regulation of MAPK cascade	9/286	131/10733	0.00831078710672031	0.00831078710672031	0.857516976556332	ACE2/BMP7/F2RL1/LMO3/PIK3CB/PTPRC/SEMA6A/SMAD4/SPRY2	9
GO:1990748	BP	GO:1990748	cellular detoxification	6/286	68/10733	0.00932873125285597	0.00932873125285597	0.857516976556332	ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3	6
GO:0007389	BP	GO:0007389	pattern specification process	17/286	340/10733	0.00957456036908246	0.00957456036908246	0.857516976556332	ACVR2B/BMP7/CLUAP1/EMX2/FEZF2/FGF1/HAND1/HOXA11/IFT52/IRX3/LHX2/MYF6/NR2F2/PBX2/SMAD4/SMAD6/SMARCD3	17
GO:0035148	BP	GO:0035148	tube formation	9/286	134/10733	0.00957521537617259	0.00957521537617259	0.857516976556332	BMP7/CLUAP1/HAND1/HECTD1/IFT52/IRX3/LHX2/MTHFD1/RET	9
GO:0000096	BP	GO:0000096	sulfur amino acid metabolic process	3/286	17/10733	0.00965059889950783	0.00965059889950783	0.857516976556332	BLMH/GCLC/MTHFD1	3
GO:0021871	BP	GO:0021871	forebrain regionalization	3/286	18/10733	0.0113558526541371	0.0113558526541371	0.857516976556332	EMX2/FEZF2/LHX2	3
GO:0060706	BP	GO:0060706	cell differentiation involved in embryonic placenta development	3/286	18/10733	0.0113558526541371	0.0113558526541371	0.857516976556332	HAND1/HECTD1/NR2F2	3
GO:0001657	BP	GO:0001657	ureteric bud development	6/286	72/10733	0.0121972851994	0.0121972851994	0.857516976556332	BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6	6
GO:0010837	BP	GO:0010837	regulation of keratinocyte proliferation	4/286	34/10733	0.0122060653225523	0.0122060653225523	0.857516976556332	IFT52/KLF9/MDK/VDR	4
GO:0072163	BP	GO:0072163	mesonephric epithelium development	6/286	73/10733	0.0130015513592035	0.0130015513592035	0.857516976556332	BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6	6
GO:0072164	BP	GO:0072164	mesonephric tubule development	6/286	73/10733	0.0130015513592035	0.0130015513592035	0.857516976556332	BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6	6
GO:0045830	BP	GO:0045830	positive regulation of isotype switching	3/286	19/10733	0.0132235948906588	0.0132235948906588	0.857516976556332	MAD2L2/MLH1/PTPRC	3
GO:2000272	BP	GO:2000272	negative regulation of signaling receptor activity	4/286	36/10733	0.014875764117767	0.014875764117767	0.857516976556332	ACE2/NCAPG2/PPARA/ZGPAT	4
GO:0007187	BP	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	5/286	55/10733	0.0152333346209363	0.0152333346209363	0.857516976556332	CALCRL/CHRM2/DRD1/OPRD1/OR10J5	5
GO:0010839	BP	GO:0010839	negative regulation of keratinocyte proliferation	3/286	20/10733	0.0152559328218647	0.0152559328218647	0.857516976556332	IFT52/KLF9/VDR	3
GO:0019082	BP	GO:0019082	viral protein processing	3/286	20/10733	0.0152559328218647	0.0152559328218647	0.857516976556332	MGAT1/PARP10/ST3GAL4	3
GO:0001823	BP	GO:0001823	mesonephros development	6/286	76/10733	0.0156361984219289	0.0156361984219289	0.857516976556332	BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6	6
GO:0009612	BP	GO:0009612	response to mechanical stimulus	9/286	146/10733	0.0161258582765348	0.0161258582765348	0.857516976556332	ANKRD23/CASP1/GCLC/IRF1/MAP3K1/MDK/NTRK1/STRC/TNFRSF1A	9
GO:0030325	BP	GO:0030325	adrenal gland development	3/286	21/10733	0.0174544335657666	0.0174544335657666	0.857516976556332	MDK/NR0B1/SMAD4	3
GO:0007498	BP	GO:0007498	mesoderm development	7/286	101/10733	0.0181547957588339	0.0181547957588339	0.857516976556332	ACVR2B/BMP7/HAND1/HOXA11/IRX3/LHX2/SMAD4	7
GO:0033135	BP	GO:0033135	regulation of peptidyl-serine phosphorylation	7/286	101/10733	0.0181547957588339	0.0181547957588339	0.857516976556332	MAD2L2/NTRK2/OPRD1/RET/RPTOR/SPRY2/TCL1A	7
GO:0001654	BP	GO:0001654	eye development	13/286	254/10733	0.0185420970811366	0.0185420970811366	0.857516976556332	ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2	13
GO:0150063	BP	GO:0150063	visual system development	13/286	256/10733	0.0196453571366236	0.0196453571366236	0.857516976556332	ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2	13
GO:0030278	BP	GO:0030278	regulation of ossification	6/286	80/10733	0.0196946536117296	0.0196946536117296	0.857516976556332	ACVR2B/BMP7/ECM1/MDK/SMAD6/VDR	6
GO:0098754	BP	GO:0098754	detoxification	6/286	80/10733	0.0196946536117296	0.0196946536117296	0.857516976556332	ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3	6
GO:0002755	BP	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	3/286	22/10733	0.0198201594089979	0.0198201594089979	0.857516976556332	IRAK2/IRAK4/IRF1	3
GO:0030279	BP	GO:0030279	negative regulation of ossification	3/286	22/10733	0.0198201594089979	0.0198201594089979	0.857516976556332	ECM1/MDK/SMAD6	3
GO:0060561	BP	GO:0060561	apoptotic process involved in morphogenesis	3/286	22/10733	0.0198201594089979	0.0198201594089979	0.857516976556332	BMP7/TNFRSF1A/VDR	3
GO:0071260	BP	GO:0071260	cellular response to mechanical stimulus	5/286	59/10733	0.0201296264231116	0.0201296264231116	0.857516976556332	CASP1/GCLC/IRF1/MAP3K1/TNFRSF1A	5
GO:0098869	BP	GO:0098869	cellular oxidant detoxification	5/286	59/10733	0.0201296264231116	0.0201296264231116	0.857516976556332	BMP7/CLIC2/FANCC/HBQ1/MGST3	5
GO:0048880	BP	GO:0048880	sensory system development	13/286	258/10733	0.0207973362499808	0.0207973362499808	0.857516976556332	ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2	13
GO:0003158	BP	GO:0003158	endothelium development	7/286	104/10733	0.0209787336796952	0.0209787336796952	0.857516976556332	ACVR2B/F2RL1/FGF1/FSTL1/NR2F2/SMAD4/TNFRSF1A	7
GO:0035107	BP	GO:0035107	appendage morphogenesis	7/286	104/10733	0.0209787336796952	0.0209787336796952	0.857516976556332	BMP7/DLX5/EVX2/HOXA11/IFT52/PBX2/SMAD4	7
GO:0035108	BP	GO:0035108	limb morphogenesis	7/286	104/10733	0.0209787336796952	0.0209787336796952	0.857516976556332	BMP7/DLX5/EVX2/HOXA11/IFT52/PBX2/SMAD4	7
GO:0043616	BP	GO:0043616	keratinocyte proliferation	4/286	40/10733	0.0212531402261434	0.0212531402261434	0.857516976556332	IFT52/KLF9/MDK/VDR	4
GO:0009410	BP	GO:0009410	response to xenobiotic stimulus	13/286	260/10733	0.0219992569660934	0.0219992569660934	0.857516976556332	AGPAT2/BLMH/DRD1/EMX2/GCLC/KCNH2/MAP2K6/MDK/NTRK1/RAD54L/REST/RET/RPTOR	13
GO:0061099	BP	GO:0061099	negative regulation of protein tyrosine kinase activity	3/286	23/10733	0.0223537013754379	0.0223537013754379	0.857516976556332	NCAPG2/PTPRC/ZGPAT	3
GO:0051153	BP	GO:0051153	regulation of striated muscle cell differentiation	5/286	61/10733	0.0229234157576296	0.0229234157576296	0.857516976556332	DMPK/MYF6/MYOD1/PPARA/SMAD4	5
GO:0072028	BP	GO:0072028	nephron morphogenesis	5/286	61/10733	0.0229234157576296	0.0229234157576296	0.857516976556332	BMP7/FGF1/HOXA11/IRX3/SMAD4	5
GO:0060284	BP	GO:0060284	regulation of cell development	17/286	376/10733	0.023511575820847	0.023511575820847	0.857516976556332	BMP7/CUL7/FEZF2/HOXA11/L1CAM/LHX2/MDK/MYF6/MYOD1/NTRK2/RASSF10/REST/RET/SEMA6A/SMAD4/SMARCD3/TNFRSF1A	17
GO:1901215	BP	GO:1901215	negative regulation of neuron death	9/286	156/10733	0.0237099053994076	0.0237099053994076	0.857516976556332	DNAJC5/GCLC/MDK/NTRK1/NTRK2/PPARA/REST/THAP11/UNC5B	9
GO:0060041	BP	GO:0060041	retina development in camera-type eye	7/286	107/10733	0.024094852703374	0.024094852703374	0.857516976556332	ACVR2B/LHX2/NTRK2/PDE6B/RET/SMARCD3/ZHX2	7
GO:0010657	BP	GO:0010657	muscle cell apoptotic process	5/286	62/10733	0.0244097651518126	0.0244097651518126	0.857516976556332	BMP7/DMPK/GRIA4/MDK/SMAD4	5
GO:0045665	BP	GO:0045665	negative regulation of neuron differentiation	5/286	62/10733	0.0244097651518126	0.0244097651518126	0.857516976556332	BMP7/FEZF2/IRX3/REST/ZHX2	5
GO:0001568	BP	GO:0001568	blood vessel development	21/286	497/10733	0.0247835863552125	0.0247835863552125	0.857516976556332	ACVR2B/BMP7/CALCRL/CUL7/ECM1/ELK3/FGF1/HAND1/HECTD1/IL17F/MDK/NR2F2/NTRK2/OR10J5/PIK3CB/SAT1/SEMA6A/SH2D2A/SMAD6/SPRY2/UNC5B	21
GO:2000677	BP	GO:2000677	regulation of transcription regulatory region DNA binding	4/286	42/10733	0.0249818292345763	0.0249818292345763	0.857516976556332	HAND1/LHX2/MAD2L2/ZNF593	4
GO:0006783	BP	GO:0006783	heme biosynthetic process	3/286	24/10733	0.0250552111701717	0.0250552111701717	0.857516976556332	HMBS/IREB2/NFE2L1	3
GO:0010614	BP	GO:0010614	negative regulation of cardiac muscle hypertrophy	3/286	24/10733	0.0250552111701717	0.0250552111701717	0.857516976556332	PPARA/SMAD4/TNFRSF1A	3
