	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:3522935-3531183	MEGF6	.	chr1:3454615-3456302	chr1:3454615-3456302
2	chr1:20478374-20481463	RP3-340N1.2	.	chr1:20268669-20272006	chr1:20268669-20272006
3	chr1:20503783-20504897	PLA2G2C	.	chr1:20268669-20272006	chr1:20268669-20272006
4	chr1:20809456-20815185	CAMK2N1	.	chr1:20268669-20272006	chr1:20268669-20272006
5	chr1:21592479-21598521	RP3-329E20.2	.	chr1:21669609-21670021	chr1:21669609-21670021
6	chr1:25531683-25536069	RP4-706G24.1	.	chr1:25237736-25245460	chr1:25237736-25245460
7	chr1:33427392-33431365	RNF19B	ZBTB8A	chr1:33004442-33006305	ZBTB8A
8	chr1:33427392-33431365	RNF19B	SYNC	chr1:33160962-33172003	SYNC
9	chr1:33427392-33431365	RNF19B	FNDC5	chr1:33331971-33341230	FNDC5
10	chr1:33427392-33431365	RNF19B	ADC;AK2	chr1:33546157-33562510	ADC;AK2
11	chr1:33427392-33431365	RNF19B	ZNF362	chr1:33718493-33725414	ZNF362
12	chr1:33427392-33431365	RNF19B	PHC2	chr1:33895581-33904659	PHC2
13	chr1:33427392-33431365	RNF19B	AL138837.1	chr1:33905019-33907985	AL138837.1
14	chr1:33718493-33725414	ZNF362	.	chr1:33878420-33881073	chr1:33878420-33881073
15	chr1:39323109-39328055	RP5-864K19.4;RRAGC	.	chr1:38507216-38508439	chr1:38507216-38508439
16	chr1:39323109-39328055	RP5-864K19.4;RRAGC	.	chr1:38508440-38510350	chr1:38508440-38510350
17	chr1:39720568-39724686	RP11-420K8.1	.	chr1:39574480-39575346	chr1:39574480-39575346
18	chr1:39876095-39876383	KIAA0754	.	chr1:39574480-39575346	chr1:39574480-39575346
19	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63305113-63307699	chr1:63305113-63307699
20	chr1:66994184-66999575	SGIP1	.	chr1:67216402-67217481	chr1:67216402-67217481
21	chr1:109102497-109108895	FAM102B	.	chr1:109044948-109053603	chr1:109044948-109053603
22	chr1:110983086-110994350	PROK1	.	chr1:110707070-110711981	chr1:110707070-110711981
23	chr1:117450148-117454207	PTGFRN;RP4-753F5.1	.	chr1:117311839-117313960	chr1:117311839-117313960
24	chr1:117542531-117544805	CD101	.	chr1:117311839-117313960	chr1:117311839-117313960
25	chr1:117600462-117602628	RP11-27K13.3	.	chr1:117311839-117313960	chr1:117311839-117313960
26	chr1:120187206-120194235	ZNF697	.	chr1:116909771-116909939	chr1:116909771-116909939
27	chr1:158460435-158467606	OR10R3P;RP11-144L1.4	.	chr1:158108696-158116621	chr1:158108696-158116621
28	chr1:159749526-159753587	DUSP23	.	chr1:159277441-159283103	chr1:159277441-159283103
29	chr1:209823579-209826397	LAMB3	.	chr1:209844414-209848319	chr1:209844414-209848319
30	chr1:209856272-209862015	HSD11B1	.	chr1:209844414-209848319	chr1:209844414-209848319
31	chr1:209955276-209959693	C1orf74	.	chr1:209844414-209848319	chr1:209844414-209848319
32	chr1:223314392-223318239	RP11-239E10.2;TLR5	.	chr1:223859968-223867242	chr1:223859968-223867242
33	chr1:226098282-226100464	LEFTY1	.	chr1:225652795-225661218	chr1:225652795-225661218
34	chr1:226110293-226136406	LEFTY2;PYCR2;RP4-559A3.6;RP4-559A3.7	.	chr1:225652795-225661218	chr1:225652795-225661218
35	chr1:226186235-226202244	SDE2	.	chr1:225652795-225661218	chr1:225652795-225661218
36	chr1:226246277-226250969	H3F3A;RP11-396C23.4	.	chr1:225652795-225661218	chr1:225652795-225661218
37	chr1:248019374-248021602	TRIM58	.	chr1:247856685-247863218	chr1:247856685-247863218
38	chr1:248082818-248087863	OR2T8	.	chr1:247856685-247863218	chr1:247856685-247863218
39	chr1:248093428-248098101	OR2AJ1	.	chr1:247856685-247863218	chr1:247856685-247863218
40	chr1:248524853-248526622	OR2T4	.	chr1:247856685-247863218	chr1:247856685-247863218
41	chr10:12288804-12297437	RP11-186N15.3	.	chr10:12742137-12743836	chr10:12742137-12743836
42	chr10:12385400-12395980	CAMK1D	.	chr10:12742137-12743836	chr10:12742137-12743836
43	chr10:13133797-13146111	CCDC3;OPTN	.	chr10:12742137-12743836	chr10:12742137-12743836
44	chr10:17168818-17174368	CUBN	.	chr10:17262463-17267900	chr10:17262463-17267900
45	chr10:17243060-17248253	TRDMT1	.	chr10:17262463-17267900	chr10:17262463-17267900
46	chr10:31320373-31329182	ZNF438	.	chr10:31064181-31066259	chr10:31064181-31066259
47	chr10:31320373-31329182	ZNF438	.	chr10:31066260-31073811	chr10:31066260-31073811
48	chr10:31320373-31329182	ZNF438	.	chr10:31598535-31600613	chr10:31598535-31600613
49	chr10:31320373-31329182	ZNF438	.	chr10:31605589-31606071	chr10:31605589-31606071
50	chr10:31320373-31329182	ZNF438	.	chr10:31617574-31618960	chr10:31617574-31618960
51	chr10:31320373-31329182	ZNF438	.	chr10:31635874-31636697	chr10:31635874-31636697
52	chr10:31320373-31329182	ZNF438	.	chr10:31748939-31750406	chr10:31748939-31750406
53	chr10:31320373-31329182	ZNF438	.	chr10:31750407-31750990	chr10:31750407-31750990
54	chr10:31320373-31329182	ZNF438	.	chr10:31764288-31764619	chr10:31764288-31764619
55	chr10:31320373-31329182	ZNF438	.	chr10:31979521-31980448	chr10:31979521-31980448
56	chr10:31320373-31329182	ZNF438	.	chr10:32058430-32059491	chr10:32058430-32059491
57	chr10:31320373-31329182	ZNF438	.	chr10:32059492-32062407	chr10:32059492-32062407
58	chr10:31320373-31329182	ZNF438	.	chr10:32067203-32067775	chr10:32067203-32067775
59	chr10:31320373-31329182	ZNF438	.	chr10:32067776-32069987	chr10:32067776-32069987
60	chr10:31320373-31329182	ZNF438	.	chr10:32069988-32076187	chr10:32069988-32076187
61	chr10:31320373-31329182	ZNF438	.	chr10:32096932-32103191	chr10:32096932-32103191
62	chr10:31320373-31329182	ZNF438	.	chr10:32104512-32112065	chr10:32104512-32112065
63	chr10:31320373-31329182	ZNF438	.	chr10:32116102-32117469	chr10:32116102-32117469
