	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	AL645608.1;RP11-54O7.3;SAMD11	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11
2	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	.	chr1:874082-876091	chr1:874082-876091
3	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	KLHL17;NOC2L;PLEKHN1	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1
4	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1
5	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2
6	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3
7	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	RP11-54O7.16;RP11-54O7.1	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1
8	chr1:1049052-1062659	C1orf159	TTLL10	chr1:1107116-1109732	TTLL10
9	chr1:1107116-1109732	TTLL10	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2
10	chr1:1107116-1109732	TTLL10	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1
11	chr1:1107116-1109732	TTLL10	.	chr1:978382-989620	chr1:978382-989620
12	chr1:1107116-1109732	TTLL10	.	chr1:1062660-1064244	chr1:1062660-1064244
13	chr1:1107116-1109732	TTLL10	.	chr1:1064245-1069045	chr1:1064245-1069045
14	chr1:1107116-1109732	TTLL10	.	chr1:1069046-1083958	chr1:1069046-1083958
15	chr1:1107116-1109732	TTLL10	.	chr1:1092013-1096738	chr1:1092013-1096738
16	chr1:1107116-1109732	TTLL10	.	chr1:1150970-1156235	chr1:1150970-1156235
17	chr1:1107116-1109732	TTLL10	.	chr1:1156236-1160797	chr1:1156236-1160797
18	chr1:1107116-1109732	TTLL10	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2
