	NodeIn	baitName	oeName	NodeOut	oeName_changed	edge
1	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	AL645608.1;RP11-54O7.3;SAMD11	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	chr1:831895-848168_chr1:850619-874081
2	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	.	chr1:874082-876091	chr1:874082-876091	chr1:831895-848168_chr1:874082-876091
3	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	KLHL17;NOC2L;PLEKHN1	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1	chr1:831895-848168_chr1:889424-903640
4	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1	chr1:831895-848168_chr1:903641-927394
5	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	chr1:831895-848168_chr1:1206874-1212438
6	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:831895-848168_chr1:1239426-1278099
7	chr1:848169-850618	RP11-54O7.2	KLHL17;NOC2L;PLEKHN1	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1	chr1:848169-850618_chr1:889424-903640
8	chr1:848169-850618	RP11-54O7.2	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	chr1:848169-850618_chr1:1206874-1212438
9	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	RP11-54O7.16;RP11-54O7.1	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	chr1:850619-874081_chr1:831895-848168
10	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2	chr1:889424-903640_chr1:848169-850618
11	chr1:903641-927394	C1orf170;PLEKHN1	TNFRSF18;TNFRSF4	chr1:1126526-1150969	TNFRSF18;TNFRSF4	chr1:903641-927394_chr1:1126526-1150969
12	chr1:1005127-1034268	C1orf159;RNF223	RP4-758J18.10;VWA1	chr1:1364314-1373173	RP4-758J18.10;VWA1	chr1:1005127-1034268_chr1:1364314-1373173
13	chr1:1049052-1062659	C1orf159	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2	chr1:1049052-1062659_chr1:848169-850618
14	chr1:1049052-1062659	C1orf159	TTLL10-AS1;TTLL10	chr1:1109733-1122642	TTLL10-AS1;TTLL10	chr1:1049052-1062659_chr1:1109733-1122642
15	chr1:1049052-1062659	C1orf159	RP4-758J18.10;VWA1	chr1:1364314-1373173	RP4-758J18.10;VWA1	chr1:1049052-1062659_chr1:1364314-1373173
16	chr1:1096739-1107115	MIR200A;MIR200B;MIR429;RP11-465B22.8	TTLL10-AS1;TTLL10	chr1:1109733-1122642	TTLL10-AS1;TTLL10	chr1:1096739-1107115_chr1:1109733-1122642
17	chr1:1107116-1109732	TTLL10	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2	chr1:1107116-1109732_chr1:848169-850618
18	chr1:1109733-1122642	TTLL10-AS1;TTLL10	AL645608.1;RP11-54O7.3;SAMD11	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	chr1:1109733-1122642_chr1:850619-874081
19	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1062660-1064244	chr1:1062660-1064244	chr1:1109733-1122642_chr1:1062660-1064244
20	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1064245-1069045	chr1:1064245-1069045	chr1:1109733-1122642_chr1:1064245-1069045
21	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1069046-1083958	chr1:1069046-1083958	chr1:1109733-1122642_chr1:1069046-1083958
22	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1083959-1091234	chr1:1083959-1091234	chr1:1109733-1122642_chr1:1083959-1091234
23	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1091235-1092012	chr1:1091235-1092012	chr1:1109733-1122642_chr1:1091235-1092012
24	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1092013-1096738	chr1:1092013-1096738	chr1:1109733-1122642_chr1:1092013-1096738
25	chr1:1109733-1122642	TTLL10-AS1;TTLL10	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1096739-1107115	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1109733-1122642_chr1:1096739-1107115
26	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1150970-1156235	chr1:1150970-1156235	chr1:1109733-1122642_chr1:1150970-1156235
27	chr1:1109733-1122642	TTLL10-AS1;TTLL10	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	chr1:1109733-1122642_chr1:1206874-1212438
28	chr1:1126526-1150969	TNFRSF18;TNFRSF4	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2	chr1:1126526-1150969_chr1:848169-850618
29	chr1:1126526-1150969	TNFRSF18;TNFRSF4	AL645608.1;RP11-54O7.3;SAMD11	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	chr1:1126526-1150969_chr1:850619-874081
30	chr1:1126526-1150969	TNFRSF18;TNFRSF4	KLHL17;NOC2L;PLEKHN1	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1	chr1:1126526-1150969_chr1:889424-903640
31	chr1:1126526-1150969	TNFRSF18;TNFRSF4	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1	chr1:1126526-1150969_chr1:903641-927394
32	chr1:1126526-1150969	TNFRSF18;TNFRSF4	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1096739-1107115	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1126526-1150969_chr1:1096739-1107115
33	chr1:1126526-1150969	TNFRSF18;TNFRSF4	TTLL10	chr1:1107116-1109732	TTLL10	chr1:1126526-1150969_chr1:1107116-1109732
34	chr1:1126526-1150969	TNFRSF18;TNFRSF4	TTLL10-AS1;TTLL10	chr1:1109733-1122642	TTLL10-AS1;TTLL10	chr1:1126526-1150969_chr1:1109733-1122642
35	chr1:1126526-1150969	TNFRSF18;TNFRSF4	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	chr1:1126526-1150969_chr1:1206874-1212438
36	chr1:1126526-1150969	TNFRSF18;TNFRSF4	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1126526-1150969_chr1:1239426-1278099
37	chr1:1126526-1150969	TNFRSF18;TNFRSF4	DVL1;MXRA8	chr1:1283837-1305518	DVL1;MXRA8	chr1:1126526-1150969_chr1:1283837-1305518
38	chr1:1126526-1150969	TNFRSF18;TNFRSF4	RP4-758J18.10;VWA1	chr1:1364314-1373173	RP4-758J18.10;VWA1	chr1:1126526-1150969_chr1:1364314-1373173
