	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:9990442-10021260	LZIC;NMNAT1;RN7SKP269;RP11-84A14.4	.	chr1:10215481-10217890	chr1:10215481-10217890
2	chr1:10085512-10094202	UBE4B	.	chr1:10215481-10217890	chr1:10215481-10217890
3	chr1:26643927-26645883	CD52;UBXN11	.	chr1:26593104-26598143	chr1:26593104-26598143
4	chr1:26690647-26702056	ZNF683	.	chr1:26593104-26598143	chr1:26593104-26598143
5	chr1:39323109-39328055	RP5-864K19.4;RRAGC	.	chr1:38507216-38508439	chr1:38507216-38508439
6	chr1:39323109-39328055	RP5-864K19.4;RRAGC	.	chr1:38508440-38510350	chr1:38508440-38510350
7	chr1:44160990-44171673	KDM4A-AS1;ST3GAL3	.	chr1:44414260-44416267	chr1:44414260-44416267
8	chr1:44172750-44176455	KDM4A-AS1;ST3GAL3	.	chr1:44414260-44416267	chr1:44414260-44416267
9	chr1:44176456-44182792	RNU6-1058P	.	chr1:44414260-44416267	chr1:44414260-44416267
10	chr1:44190395-44205543	RP11-184I16.4;ST3GAL3	.	chr1:44414260-44416267	chr1:44414260-44416267
11	chr1:63769568-63792897	FOXD3;LINC00466;RP4-792G4.2	EFCAB7;RNU7-123P	chr1:63997170-64004077	EFCAB7;RNU7-123P
12	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63298865-63303214	chr1:63298865-63303214
13	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63303215-63303680	chr1:63303215-63303680
14	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63303681-63305112	chr1:63303681-63305112
15	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63305113-63307699	chr1:63305113-63307699
16	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63307700-63317461	chr1:63307700-63317461
17	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63367587-63368800	chr1:63367587-63368800
18	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63370948-63373512	chr1:63370948-63373512
19	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63373546-63378491	chr1:63373546-63378491
20	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63378492-63379311	chr1:63378492-63379311
21	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63424379-63426837	chr1:63424379-63426837
22	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63426838-63430620	chr1:63426838-63430620
23	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63430621-63431259	chr1:63430621-63431259
24	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63654972-63655148	chr1:63654972-63655148
25	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:63792898-63797343	chr1:63792898-63797343
26	chr1:63997170-64004077	EFCAB7;RNU7-123P	.	chr1:64711131-64712369	chr1:64711131-64712369
27	chr1:64484521-64495579	RNU6-809P	EFCAB7;RNU7-123P	chr1:63997170-64004077	EFCAB7;RNU7-123P
28	chr1:76257150-76264083	MSH4;RABGGTB	DNAJB4;FUBP1;GIPC2	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2
29	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	MIR186;ZRANB2	chr1:71530008-71535732	MIR186;ZRANB2
30	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	ACADM;RP4-682C21.5	chr1:76187495-76190890	ACADM;RP4-682C21.5
31	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	RABGGTB	chr1:76245180-76252671	RABGGTB
32	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	MSH4;RABGGTB	chr1:76257150-76264083	MSH4;RABGGTB
33	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	ST6GALNAC3	chr1:76539805-76544964	ST6GALNAC3
34	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	PIGK	chr1:77683078-77686043	PIGK
35	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	ZZZ3	chr1:78141576-78151695	ZZZ3
36	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78151696-78151987	chr1:78151696-78151987
37	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78151988-78154214	chr1:78151988-78154214
38	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78155826-78163523	chr1:78155826-78163523
39	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78163524-78166335	chr1:78163524-78166335
40	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	USP33	chr1:78220016-78226294	USP33
41	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	FAM73A;RNA5SP21	chr1:78242120-78249071	FAM73A;RNA5SP21
42	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78410126-78413446	chr1:78410126-78413446
43	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78413479-78413997	chr1:78413479-78413997
44	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78417096-78420347	chr1:78417096-78420347
45	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78430960-78431895	chr1:78430960-78431895
46	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78431933-78433931	chr1:78431933-78433931
47	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	RNU6-1102P;RP11-386I14.3	chr1:78546817-78558093	RNU6-1102P;RP11-386I14.3
48	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	.	chr1:78571353-78574312	chr1:78571353-78574312
49	chr1:78439265-78448564	DNAJB4;FUBP1;GIPC2	IFI44	chr1:79114114-79115483	IFI44
50	chr1:99726899-99741788	LPPR4	.	chr1:99278291-99280585	chr1:99278291-99280585
51	chr1:109250889-109262257	FNDC7	.	chr1:109243535-109247201	chr1:109243535-109247201
52	chr1:109654432-109658005	C1orf194;KIAA1324	.	chr1:109243535-109247201	chr1:109243535-109247201
53	chr1:110983086-110994350	PROK1	.	chr1:110707070-110711981	chr1:110707070-110711981
54	chr1:159749526-159753587	DUSP23	.	chr1:159277441-159283103	chr1:159277441-159283103
55	chr1:181002457-181004704	MR1	.	chr1:182113008-182115386	chr1:182113008-182115386
56	chr1:182294388-182297804	RNU6-152P;RP11-416K24.1	.	chr1:182113008-182115386	chr1:182113008-182115386
57	chr1:182354704-182363894	GLUL	.	chr1:182113008-182115386	chr1:182113008-182115386
58	chr1:182366080-182374429	TEDDM1	.	chr1:182113008-182115386	chr1:182113008-182115386
59	chr1:182557133-182558476	RNASEL	.	chr1:182113008-182115386	chr1:182113008-182115386
60	chr1:182567651-182590376	RGS16;RP11-317P15.4	.	chr1:182113008-182115386	chr1:182113008-182115386
61	chr1:182757765-182764391	NPL	.	chr1:182113008-182115386	chr1:182113008-182115386
62	chr1:182989144-182996819	LAMC1	.	chr1:183429768-183435040	chr1:183429768-183435040
63	chr1:218516401-218521986	RP11-224O19.2;TGFB2	.	chr1:219381791-219383040	chr1:219381791-219383040
64	chr1:219834718-219836813	AC096643.1	.	chr1:219381791-219383040	chr1:219381791-219383040
65	chr1:224032489-224034632	TP53BP2	.	chr1:224533711-224539339	chr1:224533711-224539339
66	chr10:12765351-12772891	MIR548Q	.	chr10:12948816-12951571	chr10:12948816-12951571
67	chr10:33499922-33506059	NRP1;RP11-342D11.2	.	chr10:34909654-34911019	chr10:34909654-34911019
68	chr10:33621192-33629950	NRP1	.	chr10:34909654-34911019	chr10:34909654-34911019
69	chr10:60026672-60034571	CISD1;IPMK	.	chr10:60337815-60346914	chr10:60337815-60346914
70	chr10:104473118-104476189	ARL3;SFXN2	.	chr10:104806132-104818011	chr10:104806132-104818011
71	chr10:104593706-104605513	CYP17A1;PFN1P11;PTGES3P4	.	chr10:104806132-104818011	chr10:104806132-104818011
72	chr10:104673556-104680672	CNNM2;RP11-724N1.1	.	chr10:104806132-104818011	chr10:104806132-104818011
73	chr10:127584140-127586225	DHX32;FANK1	.	chr7:151983349-151986774	chr7:151983349-151986774
74	chr11:7503956-7510658	OLFML1	.	chr11:7116071-7118064	chr11:7116071-7118064
75	chr11:7503956-7510658	OLFML1	.	chr11:7140029-7141161	chr11:7140029-7141161
76	chr11:7503956-7510658	OLFML1	.	chr11:7141162-7143347	chr11:7141162-7143347
77	chr11:7503956-7510658	OLFML1	.	chr11:7670065-7671945	chr11:7670065-7671945
78	chr11:7503956-7510658	OLFML1	.	chr11:7689114-7690649	chr11:7689114-7690649
79	chr11:7503956-7510658	OLFML1	.	chr11:7712145-7713940	chr11:7712145-7713940
80	chr11:7690650-7698678	CYB5R2	OLFML1	chr11:7503956-7510658	OLFML1
81	chr11:10757979-10772658	CTR9	.	chr11:10550248-10553443	chr11:10550248-10553443
82	chr11:17399180-17413539	KCNJ11;RP1-239B22.5	.	chr11:17537501-17539687	chr11:17537501-17539687
83	chr11:22851665-22858552	SVIP	.	chr11:26286965-26289370	chr11:26286965-26289370
84	chr11:27487553-27499051	LGR4;RP11-159H22.2	.	chr11:27215747-27216547	chr11:27215747-27216547
85	chr11:27525697-27535074	BDNF-AS;LIN7C	.	chr11:27215747-27216547	chr11:27215747-27216547
86	chr11:28073088-28079522	MIR610	.	chr11:27738708-27741532	chr11:27738708-27741532
87	chr11:32072783-32080518	RP1-17K7.3	.	chr11:32171626-32174537	chr11:32171626-32174537
88	chr11:32072783-32080518	RP1-17K7.3	.	chr11:32204919-32216502	chr11:32204919-32216502
89	chr11:32808485-32816314	CCDC73	.	chr11:32326035-32328169	chr11:32326035-32328169
90	chr11:32808485-32816314	CCDC73	.	chr11:32328170-32328960	chr11:32328170-32328960
91	chr11:32808485-32816314	CCDC73	.	chr11:32328961-32332487	chr11:32328961-32332487
92	chr11:32808485-32816314	CCDC73	.	chr11:32332488-32334396	chr11:32332488-32334396
93	chr11:32808485-32816314	CCDC73	.	chr11:32334397-32336345	chr11:32334397-32336345
94	chr11:32808485-32816314	CCDC73	.	chr11:32336346-32336747	chr11:32336346-32336747
95	chr11:32808485-32816314	CCDC73	.	chr11:32336748-32342625	chr11:32336748-32342625
96	chr11:32808485-32816314	CCDC73	.	chr11:32342626-32350298	chr11:32342626-32350298
97	chr11:32808485-32816314	CCDC73	.	chr11:32350299-32351718	chr11:32350299-32351718
98	chr11:32808485-32816314	CCDC73	.	chr11:32351719-32352496	chr11:32351719-32352496
99	chr11:32808485-32816314	CCDC73	.	chr11:32352509-32354927	chr11:32352509-32354927
100	chr11:32808485-32816314	CCDC73	.	chr11:32354928-32357439	chr11:32354928-32357439
101	chr11:32808485-32816314	CCDC73	.	chr11:32357440-32370145	chr11:32357440-32370145
102	chr11:32808485-32816314	CCDC73	.	chr11:32370146-32370803	chr11:32370146-32370803
103	chr11:32808485-32816314	CCDC73	.	chr11:32370804-32371490	chr11:32370804-32371490
104	chr11:32808485-32816314	CCDC73	.	chr11:32387062-32395332	chr11:32387062-32395332
105	chr11:32808485-32816314	CCDC73	.	chr11:32395333-32395936	chr11:32395333-32395936
106	chr11:32808485-32816314	CCDC73	.	chr11:32395937-32399962	chr11:32395937-32399962
107	chr11:32808485-32816314	CCDC73	.	chr11:32399963-32411191	chr11:32399963-32411191
108	chr11:32808485-32816314	CCDC73	.	chr11:32411192-32411369	chr11:32411192-32411369
109	chr11:32808485-32816314	CCDC73	.	chr11:32411370-32421025	chr11:32411370-32421025
110	chr11:32808485-32816314	CCDC73	.	chr11:32421026-32421961	chr11:32421026-32421961
111	chr11:32808485-32816314	CCDC73	.	chr11:32421962-32422222	chr11:32421962-32422222
