	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:3522935-3531183	MEGF6	.	chr1:3454615-3456302	chr1:3454615-3456302
2	chr1:20478374-20481463	RP3-340N1.2	.	chr1:20268669-20272006	chr1:20268669-20272006
3	chr1:20503783-20504897	PLA2G2C	.	chr1:20268669-20272006	chr1:20268669-20272006
4	chr1:20809456-20815185	CAMK2N1	.	chr1:20268669-20272006	chr1:20268669-20272006
5	chr1:21314908-21317537	MIR1256	.	chr1:21439785-21441677	chr1:21439785-21441677
6	chr1:25531683-25536069	RP4-706G24.1	.	chr1:25237736-25245460	chr1:25237736-25245460
7	chr1:29062514-29066919	YTHDF2	.	chr1:29512555-29515128	chr1:29512555-29515128
8	chr1:29197677-29207781	RP1-212P9.3	.	chr1:29512555-29515128	chr1:29512555-29515128
9	chr1:31188386-31193343	MATN1-AS1;MATN1	.	chr1:29512555-29515128	chr1:29512555-29515128
10	chr1:33718493-33725414	ZNF362	.	chr1:33878420-33881073	chr1:33878420-33881073
11	chr1:63153207-63156049	DOCK7;RP11-230B22.1	.	chr1:63003719-63006211	chr1:63003719-63006211
12	chr1:63247446-63250968	ATG4C	.	chr1:63003719-63006211	chr1:63003719-63006211
13	chr1:66994184-66999575	SGIP1	.	chr1:67216402-67217481	chr1:67216402-67217481
14	chr1:100105296-100123456	PALMD	.	chr1:99635974-99640105	chr1:99635974-99640105
15	chr1:209823579-209826397	LAMB3	.	chr1:209844414-209848319	chr1:209844414-209848319
16	chr1:209856272-209862015	HSD11B1	.	chr1:209844414-209848319	chr1:209844414-209848319
17	chr1:209955276-209959693	C1orf74	.	chr1:209844414-209848319	chr1:209844414-209848319
18	chr1:214775801-214777074	CENPF	.	chr1:222792535-222794132	chr1:222792535-222794132
19	chr1:220443630-220447347	RAB3GAP2	.	chr1:222792535-222794132	chr1:222792535-222794132
20	chr1:223314392-223318239	RP11-239E10.2;TLR5	.	chr1:223859968-223867242	chr1:223859968-223867242
21	chr1:224543448-224546174	CNIH4	.	chr1:222792535-222794132	chr1:222792535-222794132
22	chr1:226594644-226601149	PARP1;RP11-118H4.3	.	chr1:222792535-222794132	chr1:222792535-222794132
23	chr1:229477418-229479257	CCSAP	.	chr1:222792535-222794132	chr1:222792535-222794132
24	chr10:12288804-12297437	RP11-186N15.3	.	chr10:12742137-12743836	chr10:12742137-12743836
25	chr10:12385400-12395980	CAMK1D	.	chr10:12742137-12743836	chr10:12742137-12743836
26	chr10:13133797-13146111	CCDC3;OPTN	.	chr10:12742137-12743836	chr10:12742137-12743836
27	chr10:18822006-18823893	RP11-383B4.4	.	chr10:21170782-21173345	chr10:21170782-21173345
28	chr10:91035805-91044817	RP11-149I23.3	.	chr10:91162709-91163346	chr10:91162709-91163346
29	chr10:99255245-99265644	MMS19;UBTD1	.	chr10:99274546-99279075	chr10:99274546-99279075
30	chr10:101189732-101190465	GOT1	.	chr10:101481606-101488278	chr10:101481606-101488278
31	chr10:101190466-101195700	RP11-441O15.3	.	chr10:101481606-101488278	chr10:101481606-101488278
32	chr10:101944868-101948473	ERLIN1	.	chr10:101481606-101488278	chr10:101481606-101488278
33	chr10:105614422-105616436	SH3PXD2A	.	chr10:105541614-105543765	chr10:105541614-105543765
34	chr10:111965601-111972285	MXI1;RP11-549L6.3	.	chr10:111736468-111742245	chr10:111736468-111742245
35	chr10:112061091-112067985	SMNDC1	.	chr10:111736468-111742245	chr10:111736468-111742245
36	chr10:112255134-112262944	DUSP5;RP11-525A16.4	.	chr10:111736468-111742245	chr10:111736468-111742245
37	chr10:120814322-120819820	EIF3A;SNORA19	.	chr10:121604708-121607269	chr10:121604708-121607269
38	chr10:120819821-120826393	SNORA19	.	chr10:121604708-121607269	chr10:121604708-121607269
39	chr10:120837396-120842672	EIF3A	.	chr10:121604708-121607269	chr10:121604708-121607269
40	chr10:121355184-121361301	TIAL1	.	chr10:121604708-121607269	chr10:121604708-121607269
41	chr10:121406566-121411829	BAG3	.	chr10:121604708-121607269	chr10:121604708-121607269
42	chr10:121484055-121487453	INPP5F	.	chr10:121604708-121607269	chr10:121604708-121607269
43	chr11:8575512-8579316	SCARNA20	.	chr11:8385455-8386908	chr11:8385455-8386908
44	chr11:20002124-20003443	NAV2-AS3	.	chr11:20119823-20124340	chr11:20119823-20124340
45	chr11:22354905-22362252	CTD-2140G10.2;SLC17A6	.	chr11:22557924-22558896	chr11:22557924-22558896
46	chr11:22383208-22385870	CTD-2140G10.4	.	chr11:22557924-22558896	chr11:22557924-22558896
47	chr11:27384971-27386044	CCDC34	.	chr11:27466176-27471767	chr11:27466176-27471767
48	chr11:34935206-34937401	PDHX	.	chr11:34591777-34596194	chr11:34591777-34596194
49	chr11:34937402-34946813	APIP;PDHX	.	chr11:34591777-34596194	chr11:34591777-34596194
50	chr11:34937402-34946813	APIP;PDHX	.	chr11:35365968-35372229	chr11:35365968-35372229
51	chr11:35636413-35644746	FJX1	.	chr11:36249550-36253375	chr11:36249550-36253375
52	chr11:36302345-36311291	COMMD9	.	chr11:36538467-36541665	chr11:36538467-36541665
53	chr11:60602486-60611597	CCDC86;RP11-804A23.2	.	chr11:60959287-60964914	chr11:60959287-60964914
54	chr11:60731770-60742356	CD6	.	chr11:60959287-60964914	chr11:60959287-60964914
55	chr11:82438796-82447835	FAM181B	.	chr11:83521976-83525502	chr11:83521976-83525502
56	chr11:82610457-82615041	C11orf82;PRCP	.	chr11:83521976-83525502	chr11:83521976-83525502
57	chr11:82993065-82997864	CCDC90B;RP11-727A23.10	.	chr11:83521976-83525502	chr11:83521976-83525502
58	chr11:119523930-119534523	RNU6-1123P	.	chr11:119960493-119969003	chr11:119960493-119969003
59	chr11:119578995-119584408	CTD-2523D13.1	.	chr11:119960493-119969003	chr11:119960493-119969003
60	chr11:128449766-128458801	ETS1	.	chr11:128021666-128027023	chr11:128021666-128027023
61	chr12:8748155-8755018	SCARNA11	.	chr12:8697725-8700118	chr12:8697725-8700118
62	chr12:8972319-8975489	A2ML1-AS2;A2ML1	.	chr12:8697725-8700118	chr12:8697725-8700118
