	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:831895-848168	RP11-54O7.16;RP11-54O7.1	.	chr1:874082-876091	chr1:874082-876091
2	chr1:927395-936954	HES4;RP11-54O7.17	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2
3	chr1:927395-936954	HES4;RP11-54O7.17	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3
4	chr1:1049052-1062659	C1orf159	TTLL10	chr1:1107116-1109732	TTLL10
5	chr1:1107116-1109732	TTLL10	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2
6	chr1:1107116-1109732	TTLL10	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1
7	chr1:1107116-1109732	TTLL10	.	chr1:978382-989620	chr1:978382-989620
8	chr1:1107116-1109732	TTLL10	.	chr1:1062660-1064244	chr1:1062660-1064244
9	chr1:1107116-1109732	TTLL10	.	chr1:1064245-1069045	chr1:1064245-1069045
10	chr1:1107116-1109732	TTLL10	.	chr1:1069046-1083958	chr1:1069046-1083958
11	chr1:1107116-1109732	TTLL10	.	chr1:1092013-1096738	chr1:1092013-1096738
12	chr1:1107116-1109732	TTLL10	.	chr1:1150970-1156235	chr1:1150970-1156235
13	chr1:1107116-1109732	TTLL10	.	chr1:1156236-1160797	chr1:1156236-1160797
14	chr1:1107116-1109732	TTLL10	RP5-902P8.10;UBE2J2	chr1:1206874-1212438	RP5-902P8.10;UBE2J2
15	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1091235-1092012	chr1:1091235-1092012
16	chr1:1109733-1122642	TTLL10-AS1;TTLL10	.	chr1:1092013-1096738	chr1:1092013-1096738
17	chr1:1126526-1150969	TNFRSF18;TNFRSF4	TTLL10	chr1:1107116-1109732	TTLL10
18	chr1:1126526-1150969	TNFRSF18;TNFRSF4	DVL1;MXRA8	chr1:1283837-1305518	DVL1;MXRA8
19	chr1:1160798-1206873	B3GALT6;FAM132A;RP5-902P8.12;SDF4;UBE2J2	HES4;RP11-54O7.17	chr1:927395-936954	HES4;RP11-54O7.17
20	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	HES4;RP11-54O7.17	chr1:927395-936954	HES4;RP11-54O7.17
21	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	.	chr1:1091235-1092012	chr1:1091235-1092012
