"K562_111_S31"	"K562_119_S32"	"K562_S30"	"MOLM13_108_S28"	"MOLM13_115_S29"	"MOLM13_S27"	"TUH162_S40"	"TUH167_S35"	"TUH215_S34"	"TUH219_S33"	"TUH90_S41"	"TUH93_S37"	"TUH96.METAML_S39"	"TUH96.VDM_S38"	"TUH99_S36"
"ENSG00000000003"	21	3	18	0	0	0	0	1	0	1	4	1	9	10	6
"ENSG00000000005"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419"	2195	2415	2860	872	1397	248	373	266	149	520	336	325	399	250	311
"ENSG00000000457"	544	532	643	686	788	51	632	381	84	511	386	686	715	391	365
"ENSG00000000460"	2578	3558	3881	1099	1641	95	244	275	153	641	340	322	290	384	328
"ENSG00000000938"	0	0	0	180	523	14	605	426	2021	1164	2008	1657	603	330	1596
"ENSG00000000971"	1	4640	8971	7	12	0	1826.19	16	0	449	77	482.06	111	516	18
"ENSG00000001036"	3579	4342	4398	2542	3499	254	1027	238	538	700	1217	1033	739	649	379
"ENSG00000001084"	1186	999	961	1332	1686	106	901	1093	251	1800	1181	1401	1391	1562	758
"ENSG00000001167"	2300	3672	4067	3921	6359	403	1255	1289	573	2221	1022	959	2639	1537	1384
"ENSG00000001460"	504	303	311	158	266	9	172	93	53	180	138	147	232	89	91
"ENSG00000001461"	2540	2007	1590	2021	2788	35	1204	781	100	1310	1051	1419	2191	1109	1026
"ENSG00000001497"	2378	3110	2951	2720	3433	294	849	817	485	1271	745	898	725	847	843
"ENSG00000001561"	1	0	0	0	0	0	1828	369	76	1372	130	592	1511	2423	538
"ENSG00000001617"	190	131	342	221	155	12	8	3	0	2	9	19	4	1	0
"ENSG00000001626"	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0
"ENSG00000001629"	2137	1904	1806	1693	2583	111	1622	1246	509	2559	1515	1590	2356	1363	2113
"ENSG00000001630"	7617.98	12306.04	15512	7028	7458	489	909.84	809.69	1128	6165.81	2707.23	956.27	1646.04	926.26	1343.02
"ENSG00000001631"	1883.92	1855.82	2026.61	981.97	1522.27	228	1088.42	843.27	492.73	928.21	728.89	942.41	1343.41	1283.9	1273.77
"ENSG00000002016"	288.35	332.67	381	261	340.07	13	246.56	324.3	213	486.34	199.14	240.64	374	310	189.07
"ENSG00000002079"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002330"	243	154	174	435	693	24	533	171	415	600	371	523	443	231	375
"ENSG00000002549"	2586	2877	2957	2448	3237	286	841	475	489	2850	1187	959	1363	992	524
"ENSG00000002586"	3071	2680	2633	3529	4385	204	51754	3686	5600	26344	10955	16225	8827	3486	5210
"ENSG00000002587"	0	0	0	0	0	0	1	383	3	11	2	25	15	10	14
"ENSG00000002726"	0	0	0	37	123	5	240	13	0	37	15	242	54	21	25
"ENSG00000002745"	0	1	0	0	0	0	0	0	7	37	0	0	0	0	1
"ENSG00000002746"	685	0	14	64	35	0	0	0	0	0	0	0	0	0	0
"ENSG00000002822"	1678.76	1353.94	1463.31	1417.94	2080.06	232	407.14	375.19	318	1112.35	351.6	414.44	473.93	375.29	544.89
"ENSG00000002834"	19148	20249	23870	10867	15655	1375	8433	2035	3925	10028	8208	7436	9129	3943	5535
"ENSG00000002919"	1427	1142	1115	1066	1622	99	767	75	219	693	524	450	397	293	333
"ENSG00000002933"	142	0	19	0	5	0	63	11	0	1537	209	30	3	0	17
"ENSG00000003056"	4515	5881	5972	8924	12364	685	3436	3476	1611	8705	4021	3104	3955	2402	3003
"ENSG00000003096"	282	5	11	0	0	9	38	5	92	476	85	81	51	41	586
"ENSG00000003137"	202	57	21	4	5	20	1	0	0	0	0	0	0	0	0
"ENSG00000003147"	479	677	794	2	3	45	722	261	55	753	353	551	142	99	488
"ENSG00000003249"	1955	1819	1723	2	24	27	96	12	13	11	16	14	21	29	18
"ENSG00000003393"	1814	1495	1552	499	642	91	1873	1081	211	1617	1526	1369	3174	2418	518
"ENSG00000003400"	2436	1549	2096	801	1047	104	1394	471	240	3857	1738	1465	1859	1300	1382
"ENSG00000003402"	7358	4909	6127	2294.35	2743.48	1185	7661	3946	2722	6011	4841	6860	5486	5196	6074
"ENSG00000003436"	1467	4451	17253	0	0	0	6416	898	282	7529	3650	2103	6813	4290	4885
"ENSG00000003509"	412	542	690	405	530	78	420	165	98	343	340	327	328	316	230
"ENSG00000003756"	2027	2056.82	2028	2004	2194	353	5010.91	3109	1312	1741	2722	4760	4790	4541.8	3263.87
"ENSG00000003987"	6	0	0	85	575	0	1	4	5	0	0	0	1	0	0
"ENSG00000003989"	7	1	1	6173	8004	233	0	107	4	9	2	1	0	1	1
"ENSG00000004059"	4657	4527.92	5493.6	1253.9	2012.85	268	3559.45	979.45	1077.24	3134.58	2690.84	2814.77	2333.82	997.79	1822.81
"ENSG00000004139"	74.92	35	16	11.42	3.08	13	495.91	337	198	1796	454	1040	363	345	1131.79
"ENSG00000004142"	8725	11645	12253	4804	7413	637	1862	468	1024	4896	2148	1369	1869	1221	1410
"ENSG00000004399"	566	1564	2107	3346	4724	688	9652	8964	4589	32515	6282	6015	10751	7499	9926
"ENSG00000004455"	23634	28027	28678	32609	36731	3064	7898	4351	3502	15708	8579	9348	5359	5156	3507
"ENSG00000004468"	12	2	0	80	500	247	3719	1398	1040	3200	3598	2820	2239	6200	1615
"ENSG00000004478"	17754	22130	19350	5677	6917	559	902	1395	4104	9153	1782	604	1875	1830	1459
"ENSG00000004487"	6473	9263	9877	6004	7897	589	2905	1711	876	4317	2526	2066	2696	1889	1613
"ENSG00000004534"	1670	1708.18	1828	1127	1447	418	1418.09	1579	851	2069	1244	1500	1248	1535.2	1002.13
"ENSG00000004660"	551	799	668	23	53	0	95	63	122	219	180	212	80	198	164
"ENSG00000004700"	1874	1875	2531	3209	4107	253	1288	502	587	2495	1008	859	1504	837	1121
"ENSG00000004766"	1256	1397	1325	623	849	66	595	474	223	740	470	564	674	494	598
"ENSG00000004776"	6	4	2	6	12	6	0	0	24	1	0	0	0	2	0
"ENSG00000004777"	201	127	172	93	133	21	486	383	634	182	400	509	259	300	329
"ENSG00000004779"	2267	3778	3903	1496	2343	320	338	171	259	913	358	269	310	246	213
"ENSG00000004799"	14	0	0	0	0	0	1	5	0	153	69	80	9	7	82
"ENSG00000004809"	0	0	0	1	0	0	478	160	156	768	343	570	134	111	825
"ENSG00000004838"	22	17	29	6	15	21	25	9	15	11	17	18	28	9	3
"ENSG00000004846"	4	0	0	0	0	0	0	1	0	0	0	3	0	0	0
"ENSG00000004848"	66	11	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000004864"	2808	4623	4801	1552	1986	120	507	262	86	669	508	396	487	414	344
"ENSG00000004866"	2227	3048	3676.06	15	785.72	160	42	736	95	1263	44	347	4	2	356
"ENSG00000004897"	8166.95	10575.99	11020	5248	7490	286	1062	574	668	3027	1382	1076	1834	1172	2127
"ENSG00000004939"	727	89	142	0	0	0	202	87	31	526	17	865	51	490	2877
"ENSG00000004948"	21	6	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004961"	2156	2604	2496	749	1158	136	253	105	65	327	176	160	226	138	200
"ENSG00000004975"	1760	2395	2634	838	1491	136	1443	465	457	2106	1256	1024	1509	875	898
"ENSG00000005001"	14	2	3	0	0	0	0	1	0	0	0	1	0	0	0
"ENSG00000005007"	13226	11925	11080	4045	5069	850	2708	991	1476	3297	1616	1935	1724	1148	1208
"ENSG00000005020"	2151	1391	1520	2008	1977	242	3993	1984	1615	5203	4463	2475	3771	2289	2096
"ENSG00000005022"	13360	18256	20109	19516	29419	1778	6044	2054	1819	11118	6778	3451	4725	3489	3396
"ENSG00000005059"	684	642	538	1116	1426	13	728	329	167	360	212	274	57	34	358
"ENSG00000005073"	20	2	3	1761	1645	122	45	52	0	0	55	233	696	267	0
"ENSG00000005075"	761.61	794.68	839.48	337.36	500.88	109.47	259.98	122.19	168.08	355.06	173.93	193.25	243.6	198.45	146.75
"ENSG00000005100"	3005	3456	3254	3006	4021	329	613	488	228	1457	643	741	568	923	513
"ENSG00000005102"	0	0	0	0	0	0	0	6	0	1	0	0	1	0	3
"ENSG00000005108"	2	0	0	11	13	246	3	15	4	11401	0	0	0	0	2277
"ENSG00000005156"	5036	4260	4844	5763	8085	384	3578	1349	765	3778	3941	4105	3706	2835	1748
"ENSG00000005175"	2894	3913	3722	1788	2298	191	772	613	488	1829	981	656	946	625	1029
"ENSG00000005187"	2004	1053	1273	510	273	0	1853	165	30	2105	586	1480	498	549	244
"ENSG00000005189"	1132	1468	1598	580	800	69	287	457	53	753	484	187	368	273	832
"ENSG00000005194"	3644	4564	4412	2028	2879	221	846	275	190	1306	791	578	578	448	514
"ENSG00000005206"	1993	1907	1782	1474	1686	189	1813	2081	993	2138	1276	2055	1617	1485	2136
"ENSG00000005238"	819	307	472	255	376	0	745	254	368	333	531	650	1053	326	492
"ENSG00000005243"	12	0	1	1	0	0	6	0	1	10	2	13	0	2	15
"ENSG00000005249"	4986	7426	6937	1877	1770	78	1235	186	313	391	990	1463	336	219	159
"ENSG00000005302"	1724	1950	1883	658	1083	76	1081	861	564	1036	1095	1384	1414	1058	985
"ENSG00000005339"	3611	5089	4821	6248	6769	373	5442	3214	1722	8954	3495	3087	6901	3353	3424
"ENSG00000005379"	187	199	181	1513	3738	870	1564	7530	394	14947	757	651	885	837	3916
"ENSG00000005381"	1	0	8	1376	4547	481	18250	19427	52313	22192	13812	12456	1962	6297	10836
"ENSG00000005421"	3	0	4	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000005436"	1303	1689	2085	1669	2001	241	521	402	190	880	544	432	261	318	536
"ENSG00000005448"	308	156	108	747	877	0	259	124	109	300	298	171	283	154	155
"ENSG00000005469"	77	0	1	75	0	16	154	90	1	87	84	201	156	147	111
"ENSG00000005471"	60	2	4	13	760	0	0	4	0	15	0	18	4	4	12
"ENSG00000005483"	5276	4579	4954	3409	4000	273	7039	2764	1605	5912	4269	4071	6520	3084	3932
"ENSG00000005486"	2279	1159	1403	849	1352	42	1521	412	654	2117	912	608	1134	437	362
"ENSG00000005513"	194	33	94	0	0	0	0	6	0	3	0	6	2	0	4
"ENSG00000005700"	2009	3869	3896	5258	6890	491	2442	1592	913	4460	2147	2137	2753	1740	1913
"ENSG00000005801"	3908	1969	2036	1721	1747	200	1713	904	272	924	942	2299	1542	2133	1072
"ENSG00000005810"	4981	5629	5115	11402	8535	1057	10574	10001	6074	15011	10868	11928	14044	9556	11247
"ENSG00000005812"	1365	1568	1441	3038	3273	313	3340	1016	488	2993	2122	1794	2711	1609	1995
"ENSG00000005844"	7	1	0	12321	19940	502	2244	2989	2539	5447	6504	7341	2201	871	2227
"ENSG00000005882"	268	80	63	820	1043	36	465	166	18	756	702	382	1066	425	426
"ENSG00000005884"	143	85	72	0	0	0	28	487	14	87	103	59	589	94	14
"ENSG00000005889"	2694	4353	3523	2825	3391	170	3870	2581	528	3898	2460	2926	5146	2886	1739
"ENSG00000005893"	2644	3995	4046	8885	11081	885	16921	7800	1854	12123	9532	8708	10427	4357	4973
"ENSG00000005961"	610	199	185	43	38	0	145	87	20	34	997	150	229	171	55
"ENSG00000005981"	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"ENSG00000006007"	2788	3808	3047	2922	4358	186	3079	1183	590	2697	2966	1504	2280	1073	969
"ENSG00000006015"	1479	1166	1145	818	915	400	467	475	1061	600	448	660	419	597	351
"ENSG00000006016"	21	41	34	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006025"	836	768	794	233	328	27	852	279	261	779	726	725	710	525	367
"ENSG00000006042"	2399	1971	2927	0	0	0	1	10	0	0	0	4	0	1	4
"ENSG00000006047"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000006059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006062"	617	544	1078	574	309	28	562	140	221	664	287	368	431	282	323
"ENSG00000006071"	47	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000006116"	2	0	2	0	0	0	0	1	0	0	3	2	0	0	0
"ENSG00000006118"	81	20	15	0	0	0	1	2	0	0	0	0	0	0	0
"ENSG00000006125"	21220	30181	33392	7914	11561	641	10941	2094	1883	14852	10060	5869	9680	4599	4322
"ENSG00000006128"	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0
"ENSG00000006194"	1608	1781	1827	1323	1632	359	962	777	461	1579	834	816	1110	695	773
"ENSG00000006210"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006282"	11	9	20	972	764	24	1084	40	962	1133	1190	1015	1115	846	1929
"ENSG00000006283"	50	0	0	0	0	0	0	0	0	0	2	0	0	1	2
"ENSG00000006327"	707	1375	2031	219	336	86	69	93	144	39	42	93	9	23	29
"ENSG00000006377"	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0
"ENSG00000006432"	517	336	57	33	6	0	51	8	7	62	29	24	68	69	20
"ENSG00000006451"	3466	3042	2702	2119	2171	235	3405	1273	720	6519	1905	1509	3566	1283	2112
"ENSG00000006453"	1800	1825	2271	0	0	0	3	3	0	4	0	4	0	0	2
"ENSG00000006459"	2281	1560	1688	790	1348	26	1103	423	109	1517	185	795	323	193	1191
"ENSG00000006468"	268	675	926	19	23	0	0	0	0	7	0	2	0	0	2
"ENSG00000006530"	2958	3129	3552	135	472	79	767	743	182	1294	876	1127	579	578	776
"ENSG00000006534"	3	5	0	1858	1763	96	1827	629	3366	3415	2229	2628	2313	1475	884
"ENSG00000006555"	16	2	1	0	0	0	13	23	0	13	16	103	11	5	50
"ENSG00000006576"	3234	3060	3168	1877	2895	49	1096	509	232	907	1111	951	1002	1048	889
"ENSG00000006606"	34	67	41	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006607"	2173	2752	3114	2184	2755	49	607	606	206	1551	733	547	472	576	893
"ENSG00000006611"	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006625"	1308	1198	1184	979	1211.65	189	240	141	180	551	254	186	216	258	150
"ENSG00000006634"	3830	4193	4392	2703.9	3540	185	723	432	708	654	465	558	427	404	335
"ENSG00000006638"	1241	1271	2964	446	618	124	1357	13	171	1301	773	535	185	397	54
"ENSG00000006652"	4276	2779	3182	852	1165	79	2559	1001	612	1786	1596	2284	1473	1071	1593
"ENSG00000006659"	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
"ENSG00000006695"	1546.73	1841.67	1882.55	1639.18	2277.22	87	535.02	180	218	1524.26	568.04	542.33	696.06	426.32	507.21
"ENSG00000006704"	937	1063	1112	0	0	43	43	5	23	80	28	33	51	41	14
"ENSG00000006712"	1884	1767	1974	1634	2651	196	529	238	308	997	451	621	715	348	651
"ENSG00000006715"	2898	3168	3107	2452	3132	1396	1833	1540	709	2806	1784	2003	2387	1529	1844
"ENSG00000006740"	43	4	2	0	0	80	0	2	0	4	0	0	0	1	0
"ENSG00000006744"	6101	7560	7443	5302	7079	373	1925	537	1148	4609	2023	1889	1757	1395	1513
"ENSG00000006747"	55	0	5	0	0	7	0	0	0	3	0	1	1	0	14.41
"ENSG00000006756"	194	31	7	0	0	177	8043	713	459	2739	3593	6567	77	34	1800
"ENSG00000006757"	693	737	799	0	0	5	268	173	15	206	122	183	371	165	139
"ENSG00000006788"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006831"	5897	6568	7359	7516	9689	612	1382	1260	795	5048	1476	1169	2488	1534	1858
"ENSG00000006837"	86.45	22.84	18.85	3.74	12.81	4	2.68	1.21	0	12.81	8.43	13.59	9.84	13.71	7.26
"ENSG00000007001"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"ENSG00000007038"	1959	2580	2980	0	0	0	1917	0	0	2665	1724	843	1056	943	2
"ENSG00000007047"	1914	1671	1898	1083	1388	150	1388	664	504	2293	1144	838	1721	738	746
"ENSG00000007062"	5	0	0	0	1	0	948	5548	11	12949	4690	240	11330	4920	8586
"ENSG00000007080"	2196	2466	2744	1139	1979	229	388	203	390	641	335	394	262	246	278
"ENSG00000007129"	4	0	0	528	735	20	43	170	37	138	128	63	102	61	132
"ENSG00000007168"	7786	7184	6290	6459	8355	1193	3752	1567	2864	7510	2857	2960	6036	3963	3289
"ENSG00000007171"	36	0	0	0	0	0	1	0	0	13	0	3	1	0	12
"ENSG00000007174"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007202"	26924	32045	30565	22445	28449	1137	9299	3750	3373	21137	8492	10314	13023	8540	7448
"ENSG00000007216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007237"	19	0	0	14949	13971	190	7867	574	1755	16286	8888	2824	7891	3399	4469
"ENSG00000007255"	455	345	335	261	247	0	533	136	198	342	488	506	396	227	348
"ENSG00000007264"	1172	4038	3831	3631	3736	341	459	750	512	2376	440	519	426	677	465
"ENSG00000007306"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007312"	5	1	0	26	14	0	80.75	11	140	1591	598	494.34	495	249	1064.37
"ENSG00000007314"	39	9	7	0	0	0	5	4	0	1	19	81	19	6	12
"ENSG00000007341"	1120	1088	1193	530	645	114	547	337	56	478	348	471	446	371	502
"ENSG00000007350"	62	1	2	1	0	52	0	4	7	3	1	6	3	1	1
"ENSG00000007372"	330	344	365	0	0	0	1	1	0	0	0	0	0	0	0
"ENSG00000007376"	2918	4307	4339	1596	2202	112	713	667	657	2357	753	683	791	543	613
"ENSG00000007384"	218	151	213	35	29	4	265	941	29	232	228	324	283	82	58
"ENSG00000007392"	1543	1966	1844	1126	1566	93	2261	1883	1234	1020	1175	1690	1325	2020	847
"ENSG00000007402"	60	25	32	0	2	0	7	7	0	90	6	6	6	2	13
"ENSG00000007516"	352	186	335	8	6	0	64	26	16	15	109	61	21	28	6
"ENSG00000007520"	907	1017	1039	418	648	115	250	135	784	499	195	279	275	169	251
"ENSG00000007541"	2514.79	3619.69	3148.45	1105.81	1386.46	131	1237	846	1162	1324.56	947.79	941.07	1305.37	839.36	571
"ENSG00000007545"	2333.16	2880.81	3359.65	1361.69	1817.33	126.96	2286.3	1787.92	814.49	2311.18	958.59	2110.98	2057.68	1280.23	2068.28
"ENSG00000007866"	1140	1279	1748	489	585	38	5	3	5	6	1	99	6	5	0
"ENSG00000007908"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000007923"	5354	6338	6220	3106	4322	354	781	701	294	2139	863	704	966	962	586
"ENSG00000007933"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"ENSG00000007944"	3930	3060	3209	1200	1563	138	2056	851	553	3615	809	1202	673	551	1291
"ENSG00000007952"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007968"	1989	2458	1988	2427	2918	30	120	429	880	1390	580	247	19	319	792
"ENSG00000008018"	6833	8717	8187	3381	5034	626	1636	616	276	1984	1248	1151	1113	848	982
"ENSG00000008056"	118	34	35	0	0	0	41	3	0	39.69	22	3.56	14	6	2
"ENSG00000008083"	5903	4100	4712	5333	7408	570	4792	3012	775	3034	2647	3944	3488	2335	2342
"ENSG00000008086"	192	9	3	51	57	0	149	279	0	648	40	467	42	20	496
"ENSG00000008118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008128"	1273.65	1050.62	1284.46	371.45	515.06	70.55	357.19	332.41	246.24	445.8	322.07	537.82	363.74	597.69	358.2
"ENSG00000008130"	4210	4862	4661	2811	3256	303	1130	1251	1360	3060	1604	1630	1061	853	1119
"ENSG00000008196"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008197"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008226"	1	2	0	0	1	0	20	15	0	3	6	24	9	25	7
"ENSG00000008256"	1420	1028	1248	275	351	121	856	636	116	1622	389	463	1136	444	348
"ENSG00000008277"	4	9	4	1892	1770	81	80	496	0	481	13	169	160	140	101
"ENSG00000008282"	4591	5897	5531	2965	3854	291	5769	2383	1394	6190	5799	2358	4511	2253	3246
"ENSG00000008283"	2912	3170	2464	206	188	75	508	271	235	854	608	1134	505	481	799
"ENSG00000008294"	6494	7223	7555	3782	4186	492	3384	940	1362	4208	2044	2308	3171	2144	2049
"ENSG00000008300"	636	364	360	275	290	10	55	34	22	118	61	257	39	90	42
"ENSG00000008311"	226	237	20	0	0	0	1	4	0	306	3	2	2	1	1193
"ENSG00000008323"	12	9	12	0	0	0	3	0	0	11	11	0	0	0	1
"ENSG00000008324"	969	1589	1492	549	772	171	276	161	108	344	282	306	304	232	256
"ENSG00000008382"	237	286	313	591	641	70	336	230	157	537	247	355	245	162	211
"ENSG00000008394"	2069	4820	5641	1539	5050	1043	3490	3721	1186	9926	3810	3533	2010	1625	2373
"ENSG00000008405"	1745	1749	2270	995	1303	52	1032	407	207	926	203	489	476	248	345
"ENSG00000008438"	0	0	0	0	0	0	1	13	0	35	3	37	2	3	403
"ENSG00000008441"	1784	2810	2647	222	205	454	4210	1436	1779	4122	3382	6191	1933	1233	1520
"ENSG00000008513"	693	890	1365	3442	5350	172	2722	2320	635	4595	2234	2453	2678	1790	4150
"ENSG00000008516"	9	9	6	92	227	9	15	74	116	73	14	186	3	16	152
"ENSG00000008517"	17	0	4	235	512	0	69	28	71	67	124	46	26	23	61
"ENSG00000008710"	4236.28	6096.32	5761.52	3940.28	3741.17	170.69	3701.43	3799.01	4626.48	6259.46	2952.21	3546.16	4057.46	2731.76	2933.8
"ENSG00000008735"	229	46	34	45	26	8	13	5	0	8	4	34	5	7	4
"ENSG00000008838"	5078	7758	7685	3436	4694	231	2065	545	790	3333	1959	1456	2097	1455	1130
"ENSG00000008853"	1000	462	356	1651	1267	156	285	190	219	901	621	382	520	257	576
"ENSG00000008869"	2845	3536	3493	1943	1952	108	6867	3009	631	5890	4838	3876	7862	3853	2300
"ENSG00000008952"	4896	5898	5499	3277	5416	450	2259	1464	1000	5573	1651	1913	3482	2048	2699
"ENSG00000008988"	23413	27689	28690	20115	24377	5179.99	18133	6030	4556	20317	12397	9712	9526	6628	10428
"ENSG00000009307"	44457	63083	62723	21131	29253	2400	26266	9146	4637	27285	17990	12536	14658	8284	10700
"ENSG00000009335"	7318	8314	8196	2454	3693	302	2238	2188	1173	3710	1561	2078	2547	2226	1588
"ENSG00000009413"	2523	2714	2732	4788	5637	284	3116	2788	724	3552	2852	3312	4298	3454	3627
"ENSG00000009694"	601	257	1008	0	0	0	27	210	6	10	93	90	41	52	59
"ENSG00000009709"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000009724"	20	23	11	0	0	0	0	0	0	3	0	3	0	1	0
"ENSG00000009765"	6	0	0	0	0	8	0	0	0	1	1	0	0	0	0
"ENSG00000009780"	362	441	411	236	338	44	418	183	139	726	430	232	528	256	203
"ENSG00000009790"	2	0	0	1205	1254	154	1103	657	548	1734	1937	2234	2152	1202	1124
"ENSG00000009830"	654	706	749	590	736	62	471	266	440	709	385	441	506	457	184
"ENSG00000009844"	3105	4222	4760	4073	6182	491	1041	573	677	2259	1160	1129	1482	882	1355
"ENSG00000009950"	279	212	167	0	1	0	37	0	0	2	1	37	0	0	0
"ENSG00000009954"	11048	11218	10627	6348	8214	723	2357	1639	2357	5631	1982	1685	2501	2074	2219
"ENSG00000010017"	4939	6335	8326	6683	9562	601	2581	1506	728	2775	1979	1401	2085	1151	1302
"ENSG00000010030"	104	4	4	0	0	0	1	2	33	12	3	4	0	0	36
"ENSG00000010072"	2477	2763	2551	894	1187	124	662	362	108	335	431	479	526	356	299
"ENSG00000010165"	4777	6767	5801	2095	2934	378	593	499	484	1910	555	619	1089	689	762
"ENSG00000010219"	340	226	236	460	528	47	220	109	16	370	239	207	231	129	194
"ENSG00000010244"	15869.84	18691.42	19705.97	12507.59	16496.21	1881	16682.86	6447	3724	11315.98	12582.23	11990	13439	12254	11446
"ENSG00000010256"	7716	9862	10142	8085	11675	683	2521	662	1823	5097	2652	2191	2177	1347	1558
"ENSG00000010270"	1244	1509	1683	1331	1754	150	2065	726	356	2825	1524	1329	1521	695	1445
"ENSG00000010278"	776	337	415	117	31	0	4553	183	159	2422	2361	2734	2493	570	756
"ENSG00000010282"	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000010292"	8364	9977	11275	15222	18386	782	2190	1352	2646	5772	3138	1683	1844	1551	1651
"ENSG00000010295"	15	16	11	310	375	12	863	658	414	369	496	755	558	432	451
"ENSG00000010310"	383	172	298	30	30	3	1	5	0	0	1	2	1	0	9
"ENSG00000010318"	308	353	471	320	453	27	390	266	129	387	362	246	249	160	185
"ENSG00000010319"	6	3	4	428	445	40	5	9	0	3	5	8	0	7	0
"ENSG00000010322"	2443	2396	2886	2109	2293	92	3404	2136	1245	3793	2637	2762	2843	2128	2416
"ENSG00000010327"	46	177	135	9	10	0	607	6741	6569	682	5855	3072	5695	4867	329
"ENSG00000010361"	87	0	55	0	159	0	335	112	198	772	470	238	428	208	170
"ENSG00000010379"	22	13	13	1	1	0	0	2	0	0	0	3	1	2	0
"ENSG00000010404"	3036.41	1402.02	1466.98	1696	2602.41	30.15	11381	3641.09	1682.85	8841.47	14347.38	5424.25	14377.12	4145.65	2073.13
"ENSG00000010438"	2	0	0	0	0	0	0	0	0	0	0	5	1	0	0
"ENSG00000010539"	1482	998	875	1101	1423	339	120	190	77	297	74	81	173	174	116
"ENSG00000010610"	1	2	0	5319	3317	440	2070	262	705	2789	1681	1464	783	247	1040
"ENSG00000010626"	98.12	62.79	83.96	62.27	68.88	10	370.7	57.14	161	309.19	210.95	242.2	293.23	117.71	132.18
"ENSG00000010671"	2466	3394	4017	5815	7747	286	3887	904	671	5019	4139	2911	4306	2338	2448
"ENSG00000010704"	22	56	67	0	0	32	3	1	1	2	3	3	4	2	10
"ENSG00000010803"	968	590	859	1936	2490	236	882	819	386	2396	775	1047	778	865	1711
"ENSG00000010810"	4652	4363	4111	269	634	39	1781	212	328	2228	542	1559	1079	545	1085
"ENSG00000010818"	128	281	908	503	1174	145	1611	3084	660	6712	1059	1516	3588	1515	1573
"ENSG00000010932"	0	0	0	0	0	0	0	1	0	0	2	0	6	1	0
"ENSG00000011007"	4866	5768	5616	1516	2316	191	1274	660	430	1483	846	808	1063	820	693
"ENSG00000011009"	4693	5666	6371	1836	2731	166	720	565	941	2141	963	914	923	533	755
"ENSG00000011021"	1075	881	1241	376	491	18	753	570	222	888	648	750	888	609.02	635
"ENSG00000011028"	1741	1439	1625	7890	7089	463	976	49	165	595	240	908	1612	1070	293
"ENSG00000011052"	411.58	451.07	429.92	487.08	691.29	0	118.21	45.71	58.54	398.68	142.8	97.27	65.44	89.55	56.9
"ENSG00000011083"	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0
"ENSG00000011105"	549	164	168	11	40	0	4	9	4	7	15	3	3	2	18
"ENSG00000011114"	1548	2040	1910	7033	7121	151	1770	1333	458	2415	1193	1541	2964	1806	1066
"ENSG00000011132"	1184	1013	1116	539	682	53	637	290	644	766	468	524	543	307	378
"ENSG00000011143"	754	1126	1097	571	772	112	341	94	99	480	309	236	388	252	194
"ENSG00000011198"	3103	2778	2653	688	755	35	1016	828	417	1699	379	802	331	341	443
"ENSG00000011201"	4	0	0	4696	5089	6	0	0	0	0	0	0	0	0	2
