node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	fPPI_IDH2_vs_IDH1_diff	fPPI_IDH2_vs_IDH1_p.val	Metabolism_pvalue	Metabolism_mean.diff
22307	3	4	0.00316131	5.75676878032629	GNG2	0	1	0	0	1	NA	1.54928564023341	0.00330521211851462	NA	NA
19397	3	21	0.00226229	6.09137770437758	CDC42	0	1	0	0	1	NA	0.559139345238105	0.0141850168723359	NA	NA
20980	3	6	0.0018935	6.26932831062242	DYNLL1	0	1	0	0	1	NA	-0.439570952380951	0.0178738324428833	NA	NA
22289	3	4	0.00154133	6.47510959891227	GNAQ	0	1	0	0	1	NA	0.653244166666671	0.0079552405767088	NA	NA
20104	3	24	0.00149928	6.50277028611085	CRK	0	1	0	0	1	NA	-0.733854894954879	0.0186930915248633	NA	NA
33328	3	47	0.0014685	6.5235138073256	NR3C1	0	1	17	1.99625749574893	0.0459059020031103	0.753810833326529	-0.40538934523809	0.0116655366616039	NA	NA
37781	3	55	0.00132577	6.62576185626033	SUZ12	0	1	0	0	1	NA	-0.390620119047618	0.0466303527528486	NA	NA
23638	3	15	0.00106381	6.84589847543703	ITGB2	0	1	0	0	1	NA	0.789317440476193	0.0267325837807953	NA	NA
35208	3	74	0.00104773	6.86112935986431	RBBP4	0	1	0	0	1	NA	-0.345145416666661	0.0421251328498682	NA	NA
35994	3	12	0.00103909	6.86940994886481	RPA3	0	1	0	0	1	NA	-0.357994940476178	0.0432318953907159	NA	NA
22290	3	4	0.00099059	6.91720983275308	GNAS	0	1	0	0	1	NA	0.354437916666669	0.0262864549034966	NA	NA
33756	3	12	0.000988865	6.91895273717543	PARP1	0	1	0	0	1	NA	-0.463437738095237	0.0434107681221194	NA	NA
37708	3	6	0.000970312	6.93789288870042	STX5	0	1	0	0	1	NA	-0.670175995996336	0.00363380895155827	NA	NA
32156	3	12	0.000970066	6.93814644754443	MCM2	0	1	0	0	1	NA	-0.523244107142858	0.0363292813520037	NA	NA
20156	3	34	0.000914071	6.99760230900194	CSNK2A1	0	1	0	0	1	NA	-0.355457797619049	0.0053361816884832	NA	NA
24569	3	84	0.000861327	7.0570363346981	MAP2K1	0	1	0	0	1	NA	0.725796249999995	0.0264253216123205	NA	NA
