Gene1	Gene2	Annotation	Direction	Score	weight	Scaled_weight
RNF40	UBB	complex; input	-	1	15311.0433332686	1
RPL17	RPL18A	catalyze; catalyzed by; complex; input	<->	1	14780.9616482257	0.996343589488475
CUL4A	USP7	complex; input	-	1	14429.8911760566	0.993849056069302
RBM8A	RPL17	complex; input	-	1	14322.6853802628	0.993075197035014
FUBP1	SYNCRIP	predicted	-	0.59	14129.6344593408	0.991666948823524
RPL17	RPLP2	catalyze; catalyzed by; complex; input	<->	1	13942.8488268201	0.990285968812027
PSMC4	PSMD2	complex; predicted	-	1	13900.3210435062	0.989968958963089
HNRNPA2B1	KPNB1	predicted	-	0.59	13882.7638326343	0.989837801361778
RPL15	RPL17	catalyze; catalyzed by; complex; input	<->	1	13637.3904275908	0.987987227249369
HNRNPA2B1	PCBP1	complex; input	-	1	13579.5031897971	0.987545795796853
DDX5	MBNL1	predicted	-	0.98	13412.0818053506	0.986258416683528
MBNL1	SUGP2	predicted	-	0.56	13390.0203323393	0.986087578834589
HNRNPA2B1	RBM8A	complex; input	-	1	13244.0199436697	0.984949847660743
RPL12	RPL17	catalyze; catalyzed by; complex; input	<->	1	13243.6179034912	0.984946697413972
RPL17	RPL36AL	predicted	-	0.65	13224.8202149925	0.984799298407958
NPLOC4	RFC3	complex; input	-	1	13133.9302181954	0.984083630835785
CDC40	HNRNPA2B1	complex; input	-	1	13091.593039908	0.983748575550748
FUBP1	RBM39	predicted	-	0.59	12957.9398641882	0.982683693514193
RPL17	RPL7A	catalyze; catalyzed by; complex; input	<->	1	12873.0929524734	0.982001960732205
CUL4A	RFC3	complex; input	-	1	12865.2701914663	0.981938879887589
HSPA8	PSMC4	predicted	-	0.66	12864.9336598917	0.981936165318255
HNRNPA2B1	HSPA8	complex; input	-	1	12834.3018234774	0.981688781445606
CUL4A	RBBP7	complex	-	1	12749.8650771162	0.981003797906002
RPL17	RPL34	catalyze; catalyzed by; complex; input	<->	1	12744.6575523801	0.980961404060658
RPL14	RPL17	catalyze; catalyzed by; complex; input	<->	1	12662.9521668935	0.980293972531443
RPL17	RPS4X	catalyze; catalyzed by; complex; input	<->	1	12654.3063004028	0.980223094733809
RBM8A	RPL18A	complex; input	-	1	12582.9234100005	0.979636048975117
CUL4A	WDR5	complex	-	1	12574.3281702742	0.979565138047605
PCBP1	RBM8A	complex; input	-	1	12501.6509889854	0.978963604657765
PPP2CA	RPL17	complex; input	-	1	12489.4592746904	0.978862354057061
RPL17	RPS5	catalyze; catalyzed by; complex; input	<->	1	12444.3826094092	0.978487138013278
EFTUD2	HNRNPA2B1	complex; input	-	1	12406.1003363715	0.97816740934798
HSPA8	PSMD2	predicted	-	0.6	12371.5877391618	0.977878317736215
CDC40	PCBP1	complex; input	-	1	12357.7680923826	0.97776233254777
RPL18A	RPLP2	catalyze; catalyzed by; complex; input	<->	1	12249.2252149069	0.976846820752129
RPL17	RPS13	catalyze; catalyzed by; complex; input	<->	1	12140.6466871785	0.975922855484361
HSPA8	PCBP1	complex; input	-	1	12114.8988575108	0.975702538442627
CUL4A	SUMO1	complex	-	1	12079.1055911299	0.975395486222951
CDC40	RBM8A	complex; input	-	1	12052.4679575709	0.97516638441166
RPL17	RPL26	catalyze; catalyzed by; complex; input	<->	1	12034.4462014073	0.975011097671386
RPL17	RPL35	catalyze; catalyzed by; complex; input	<->	1	11983.5731001476	0.974571485182916
RPL15	RPL18A	catalyze; catalyzed by; complex; input	<->	1	11980.8705355714	0.974548079189471
RPL17	RPL8	catalyze; catalyzed by; complex; input	<->	1	11897.6124327969	0.973824410327464
RBM8A	RPLP2	complex; input	-	1	11869.444159349	0.973578428298668
HSPA8	RBM8A	complex; input	-	1	11815.598836117	0.973106590306518
EFTUD2	PCBP1	complex; input	-	1	11710.6994099465	0.972181166345001
RPL17	RPL31	catalyze; catalyzed by; complex; input	<->	1	11707.4234233916	0.972152132244092
CDC40	HSPA8	complex; input	-	1	11679.6117903153	0.971905318196523
RPL12	RPL18A	catalyze; catalyzed by; complex; input	<->	1	11634.9291579485	0.971507549354074
CSNK2A1	SUPT5H	predicted	-	0.73	11631.9743384095	0.971481191459051
RBM8A	RPL15	complex; input	-	1	11609.4096816257	0.97127968673601
PSMC2	PSMC4	complex; predicted	-	1	11604.6477066413	0.971237111760188
HNRNPA2B1	SRSF2	complex; input	-	1	11537.0233550943	0.970630615703286
PSMC4	RPS5	predicted	-	0.66	11534.6396639829	0.970609172511657
CSNK2A1	DDX3X	predicted	-	0.64	11464.2775168536	0.969974205157517
KPNB1	RAN	activated by; complex; input; predicted	<-	1	11446.9015067623	0.969816799240949
EFTUD2	RBM8A	complex; input	-	1	11421.3851841195	0.969585218208892
HNRNPA2B1	HNRNPU	complex; input	-	1	11392.2249708834	0.969319931639223
KPNB1	NUP50	activated by; catalyzed by; complex; input	<-	1	11339.962085263	0.968842763676618
RPL18A	RPL7A	catalyze; catalyzed by; complex; input	<->	1	11309.4114944399	0.968562812672307
HNRNPA2B1	PTBP1	complex; input	-	1	11302.7026966101	0.968501235194646
RPL15	RPLP2	catalyze; catalyzed by; complex; input	<->	1	11301.5289983671	0.968490458513022
CDC40	EFTUD2	complex; input	-	1	11289.9351872387	0.968383946098897
DCTN1	TUBG1	complex; input	-	1	11282.4216835528	0.968314861067394
DEK	MBNL1	predicted	-	0.59	11280.1490728544	0.96829395584389
RBM8A	RPL12	complex; input	-	1	11274.1940421005	0.968239156900613
RPL18A	RPL34	catalyze; catalyzed by; complex; input	<->	1	11196.5770112686	0.96752225600076
PSMC2	PSMD2	complex; predicted	-	1	11159.6313731776	0.967179264178147
RPL14	RPL18A	catalyze; catalyzed by; complex; input	<->	1	11124.7962955392	0.966854824471545
RPL18A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	11117.200633624	0.966783946673911
KPNA1	KPNB1	complex; input; predicted	-	1	11084.9391045927	0.966482362346335
EFTUD2	HSPA8	complex; input	-	1	11068.0522468744	0.966324151993754
CDC73	RNF40	complex; input	-	1	11038.3880373472	0.966045647265134
NPLOC4	VCP	PPrel: binding/association; complex	-	1	11009.1948869452	0.965770833437004
DDX46	HNRNPA2B1	complex; input	-	1	10982.3955085624	0.965517911414723
RPL12	RPLP2	catalyze; catalyzed by; complex; input	<->	1	10975.2032527268	0.965449928677625
PPP2CA	RPL18A	complex; input	-	1	10972.3774078228	0.965423205997163
RBM8A	RPL7A	complex; input	-	1	10958.7688897248	0.965294420218846
ANAPC1	PSMC4	catalyzed by	<-	1	10936.5417845656	0.965083727130253
RPL18A	RPS5	catalyze; catalyzed by; complex; input	<->	1	10932.7761590519	0.965047989953381
RPL17	RPL29	catalyze; catalyzed by; complex; input	<->	1	10919.486927212	0.964921771789208
PCBP1	SRSF2	complex; input	-	1	10890.3369256931	0.964644372700308
COPA	DCTN1	complex; input	-	1	10875.3906769556	0.964501852169181
RBM8A	RPL34	complex; input	-	1	10849.4327828483	0.964253863547299
DDX5	HNRNPA2B1	complex; input	-	1	10842.7378430453	0.964189807221202
NUP50	RBM8A	activate; catalyze; complex; input	->	1	10818.2121246373	0.963954809975583
CUL4A	VCP	predicted	-	0.64	10783.9972086071	0.963626082488808
NPLOC4	UBB	complex; input	-	1	10783.2899468603	0.963619276315606
RBM8A	RPL14	complex; input	-	1	10779.8775920407	0.963586432018084
RBM8A	RPS4X	complex; input	-	1	10772.5174297959	0.96351555422045
HNRNPU	PCBP1	complex; input	-	1	10753.6549461377	0.963333688636244
RPL12	RPL15	catalyze; catalyzed by; complex; input	<->	1	10734.7597064735	0.963151187114967
HNRNPU	SYNCRIP	predicted	-	0.98	10725.7839974411	0.963064381779816
CDC40	NUP50	activated by; input	<-	1	10693.7041138212	0.962753537865588
PCBP1	PTBP1	complex; input	-	1	10669.1506767794	0.962514992191667
RPL7A	RPLP2	catalyze; catalyzed by; complex; input	<->	1	10668.1431519854	0.962505191995859
RPL18A	RPS13	catalyze; catalyzed by; complex; input	<->	1	10665.9347291925	0.962483707424464
RPL17	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	10662.1350458424	0.962446731911683
LEO1	RNF40	complex; input	-	1	10640.6610660424	0.962237516138092
PPP2CA	RBM8A	complex; input	-	1	10632.1843751361	0.962154813543702
COPS4	CUL4A	catalyze; complex	->	1	10629.2720695028	0.962126384497461
RBM8A	SRSF2	complex; input	-	1	10621.2898528961	0.962048424564198
RBM8A	RPS5	complex; input	-	1	10593.8109431287	0.961779597499919
RPL18A	RPL26	catalyze; catalyzed by; complex; input	<->	1	10572.6343080016	0.961571949611488
CUL4A	UBB	catalyze; complex; input	->	1	10562.7132483989	0.96147452536741
RPL34	RPLP2	catalyze; catalyzed by; complex; input	<->	1	10561.7066305498	0.961464635324311
RPL18A	RPL35	catalyze; catalyzed by; complex; input	<->	1	10527.9407104126	0.961132337123018
ANAPC1	PSMD2	catalyzed by	<-	1	10517.1460520303	0.961025879548212
CDC40	SRSF2	complex; input	-	1	10499.0482424849	0.960847152454203
RPL14	RPLP2	catalyze; catalyzed by; complex; input	<->	1	10493.9960382409	0.960797203795097
HNRNPU	RBM8A	complex; input	-	1	10487.9846179496	0.960737740500135
CUL4A	POLR2C	complex; input	-	1	10487.068943223	0.960728679909747
RPLP2	RPS4X	catalyze; catalyzed by; complex; input	<->	1	10486.8310669527	0.960726325997463
DCTN1	TUBB4B	complex	-	1	10469.0176951875	0.960549901321336
RPL18A	RPL8	catalyze; catalyzed by; complex; input	<->	1	10452.4215975627	0.960385262267567
RPL15	RPL7A	catalyze; catalyzed by; complex; input	<->	1	10434.4266446611	0.9602064504332
PTBP1	RBM8A	complex; input	-	1	10405.5680366459	0.959919044055558
DDX3X	DDX5	predicted	-	0.99	10395.1732225928	0.959815325538856
CDC40	HNRNPU	complex; input	-	1	10367.2772323663	0.95953646839014
DDX46	PCBP1	complex; input	-	1	10366.7977136106	0.959531668411744
PPP2CA	RPLP2	complex; input	-	1	10350.2196344887	0.959365585320715
SUPT5H	SUPT6H	complex; input	-	1	10342.5973338475	0.959289134029345
KPNB1	SUMO1	predicted	-	0.58	10339.9552171608	0.95926262058149
RBM8A	RPS13	complex; input	-	1	10335.2427973441	0.959215314971002
RPL15	RPL34	catalyze; catalyzed by; complex; input	<->	1	10330.3219228356	0.959165893761653
HSPA8	PSMC2	predicted	-	0.66	10328.3885915604	0.959146470533313
RPLP2	RPS5	catalyze; catalyzed by; complex; input	<->	1	10312.8638630506	0.958990369276932
RPL17	RPS8	catalyze; catalyzed by; complex; input	<->	1	10301.6505253029	0.95887747285301
CUL4A	RUVBL1	activated by	<-	1	10299.9933412072	0.958860777821995
HSPA8	SRSF2	complex; input	-	1	10292.7087324316	0.958787358349061
RPRD2	SUPT5H	activated by	<-	1	10286.4823997569	0.958724563736973
CDC40	PTBP1	complex; input	-	1	10285.8091926957	0.958717771945563
RPL18A	RPL31	catalyze; catalyzed by; complex; input	<->	1	10285.3346529545	0.958712984184195
RPL14	RPL15	catalyze; catalyzed by; complex; input	<->	1	10264.094726739	0.958498462232439
RPL15	RPS4X	catalyze; catalyzed by; complex; input	<->	1	10257.0867248539	0.958427584434804
DCP1A	RPL17	input	-	1	10252.7806539251	0.958384009506479
RPL17	RPL32	catalyze; catalyzed by; complex; input	<->	1	10252.3946634582	0.958380102614174
RBM8A	RPL26	complex; input	-	1	10244.8351086993	0.958303557158027
DDX5	PCBP1	complex; input	-	1	10234.9682993046	0.958203564218223
LUC7L3	MBNL1	predicted	-	0.65	10231.7297319318	0.958170722678821
HNRNPA2B1	PUF60	complex; input	-	1	10213.6431263752	0.95798711937426
RNF40	WDR61	complex; input	-	1	10211.3218606933	0.957963531876066
HNRNPA2B1	ILF3	predicted	-	0.58	10206.4924739066	0.95791444096464
RBM8A	RPL35	complex; input	-	1	10201.527213583	0.957863944669557
RPL17	RPL3	catalyze; catalyzed by; complex; input	<->	1	10182.9755872418	0.957675058424477
BUB3	PSMC4	catalyzed by	<-	1	10179.2373665609	0.957636955499681
HNRNPA2B1	SNRPA1	complex; input	-	1	10176.9111517866	0.95761323780092
HNRNPU	HSPA8	complex; input	-	1	10163.5274394986	0.957476674284998
EIF6	RPS4X	predicted	-	0.64	10160.4259899613	0.957445002329423
RFC3	USP7	complex; input	-	1	10153.9306569461	0.957378640750243
RPL12	RPL7A	catalyze; catalyzed by; complex; input	<->	1	10133.1380264892	0.957165920597803
RBM8A	RPL8	complex; input	-	1	10128.3495327738	0.957116869814106
PPP2CA	RPL15	complex; input	-	1	10123.4681606335	0.957066843758057
DDX46	RBM8A	complex; input	-	1	10110.6847394981	0.956935720275635
RPL15	RPS5	catalyze; catalyzed by; complex; input	<->	1	10086.9307753291	0.956691627714274
HSPA8	PTBP1	complex; input	-	1	10083.6605045189	0.95665797784042
MBNL1	YBX1	predicted	-	0.64	10083.381801692	0.956655109587051
RPLP2	RPS13	catalyze; catalyzed by; complex; input	<->	1	10061.1529253047	0.956426086748015
RPL12	RPL34	catalyze; catalyzed by; complex; input	<->	1	10032.0392741196	0.956125363926256
STXBP3	XPO1	predicted	-	0.58	10026.6000503082	0.956069083961256
RPL34	RPL36AL	predicted	-	0.65	10017.8000269096	0.955977964920243
RPL10A	RPL17	catalyze; catalyzed by; complex; input	<->	1	10006.7793027741	0.955863738879938
CDC40	DDX46	complex; input	-	1	9994.31974032819	0.95573444816564
EIF6	RPS5	predicted	-	0.64	9991.87355609046	0.955709045608892
DDX5	RBM8A	complex; input	-	1	9982.11218659774	0.955607616082114
RPL26	RPLP2	catalyze; catalyzed by; complex; input	<->	1	9973.14284185386	0.95551432893504
RPL12	RPL14	catalyze; catalyzed by; complex; input	<->	1	9967.72435371159	0.955457932397042
RBM8A	RPL31	complex; input	-	1	9966.44303469022	0.955444591730734
CSNK2A2	SUPT5H	predicted	-	0.73	9964.28940457076	0.955422164987691
RBM39	SRSF2	predicted	-	0.92	9961.37522118181	0.955391810534548
RPL12	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9960.91870421986	0.955387054599407
RPL14	RPL36AL	predicted	-	1	9953.57639362935	0.955310533391028
EFTUD2	SRSF2	complex; input	-	1	9949.3045296792	0.955265986251435
RPL17	RPS17	catalyze; catalyzed by; complex; input	<->	1	9945.70349038878	0.955228419633832
RPL35	RPLP2	catalyze; catalyzed by; complex; input	<->	1	9930.9834689023	0.95507471644657
HNRNPA2B1	SART3	predicted	-	0.92	9925.54237433296	0.955017844071184
HNRNPA2B1	PPIH	complex; input	-	1	9897.18250137014	0.954720910315008
COPG2	DCTN1	complex; input	-	1	9895.75363797358	0.954705927313049
CDC40	DDX5	complex; input	-	1	9867.22694328973	0.954406343972119
RPL8	RPLP2	catalyze; catalyzed by; complex; input	<->	1	9859.74645475792	0.954327641591118
PSMA6	PSMC4	complex; predicted	-	1	9851.52386638247	0.954241062642178
HNRNPA2B1	PRPF3	complex; input	-	1	9843.63517552111	0.954157931486793
RPL15	RPS13	catalyze; catalyzed by; complex; input	<->	1	9840.73429313438	0.954127345185357
PPP2CA	RPL12	complex; input	-	1	9831.15830623573	0.95402631392266
EFTUD2	HNRNPU	complex; input	-	1	9824.43321967332	0.953955302187371
PSMC4	PSMD13	complex; predicted	-	1	9823.51365068199	0.953945588469371
BUB3	KPNB1	predicted	-	0.58	9799.85246723659	0.953695334188978
DDX46	HSPA8	complex; input	-	1	9797.89974197149	0.953674654060498
RPL12	RPS5	catalyze; catalyzed by; complex; input	<->	1	9795.67591884407	0.953651097878877
BUB3	PSMD2	catalyzed by	<-	1	9788.88282889306	0.95357910791764
RPL15	RPL26	catalyze; catalyzed by; complex; input	<->	1	9754.65232491603	0.953215587372381
RPL34	RPL7A	catalyze; catalyzed by; complex; input	<->	1	9751.36665975245	0.953180627244489
EFTUD2	PTBP1	complex; input	-	1	9747.2309516774	0.953136605742794
COPB2	DCTN1	complex; input	-	1	9738.8921723066	0.953047788882731
CUL4A	RBBP5	complex	-	1	9722.29745942878	0.95287081107486
RPL15	RPL35	catalyze; catalyzed by; complex; input	<->	1	9713.41657487212	0.952775974883911
RPL31	RPLP2	catalyze; catalyzed by; complex; input	<->	1	9702.13370498893	0.952655363507746
NUP50	RAN	activate; catalyze; complex; input	->	1	9689.11284948665	0.952515998993843
RPL14	RPL7A	catalyze; catalyzed by; complex; input	<->	1	9688.85111795139	0.952513195715275
RPL7A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9682.23587435652	0.95244231791764
EIF2S3	RPL17	catalyzed by	<-	1	9681.26193351599	0.952431878720112
DDX5	HSPA8	complex; input	-	1	9673.30472043291	0.952346549866977
RPL15	RPL8	catalyze; catalyzed by; complex; input	<->	1	9643.74021340186	0.95202890002846
CCDC124	DCTN1	predicted	-	0.64	9642.80135155014	0.952018796671814
PCBP1	PUF60	complex; input	-	1	9641.13631926572	0.952000876371281
HNRNPA2B1	SNRPD2	complex; input	-	1	9628.50111703824	0.95186478610491
RPL17	RPS12	catalyze; catalyzed by; complex; input	<->	1	9625.34528025237	0.951830767587424
PSMA5	PSMC4	complex	-	1	9623.08938926883	0.951806443248779
DCTN1	DCTN3	complex; input	-	1	9610.45897813609	0.951670149328342
RPL17	RPS7	catalyze; catalyzed by; complex; input	<->	1	9608.55624323954	0.951649601520201
PCBP1	SNRPA1	complex; input	-	1	9606.46328733157	0.951626994797941
CSNK2A1	PPP2CA	inhibite	-|	1	9599.67633327671	0.951553652722822
RPL18A	RPL29	catalyze; catalyzed by; complex; input	<->	1	9593.10799851479	0.95148262372931
TUBB4B	TUBG1	complex; input	-	1	9592.93715202393	0.951480775571939
RPL14	RPL34	catalyze; catalyzed by; complex; input	<->	1	9592.1850351092	0.951472639043727
CSNK2A1	SRSF2	predicted	-	0.97	9589.8397951187	0.951447263743318
PSMC4	VCP	predicted	-	1	9588.69160487213	0.951434838158049
RPL34	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9585.63579208319	0.951401761246093
RPL12	RPS13	catalyze; catalyzed by; complex; input	<->	1	9556.58823145378	0.95108681534996
PPP2CA	RPL7A	complex; input	-	1	9556.10586388866	0.951081577240893
NCOR1	RBBP7	activate; complex; input	->	1	9527.05804638464	0.950765653829553
RPL14	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9524.18274288928	0.950734329716879
RPL7A	RPS5	catalyze; catalyzed by; complex; input	<->	1	9521.61618936037	0.95070636119711
DARS	PSMC4	predicted	-	0.66	9511.76939098495	0.950598987628726
RPL15	RPL31	catalyze; catalyzed by; complex; input	<->	1	9489.58042642696	0.950356621945088
RNF40	UBE2I	predicted	-	0.64	9483.17158249667	0.950286513920538
PSMA6	PSMD2	complex; predicted	-	1	9473.73652282191	0.950183215060138
RPL12	RPL26	catalyze; catalyzed by; complex; input	<->	1	9472.99183509647	0.950175057536984
KPNA1	RAN	predicted	-	0.64	9471.21560958861	0.95015559766356
DDX46	EFTUD2	complex; input	-	1	9471.00426314212	0.950153281962871
PPP2CA	RPL34	complex; input	-	1	9460.76418613537	0.950041020569345
CPSF2	HNRNPA2B1	complex; input	-	1	9453.85966799807	0.949965258115408
COPS4	PSMC4	predicted	-	0.66	9451.11630568643	0.949935140166702
