TF	nes_1	pval_1	nes_3	pval_3	combine_nes	fisher_pval
GRHL1	2.69107424567837	0.00712223422635928	2.95206449008623	0.00315656997599442	-2.36327933576977	0.000263100438220599
KLF11	3.05806161705774	0.00222773764283521	2.35635352472719	0.0184553444506169	1.53283240459022	0.00045632756306321
ZNF626	-3.08153818692747	0.00205934060073819	-1.26995928184261	0.20409913464496	1.43183337972832	0.00368801482934577
MXD3	1.48024750327666	0.138807207413426	2.95413145445285	0.0031355041411766	-2.0099397230852	0.00380375618623441
GATA1	2.07555203236053	0.037935401771219	2.46367068886826	0.0137522398102235	-2.32714510614879	0.00446490196937157
HOXB5	2.1861971914574	0.02880118166341	2.34612970988071	0.0189695046375149	-1.44775187337702	0.00465062425055582
ZSCAN29	-2.39059692138619	0.0168210087304418	-2.10430640181989	0.0353517279891911	1.34765982431658	0.00501144802408175
NFIA	1.71552082993049	0.0862497797415101	2.67201823817956	0.0075396550461716	2.35864638069466	0.00542220426035388
YY1	-2.74531783474213	0.00604523186811168	-1.49188497210798	0.135729302941809	1.06847547765783	0.00665074939745331
SOX6	1.9544043606959	0.0506534154085961	2.39829296253044	0.016471685247846	1.26362557147553	0.00674891787239102
ZNF808	-2.69795065052226	0.00697677823766252	-1.49244586792253	0.135582298174408	2.035575334942	0.00753274756434529
HEY2	1.3066741649862	0.191323396473543	2.77757264775811	0.00547665957606437	1.61161371291	0.00823691129913186
FOXR1	-0.369459908622588	0.711784950860504	-3.16466774326892	0.00155260137134688	1.15777136027328	0.00862854579498471
YBX2	-1.57879879632586	0.114382214792263	-2.51297843212478	0.0119716653684847	-1.40987636702103	0.0103980194367585
FOXO3	1.60888432820952	0.107641636909576	2.46709910001	0.0136212653944937	-2.16517279964204	0.0110333740009417
KLF6	2.72253262754152	0.00647836359661769	1.14647371367411	0.251599197604634	-1.11848004181484	0.0120929416711308
ZKSCAN5	-0.870746042657612	0.383892832525393	-2.8447919584758	0.00444404381187116	-1.22248853276459	0.0125796011957749
RCAN3	0	1	3.13154047347044	0.00173891815751188	-1.34563723233555	0.0127888598653189
TAS1R1	0	1	-3.12997491298132	0.00174821232320284	1.29289073920078	0.012847894774265
KLF1	-1.84871676158335	0.0644987220828698	-2.15581318126543	0.0310982558049155	-1.78041726636669	0.0144652385979019
APOE	0	1	3.08749747942176	0.00201849483514923	-1.44410791047062	0.0145440690967947
USP16	0	1	-3.07589057178584	0.00209874854537221	1.39989500688422	0.0150405010475786
PRKCB	0	1	-3.07202883417602	0.00212609186622391	1.12739595482389	0.0152089339340248
TFCP2L1	-2.05260712939027	0.0401106955506063	-1.93443479401778	0.0530596919595921	-2.08492896675937	0.0152222814511362
NDST1	0	1	3.06733275825424	0.00215978280157142	-1.53520382022085	0.0154159845455213
PRKG1	0	1	3.05310819188299	0.00226484265973243	1.40779914109192	0.0160583006418092
HTR2A	0	1	3.05163550494419	0.00227598292792842	-1.07059342021502	0.0161261203065945
MAP2K4	0	1	3.04948863196144	0.00229231308313809	1.93423787604954	0.0162254364618559
HOXA10	-2.08407682886623	0.037153179357998	-1.86343758657519	0.0624007259996492	-1.16627132568103	0.0163837611356738
GTF2IRD1	-2.66088620547305	0.00779352916026444	-1.04173406433468	0.297534991179444	-0.76511078448118	0.0163865655967803
ELL3	0	1	3.0387720444342	0.0023754452325472	-1.45668281111151	0.0167292402642873
ETV3	1.6950956019123	0.0900572864317451	2.21503271326028	0.0267578192189123	1.43048368819015	0.0169362018752434
SIRT3	0	1	-3.02059064053331	0.00252282185446957	-2.06256227364682	0.0176152938478489
