TF	nes_K_reg	pval_K_reg	nes_TC_Reg	pval_TC_Reg	nes_TUH_Reg	pval_TUH_Reg	nes_Ver_Reg	pval_Ver_Reg	combine_nes	fisher_pval
F2RL1	-2.99871223838703	0.00271123246543672	2.096489417415	0.0360387977130684	2.58770346804742	0.00966181152318269	3.80534122833316	0.000141608828739754	1.37270546885214	2.99572853248997e-07
MPL	-2.03693276130887	0.0416567805337818	0.977274998338557	0.328433027193523	2.9599146611299	0.00307724270787017	3.40217509129222	0.000668517929250885	1.32560799736295	2.94228826480814e-05
ZNF804A	-2.05907338075986	0.0394872094175508	2.37245694113468	0.0176702226070402	2.62936875033081	0.00855435459194952	-2.62367415931648	0.00869869597356379	0.0797695378472876	4.90647133919397e-05
BCL9	2.40764068889756	0.0160559745127218	0.50151547121697	0.61600839230564	2.77169212111469	0.00557657533963796	3.22459621216935	0.00126150459506182	2.22636112334964	6.25772105045588e-05
RTKN	-2.29731089189097	0.0216010409006614	2.48000784967603	0.0131379490398689	1.19540487672867	0.23192888123676	3.25983115262166	0.00111478557536593	1.15948324678385	6.53953925173833e-05
HPGDS	-1.0044853687019	0.315144720113397	-1.07850852164507	0.280806880884376	2.9932514616364	0.0027602222234073	3.57393730941193	0.000351653157729261	1.12104872017534	7.45117283580197e-05
ERG	-1.20737281057619	0.227288601696957	1.86841998168093	0.0617035540361212	2.72500414039748	0.00643006807140212	3.25422364885186	0.00113702726479018	1.66006874008852	8.62563168515712e-05
ADNP	-0.442300644888184	0.65827166435128	2.90390420580204	0.00368540903123001	2.55649082028972	0.0105733860838091	2.85669665862408	0.00428074728263177	1.96869775995691	9.12739552780964e-05
MED28	-2.33526628868831	0.0195295140993288	-0.920174705178362	0.357481470426046	2.28030269126593	0.0225897423030872	3.38395222278306	0.000714504352500723	0.60220348004558	9.32429990278242e-05
RAB39B	-1.69391736843921	0.0902809860541394	-0.386791836572984	0.698910321229843	3.01877975384282	0.00253794962707915	3.37364034510168	0.000741812205479836	1.07792772348308	9.739251734933e-05
ARTN	-1.92417803661236	0.0543322711569716	0.599703144414471	0.548704092286394	-3.1156595609792	0.00183534024771636	-3.02341388333594	0.00249940153624119	-1.86588708412826	0.000109367422002386
SRGAP1	-0.997173611189548	0.318680247533586	1.06896335724497	0.285086181012324	-2.90584044439041	0.00366268164373649	-3.5136590593671	0.000441979707443847	-1.58692743942552	0.000116108407741032
AIFM3	-1.23022274866443	0.218613703399131	0.768174569438336	0.442383479700662	-3.05826580553289	0.0022262201348827	-3.37796206767683	0.000730251531188798	-1.72456901310895	0.000122653464512559
GNB2	-1.02905265137811	0.303454934070118	2.41720503474811	0.0156402044076555	-2.83160121931272	0.00463155718038583	-2.68663861952637	0.0072174993105779	-1.03252186386727	0.00012356925776761
ZNF608	-0.982692960680303	0.325758576283784	0.712106170904235	0.47639903330073	2.59777358384975	0.00938303407717832	3.83726740610245	0.000124410977077255	1.54111355004403	0.00013778088770919
KIT	-1.99942184120577	0.0455627307058514	0.86904280667662	0.384823717483727	2.61754776689101	0.00885640918367571	3.16620212262811	0.00154443437149026	1.16334271374749	0.000173334299034196
NEDD4	0.0108786361442208	0.991320275378208	1.75169598144339	0.079826098261907	3.08598740249141	0.00202877417339519	3.17195660234697	0.0015141563213066	2.0051296556065	0.000175256505713233
PRKCQ	0.211322383574043	0.832635717732204	2.00461017248578	0.0450047382881945	3.01641847318947	0.00255779989940294	2.98116949738443	0.002871498120431	2.05338013165843	0.000193942712332623
ZNF503	-1.07088453052568	0.284221352350191	0.725142732430531	0.468364471135182	-2.9525584422259	0.00315152407687193	-3.39723098500141	0.000680714813439779	-1.67388280633061	0.000199868786724907
ZNF721	-2.47168658281439	0.0134477355916494	0.187899933955675	0.85095509451106	1.59613518712312	0.110458614147612	3.68630676038043	0.000227532064909601	0.749663824661209	0.000201023853612944
DLX4	0.255556461740774	0.798293340669639	0.976511446305175	0.328811078431182	-3.04009067002927	0.00236506936155325	-3.48074010734667	0.000500030421230298	-1.3221907173325	0.000213915790636961
ZBTB8A	0.701973558136453	0.48269565361725	1.4219962446701	0.155027341125267	2.98342580263765	0.00285041137644442	3.17207472338975	0.00151354057678871	2.06986758220849	0.000220852595791087
