	Gene1	Gene2	Annotation	Direction	Score
1	A2M	STAT3	expression regulated by	<-	1
2	AAAS	HMGA1	complex; input	-	1
3	AAAS	PSIP1	complex; input	-	1
4	AAAS	SUMO2	catalyze	->	1
5	AAAS	THOC3	activate; input	->	1
6	AAG1	CASP6	activated by	<-	1
7	AAK1	VAMP8	complex; input	-	1
8	AARS	ACTA2	predicted	-	0.58
9	AARS	ASNS	predicted	-	0.58
10	AARS	CEBPB	expression regulated by	<-	1
11	AARS	HSP90AB1	predicted	-	0.99
12	AARS	IARS	predicted	-	0.98
13	AARS	ISG15	predicted	-	0.77
14	AARS	NTRK1	predicted	-	0.64
15	AATK	SRC	predicted	-	0.97
16	ABAT	ALDH5A1	predicted	-	0.64
17	ABCB1	CEBPB	expression regulated by	<-	1
18	ABCB7	NUBP2	activate	->	1
19	ABCC1	NTRK1	predicted	-	0.64
20	ABCD1	ABCD2	complex; predicted	-	1
21	ABCD1	ABCD3	complex; predicted	-	1
22	ABCD1	ABCD4	predicted	-	0.98
23	ABCD1	ALD	predicted	-	0.98
24	ABCD1	PEX19	complex; input	-	1
25	ABCD1	PEX3	complex; input	-	1
26	ABCD1	SLC27A2	predicted	-	0.64
27	ABCE1	LRPPRC	predicted	-	0.59
28	ABHD14B	CTCF	expression regulated by	<-	1
29	ABHD14B	TAF1	predicted	-	0.64
30	ABI1	BRK1	complex	-	1
31	ABI1	SRC	predicted	-	0.64
32	ABI2	BRK1	PPrel: inhibition; complex	-|	1
33	ABL1	BRK1	activate; catalyze	->	1
34	ABL1	ITGB2	predicted	-	0.99
35	ABL1	NCK1	predicted	-	1
36	ABL1	SNCA	predicted	-	0.99
37	ABL1	SRC	activated by	<-	1
38	ABL1	STAT5B	PPrel: activation	->	1
39	ABL2	ITGB2	predicted	-	0.54
40	ABL2	NCK1	predicted	-	0.99
41	ABL2	SRC	predicted	-	0.64
42	ABL2	STAT3	expression regulated by	<-	1
43	ABLIM1	NCK1	complex; input	-	1
44	ABLIM1	SRC	complex; input	-	1
45	ABLIM2	NCK1	complex; input	-	1
46	ABLIM2	SRC	complex; input	-	1
47	ABLIM3	NCK1	complex; input	-	1
48	ABLIM3	SRC	complex; input	-	1
49	ABRAXAS1	H2AFX	complex; input	-	1
50	ABRAXAS1	SUMO2	catalyze; complex; input	->	1
51	ABT1	CEBPB	expression regulated by	<-	1
52	ACAA2	ACAT1	predicted	-	0.98
53	ACAD8	ACADSB	predicted	-	0.98
54	ACAD8	CYP2C18	predicted	-	0.64
55	ACAD8	LDHD	predicted	-	0.64
56	ACAD9	COA1	predicted	-	0.64
57	ACAD9	ECSIT	complex	-	1
58	ACAD9	MT-ND1	complex; input	-	1
59	ACAD9	MT-ND2	complex; input	-	1
60	ACAD9	MT-ND3	complex; input	-	1
61	ACAD9	MT-ND4	complex; input	-	1
62	ACAD9	MT-ND5	complex; input	-	1
63	ACAD9	MT-ND6	complex; input	-	1
64	ACAD9	NDUFA1	complex; input	-	1
65	ACAD9	NDUFA10	complex; input	-	1
66	ACAD9	NDUFA11	complex; input	-	1
67	ACAD9	NDUFA12	complex; input	-	1
68	ACAD9	NDUFA13	complex; input	-	1
69	ACAD9	NDUFA2	complex; input	-	1
70	ACAD9	NDUFA3	complex; input	-	1
71	ACAD9	NDUFA5	complex; input	-	1
72	ACAD9	NDUFA6	complex; input	-	1
73	ACAD9	NDUFA7	complex; input	-	1
74	ACAD9	NDUFA8	complex; input	-	1
75	ACAD9	NDUFA9	complex; input	-	1
76	ACAD9	NDUFAB1	complex; input	-	1
77	ACAD9	NDUFAF1	complex	-	1
78	ACAD9	NDUFAF2	complex; input	-	1
79	ACAD9	NDUFAF3	complex; input	-	1
80	ACAD9	NDUFAF4	complex; input	-	1
81	ACAD9	NDUFAF5	complex; input	-	1
82	ACAD9	NDUFAF6	complex; input	-	1
83	ACAD9	NDUFAF7	complex; input	-	1
84	ACAD9	NDUFB1	complex; input	-	1
85	ACAD9	NDUFB10	complex; input	-	1
86	ACAD9	NDUFB11	complex; input	-	1
87	ACAD9	NDUFB2	complex; input	-	1
88	ACAD9	NDUFB3	complex; input	-	1
89	ACAD9	NDUFB4	complex; input	-	1
90	ACAD9	NDUFB5	complex; input	-	1
91	ACAD9	NDUFB6	complex; input	-	1
92	ACAD9	NDUFB7	complex; input	-	1
93	ACAD9	NDUFB8	complex; input	-	1
94	ACAD9	NDUFB9	complex; input	-	1
95	ACAD9	NDUFC1	complex; input	-	1
96	ACAD9	NDUFC2	complex; input	-	1
97	ACAD9	NDUFS1	complex; input	-	1
98	ACAD9	NDUFS2	complex; input	-	1
99	ACAD9	NDUFS3	complex; input	-	1
100	ACAD9	NDUFS4	complex; input	-	1
