	Gene1	Gene2	Annotation	Direction	Score	edge
1	16-5-5	CDC42	predicted	-	0.98	16-5-5_CDC42
10	A2M	CDC42	catalyze	->	1	A2M_CDC42
59	AAAS	AGO2	catalyze	->	1	AAAS_AGO2
70	AAAS	CHTOP	activate; input	->	1	AAAS_CHTOP
95	AAAS	GLE1	reaction	-	1	AAAS_GLE1
116	AAAS	NDC1	catalyze; catalyzed by; complex; input	<->	1	AAAS_NDC1
157	AAAS	SARNP	activate; input	->	1	AAAS_SARNP
177	AAAS	SRSF4	activate; input	->	1	AAAS_SRSF4
179	AAAS	SRSF6	activate; input	->	1	AAAS_SRSF6
217	AAG1	EIF4A1	PPrel: binding/association; complex; input	-	1	AAG1_EIF4A1
238	AAK1	ARPC2	complex; input	-	1	AAK1_ARPC2
286	AAK1	IGF2R	complex; input	-	1	AAK1_IGF2R
306	AAK1	SH3KBP1	complex; input	-	1	AAK1_SH3KBP1
364	AATF	KRR1	predicted	-	0.73	AATF_KRR1
403	ABCA1	SP3	expression regulated by	<-	1	ABCA1_SP3
407	ABCA1	USF2	expression regulated by	<-	1	ABCA1_USF2
411	ABCA2	SP3	expression regulated by	<-	1	ABCA2_SP3
594	ABI1	ARPC2	PPrel: activation; activate; complex; input	->	1	ABI1_ARPC2
640	ABI1	WASF2	activate; complex	->	1	ABI1_WASF2
648	ABI2	ARPC2	activate	->	1	ABI2_ARPC2
697	ABL1	C3	predicted	-	0.64	ABL1_C3
711	ABL1	CDC42	complex; input	-	1	ABL1_CDC42
725	ABL1	CRK	PPrel: activated by; PPrel: activation, phosphorylation	<->	1	ABL1_CRK
777	ABL1	GPX1	predicted	-	0.64	ABL1_GPX1
781	ABL1	HCK	activated by	<-	1	ABL1_HCK
810	ABL1	MAVS	predicted	-	0.64	ABL1_MAVS
875	ABL1	RUNX2	activate	->	1	ABL1_RUNX2
918	ABL1	USF2	expression regulated by	<-	1	ABL1_USF2
921	ABL1	WASF2	activate; catalyze	->	1	ABL1_WASF2
941	ABL2	CRK	PPrel: activated by	<-	1	ABL2_CRK
980	ABLIM1	CDC42	PPrel: activated by	<-	1	ABLIM1_CDC42
993	ABLIM2	CDC42	PPrel: activated by	<-	1	ABLIM2_CDC42
1005	ABLIM3	CDC42	PPrel: activated by	<-	1	ABLIM3_CDC42
1021	ABR	CDC42	catalyze	->	1	ABR_CDC42
1055	ABRAXAS1	KAT5	complex; input	-	1	ABRAXAS1_KAT5
1087	ABT1	ATF3	expression regulated by	<-	1	ABT1_ATF3
1089	ABT1	GTF2B	expression regulated by	<-	1	ABT1_GTF2B
1090	ABT1	KRR1	predicted	-	0.73	ABT1_KRR1
1091	ABT1	SPI1	expression regulated by	<-	1	ABT1_SPI1
1092	ABT1	TBP	predicted	-	0.99	ABT1_TBP
1115	ACAA2	P4HB	predicted	-	0.64	ACAA2_P4HB
1130	ACACA	SP3	expression regulated by	<-	1	ACACA_SP3
1133	ACACA	USF2	expression regulated by	<-	1	ACACA_USF2
1134	ACACB	CPT1A	PPrel: compound	-	1	ACACB_CPT1A
1257	ACAN	MMP9	catalyzed by	<-	1	ACAN_MMP9
1297	ACAP2	SP3	predicted	-	0.59	ACAP2_SP3
1502	ACKR3	GNAI2	complex; input	-	1	ACKR3_GNAI2
1577	ACLY	MORC2	activated by	<-	1	ACLY_MORC2
1616	ACOT13	PCTP	activated by	<-	1	ACOT13_PCTP
1703	ACSBG1	CPT1A	PPrel: compound	-	1	ACSBG1_CPT1A
1711	ACSBG2	CPT1A	PPrel: compound	-	1	ACSBG2_CPT1A
1719	ACSL1	CPT1A	PPrel: compound	-	1	ACSL1_CPT1A
1728	ACSL3	CPT1A	PPrel: compound	-	1	ACSL3_CPT1A
1737	ACSL4	CPT1A	PPrel: compound	-	1	ACSL4_CPT1A
1745	ACSL5	CPT1A	PPrel: compound	-	1	ACSL5_CPT1A
1753	ACSL6	CPT1A	PPrel: compound	-	1	ACSL6_CPT1A
1763	ACSS1	SIRT3	activated by	<-	1	ACSS1_SIRT3
1777	ACTA1	CDC42	activated by	<-	1	ACTA1_CDC42
1795	ACTA1	HTT	catalyzed by; complex; input	<-	1	ACTA1_HTT
1816	ACTA1	MMP9	catalyzed by	<-	1	ACTA1_MMP9
1858	ACTA2	CDC42	activated by	<-	1	ACTA2_CDC42
1873	ACTA2	HTT	catalyzed by; complex; input	<-	1	ACTA2_HTT
1897	ACTA2	MMP9	catalyzed by	<-	1	ACTA2_MMP9
1929	ACTA2	RPS15A	predicted	-	0.64	ACTA2_RPS15A
1975	ACTB	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1	ACTB_ARPC2
1987	ACTB	BRD7	complex	-	1	ACTB_BRD7
2007	ACTB	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1	ACTB_CDC42
2075	ACTB	DDB2	activate	->	1	ACTB_DDB2
2122	ACTB	HSPA5	predicted	-	0.64	ACTB_HSPA5
2124	ACTB	HTT	catalyzed by; complex; input	<-	1	ACTB_HTT
2154	ACTB	ITGAM	complex; input	-	1	ACTB_ITGAM
2170	ACTB	KAT5	complex	-	1	ACTB_KAT5
2202	ACTB	MMP9	catalyzed by	<-	1	ACTB_MMP9
2274	ACTB	POLR1C	input	-	1	ACTB_POLR1C
2359	ACTB	WASF2	PPrel: activated by; complex; input	<-	1	ACTB_WASF2
2386	ACTBL2	CDC42	activated by	<-	1	ACTBL2_CDC42
2430	ACTBL2	HTT	catalyzed by; complex; input	<-	1	ACTBL2_HTT
2447	ACTBL2	ITGAM	complex; input	-	1	ACTBL2_ITGAM
2480	ACTBL2	MMP9	catalyzed by	<-	1	ACTBL2_MMP9
2517	ACTC1	CDC42	activated by	<-	1	ACTC1_CDC42
2534	ACTC1	HTT	catalyzed by; complex; input	<-	1	ACTC1_HTT
2555	ACTC1	MMP9	catalyzed by	<-	1	ACTC1_MMP9
2611	ACTG1	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1	ACTG1_ARPC2
2617	ACTG1	BRD7	complex	-	1	ACTG1_BRD7
2626	ACTG1	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1	ACTG1_CDC42
2683	ACTG1	EIF4A1	predicted	-	0.59	ACTG1_EIF4A1
2699	ACTG1	HTT	catalyzed by; complex; input	<-	1	ACTG1_HTT
2720	ACTG1	ITGAM	complex; input	-	1	ACTG1_ITGAM
2760	ACTG1	MMP9	catalyzed by	<-	1	ACTG1_MMP9
2872	ACTG1	WASF2	PPrel: activated by; complex; input	<-	1	ACTG1_WASF2
2888	ACTG2	CDC42	activated by	<-	1	ACTG2_CDC42
2900	ACTG2	HTT	catalyzed by; complex; input	<-	1	ACTG2_HTT
2923	ACTG2	MMP9	catalyzed by	<-	1	ACTG2_MMP9
2968	ACTL6A	BRD7	complex	-	1	ACTL6A_BRD7
2988	ACTL6A	DDB2	activate	->	1	ACTL6A_DDB2
3014	ACTL6A	KAT5	complex; input	-	1	ACTL6A_KAT5
3048	ACTL6A	SNW1	reaction	-	1	ACTL6A_SNW1
3066	ACTL6B	BRD7	complex	-	1	ACTL6B_BRD7
3164	ACTN1	ITGAM	complex; input	-	1	ACTN1_ITGAM
3302	ACTN2	ITGAM	complex; input	-	1	ACTN2_ITGAM
3418	ACTN3	FBP1	predicted	-	0.64	ACTN3_FBP1
3438	ACTN3	ITGAM	complex; input	-	1	ACTN3_ITGAM
3561	ACTN4	ITGAM	complex; input	-	1	ACTN4_ITGAM
3623	ACTR10	ARCN1	complex; input	-	1	ACTR10_ARCN1
3636	ACTR10	COG4	input	-	1	ACTR10_COG4
3709	ACTR10	RAB1B	complex; input	-	1	ACTR10_RAB1B
3740	ACTR1A	ARCN1	complex; input	-	1	ACTR1A_ARCN1
3788	ACTR1A	COG4	input	-	1	ACTR1A_COG4
3916	ACTR1A	RAB1B	complex; input	-	1	ACTR1A_RAB1B
4052	ACTR2	ARPC2	complex	-	1	ACTR2_ARPC2
4076	ACTR2	CDC42	activated by; complex; input	<-	1	ACTR2_CDC42
4125	ACTR2	HTT	catalyzed by; complex; input	<-	1	ACTR2_HTT
4127	ACTR2	IGF2R	complex; input	-	1	ACTR2_IGF2R
4218	ACTR2	MMP9	catalyzed by	<-	1	ACTR2_MMP9
4252	ACTR2	SH3KBP1	complex; input	-	1	ACTR2_SH3KBP1
4306	ACTR2	WASF2	PPrel: activated by; activated by; complex; input	<-	1	ACTR2_WASF2
4327	ACTR3	ARPC2	complex	-	1	ACTR3_ARPC2
4351	ACTR3	CDC42	complex; input	-	1	ACTR3_CDC42
4390	ACTR3	IGF2R	complex; input	-	1	ACTR3_IGF2R
4492	ACTR3	SH3KBP1	complex; input	-	1	ACTR3_SH3KBP1
4545	ACTR3	WASF2	PPrel: activated by; activated by; complex; input	<-	1	ACTR3_WASF2
4557	ACTR3B	ARPC2	predicted	-	0.98	ACTR3B_ARPC2
4565	ACTR3B	WASF2	PPrel: activated by	<-	1	ACTR3B_WASF2
4571	ACTR3C	WASF2	PPrel: activated by	<-	1	ACTR3C_WASF2
4587	ACTR5	DDB2	activate	->	1	ACTR5_DDB2
4619	ACTR8	DDB2	activate	->	1	ACTR8_DDB2
4688	ACVR1	NCF2	PPrel: activation, indirect effect	->	1	ACVR1_NCF2
4859	ACVR2A	NCF2	PPrel: activation, indirect effect	->	1	ACVR2A_NCF2
4925	ACVR2B	NCF2	PPrel: activation, indirect effect	->	1	ACVR2B_NCF2
