	Gene1	Gene2	Annotation	Direction	Score
1	16-5-5	CDC42	predicted	-	0.98
2	A2M	CDC42	catalyze	->	1
3	A2M	RHOG	catalyze	->	1
4	AAAS	AGO2	catalyze	->	1
5	AAAS	CHTOP	activate; input	->	1
6	AAAS	DYNLL1	input	-	1
7	AAAS	FIP1L1	activate	->	1
8	AAAS	SARNP	activate; input	->	1
9	AAAS	SRSF4	activate; input	->	1
10	AAAS	SRSF6	activate; input	->	1
11	AAAS	UPF3B	activate; catalyze; complex; input	->	1
12	AAG1	EIF4A1	PPrel: binding/association; complex; input	-	1
13	AAK1	ARF6	activated by	<-	1
14	AAK1	ARPC2	complex; input	-	1
15	AAK1	CLTB	complex; input	-	1
16	AATF	AR	predicted	-	0.64
17	AATF	ATM	predicted	-	0.64
18	AATF	ATR	predicted	-	0.64
19	AATF	CHEK1	predicted	-	0.64
20	AATF	CHEK2	predicted	-	0.64
21	AATF	DAPK3	predicted	-	0.64
22	AATF	E2F1	complex; input	-	1
23	AATF	E2F2	complex; input	-	1
24	AATF	E2F3	complex; input	-	1
25	AATF	E2F6	expression regulated by	<-	1
26	AATF	ELF1	expression regulated by	<-	1
27	AATF	ESF1	predicted	-	0.73
28	AATF	FOXP3	predicted	-	0.54
29	AATF	HDAC1	input	-	1
30	AATF	KRR1	predicted	-	0.73
31	AATF	MAGED1	complex; input	-	1
32	AATF	MAPKAPK2	predicted	-	0.64
33	AATF	MAX	expression regulated by	<-	1
34	AATF	NGDN	predicted	-	0.73
35	AATF	NGF	complex; input	-	1
36	AATF	NGFR	complex; input	-	1
37	AATF	PAWR	predicted	-	0.77
38	AATF	PIN1	predicted	-	0.64
39	AATF	RB1	complex; input	-	1
40	AATF	RBBP8	predicted	-	0.64
41	AATF	RELA	predicted	-	0.64
42	AATF	RPL10	predicted	-	0.64
43	AATF	SIRT7	predicted	-	0.64
44	AATF	SMAD3	predicted	-	0.64
45	AATF	SP1	predicted	-	0.64
46	AATF	TFDP1	complex; input	-	1
47	AATF	USF1	expression regulated by	<-	1
48	AATF	XPO1	predicted	-	0.99
49	ABCE1	DYNLL1	predicted	-	0.64
50	ABCE1	IQGAP1	predicted	-	0.64
51	ABI1	ARPC2	PPrel: activation; activate; complex; input	->	1
52	ABI1	BRK1	complex	-	1
53	ABI1	ITGB1	complex; input	-	1
54	ABI1	WAS	predicted	-	0.54
55	ABI2	ARPC2	activate	->	1
56	ABI2	BRK1	PPrel: inhibition; complex	-|	1
57	ABL1	BRK1	activate; catalyze	->	1
58	ABL1	CDC42	complex; input	-	1
59	ABL1	CRK	PPrel: activated by; PPrel: activation, phosphorylation	<->	1
60	ABL1	ITGB1	predicted	-	0.54
61	ABL1	ITGB2	predicted	-	0.99
62	ABL1	PRKDC	predicted	-	0.64
63	ABL1	PSTPIP1	predicted	-	1
64	ABL1	RUNX2	activate	->	1
65	ABL2	CRK	PPrel: activated by	<-	1
66	ABL2	ITGB1	predicted	-	0.54
67	ABL2	ITGB2	predicted	-	0.54
68	ABL2	PSTPIP1	predicted	-	0.54
69	ABLIM1	CDC42	PPrel: activated by	<-	1
70	ABLIM2	CDC42	PPrel: activated by	<-	1
71	ABLIM3	CDC42	PPrel: activated by	<-	1
72	ABR	CDC42	catalyze	->	1
73	ABR	RHOG	catalyze	->	1
74	ACAA1	HADHA	predicted	-	0.97
75	ACAA1	PEX10	complex; input	-	1
76	ACAA1	PEX12	complex; input	-	1
77	ACAA1	PEX13	complex; input	-	1
78	ACAA1	PEX14	complex; input	-	1
79	ACAA1	PEX2	complex; input	-	1
80	ACAA1	PEX5	complex; input	-	1
81	ACAA1	PEX7	complex; input	-	1
82	ACAA1	PPARA	GErel: expression by	<-	1
83	ACAA1	PPARG	expression regulated by	<-	1
84	ACAA1	RXRA	GErel: expression by	<-	1
85	ACAA1	RXRB	GErel: expression by	<-	1
86	ACAA1	RXRG	GErel: expression by	<-	1
87	ACAA1	TYSND1	catalyzed by	<-	1
88	ACAA2	ACAT1	predicted	-	0.98
89	ACAA2	ECHS1	predicted	-	0.92
90	ACAA2	P4HB	predicted	-	0.64
91	ACAN	MMP8	predicted	-	0.64
92	ACAN	MMP9	catalyzed by	<-	1
93	ACAP1	ARF6	activate; activated by; complex	<->	1
94	ACAP1	CORO1A	predicted	-	0.97
95	ACAP1	ITGB1	predicted	-	0.64
96	ACAP2	ARF6	activate	->	1
97	ACAP2	IQGAP1	predicted	-	0.65
98	ACAP2	RAB35	predicted	-	0.97
99	ACAT1	ACAT2	predicted	-	0.98
100	ACAT1	ACO2	predicted	-	0.64
101	ACAT1	DLD	predicted	-	0.78
102	ACAT1	HADHA	predicted	-	0.97
103	ACAT1	PEX7	predicted	-	0.64
104	ACAT1	RPGRIP1L	predicted	-	0.54
105	ACAT1	XRCC5	predicted	-	0.56
106	ACAT1	XRCC6	predicted	-	0.56
107	ACKR3	GNAI2	complex; input	-	1
108	ACKR3	GNG2	complex; input	-	1
109	ACTA1	CDC42	activated by	<-	1
110	ACTA1	CLTB	complex; input	-	1
111	ACTA1	HTT	catalyzed by; complex; input	<-	1
112	ACTA1	MMP8	catalyzed by	<-	1
113	ACTA1	MMP9	catalyzed by	<-	1
114	ACTA1	RHOG	activated by	<-	1
115	ACTA2	CDC42	activated by	<-	1
116	ACTA2	CLTB	complex; input	-	1
117	ACTA2	HTT	catalyzed by; complex; input	<-	1
118	ACTA2	MMP8	catalyzed by	<-	1
119	ACTA2	MMP9	catalyzed by	<-	1
120	ACTA2	RHOG	activated by	<-	1
121	ACTB	ACTL6A	complex	-	1
122	ACTB	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
123	ACTB	BRD7	complex	-	1
124	ACTB	BRK1	complex; input	-	1
125	ACTB	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
126	ACTB	CLTB	complex; input	-	1
127	ACTB	CORO1A	predicted	-	0.97
128	ACTB	CSNK2B	predicted	-	0.58
129	ACTB	DYNLL1	predicted	-	0.99
130	ACTB	HTT	catalyzed by; complex; input	<-	1
131	ACTB	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
132	ACTB	ITGAM	complex; input	-	1
133	ACTB	ITGB1	PPrel: binding/association; complex; input	-	1
134	ACTB	ITGB2	complex; input	-	1
135	ACTB	MMP8	catalyzed by	<-	1
136	ACTB	MMP9	catalyzed by	<-	1
137	ACTB	PWP1	predicted	-	0.95
138	ACTB	RHOG	activated by	<-	1
139	ACTB	TMSB4X	PPrel: binding/association	-	1
140	ACTB	WAS	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
141	ACTBL2	CDC42	activated by	<-	1
142	ACTBL2	CLTB	complex; input	-	1
143	ACTBL2	HTT	catalyzed by; complex; input	<-	1
144	ACTBL2	ITGAM	complex; input	-	1
145	ACTBL2	ITGB1	complex; input	-	1
146	ACTBL2	ITGB2	complex; input	-	1
147	ACTBL2	MMP8	catalyzed by	<-	1
148	ACTBL2	MMP9	catalyzed by	<-	1
149	ACTBL2	RHOG	activated by	<-	1
150	ACTC1	CDC42	activated by	<-	1
151	ACTC1	CLTB	complex; input	-	1
152	ACTC1	HTT	catalyzed by; complex; input	<-	1
