	Gene1	Gene2	Annotation	Direction	Score	edge
1	AAK1	VAMP8	complex; input	-	1	AAK1_VAMP8
2	AARS	CEBPB	expression regulated by	<-	1	AARS_CEBPB
3	ABAT	ALDH5A1	predicted	-	0.64	ABAT_ALDH5A1
4	ABCB1	CEBPB	expression regulated by	<-	1	ABCB1_CEBPB
5	ABCC1	NTRK1	predicted	-	0.64	ABCC1_NTRK1
6	ABCD1	ABCD2	complex; predicted	-	1	ABCD1_ABCD2
7	ABCD1	ABCD3	complex; predicted	-	1	ABCD1_ABCD3
8	ABCD1	ABCD4	predicted	-	0.98	ABCD1_ABCD4
9	ABCD1	ALD	predicted	-	0.98	ABCD1_ALD
10	ABCD1	PEX19	complex; input	-	1	ABCD1_PEX19
11	ABCD1	PEX3	complex; input	-	1	ABCD1_PEX3
12	ABCD1	SLC27A2	predicted	-	0.64	ABCD1_SLC27A2
13	ABT1	CEBPB	expression regulated by	<-	1	ABT1_CEBPB
14	ACAD9	NDUFAF7	complex; input	-	1	ACAD9_NDUFAF7
15	ACTB	ARID1B	complex	-	1	ACTB_ARID1B
16	ACTB	MYO1F	PPrel: binding/association	-	1	ACTB_MYO1F
17	ACTG1	ARID1B	complex	-	1	ACTG1_ARID1B
18	ACTG1	MYO1F	PPrel: binding/association	-	1	ACTG1_MYO1F
19	ACTL6A	ARID1B	complex	-	1	ACTL6A_ARID1B
20	ACTL6B	ARID1B	complex	-	1	ACTL6B_ARID1B
21	ACTR2	VAMP8	complex; input	-	1	ACTR2_VAMP8
22	ACTR3	VAMP8	complex; input	-	1	ACTR3_VAMP8
23	ADAM9	CEBPB	expression regulated by	<-	1	ADAM9_CEBPB
24	ADIPOQ	CEBPB	predicted	-	0.54	ADIPOQ_CEBPB
25	ADIRF	CEBPB	reaction	-	1	ADIRF_CEBPB
26	ADM	CEBPB	expression regulated by	<-	1	ADM_CEBPB
27	AFP	CEBPB	expression regulated by	<-	1	AFP_CEBPB
28	AGO1	AGO2	reaction	-	1	AGO1_AGO2
29	AGO2	DHX36	predicted	-	0.64	AGO2_DHX36
