	Gene1	Gene2	Annotation	Direction	Score	edge
39	A2M	STAT3	expression regulated by	<-	1	A2M_STAT3
98	AAAS	HMGA1	complex; input	-	1	AAAS_HMGA1
150	AAAS	PSIP1	complex; input	-	1	AAAS_PSIP1
183	AAAS	SUMO2	catalyze	->	1	AAAS_SUMO2
188	AAAS	THOC3	activate; input	->	1	AAAS_THOC3
209	AAG1	CASP6	activated by	<-	1	AAG1_CASP6
338	AARS	ACTA2	predicted	-	0.58	AARS_ACTA2
339	AARS	ASNS	predicted	-	0.58	AARS_ASNS
341	AARS	HSP90AB1	predicted	-	0.99	AARS_HSP90AB1
342	AARS	IARS	predicted	-	0.98	AARS_IARS
343	AARS	ISG15	predicted	-	0.77	AARS_ISG15
344	AARS	NTRK1	predicted	-	0.64	AARS_NTRK1
383	AATK	SRC	predicted	-	0.97	AATK_SRC
434	ABCB7	NUBP2	activate	->	1	ABCB7_NUBP2
523	ABCE1	LRPPRC	predicted	-	0.59	ABCE1_LRPPRC
575	ABHD14B	CTCF	expression regulated by	<-	1	ABHD14B_CTCF
576	ABHD14B	TAF1	predicted	-	0.64	ABHD14B_TAF1
600	ABI1	BRK1	complex	-	1	ABI1_BRK1
634	ABI1	SRC	predicted	-	0.64	ABI1_SRC
652	ABI2	BRK1	PPrel: inhibition; complex	-|	1	ABI2_BRK1
695	ABL1	BRK1	activate; catalyze	->	1	ABL1_BRK1
787	ABL1	ITGB2	predicted	-	0.99	ABL1_ITGB2
818	ABL1	NCK1	predicted	-	1	ABL1_NCK1
893	ABL1	SNCA	predicted	-	0.99	ABL1_SNCA
900	ABL1	SRC	activated by	<-	1	ABL1_SRC
905	ABL1	STAT5B	PPrel: activation	->	1	ABL1_STAT5B
955	ABL2	ITGB2	predicted	-	0.54	ABL2_ITGB2
965	ABL2	NCK1	predicted	-	0.99	ABL2_NCK1
976	ABL2	SRC	predicted	-	0.64	ABL2_SRC
977	ABL2	STAT3	expression regulated by	<-	1	ABL2_STAT3
985	ABLIM1	NCK1	complex; input	-	1	ABLIM1_NCK1
991	ABLIM1	SRC	complex; input	-	1	ABLIM1_SRC
997	ABLIM2	NCK1	complex; input	-	1	ABLIM2_NCK1
1003	ABLIM2	SRC	complex; input	-	1	ABLIM2_SRC
1011	ABLIM3	NCK1	complex; input	-	1	ABLIM3_NCK1
1018	ABLIM3	SRC	complex; input	-	1	ABLIM3_SRC
1051	ABRAXAS1	H2AFX	complex; input	-	1	ABRAXAS1_H2AFX
1070	ABRAXAS1	SUMO2	catalyze; complex; input	->	1	ABRAXAS1_SUMO2
1108	ACAA2	ACAT1	predicted	-	0.98	ACAA2_ACAT1
1151	ACAD8	ACADSB	predicted	-	0.98	ACAD8_ACADSB
1152	ACAD8	CYP2C18	predicted	-	0.64	ACAD8_CYP2C18
1153	ACAD8	LDHD	predicted	-	0.64	ACAD8_LDHD
1154	ACAD9	COA1	predicted	-	0.64	ACAD9_COA1
1155	ACAD9	ECSIT	complex	-	1	ACAD9_ECSIT
1156	ACAD9	MT-ND1	complex; input	-	1	ACAD9_MT-ND1
1157	ACAD9	MT-ND2	complex; input	-	1	ACAD9_MT-ND2
1158	ACAD9	MT-ND3	complex; input	-	1	ACAD9_MT-ND3
1159	ACAD9	MT-ND4	complex; input	-	1	ACAD9_MT-ND4
1160	ACAD9	MT-ND5	complex; input	-	1	ACAD9_MT-ND5
1161	ACAD9	MT-ND6	complex; input	-	1	ACAD9_MT-ND6
1162	ACAD9	NDUFA1	complex; input	-	1	ACAD9_NDUFA1
1163	ACAD9	NDUFA10	complex; input	-	1	ACAD9_NDUFA10
1164	ACAD9	NDUFA11	complex; input	-	1	ACAD9_NDUFA11
1165	ACAD9	NDUFA12	complex; input	-	1	ACAD9_NDUFA12
1166	ACAD9	NDUFA13	complex; input	-	1	ACAD9_NDUFA13
1167	ACAD9	NDUFA2	complex; input	-	1	ACAD9_NDUFA2
1168	ACAD9	NDUFA3	complex; input	-	1	ACAD9_NDUFA3
1169	ACAD9	NDUFA5	complex; input	-	1	ACAD9_NDUFA5
1170	ACAD9	NDUFA6	complex; input	-	1	ACAD9_NDUFA6
1171	ACAD9	NDUFA7	complex; input	-	1	ACAD9_NDUFA7
1172	ACAD9	NDUFA8	complex; input	-	1	ACAD9_NDUFA8
