Regulator	Target	MI	pvalue
ZNF732	TULP4	0.8684174065335746	0.012138662686360768
KLF8	NDUFS6	0.9065337483891504	1.4739215175263443E-4
FOXD4L1	TTK	0.8345858345909654	1.3714214763815846E-8
USF2	WDR53	0.8683373043688561	1.4739215175263443E-4
BPTF	DCAKD	0.9189516134549599	0.012138662686360768
ZNF280B	SPRED2	0.7749730255213505	0.012138662686360768
DOT1L	AHNAK	0.755942827527202	1.4739215175263443E-4
HOXA2	ATF3	0.8288209876471688	1.4739215175263443E-4
ZNF532	DMD	0.8892416739171879	1.5661633260277696E-6
ZNF778	SLC36A1	0.7678766953899279	0.012138662686360768
SMAD9	HCLS1	0.8388994817057175	1.5661633260277696E-6
ZNF84	RNF215	0.8096446947903612	1.4739215175263443E-4
ETS2	PSMB3	0.7804327909512456	0.012138662686360768
ATF6	FER1L6	0.8710884106348094	0.012138662686360768
NR3C1	NODAL	0.8386314656323449	0.012138662686360768
ETV5	SCARNA3	0.8001069439525532	0.012138662686360768
ZBTB42	PDCL	0.8104417774358852	0.012138662686360768
THAP4	CTSF	0.8076001835639819	0.012138662686360768
ZNF154	SLC35A3	0.8000582758603738	0.012138662686360768
ZNF91	ZFP64	0.901907841631205	0.0
RARB	RB1CC1	0.7597255215991449	1.5661633260277696E-6
ZNF432	ZFP90	0.809254391088408	1.3714214763815846E-8
ZNF75A	CD46	0.8201153851072105	0.012138662686360768
MITF	PKD2L1	0.8007104464109894	1.4739215175263443E-4
HOXA5	SLC27A5	0.7924278954707065	1.4739215175263443E-4
ZEB2	POLG	0.843610211982971	1.4739215175263443E-4
SALL4	PPARD	0.8453936800936763	0.012138662686360768
THRB	WWTR1	0.9151014774568683	0.012138662686360768
ZNF26	SLFN14	0.7844267811983977	1.4739215175263443E-4
L3MBTL4	LHFPL4	0.8529485839924593	1.3714214763815846E-8
THAP11	MAGOHB	0.815925338235244	0.012138662686360768
HOXB4	ADAMTS10	0.8033334511947986	1.4739215175263443E-4
ZNF329	FAM66D	0.8608707469652055	1.4739215175263443E-4
KLF7	ARL9	0.8470929373610634	0.012138662686360768
ZNF674	FGF18	0.8206723360380053	1.3714214763815846E-8
THAP3	STAU2	0.748320378558039	0.012138662686360768
SOHLH2	SNORD37	0.812962873070418	1.4739215175263443E-4
TBX19	RRAS2	0.8274222568350066	0.012138662686360768
ATF4	CUX1	0.8789719202459315	1.5661633260277696E-6
ZNF696	KCTD10	0.8102793266272836	0.012138662686360768
ZNF260	HRAS	0.8878340968733311	0.012138662686360768
TET3	GALNT8	0.7921133851927584	0.012138662686360768
UBP1	PXDNL	0.7397107611275376	0.012138662686360768
IRF1	TAS2R41	0.828125185093879	0.0
ZNF367	JMJD4	0.7593178108093755	1.4739215175263443E-4
FOXJ3	MPP4	0.8134791053749089	1.4739215175263443E-4
NR5A2	SETDB1	0.8785678167615149	1.5661633260277696E-6
BACH1	ATP6AP1L	0.8134106878382645	0.012138662686360768
E2F2	ECM1	0.7817774830298456	0.012138662686360768
HOXB2	TCF12	0.8514727011979998	1.4739215175263443E-4
ZNF740	SLC27A1	0.7815183177280378	1.4739215175263443E-4
ZNF853	TRIM16L	0.7737700427693626	0.012138662686360768
ZNF354A	GRTP1	0.8141980301334536	1.4739215175263443E-4
ZNF576	HLA-DQA2	0.8162896817399723	1.5661633260277696E-6
CREB3L3	SMG1	0.7907289890962366	0.012138662686360768
ZNF492	GPR15	0.8252103418081952	1.4739215175263443E-4
ZBTB5	ZNF142	0.8481860353922146	0.012138662686360768
ZNF500	MAP2	0.7391444055504024	0.012138662686360768
NFIX	NFKBIA	0.8178101295001193	1.4739215175263443E-4
LTF	DEFA4	0.8378764710521975	1.5661633260277696E-6
SOX12	NRM	0.781327455315392	1.4739215175263443E-4
TEAD4	SLC47A1	0.8816258538062043	1.3714214763815846E-8
ETV2	C1orf198	0.8431010955534408	0.012138662686360768
HIC2	SNX21	0.805763873445876	0.012138662686360768
ZFP30	MORF4	0.7678936907976911	0.012138662686360768
YBX2	AURKB	0.8658315969093042	0.0
NPAS1	ABCC6	0.8621396040007194	0.012138662686360768
NKRF	SNORA36B	0.9114813321020232	0.012138662686360768
ELF2	RAB19	0.8238820246370093	1.3714214763815846E-8
HES1	FAT1	0.8319614630709168	0.012138662686360768
ZNF384	MAPK1IP1L	0.8547035674713908	0.012138662686360768
BHLHE40	NECAB3	0.8062566037255021	0.012138662686360768
ELF3	ACVR2A	0.7952582951852745	1.4739215175263443E-4
NFIL3	ZNF414	0.8169832091598783	1.3714214763815846E-8
ZNF572	PPM1B	0.8960392032329949	0.012138662686360768
ZNF611	RPL13AP3	0.7586651706615796	0.012138662686360768
EOMES	LRRC37A2	0.7619601399563607	0.012138662686360768
PAX5	MPZL2	0.779187792809692	0.012138662686360768
THAP3	AP2M1	0.8130810414787591	1.5661633260277696E-6
HOXA2	CPA6	0.7729445870553892	0.012138662686360768
ZNF792	ELP2	0.7863448493587591	0.012138662686360768
ELF1	FST	0.846296824312167	0.012138662686360768
NFIX	CRTAP	0.8575565624526115	1.5661633260277696E-6
E2F2	FDPS	0.7858955698678582	0.012138662686360768
ZNF208	GRAP	0.7635023960841731	0.012138662686360768
THRA	FBN2	0.7850565499239873	0.0
SON	SNORD91B	0.835852960327421	0.012138662686360768
ZNF577	TOB2	0.7675450026577867	0.012138662686360768
NR1H3	DENND2A	0.7998147230747522	0.012138662686360768
POU5F2	LTB4R2	0.890657766599438	0.012138662686360768
ZNF667	ZNF687	0.8373892876207553	0.012138662686360768
ATF2	ICAM1	0.8680709831273592	0.012138662686360768
FOSB	SLC2A14	0.7682414445573361	0.012138662686360768
ZNF831	TMPRSS3	0.7959317524827242	0.012138662686360768
GATA3	PLXDC1	0.7549080979623093	0.012138662686360768
PIN1	C5orf58	0.805211586398541	0.0
FOXO1	C1orf216	0.7794125344314715	0.012138662686360768
ZFP30	DNAH9	0.8750370602799814	1.4739215175263443E-4
TBPL1	FSD1L	0.7494282517301035	0.012138662686360768
SPEN	TAF13	0.8123249698416068	1.4739215175263443E-4
ZNF541	ANKRD1	0.8197167675353689	0.012138662686360768
NAIF1	UBE4A	0.7404666543660291	0.012138662686360768
ZNF791	DZIP3	0.8735098494659759	0.012138662686360768
JRK	A2ML1	0.8637017148024672	0.012138662686360768
PBX1	HCN2	0.7998117663919843	0.012138662686360768
ETS2	GALNT3	0.8763596387679	1.5661633260277696E-6
IRF1	PDE6H	0.8330438971610323	0.012138662686360768
ZNF701	SUPT4H1	0.8275411352229692	0.012138662686360768
SAFB	MLLT11	0.7875059034025937	0.012138662686360768
BRF2	NOTCH3	0.8267824962826897	1.4739215175263443E-4
KDM2A	KCTD2	0.8232151364102487	0.012138662686360768
TSC22D1	PRICKLE4	0.8270405966420619	0.012138662686360768
FBXL19	TUG1	0.8614329639718893	0.012138662686360768
ZNF703	PAIP1	0.8037777774305827	0.012138662686360768
NR1D2	NUDT2	0.8251424840812402	0.012138662686360768
