nodeLabel	Cluster_R_filtered_25k	Cluster_NR_filtered_25k	distance
MAR00012	0	0.544154311574324	0.388
TFEB	0	0.519821306661995	0.3709
CTSZ	0	0.487145169819824	0.3481
B4GALT1	0	0.486428639771883	0.3476
SOCS4	0	0.474596667348687	0.3393
RARA	0	0.474386213954688	0.3391
ZNF91	0	0.470935837226737	0.3367
SIVA1	0	0.464965091781945	0.3325
NR1H2	0	0.459273851181979	0.3285
PTPRO	0	0.445622440795484	0.319
NPAT	0	0.436339742203658	0.3125
ZNF226	0	0.436265045570617	0.3124
F7	0	0.431846895286618	0.3093
NEK6	0	0.431463369233192	0.3091
GABRA3	0	0.431011849397098	0.3088
IMPDH1	0	0.430665148729303	0.3085
OCEL1	0	0.42785443195823	0.3065
AKAP5	0	0.423360884221388	0.3034
ZNF141	0	0.421109109975193	0.3018
PLCL1	0	0.420894052929238	0.3017
SNX2	0	0.419772894070518	0.3009
ZNF678	0	0.418722244102283	0.3002
CBX6	0	0.414909973990937	0.2975
FBXW5	0	0.412565982916617	0.2958
USP16	0.032138640063871	0.444051360416162	0.2949
HOMER3	0	0.409390869913454	0.2936
BAALC	0	0.407398153240611	0.2922
ZBTB25	0.0341638861836231	0.442065039079656	0.2921
CCDC85B	0.0901924235305951	0.498815517775404	0.2918
OR5H15	0	0.405140840797281	0.2907
NKX3-1	0	0.403557417484266	0.2895
SPHK1	0	0.400668604521949	0.2875
AFAP1L2	0	0.400325682527287	0.2873
MAST4	0	0.399956548120603	0.287
POLR3G	0.0489203878487206	0.449101232645055	0.2865
TAS1R2	0	0.399007308649226	0.2864
INPP5D	0.0355455303124798	0.434213492832625	0.2856
EHBP1L1	0	0.396572916781836	0.2847
RLF	0	0.396023577370413	0.2843
ZNF771	0	0.394337276270318	0.2831
KCNH8	0	0.390703937906541	0.2805
KRIT1	0	0.389943608568745	0.28
PDCD1	0	0.389111076285024	0.2794
OR6K2	0	0.388646287449713	0.2791
CLN3	0	0.388414294013998	0.2789
GLRX2	0	0.388357246516251	0.2789
RAP2C	0	0.387961803166572	0.2786
TRHR	0	0.386888659050885	0.2779
ZNF221	0	0.38697812156407	0.2779
TTL	0	0.386738051313017	0.2778
FOXJ3	0	0.386448928429486	0.2776
ZNF468	0.0358437069820519	0.423125074919645	0.2776
THAP7	0	0.383694097816223	0.2756
LPP	0.0317124998661769	0.413623033088827	0.2739
RAB24	0	0.380393661460043	0.2733
ARID4B	0.0389573979182913	0.419405080561033	0.2728
PLCB4	0	0.378412401125418	0.2719
BTG2	0	0.378026661123053	0.2717
PER1	0	0.377455436810798	0.2713
RYK	0	0.376873165370003	0.2709
PRKCD	0	0.375996879843983	0.2702
ADRB1	0	0.375071311435402	0.2696
ASB6	0.0393811388994579	0.415284463189238	0.2696
HOXB2	0	0.374276937170873	0.269
EFNB3	0	0.374031618059541	0.2689
CUZD1	0	0.371437901787735	0.2671
MAR00031	0	0.370658475190106	0.2665
MAR00032	0	0.370658475190106	0.2665
BTRC	0.0376512618914733	0.408236081140934	0.2659
ZNF32	0	0.368974222261466	0.2653
CARD9	0	0.368234153276544	0.2648
ZCCHC12	0	0.367789422386397	0.2645
ARF1	0	0.367095993760843	0.264
ZNF202	0	0.365868055421004	0.2632
MORC3	0.061909438206283	0.429007680102019	0.2631
LGALS1	0	0.365649996809465	0.263
OR8B12	0	0.365613869701224	0.263
PTN	0	0.36515147688061	0.2627
GNS	0	0.36476930670934	0.2624
PPIC	0	0.364262284024043	0.262
ATXN3L	0.0340269469402472	0.39862814075264	0.2618
PDPK1	0	0.363463822029642	0.2615
RPH3AL	0	0.363337066136389	0.2614
TCF7L1	0	0.363338904044762	0.2614
PTCH2	0	0.363007361970956	0.2612
OAZ1	0.0387649637483989	0.40197223012487	0.2607
CECR2	0	0.361451791392795	0.2601
PEX11A	0	0.361486586439793	0.2601
ELF3	0	0.361425689108437	0.26
CTSB	0	0.360942490614353	0.2597
SPHK2	0	0.360740844808057	0.2596
OPN4	0	0.35977802634045	0.2589
JOSD2	0.0314226101721991	0.389187710752421	0.257
MAP1A	0.0318220340519565	0.384952146244911	0.2538
CHMP5	0	0.352423776397507	0.2537
CHRM4	0	0.351733781906866	0.2533
PRR14	0	0.35165049963817	0.2532
FBXO6	0	0.351048241150114	0.2528
HOXB5	0.0459139339346826	0.397570454188935	0.2526
NAP1L3	0	0.350423310051327	0.2523
NHSL1	0	0.34984256978012	0.2519
TAS2R20	0	0.349789648745769	0.2519
RAMP3	0	0.349561099319352	0.2517
PRMT7	0	0.349333857276476	0.2516
HRH4	0	0.348948561133596	0.2513
ASGR2	0	0.348453878224628	0.251
ABCG4	0.0366446162284326	0.385526985094934	0.2508
OR4C45	0	0.347760408996556	0.2505
RIPK2	0	0.347607343556097	0.2504
MC1R	0	0.346336366275113	0.2495
DFFB	0	0.346269133739442	0.2494
ROBO2	0	0.345716745968011	0.2491
GPR87	0	0.345430569137401	0.2489
WSB2	0.0330615840965233	0.379140296637021	0.2488
TBC1D28	0	0.344659339241421	0.2483
OR13J1	0	0.343911617227974	0.2478
OR1N1	0	0.341832448933299	0.2463
OR10R2	0.0440505697169076	0.386458961922	0.2461
RTKN2	0.0335295417098089	0.374007598109261	0.2449
OR2A5	0	0.339492213886774	0.2447
SIRT6	0	0.339507615790246	0.2447
TDRD3	0	0.339150344415716	0.2445
STRN4	0	0.338989570302828	0.2443
RGS22	0	0.338071600165348	0.2437
TMX3	0	0.337968508969858	0.2436
CDK18	0.0587782718623182	0.397688918042451	0.2435
OR4D5	0	0.337137891924771	0.243
ARAP2	0	0.336843771140453	0.2428
TATDN3	0	0.336671555214997	0.2427
OR4C15	0	0.336260703371318	0.2424
ETV1	0.0377323467564492	0.37424901234322	0.2421
FOXG1	0	0.3358455575835	0.2421
MMP2	0	0.335851588952775	0.2421
EZH2	0	0.335672793097386	0.242
OR1Q1	0	0.334788096235615	0.2414
LRP10	0	0.334223749969498	0.241
EFCAB7	0	0.334067196268778	0.2409
MRAS	0	0.333871817545088	0.2408
PABPN1L	0	0.333920784869835	0.2408
RBM33	0	0.333776891812636	0.2407
ZNF407	0	0.333668102921586	0.2406
OR2A25	0	0.333556156324069	0.2405
GABRA5	0	0.33317667498644	0.2403
MRPL1	0	0.333235512006128	0.2403
ARL14	0	0.332924109807467	0.2401
BEST1	0	0.332947615606453	0.2401
MNX1	0	0.332850868283768	0.24
SGK1	0.0300608219176269	0.362963441743934	0.2397
ZBTB10	0.131206345790369	0.466255354944009	0.2397
HOPX	0	0.332277803081953	0.2396
NME7	0.0429431653010992	0.376037520150917	0.2396
SLC7A8	0	0.332275866767917	0.2396
DPH1	0	0.332059208195379	0.2395
JMY	0	0.331939681226131	0.2394
PGAM1	0	0.331669572483971	0.2392
ADRA2A	0	0.331236249628875	0.2389
HOXC6	0	0.331273714749798	0.2389
DCDC1	0	0.331067525335535	0.2388
EBF2	0	0.331108945178318	0.2388
OR51G1	0	0.33068514839061	0.2385
TDGF1	0	0.329491411437533	0.2377
RASL11B	0	0.326340524696624	0.2355
SLC22A17	0.0437373072521629	0.37102636259816	0.2355
ZNF521	0.0339213233586979	0.360537014414635	0.2352
ECSIT	0.0626608188304052	0.388985188649381	0.2346
KIF27	0	0.325079817586494	0.2346
SETD1B	0	0.324207663603074	0.234
TAF9B	0.138054619359151	0.465031780791063	0.234
RC3H2	0.188282314193286	0.515998042794521	0.2338
MKLN1	0.041445547498308	0.366077054528053	0.2337
COX8A	0	0.323455209706865	0.2335
ZNF74	0.19007060787695	0.517102258233763	0.2333
ANKRD35	0	0.321328424970941	0.232
ADRB2	0.184479877744508	0.508950930974781	0.2316
KIAA1328	0	0.320636789945224	0.2315
DLX4	0.0407609428227516	0.362004324233165	0.2313
ZNF83	0	0.319809266230137	0.2309
ZMYND10	0.124316680814523	0.446447428255661	0.2308
OR1L3	0	0.319438579407716	0.2307
MSGN1	0	0.31902191814707	0.2304
GSTCD	0	0.318696224666596	0.2301
KLF16	0	0.318609094543378	0.2301
AKR1C3	0.0444297668476457	0.36335391267541	0.2297
MCOLN2	0	0.31775104919801	0.2295
OR2M3	0	0.317374549629146	0.2292
DCK	0	0.316762079010973	0.2288
RERGL	0	0.316770786365755	0.2288
KCNIP1	0	0.316530689170453	0.2286
RCSD1	0	0.316182626155306	0.2284
LGALS2	0	0.316047434367481	0.2283
NFIL3	0	0.316120078821373	0.2283
INSIG1	0	0.315979129756349	0.2282
OR10G7	0	0.315754702709242	0.2281
CTSH	0.127219485649291	0.445449342989295	0.228
OR1N2	0	0.315592282106377	0.228
GRIN2B	0	0.315173460592307	0.2277
SP7	0	0.315273887242396	0.2277
CLPX	0	0.314968406800728	0.2275
MPRIP	0	0.314905724905789	0.2275
MYPOP	0	0.314914113638893	0.2275
SAFB2	0	0.314954283891908	0.2275
ADARB1	0	0.314788668746634	0.2274
RAB9B	0.0331266563715764	0.348392855752633	0.2273
JTB	0	0.314557787206614	0.2272
FCGR1A	0	0.314415165091005	0.2271
CGB8	0	0.314006380640456	0.2269
ZNF551	0	0.313973925681456	0.2268
GOPC	0.0336471612427804	0.347819312732237	0.2265
PASD1	0	0.313098203334	0.2262
HRH3	0	0.312906943489675	0.2261
CABP2	0	0.312036749410837	0.2255
DNTTIP2	0	0.3121026072208	0.2255
OR5M10	0.032673338407582	0.345422854474817	0.2255
HEY1	0.128093546873608	0.442593344106473	0.2254
CNIH4	0	0.311801017022215	0.2253
CARD14	0.035474986788294	0.34789574519478	0.2252
ROR2	0	0.311682088528512	0.2252
LYST	0	0.311505986897582	0.2251
RSF1	0.0350639082621416	0.347321769559762	0.2251
CYB5R2	0.0367706022530879	0.348882641721592	0.225
DUSP9	0	0.311379084882495	0.225
ZNF786	0.033415011384834	0.345405319479688	0.225
CHST1	0.0356013799973568	0.347340435269976	0.2248
SFN	0	0.31001860821847	0.2241
WNK2	0	0.309604278990191	0.2238
RXFP2	0.185099274020706	0.498072077367468	0.2235
RXFP3	0.0521969512847936	0.362106392700478	0.2232
RORA	0	0.308656974595439	0.2231
PDAP1	0.060606002877084	0.367679488194533	0.2211
RASA1	0.0355769486274732	0.342100968871877	0.2211
TXNDC12	0.134661786874238	0.442372896694083	0.2205
CXCL16	0.126547348770322	0.433845582505725	0.2204
SRY	0	0.304460231205379	0.2202
TMEM123	0.0350309673778263	0.339397929881727	0.2196
TRIB1	0.0434019116017584	0.347278551803842	0.2192
ITGAE	0.0339499453368505	0.337087485565284	0.2188
ZNF785	0.125657044220992	0.430652065286995	0.2188
ARID3B	0	0.301824222201864	0.2183
CASP8AP2	0.0356708105439593	0.336930916901429	0.2174
CLEC10A	0	0.300040246851007	0.2171
CEP350	0	0.299444675003565	0.2167
MALT1	0.132618653888405	0.434721459792051	0.2166
UBTD1	0.0369075294328541	0.337054991300741	0.2166
OR2H1	0	0.299264436643403	0.2165
ZNF14	0	0.29918491480335	0.2165
ZNF302	0	0.299185909121039	0.2165
NFE2L3	0	0.299093903136053	0.2164
APOBEC3B	0	0.298958513319369	0.2163
DMXL1	0	0.298204373929546	0.2158
PCMTD2	0	0.298239929818454	0.2158
FCN2	0	0.297935141714588	0.2156
N4BP2L1	0	0.297957724091099	0.2156
BBC3	0.0337328308854437	0.332154984751323	0.2155
CD1D	0.126111101088715	0.426112951203862	0.2153
GDF6	0.130683370856203	0.430884058521353	0.2153
TBC1D10B	0	0.297355718229437	0.2152
ZBTB3	0	0.297251838390741	0.2151
PTPN2	0.135843193088384	0.435358093391284	0.2148
SLU7	0	0.296749444896054	0.2148
OR4C3	0	0.296614170870582	0.2147
TRIM54	0	0.296619746686953	0.2147
ABCG1	0	0.296332032522782	0.2145
TAS2R9	0	0.296367586620202	0.2145
NT5M	0.0356530202175802	0.332403215929165	0.2143
ATG7	0	0.295914319891452	0.2142
GSX2	0.0359405150740583	0.332625879354825	0.2142
OMP	0	0.295934192340496	0.2142
UNC5D	0	0.295941834796389	0.2142
OR10J1	0	0.29549579712156	0.2139
OR2AT4	0	0.295352583525967	0.2138
SMAD1	0.0351997912961289	0.331060099655143	0.2137
NINJ2	0	0.295085178374786	0.2136
RGN	0	0.295018499182405	0.2136
CTDSP1	0	0.294886580702787	0.2135
FNIP1	0	0.294967697890873	0.2135
EPHB3	0	0.294621319806804	0.2133
OR2V2	0	0.294646532148191	0.2133
APBB2	0	0.294449851559366	0.2132
FRAT1	0.183095669752194	0.481306410189153	0.2132
IGFBP2	0	0.294518362497332	0.2132
EPC1	0	0.294286931446277	0.2131
TIGD6	0	0.294383367233077	0.2131
TAF1C	0	0.294243589835905	0.213
ACAD11	0	0.293852358304486	0.2127
PLCXD3	0	0.293728598331378	0.2127
NEUROG1	0	0.293673671936773	0.2126
CYP26C1	0	0.293490073298037	0.2125
IQSEC2	0	0.293566863007441	0.2125
ZNF675	0	0.293504085551543	0.2125
NEK10	0	0.29329582502178	0.2124
OR51F1	0	0.29328335016064	0.2123
ASAH1	0	0.293116385858897	0.2122
MAR06864	0	0.293123151743361	0.2122
DKK3	0	0.292944520656741	0.2121
KRI1	0	0.29282251734881	0.212
GTF2IRD2	0	0.292511788210085	0.2118
CHD7	0.129818688971646	0.424641707659778	0.2116
ERCC6	0.134809223352913	0.429660607719108	0.2115
ZFAT	0	0.292100191827424	0.2115
PRKCQ	0.239632390332937	0.535978558898656	0.2111
HOXB6	0	0.290509389229306	0.2104
CRYM	0.0401959577778444	0.3310206193124	0.2101
YY2	0	0.290128250510179	0.2101
AKAP7	0	0.289789249071022	0.2099
CERK	0	0.289685135938201	0.2098
SARM1	0	0.289661098205723	0.2098
NKX6-1	0.0420219269377339	0.331476077274135	0.2091
PROM1	0.044797467062578	0.33385842489021	0.2088
MORC2	0.135091661095084	0.425277888888854	0.2083
TPRA1	0	0.287028108534903	0.208
PSTPIP1	0.185252250095436	0.475881232928387	0.2079
BEND5	0.126066900910245	0.415300811304971	0.2077
OR1S2	0.128796433467722	0.417692258547884	0.2075
BANP	0.0331742848682219	0.319505976674158	0.207
RAPGEF3	0.0300291731370751	0.314510411176285	0.2058
MAR01604	0	0.283238267242075	0.2053
AKT3	0.184447742124417	0.470776666732885	0.2049
ZC3H7B	0.0512977248015826	0.334942662139448	0.2049
CARM1	0.136613503536821	0.421220960117764	0.2043
PMS1	0.0352900702123422	0.317841768307985	0.2043
MAR01525	0	0.28058927963216	0.2035
ZCCHC4	0.0317925943251163	0.312570786440191	0.2031
ID2	0.182408650233202	0.465826614979222	0.2029
SLC25A22	0	0.279052932419187	0.2024
CSNK1G1	0.0557085145483276	0.335441207113692	0.2021
OR6C6	0.033203422308487	0.312383263252543	0.202
LRPAP1	0	0.278257065591937	0.2018
OR4D6	0	0.278178438743904	0.2018
ST14	0.0336857547690909	0.312123801057925	0.2015
BRMS1	0	0.277145561469663	0.2011
ALPL	0.035499786026725	0.313269967305194	0.201
OR10H2	0	0.277063334351029	0.201
IFT88	0.0364273234069959	0.313584290639952	0.2005
PHF21A	0	0.27626307130341	0.2004
MED14	0.0532129248683988	0.330397541399928	0.2003
UPK1A	0	0.276076158558237	0.2003
PLEKHA1	0	0.275754358963841	0.2001
ATP6V0C	0.0369662683581895	0.313190375238333	0.1999
KCNK2	0	0.275503132493039	0.1999
MDM1	0	0.27545853902225	0.1999
MYOCD	0	0.27556910329256	0.1999
SOD2	0	0.275327644840293	0.1998
GNG10	0	0.275227006396812	0.1997
HOXC9	0	0.275199600441638	0.1997
TPM4	0.183582927739215	0.462207045184866	0.1995
RERE	0	0.274762723557539	0.1994
GNPDA2	0	0.274635926837071	0.1993
SUV39H1	0	0.274638918723655	0.1993
PPARGC1A	0	0.274225998515267	0.199
GMPPA	0	0.274077656537766	0.1989
HDGF	0.0543708696592697	0.329474404188826	0.1989
MAR01776	0	0.273892446472139	0.1988
TRAPPC9	0	0.273825635159948	0.1987
LRP6	0	0.273653938111823	0.1986
CAPN10	0	0.273509178314295	0.1985
BAIAP2L2	0	0.273219183278349	0.1983
TRDMT1	0	0.273248816050916	0.1983
DMTF1	0	0.273040641671534	0.1982
