"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP4747"	"WP4747"	"Netrin-UNC5B signaling pathway"	"3/27"	"52/8701"	0.000532204218164842	0.0738518601636331	0.0616894994915237	"6401/6347/3791"	3
"WP4462"	"WP4462"	"Platelet-mediated interactions with vascular and circulating cells"	"2/27"	"17/8701"	0.00122548499056732	0.0738518601636331	0.0616894994915237	"6401/6347"	2
"WP4300"	"WP4300"	"Extracellular vesicles in the crosstalk of cardiac cells"	"2/27"	"21/8701"	0.00187786954551218	0.0738518601636331	0.0616894994915237	"3791/1956"	2
"WP691"	"WP691"	"Tamoxifen metabolism"	"2/27"	"23/8701"	0.00225375107967419	0.0738518601636331	0.0616894994915237	"2328/1559"	2
"WP2865"	"WP2865"	"IL1 and megakaryocytes in obesity"	"2/27"	"25/8701"	0.00266223573400094	0.0738518601636331	0.0616894994915237	"6347/7941"	2
"WP5284"	"WP5284"	"Cell interactions of the pancreatic cancer microenvironment"	"2/27"	"26/8701"	0.00287858279554285	0.0738518601636331	0.0616894994915237	"6347/3791"	2
"WP5092"	"WP5092"	"Interactions of natural killer cells in pancreatic cancer"	"2/27"	"28/8701"	0.00333524529771246	0.0738518601636331	0.0616894994915237	"6347/6346"	2
"WP299"	"WP299"	"Nuclear receptors in lipid metabolism and toxicity"	"2/27"	"35/8701"	0.00518023265754808	0.100367007739994	0.0838379759050545	"1591/1559"	2
"WP4823"	"WP4823"	"Genes controlling nephrogenesis"	"2/27"	"44/8701"	0.00809601189008297	0.136772081145026	0.114247646728952	"3207/3791"	2
"WP2586"	"WP2586"	"Aryl hydrocarbon receptor pathway"	"2/27"	"46/8701"	0.00882400523516294	0.136772081145026	0.114247646728952	"6346/1956"	2
"WP5087"	"WP5087"	"Pleural mesothelioma"	"5/27"	"440/8701"	0.0103647174896982	0.143265099336048	0.119671356321453	"6401/6347/3791/2250/1956"	5
"WP5413"	"WP5413"	"IL-24 Signaling pathway"	"4/27"	"291/8701"	0.0117183571455602	0.143265099336048	0.119671356321453	"6347/3791/1956/51643"	4
"WP5144"	"WP5144"	"NRP1-triggered signaling pathways in pancreatic cancer "	"2/27"	"54/8701"	0.0120157825249589	0.143265099336048	0.119671356321453	"3791/1956"	2
"WP2882"	"WP2882"	"Nuclear receptors meta-pathway"	"4/27"	"314/8701"	0.0151543972012194	0.167780826156358	0.140149688402255	"5166/6347/1559/1956"	4
"WP43"	"WP43"	"Oxidation by cytochrome P450"	"2/27"	"64/8701"	0.0166092089281612	0.171628492257665	0.143363698116759	"1591/1559"	2
"WP702"	"WP702"	"Metapathway biotransformation Phase I and II"	"3/27"	"185/8701"	0.0190131940680452	0.184190317534188	0.153856767787471	"2328/1591/1559"	3
"WP4341"	"WP4341"	"Non-genomic actions of 1,25 dihydroxyvitamin D3"	"2/27"	"75/8701"	0.0223901936987128	0.204145883723558	0.170525933432921	"1591/6347"	2
"WP4806"	"WP4806"	"EGFR tyrosine kinase inhibitor resistance"	"2/27"	"84/8701"	0.027651525140524	0.21252569913614	0.177525711332735	"3791/1956"	2
"WP4018"	"WP4018"	"Clear cell renal cell carcinoma pathways"	"2/27"	"86/8701"	0.0288825464395019	0.21252569913614	0.177525711332735	"3791/1956"	2
"WP5115"	"WP5115"	"Network map of SARS-CoV-2 signaling pathway"	"3/27"	"218/8701"	0.0291497038645075	0.21252569913614	0.177525711332735	"6347/6346/3429"	3
"WP1531"	"WP1531"	"Vitamin D metabolism"	"1/27"	"10/8701"	0.030616786437322	0.21252569913614	0.177525711332735	"1591"	1
"WP231"	"WP231"	"TNF-alpha signaling pathway"	"2/27"	"92/8701"	0.0327054306621941	0.21252569913614	0.177525711332735	"6401/6347"	2
"WP3871"	"WP3871"	"Valproic acid pathway"	"1/27"	"12/8701"	0.036630868168373	0.21252569913614	0.177525711332735	"1559"	1
"WP5324"	"WP5324"	"Octadecanoid formation from linoleic acid"	"1/27"	"12/8701"	0.036630868168373	0.21252569913614	0.177525711332735	"1559"	1
"WP4540"	"WP4540"	"Hippo signaling regulation pathways"	"2/27"	"98/8701"	0.0367169077121592	0.21252569913614	0.177525711332735	"3791/1956"	2
"WP5287"	"WP5287"	"17q12 copy number variation syndrome"	"2/27"	"101/8701"	0.0387909482945606	0.21252569913614	0.177525711332735	"6347/6346"	2
"WP2881"	"WP2881"	"Estrogen receptor pathway"	"1/27"	"13/8701"	0.0396244193893946	0.21252569913614	0.177525711332735	"5166"	1
"WP3853"	"WP3853"	"ERK pathway in Huntington's disease"	"1/27"	"15/8701"	0.0455846718079086	0.21252569913614	0.177525711332735	"1956"	1
"WP4584"	"WP4584"	"Biomarkers for pyrimidine metabolism disorders"	"1/27"	"15/8701"	0.0455846718079086	0.21252569913614	0.177525711332735	"1807"	1
"WP4891"	"WP4891"	"COVID-19 adverse outcome pathway"	"1/27"	"15/8701"	0.0455846718079086	0.21252569913614	0.177525711332735	"6347"	1
"WP5055"	"WP5055"	"Burn wound healing"	"2/27"	"113/8701"	0.047520532916252	0.21252569913614	0.177525711332735	"6347/3791"	2
"WP5322"	"WP5322"	"CKAP4 signaling pathway map"	"2/27"	"116/8701"	0.0498067102537484	0.21252569913614	0.177525711332735	"3791/1956"	2
"WP3931"	"WP3931"	"Embryonic stem cell pluripotency pathways"	"2/27"	"117/8701"	0.0505776405276631	0.21252569913614	0.177525711332735	"2250/1956"	2
"WP4754"	"WP4754"	"IL-18 signaling pathway"	"3/27"	"273/8701"	0.0513104227642756	0.21252569913614	0.177525711332735	"6347/6346/7941"	3
"WP5372"	"WP5372"	"Involvement of δ-secretase in neurodegenerative diseases"	"1/27"	"17/8701"	0.0515092957166093	0.21252569913614	0.177525711332735	"6622"	1
"WP2431"	"WP2431"	"Spinal cord injury"	"2/27"	"121/8701"	0.0537048525145236	0.21252569913614	0.177525711332735	"6347/1956"	2
"WP4541"	"WP4541"	"Hippo-Merlin signaling dysregulation"	"2/27"	"121/8701"	0.0537048525145236	0.21252569913614	0.177525711332735	"3791/1956"	2
"WP5061"	"WP5061"	"Fatty acid transporters"	"1/27"	"18/8701"	0.0544583110339348	0.21252569913614	0.177525711332735	"2170"	1
"WP5223"	"WP5223"	"2q21.1 copy number variation syndrome"	"1/27"	"18/8701"	0.0544583110339348	0.21252569913614	0.177525711332735	"90557"	1
"WP4478"	"WP4478"	"LTF danger signal response pathway"	"1/27"	"19/8701"	0.0573984959472232	0.21252569913614	0.177525711332735	"4057"	1
"WP5095"	"WP5095"	"Overview of proinflammatory and profibrotic mediators"	"2/27"	"129/8701"	0.0601614066202107	0.21252569913614	0.177525711332735	"6347/6346"	2
"WP3927"	"WP3927"	"BMP signaling in eyelid development"	"1/27"	"20/8701"	0.0603298758838076	0.21252569913614	0.177525711332735	"1956"	1
"WP4225"	"WP4225"	"Pyrimidine metabolism and related diseases"	"1/27"	"20/8701"	0.0603298758838076	0.21252569913614	0.177525711332735	"1807"	1
"WP5149"	"WP5149"	"Lipid metabolism in senescent cells"	"1/27"	"20/8701"	0.0603298758838076	0.21252569913614	0.177525711332735	"7941"	1
"WP4141"	"WP4141"	"PI3K/AKT/mTOR - vitamin D3 signaling"	"1/27"	"22/8701"	0.0661663221848907	0.218725824563755	0.182704763472611	"1591"	1
"WP4790"	"WP4790"	"FGF23 signaling in hypophosphatemic rickets and related disorders"	"1/27"	"23/8701"	0.0690714390533098	0.218725824563755	0.182704763472611	"1591"	1
"WP545"	"WP545"	"Complement activation"	"1/27"	"23/8701"	0.0690714390533098	0.218725824563755	0.182704763472611	"712"	1
"WP2858"	"WP2858"	"Ectoderm differentiation"	"2/27"	"142/8701"	0.0711929234029829	0.218725824563755	0.182704763472611	"6347/6622"	2
"WP1539"	"WP1539"	"Angiogenesis"	"1/27"	"24/8701"	0.0719678519532356	0.218725824563755	0.182704763472611	"3791"	1
"WP5272"	"WP5272"	"LDL- influence on CD14 and TLR4"	"1/27"	"24/8701"	0.0719678519532356	0.218725824563755	0.182704763472611	"6347"	1
"WP5276"	"WP5276"	"Estrogen metabolism"	"1/27"	"24/8701"	0.0719678519532356	0.218725824563755	0.182704763472611	"1559"	1
