"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa00982"	"hsa00982"	"Drug metabolism - cytochrome P450"	"3/33"	"66/8485"	0.00207601174478945	0.0744338228191816	0.0621407595223658	"HPGDS/CYP2C19/UGT2B11"	3
"hsa05204"	"hsa05204"	"Chemical carcinogenesis - DNA adducts"	"3/33"	"67/8485"	0.00216759177947889	0.0744338228191816	0.0621407595223658	"HPGDS/CYP2C19/UGT2B11"	3
"hsa05412"	"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy"	"3/33"	"77/8485"	0.00322363298756892	0.0744338228191816	0.0621407595223658	"ITGA8/GJA1/CACNA2D1"	3
"hsa04512"	"hsa04512"	"ECM-receptor interaction"	"3/33"	"89/8485"	0.00484873105488345	0.0744338228191816	0.0621407595223658	"ITGA8/FRAS1/COL2A1"	3
"hsa05410"	"hsa05410"	"Hypertrophic cardiomyopathy"	"3/33"	"90/8485"	0.00500272652025819	0.0744338228191816	0.0621407595223658	"ITGA8/MYL2/CACNA2D1"	3
"hsa05310"	"hsa05310"	"Asthma"	"2/33"	"29/8485"	0.00557720851511061	0.0744338228191816	0.0621407595223658	"EPX/MS4A2"	2
"hsa05414"	"hsa05414"	"Dilated cardiomyopathy"	"3/33"	"96/8485"	0.00598892827280772	0.0744338228191816	0.0621407595223658	"ITGA8/MYL2/CACNA2D1"	3
"hsa04726"	"hsa04726"	"Serotonergic synapse"	"3/33"	"112/8485"	0.00915953263983335	0.0996099174581877	0.0831589147563817	"CACNA1B/KCNJ3/CYP2C19"	3
"hsa04020"	"hsa04020"	"Calcium signaling pathway"	"4/33"	"253/8485"	0.0160131536826672	0.15479381893245	0.129228959544332	"FGF5/CACNA1B/AVPR1A/ERBB4"	4
"hsa00590"	"hsa00590"	"Arachidonic acid metabolism"	"2/33"	"61/8485"	0.0232682787132687	0.202434024805438	0.169001182233215	"HPGDS/CYP2C19"	2
"hsa00830"	"hsa00830"	"Retinol metabolism"	"2/33"	"66/8485"	0.0269473766496415	0.204949187120808	0.171100954765103	"ALDH1A3/UGT2B11"	2
"hsa04010"	"hsa04010"	"MAPK signaling pathway"	"4/33"	"301/8485"	0.0282688533959735	0.204949187120808	0.171100954765103	"FGF5/CACNA1B/CACNA2D1/ERBB4"	4
"hsa00980"	"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"2/33"	"72/8485"	0.0316511469489655	0.211819214196923	0.176836367569119	"HPGDS/UGT2B11"	2
"hsa04510"	"hsa04510"	"Focal adhesion"	"3/33"	"203/8485"	0.0435087837645368	0.235056660791565	0.196236050751579	"ITGA8/MYL2/COL2A1"	3
"hsa04260"	"hsa04260"	"Cardiac muscle contraction"	"2/33"	"87/8485"	0.0446893674751374	0.235056660791565	0.196236050751579	"MYL2/CACNA2D1"	2
"hsa05207"	"hsa05207"	"Chemical carcinogenesis - receptor activation"	"3/33"	"209/8485"	0.0467663716135509	0.235056660791565	0.196236050751579	"FGF5/CACNA1B/UGT2B11"	3
"hsa05032"	"hsa05032"	"Morphine addiction"	"2/33"	"91/8485"	0.0484525642900818	0.235056660791565	0.196236050751579	"CACNA1B/KCNJ3"	2
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	"4/33"	"358/8485"	0.0486324125775653	0.235056660791565	0.196236050751579	"ITGA8/FGF5/COL2A1/ERBB4"	4
"hsa04810"	"hsa04810"	"Regulation of actin cytoskeleton"	"3/33"	"229/8485"	0.058477262161084	0.262738124662127	0.219345802803227	"ITGA8/MYL2/FGF5"	3
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	"2/33"	"103/8485"	0.0603995688878452	0.262738124662127	0.219345802803227	"COL2A1/PGA3"	2
"hsa04725"	"hsa04725"	"Cholinergic synapse"	"2/33"	"113/8485"	0.0710489315563448	0.294345573590571	0.24573314673623	"CACNA1B/KCNJ3"	2
"hsa00534"	"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"1/33"	"24/8485"	0.0893989583361383	0.337984146044241	0.282164622831853	"NDST3"	1
"hsa04728"	"hsa04728"	"Dopaminergic synapse"	"2/33"	"132/8485"	0.0927985326287123	0.337984146044241	0.282164622831853	"CACNA1B/KCNJ3"	2
"hsa04950"	"hsa04950"	"Maturity onset diabetes of the young"	"1/33"	"26/8485"	0.09648866464434	0.337984146044241	0.282164622831853	"MNX1"	1
