ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04740	Olfactory transduction	239	0.407004310861373	3.02560715497448	1e-10	1e-10	1.63157894736842e-08	2099	tags=60%, list=31%, signal=43%	OR52D1/OR6K2/OR52N1/OR8B12/OR1Q1/OR10G7/OR7A5/OR1A2/OR4D1/OR2F1/OR2F1/OR5H15/OR1N1/OR10K2/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR11H12/OR51S1/OR56A3/OR4D5/OR6Q1/OR2A5/OR2A5/OR2M3/OR6C68/OR2A14/OR2A14/OR8K3/OR8K3/OR2M4/OR2T12/OR51A2/OR1L3/OR5AC2/OR51G1/OR10R2/OR1N2/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/OR52E6/OR13J1/OR4A47/OR52H1/OR2AT4/OR8H1/OR8H1/OR4C45/OR51F1/OR5M10/OR10J1/OR10Q1/OR51Q1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR2AK2/OR5W2/CALM1/OR5D16/OR51L1/OR2G3/OR52B6/OR10A7/OR1S2/OR1J4/OR4F21/OR52B2/OR8D1/OR5H14/OR14I1/OR4C11/OR6K6/OR51G2/OR5AP2/OR13F1/OR14A16/OR5P2/OR5P2/OR5P2/OR2G2/OR10H2/OR2T27/OR4D6/OR2T34/OR10H1/OR4C3/OR2L3/OR51E2/OR4D9/OR3A3/OR8B2/OR11L1/OR6B1/OR6B1/OR2A2/OR2A2/OR9Q2/OR52E8/OR10G9/OR1S1/OR51B4/OR2A25/OR2A25/OR6C6/OR2T10/OR7E24/OR5AU1/OR56B1/OR4D11/OR10AD1/OR7G3/OR4K15/OR6V1/OR6V1/OR5T1/OR5T1/OR10H4/CALM3/OR52N2/OR10V1/OR2L2/OR1A1/OR51B6/OR4M1/OR51I1/OR2M7/OR13D1/OR9A2/OR9A2/OR4C15/OR2T29/OR13C3/OR2T2/OR2T2/OR2T2/OR52E4/OR2M2/OR1I1/OR8J3/OR2V2/OR2A4/OR10C1/OR10C1/OR10C1/OR10C1/OR10C1/OR10C1/OR10C1/OR10C1/OR7C1/CNGA4/OR2G6/OR52W1/OR6B2/OR1J1/OR10W1/OR6C70/OR12D2/OR12D2/OR12D2/OR12D2/OR12D2/OR12D2/OR2Z1/OR5K1/OR10G8/OR5H6/OR10K1/OR1L8/OR14J1/OR14J1/OR14J1/OR14J1/OR14J1/OR14J1/OR14J1
hsa05168	Herpes simplex virus 1 infection	265	0.343658726950457	2.59031043956268	1e-10	1e-10	1.63157894736842e-08	1516	tags=39%, list=22%, signal=31%	ZNF91/ZNF776/ZNF677/ZNF548/ZNF229/ZNF425/ZNF226/TICAM1/ZNF418/ZNF517/ZNF676/ZNF676/ZNF549/ZNF799/ZNF107/ZNF607/ZNF682/ZNF17/ZNF675/ZNF623/ZNF623/ZFP28/ZNF596/ZNF74/ZNF662/ZNF530/ZNF257/ZNF557/ZNF705D/ZNF705D/ZNF714/ZNF556/BST2/ZNF154/ZNF317/ZNF8/ZIM3/ZNF700/ZNF404/ZNF480/ZNF431/ZNF34/ZNF320/LTA/LTA/LTA/LTA/LTA/LTA/LTA/ZNF610/ZNF195/ZNF551/ZNF141/ZNF721/ITGB3/FASLG/ZNF135/ZNF256/ZNF780A/ZNF780A/ZNF180/ZNF275/ZNF14/ZNF83/IFNB1/ZNF600/ZNF189/ZNF786/ZNF136/ZNF37A/BIRC2/HLA-B/HLA-B/HLA-B/HLA-B/HLA-B/HLA-B/ZNF354B/ZNF254/ZNF823/ZNF436/ZNF436/TAB2/ZNF442/ZNF33B/ZNF529/ZNF230/ZNF573/ZNF224/ZNF613/ZNF331/ZNF12/ZNF792/ZNF544/ZNF3/ZNF641/ZNF23/ZNF10/ZNF19/ZNF528/ZNF350/ZNF227/ZNF626/ZNF566/ZIK1/ZNF571/ZNF550/ZNF324/ZNF7/ZNF620/ZNF124/ZNF569/ZNF98/ZFP57/ZFP57/ZFP57/ZFP57/ZFP57/ZFP57/ZFP57/ZFP57/ZNF772/ZNF383/ZNF768/ZNF77/ZNF554/ZNF519/ZNF157/ZNF235/ZNF561/ZNF777/ZNF765/ZNF253
hsa04080	Neuroactive ligand-receptor interaction	167	0.297749953487734	2.06948733870061	1.28694169857316e-05	1.28694169857316e-05	0.00139983132125502	1320	tags=36%, list=20%, signal=30%	HTR1F/RXFP2/GRM5/SSTR2/GABRQ/ADRB1/ADRA2A/GABRA3/HRH4/CCKBR/TRHR/NTS/AVPR2/CHRM4/NTSR1/P2RX7/GABRA5/GRIN2B/HRH3/ADRB2/DRD1/ADORA2B/GALR1/CGA/NPY5R/GHRH/TBXA2R/RXFP3/RXFP3/TSPO/QRFPR/AVPR1B/TAAR8/GABRE/TAAR2/GRIK2/LPAR3/GRIN2A/CHRNA6/BRS3/VIPR1/MC5R/C3AR1/ADM2/GRIA1/GRM7/KISS1R/P2RY14/HRH2/HCRT/PAQR6/GABRA4/GABRR3/LTB4R/LTB4R/HTR2A/ADRB3/GRIK1/GRIN3A/F2R/THRA/HRH1
hsa03030	DNA replication	13	-0.588619553094953	-2.07079505749991	0.000996113289127774	0.000996113289127774	0.0812618735867395	407	tags=38%, list=6%, signal=36%	DNA2/RNASEH2B/POLE/POLE2/PRIM1
hsa04742	Taste transduction	42	0.38656116555575	2.00248753597638	0.0022264065315336	0.0022264065315336	0.134090662455621	2133	tags=57%, list=32%, signal=39%	HTR1F/TAS2R19/TAS2R19/TAS2R19/PLCB4/GABRA3/TAS1R2/HTR3B/PKD2L1/TAS2R40/GABRA5/TAS2R5/TAS2R30/TAS2R30/TAS2R30/TAS2R41/TAS2R41/TAS2R14/TAS2R14/TAS2R14/GABRA4/TAS1R1/TAS2R38/P2RX3/TAS2R46/TAS2R46/TAS2R46/GABRA6/TAS2R10/TAS2R10/TAS2R10/TAS2R20/TAS2R20/TAS2R20
hsa04530	Tight junction	39	-0.384016563067545	-1.95351417195367	0.00246553798708722	0.00246553798708722	0.134090662455621	848	tags=39%, list=13%, signal=34%	CLDN4/RAPGEF6/ROCK2/DLG3/ARHGEF18/TUBA3E/ARHGAP17/ARHGAP17/PPP2R2D/TUBA4A/PRKAG2/MAPK9/MYH11/MYH11/MAP3K1/MAP3K5/PRKCZ
hsa03010	Ribosome	24	-0.449614535191048	-1.97322617920233	0.00378438393462126	0.00378438393462126	0.176414890185352	1396	tags=52%, list=21%, signal=41%	RPS15/MRPS12/MRPS12/RPL19/RPL36A/RPS29/RPS27A/MRPS21/RPL39/MRPS10/MRPL22/UBA52/RPS15A
hsa05166	Human T-cell leukemia virus 1 infection	93	-0.263157629586877	-1.68065934927638	0.00473528910006443	0.00473528910006443	0.193149950134207	1174	tags=37%, list=17%, signal=31%	ATF6B/ATF6B/ATF6B/ATF6B/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/CD40/KAT5/PIK3CB/RELB/ADCY1/PPP3CC/FOSL1/E2F3/CRTC3/NFATC1/ESPL1/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/HLA-E/HLA-E/HLA-E/HLA-E/HLA-E/HLA-E/HLA-E/ETS1/NFATC4/NFATC4/MAPK9/JAK3/CCNE2/MAP3K1/NFATC3/SMAD4/IL2RB/E2F2/E2F2
hsa04658	Th1 and Th2 cell differentiation	50	-0.318215237840862	-1.7244759439045	0.00827902726040914	0.00827902726040914	0.298698885900456	2267	tags=51%, list=34%, signal=34%	HLA-DPA1/HLA-DPA1/HLA-DPA1/HLA-DPA1/HLA-DPA1/HLA-DPA1/HLA-DPA1/HLA-DPA1/PLCG1/JAG2/JAK1/MAML1/MAML1/IL4R/DLL4/JAK2/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMB/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/HLA-DMA/NOTCH2/RBPJ/MAPK11/PPP3CC/ZAP70/NFATC1/MAPK9/JAK3/STAT4/NFATC3/JAG1/IL2RB
hsa05033	Nicotine addiction	26	0.417689683236799	1.82649672026262	0.00930455582722062	0.00930455582722062	0.298698885900456	1381	tags=46%, list=20%, signal=37%	GABRQ/GABRA3/GABRA5/GRIN2B/GABRE/GRIN2A/CHRNA6/GRIA1/GABRA4/GABRR3/GRIN3A/GRIN2C
