Regulator	Target	MI	pvalue
ZBED2	RASSF6	0.7024974667893493	2.5143863191523508E-6
FOXP2	SRBD1	0.6587697525629059	5.221130061627832E-8
ZNF69	SIGLEC5	0.5881597289291474	1.0848683879105536E-4
IKZF2	ERCC2	0.6408172936526846	0.004216573645917876
FOXJ2	FOSL2	0.669816871988279	0.0
ZNF587	ITPR3	0.6365527857956554	1.0848683879105536E-4
SCML4	SMAD4	0.6957114132569444	0.004216573645917876
E2F2	LILRB4	0.6563840727286047	2.5143863191523508E-6
SETBP1	MED10	0.6553326008484256	0.0
RARB	RB1CC1	0.6462783247288331	2.5143863191523508E-6
NR5A1	RPS21	0.6573438953446576	0.004216573645917876
PCGF2	GEMIN7	0.5865357628304788	2.5143863191523508E-6
DMTF1	SFT2D1	0.6625055926073441	0.0
ZNF776	PLCXD1	0.6200285346930889	0.0
ZSCAN23	SLC35B4	0.6357706241676429	0.004216573645917876
ZNF623	KRIT1	0.7201852032144102	0.004216573645917876
TTF1	SEMA4B	0.5762805130637663	0.004216573645917876
FBXL19	FBXO22	0.665286698654451	2.5143863191523508E-6
NFIC	AP1S3	0.6448181702459215	1.0848683879105536E-4
FOXJ2	FOXO3	0.6376343887389185	0.004216573645917876
ZNF687	SNORD116-15	0.6028212031585253	0.004216573645917876
MAX	RASAL2	0.5815026415659129	0.004216573645917876
RELB	HLA-G	0.6391567226005758	0.004216573645917876
RXRA	KIAA2013	0.5567456287532859	0.004216573645917876
ZBTB46	LINS1	0.5879651148132431	0.004216573645917876
ZNF510	SRFBP1	0.5897455314806366	2.5143863191523508E-6
ZNF792	CSTA	0.6262556667166117	1.0848683879105536E-4
ZNF474	PTX3	0.6069708564919729	0.004216573645917876
ZBTB46	LIMK1	0.6374556722771417	0.0
TIGD2	YIPF4	0.6083039870380494	0.004216573645917876
ZNF700	FRS2	0.654350693037511	0.004216573645917876
ZSCAN21	CLSTN1	0.6362913725091944	5.221130061627832E-8
ZNF711	SART3	0.67237434032217	0.004216573645917876
E2F3	CCDC137	0.5797083528875373	0.004216573645917876
RELA	NDUFA11	0.6606858227934613	1.0848683879105536E-4
ZNF165	UBAC1	0.6074260564604168	1.0848683879105536E-4
THAP8	RAB33A	0.6188063128493769	1.0848683879105536E-4
HOXA11	NUMA1	0.6547338364949115	2.5143863191523508E-6
ZNF474	SLC16A8	0.6626425648406098	0.004216573645917876
SP140L	SPATS2	0.6296722403346628	2.5143863191523508E-6
RBCK1	RELL1	0.6551937091287776	0.004216573645917876
ISL2	UTP20	0.6480964496741459	0.0
SREBF2	GJC2	0.5918884273631859	1.0848683879105536E-4
MLXIP	FRMD8	0.6209794694718336	1.0848683879105536E-4
SATB2	SNORD116-15	0.5804591473233514	0.004216573645917876
HEYL	PKD1L1	0.625352492032495	0.0
LHX4	GPSM3	0.6502092351588482	1.0848683879105536E-4
ZNF334	CCNH	0.6272361016532807	0.004216573645917876
THAP5	ISOC1	0.6027909048177721	0.004216573645917876
ZNF334	CDH3	0.6399136534289939	2.5143863191523508E-6
ZNF32	PHB2	0.6839024074428556	1.0848683879105536E-4
ZNF546	LOXHD1	0.5864454170725354	0.004216573645917876
TBX19	NAPSA	0.6265985820551015	0.0
GATA3	CCDC146	0.7029866450651573	0.004216573645917876
NR3C1	NR3C2	0.6093859630144696	0.0
PRDM2	WASH3P	0.5957597284032936	1.0848683879105536E-4
ZNF792	FAT1	0.5908022540614305	2.5143863191523508E-6
NCOA3	TBC1D13	0.6282902958780445	1.0848683879105536E-4
