A	B	nOverlap
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_SUZ12_TARGETS	246
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_EED_TARGETS	257
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_PRC2_TARGETS	217
BENPORATH_ES_WITH_H3K27ME3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	89
BENPORATH_ES_WITH_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K27ME3	67
BENPORATH_ES_WITH_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	80
BENPORATH_ES_WITH_H3K27ME3	MIKKELSEN_NPC_HCP_WITH_H3K27ME3	62
BENPORATH_ES_WITH_H3K27ME3	CAGGTG_V$E12_Q6	108
BENPORATH_ES_WITH_H3K27ME3	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	56
BENPORATH_ES_WITH_H3K27ME3	MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	62
BENPORATH_ES_WITH_H3K27ME3	ANATOMICAL_STRUCTURE_DEVELOPMENT	75
BENPORATH_ES_WITH_H3K27ME3	SYSTEM_DEVELOPMENT	67
BENPORATH_ES_WITH_H3K27ME3	AACTTT_UNKNOWN	101
BENPORATH_ES_WITH_H3K27ME3	TGGAAA_V$NFAT_Q4_01	87
BENPORATH_ES_WITH_H3K27ME3	MULTICELLULAR_ORGANISMAL_DEVELOPMENT	71
BENPORATH_ES_WITH_H3K27ME3	GGGAGGRR_V$MAZ_Q6	99
BENPORATH_ES_WITH_H3K27ME3	TAATTA_V$CHX10_01	58
BENPORATH_ES_WITH_H3K27ME3	YOSHIMURA_MAPK8_TARGETS_UP	56
BENPORATH_ES_WITH_H3K27ME3	CTTTGT_V$LEF1_Q2	82
BENPORATH_ES_WITH_H3K27ME3	TTGTTT_V$FOXO4_01	93
BENPORATH_ES_WITH_H3K27ME3	TRANSC_FACT	97
BENPORATH_ES_WITH_H3K27ME3	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	54
BENPORATH_ES_WITH_H3K27ME3	CTTTAAR_UNKNOWN	51
BENPORATH_ES_WITH_H3K27ME3	CTTTGA_V$LEF1_Q2	67
BENPORATH_ES_WITH_H3K27ME3	CAGCTG_V$AP4_Q5	57
BENPORATH_ES_WITH_H3K27ME3	GGGCGGR_V$SP1_Q6	92
BENPORATH_ES_WITH_H3K27ME3	TATAAA_V$TATA_01	61
