nodeLabel	mIDH1_filtered_25k	Cluster_NR_filtered_25k	distance
MAR00012	0	0.544154311574324	0.389
TFEB	0	0.519821306661995	0.3719
CCDC85B	0	0.498815517775404	0.3571
SCAND1	0.0369277868818282	0.506298989126539	0.3361
B4GALT1	0.0366021176762455	0.486428639771883	0.3224
CAPN2	0	0.448670381999375	0.3218
EIF4EBP1	0.0369277868818282	0.483495918496678	0.3201
CTSZ	0.041712475476952	0.487145169819824	0.3193
F7	0	0.431846895286618	0.31
NEK6	0	0.431463369233192	0.3097
RAB6C	0	0.424943346409255	0.3051
ZNF468	0	0.423125074919645	0.3038
ZNF141	0	0.421109109975193	0.3024
PLCL1	0	0.420894052929238	0.3023
SNX2	0	0.419772894070518	0.3015
ARID4B	0	0.419405080561033	0.3012
SMAD7	0	0.419119099832694	0.301
FKBP15	0.0365303433374105	0.455215401518096	0.3005
ASB6	0	0.415284463189238	0.2983
ABL1	0.0406794440024515	0.4557319997594	0.2979
AFF4	0	0.412859284089775	0.2966
HOMER3	0	0.409390869913454	0.2942
BAALC	0	0.407398153240611	0.2928
OAZ1	0	0.40197223012487	0.289
SPHK1	0	0.400668604521949	0.288
AFAP1L2	0	0.400325682527287	0.2878
MAST4	0	0.399956548120603	0.2875
TAS1R2	0	0.399007308649226	0.2869
ZNF880	0	0.398999352121072	0.2869
HOXB5	0	0.397570454188935	0.2859
IMPDH1	0.0394104371120462	0.430665148729303	0.2811
KCNH8	0	0.390703937906541	0.281
JOSD2	0	0.389187710752421	0.28
ST18	0	0.386968639862284	0.2784
ZNF221	0	0.38697812156407	0.2784
OR10R2	0	0.386458961922	0.278
DENND4A	0	0.386169486416743	0.2778
ZBTB25	0.0553610820933358	0.442065039079656	0.2778
ZNF410	0	0.385224557967218	0.2772
MAP1A	0	0.384952146244911	0.277
RAB24	0	0.380393661460043	0.2738
WSB2	0	0.379140296637021	0.2729
PLCB4	0	0.378412401125418	0.2724
BEND5	0.0372310717361906	0.415300811304971	0.2719
RYK	0	0.376873165370003	0.2713
MORC3	0.0525944574922119	0.429007680102019	0.2706
ADRB1	0	0.375071311435402	0.27
RSRC2	0	0.375047198883615	0.27
HOXB2	0	0.374276937170873	0.2695
TRPS1	0	0.37436377678604	0.2695
EFNB3	0	0.374031618059541	0.2693
BAMBI	0	0.373913737258102	0.2692
VIPR1	0	0.37384075124922	0.2692
ZNF792	0	0.373251147566293	0.2687
CUZD1	0	0.371437901787735	0.2675
EVI2A	0.0649824797357193	0.43412322666224	0.2654
CARD9	0	0.368234153276544	0.2652
BTRC	0.0403372046406036	0.408236081140934	0.2647
LGALS1	0	0.365649996809465	0.2634
OR8B12	0	0.365613869701224	0.2634
FBXW5	0.0465654093686604	0.412565982916617	0.2633
PTN	0	0.36515147688061	0.263
SP2	0	0.36514090109837	0.263
PPIC	0	0.364262284024043	0.2624
CHEK2	0	0.363738655201228	0.2621
PTCH2	0	0.363007361970956	0.2615
HCFC2	0.0347364880006366	0.397922225379325	0.2614
BAP1	0	0.361798401574732	0.2607
FBXL5	0	0.361455830572489	0.2604
SRGAP2	0.0402778065349188	0.401726468683052	0.2602
CTSB	0	0.360942490614353	0.2601
SPHK2	0	0.360740844808057	0.2599
ZNF521	0	0.360537014414635	0.2598
HOXB7	0	0.359938406664744	0.2594
OPN4	0	0.35977802634045	0.2593
PRKAB2	0.0369727246281688	0.397209918836534	0.2593
WSB1	0	0.358570849642666	0.2584
EHBP1L1	0.039728336090174	0.396572916781836	0.2569
ADAM9	0.0396415930316083	0.39546377864921	0.2562
LDB1	0.0532757726205245	0.408802563998403	0.2559
RLIM	0.0446833028003112	0.398955348571653	0.2551
CHMP5	0	0.352423776397507	0.2541
CHRM4	0	0.351733781906866	0.2536
PRR14	0	0.35165049963817	0.2535
TBC1D1	0	0.351435530015897	0.2534
TTL	0.0351457280471822	0.386738051313017	0.2533
FBXO6	0	0.351048241150114	0.2531
CUX2	0	0.350379065799377	0.2527
NAP1L3	0	0.350423310051327	0.2527
RAMP3	0	0.349561099319352	0.2521
PRMT7	0	0.349333857276476	0.2519
ABCG4	0.0361471149788605	0.385526985094934	0.2517
CYB5R2	0	0.348882641721592	0.2516
HRH4	0	0.348948561133596	0.2516
ASGR2	0	0.348453878224628	0.2513
RIPK2	0	0.347607343556097	0.2507
MEOX1	0	0.347453755705121	0.2506
NLRP13	0	0.346407045560392	0.2499
TRHR	0.0401332578059527	0.386888659050885	0.2498
CREG1	0	0.34575872726123	0.2494
ROBO2	0	0.345716745968011	0.2494
GPR87	0	0.345430569137401	0.2492
ZNF786	0	0.345405319479688	0.2492
TBC1D28	0	0.344659339241421	0.2486
OR13J1	0	0.343911617227974	0.2481
OR51B4	0	0.343974029761003	0.2481
SLC20A1	0	0.343418376183958	0.2478
ZNF91	0.129005136159267	0.470935837226737	0.2458
CD300LB	0.129744608370876	0.471552345207218	0.2457
TDRD3	0	0.339150344415716	0.2447
JAK2	0	0.338884612396708	0.2446
CLN3	0.0491084330318226	0.388414294013998	0.2445
RGS22	0	0.338071600165348	0.244
TMX3	0	0.337968508969858	0.2439
OR4D5	0	0.337137891924771	0.2433
TATDN3	0	0.336671555214997	0.243
FOXG1	0	0.3358455575835	0.2424
MMP2	0	0.335851588952775	0.2424
SETBP1	0	0.335815019561722	0.2424
AIFM3	0	0.335090982081179	0.2419
PAK2	0.0467971505219701	0.382271134559342	0.2418
PABPN1L	0	0.333920784869835	0.2411
RBM33	0	0.333776891812636	0.241
TSHZ2	0	0.333864164765241	0.241
