	ID	Description	setSize	enrichmentScore	NES	pvalue	rank	leading_edge	core_enrichment
hsa00590	hsa00590	Arachidonic acid metabolism	2	0.996190807259938	1.57193884451467	0.000184063507930045	2	tags=50%, list=1%, signal=50%	4048
hsa04657	hsa04657	IL-17 signaling pathway	3	-0.917721518987342	-1.70305570446903	0.00331488201127084	30	tags=100%, list=9%, signal=91%	6280/6279
hsa05135	hsa05135	Yersinia infection	9	0.609174676615376	1.44894309037468	0.0361317747077577	98	tags=67%, list=31%, signal=48%	3688/10109/391/5585/1398/7454
hsa04217	hsa04217	Necroptosis	4	0.768685435393133	1.46998381407553	0.0427350427350427	57	tags=50%, list=18%, signal=42%	292/824
hsa04970	hsa04970	Salivary secretion	4	0.765637734730027	1.46415559041129	0.043956043956044	22	tags=25%, list=7%, signal=24%	683
hsa03010	hsa03010	Ribosome	11	0.567453408264167	1.42148548499853	0.0457856399583767	86	tags=64%, list=27%, signal=48%	6144/51021/63931/51069/64928/64968/29074
hsa05414	hsa05414	Dilated cardiomyopathy	2	0.876865805221975	1.38365001022881	0.0476190476190476	4	tags=50%, list=1%, signal=50%	3688
hsa05145	hsa05145	Toxoplasmosis	4	0.747255519713458	1.42900264318862	0.0561660561660562	9	tags=50%, list=3%, signal=49%	3688/2771
hsa05415	hsa05415	Diabetic cardiomyopathy	5	0.707494341406024	1.4453416163488	0.0582072176949942	33	tags=40%, list=10%, signal=36%	5164/292
hsa05100	hsa05100	Bacterial invasion of epithelial cells	6	0.664774539806129	1.43131537261921	0.0588901472253681	99	tags=83%, list=31%, signal=59%	3688/10109/391/1398/1212
hsa04912	hsa04912	GnRH signaling pathway	4	-0.66984126984127	-1.43419480131461	0.0600883010767598	109	tags=100%, list=34%, signal=67%	998/2778/2776
hsa04530	hsa04530	Tight junction	6	0.656982826523661	1.41453916003518	0.0634201585503964	98	tags=67%, list=31%, signal=47%	3688/10109/7277/7454
hsa03018	hsa03018	RNA degradation	3	0.787957001013846	1.40176741638799	0.0710526315789474	28	tags=67%, list=9%, signal=61%	3313/5393
hsa04972	hsa04972	Pancreatic secretion	3	0.767025505090332	1.36453050000285	0.0802631578947368	22	tags=33%, list=7%, signal=31%	683
hsa04750	hsa04750	Inflammatory mediator regulation of TRP channels	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa04911	hsa04911	Insulin secretion	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa04913	hsa04913	Ovarian steroidogenesis	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=50%, list=17%, signal=42%	240
hsa04918	hsa04918	Thyroid hormone synthesis	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa04922	hsa04922	Glucagon signaling pathway	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa04925	hsa04925	Aldosterone synthesis and secretion	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa04927	hsa04927	Cortisol synthesis and secretion	2	-0.83596214511041	-1.34567596351232	0.0818181818181818	55	tags=100%, list=17%, signal=83%	2776
hsa05131	hsa05131	Shigellosis	8	0.584643637500147	1.3411262188443	0.0880434782608696	90	tags=62%, list=28%, signal=46%	3688/10109/9252/824/1398
