	ID	Description	setSize	enrichmentScore	NES	pvalue	rank	leading_edge	core_enrichment
WP167	WP167	Eicosanoid synthesis	3	0.961581500430277	1.69196091511926	0.00187655979881189	2	tags=33%, list=1%, signal=33%	4048
WP5171	WP5171	Leukotriene metabolic pathway	3	0.961581500430277	1.69196091511926	0.00187655979881189	2	tags=33%, list=1%, signal=33%	4048
WP5356	WP5356	Disturbed pathways in Duchenne Muscular Dystrophy	5	0.833350697488047	1.70094786008068	0.00366878183675844	33	tags=40%, list=10%, signal=36%	3313/292
WP5122	WP5122	Prostaglandin and leukotriene metabolism in senescence 	5	0.812351842797259	1.65808720482701	0.00667569515872199	2	tags=20%, list=1%, signal=20%	4048
WP5321	WP5321	Prostaglandin and leukotriene metabolism in senescence 	5	0.812351842797259	1.65808720482701	0.00667569515872199	2	tags=20%, list=1%, signal=20%	4048
WP15	WP15	Selenium micronutrient network	2	-0.943217665615142	-1.52815241772907	0.0104129137717939	21	tags=50%, list=7%, signal=47%	240
WP5316	WP5316	Primary ovarian insufficiency	3	-0.838607594936709	-1.56669540583816	0.0186863412801958	55	tags=100%, list=17%, signal=84%	26284/56945
WP2865	WP2865	IL1 and megakaryocytes in obesity	2	-0.914826498422713	-1.48215451886766	0.0230007491628545	30	tags=100%, list=9%, signal=91%	6280
WP129	WP129	Matrix metalloproteinases	2	0.924559159756675	1.44586586040715	0.0259946204735129	6	tags=50%, list=2%, signal=49%	682
WP5355	WP5355	Metabolic Epileptic Disorders	6	0.717642537110249	1.54669260181198	0.026050944590106	46	tags=67%, list=14%, signal=58%	6515/292/2821/1892
WP2840	WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	4	0.764974041839651	1.4632807232682	0.0420792079207921	77	tags=75%, list=24%, signal=58%	6275/864/2908
WP5055	WP5055	Burn wound healing	5	-0.640127388535032	-1.4905301132378	0.0437124500225188	119	tags=100%, list=37%, signal=64%	2162/4318/6282/6280
WP5283	WP5283	Chronic hyperglycemia impairment of neuron function	2	0.895655632656734	1.40066526654774	0.0467289719626168	15	tags=50%, list=5%, signal=48%	6515
WP4721	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	3	0.80260300655605	1.41222862216296	0.0604467805519054	2	tags=33%, list=1%, signal=33%	4048
WP5322	WP5322	CKAP4 signaling pathway map	5	0.693121356496268	1.41472646709515	0.0609613130128957	32	tags=40%, list=10%, signal=37%	3688/10970
WP3932	WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	4	0.70862668249717	1.35549666757052	0.0866336633663366	15	tags=50%, list=5%, signal=48%	3688/6515
WP289	WP289	Myometrial relaxation and contraction pathways	2	-0.83596214511041	-1.35438257758596	0.0886426592797784	55	tags=100%, list=17%, signal=83%	2776
WP4941	WP4941	GPR143 in melanocytes and retinal pigment epithelium cells	2	-0.83596214511041	-1.35438257758596	0.0886426592797784	55	tags=100%, list=17%, signal=83%	2776
WP534	WP534	Glycolysis and gluconeogenesis	3	0.75958333393655	1.33653290149773	0.0893561103810775	35	tags=67%, list=11%, signal=60%	6515/2821
WP2272	WP2272	Pathogenic Escherichia coli infection	5	0.658268491164667	1.3435884613526	0.0996483001172333	98	tags=80%, list=31%, signal=56%	3688/10109/7277/7454
