	ID	Description	setSize	enrichmentScore	NES	pvalue	rank	leading_edge	core_enrichment
hsa05146	hsa05146	Amoebiasis	7	0.814035106820682	1.74964819290655	0.00164701386794103	33	tags=43%, list=11%, signal=39%	5869/2778/7097
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	3	0.913793103448276	1.59484343270255	0.00728180047364432	28	tags=100%, list=10%, signal=91%	5869/4905/2778
hsa04972	hsa04972	Pancreatic secretion	4	0.828592862743426	1.56277992095553	0.0136249703929987	28	tags=50%, list=10%, signal=46%	760/2778
hsa04072	hsa04072	Phospholipase D signaling pathway	3	0.85259764659007	1.48803897979822	0.0286465569647064	28	tags=67%, list=10%, signal=61%	5898/2778
hsa03082	hsa03082	ATP-dependent chromatin remodeling	4	0.795272987564195	1.49993647366051	0.0297619047619048	58	tags=75%, list=20%, signal=61%	57459/10524/57492
hsa03010	hsa03010	Ribosome	7	0.680926846568791	1.4635516535076	0.0346695557963164	68	tags=71%, list=23%, signal=56%	6164/51069/3921/63931/6144
hsa04611	hsa04611	Platelet activation	4	0.772111512034509	1.45625242746	0.0380952380952381	28	tags=50%, list=10%, signal=46%	8673/2778
hsa04913	hsa04913	Ovarian steroidogenesis	2	0.90616632465991	1.42207691798241	0.0384292690404901	28	tags=50%, list=10%, signal=46%	2778
hsa04971	hsa04971	Gastric acid secretion	4	0.766750437310719	1.44614109255743	0.0404761904761905	28	tags=50%, list=10%, signal=46%	760/2778
hsa04970	hsa04970	Salivary secretion	4	0.755782341357645	1.42545455167916	0.0464285714285714	28	tags=25%, list=10%, signal=23%	2778
hsa04670	hsa04670	Leukocyte transendothelial migration	7	-0.520979020979021	-1.38423058599333	0.0475830616660456	145	tags=100%, list=49%, signal=52%	2771/4689/4318/1536/4688/3684
hsa05132	hsa05132	Salmonella infection	11	0.599715124386066	1.41144693687928	0.0476190476190476	86	tags=64%, list=29%, signal=47%	5898/5869/127829/7097/112574/5585/7184
hsa04270	hsa04270	Vascular smooth muscle contraction	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04750	hsa04750	Inflammatory mediator regulation of TRP channels	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04911	hsa04911	Insulin secretion	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04925	hsa04925	Aldosterone synthesis and secretion	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04927	hsa04927	Cortisol synthesis and secretion	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04961	hsa04961	Endocrine and other factor-regulated calcium reabsorption	2	0.848078345968901	1.33091752322148	0.0762331838565022	28	tags=50%, list=10%, signal=46%	2778
hsa04614	hsa04614	Renin-angiotensin system	2	0.846511294184106	1.32845829679494	0.0762331838565022	31	tags=50%, list=11%, signal=45%	10159
hsa04668	hsa04668	TNF signaling pathway	2	-0.828178694158076	-1.37941525292631	0.0805746595368507	53	tags=100%, list=18%, signal=82%	1051
hsa04014	hsa04014	Ras signaling pathway	5	0.678077314484947	1.34078117872742	0.0839080459770115	19	tags=40%, list=6%, signal=38%	5898/5869
hsa05162	hsa05162	Measles	3	0.759835339277651	1.32614089142211	0.0856777493606138	45	tags=67%, list=15%, signal=57%	7097/57506
hsa04620	hsa04620	Toll-like receptor signaling pathway	3	0.755999357370214	1.3194459508169	0.0895140664961637	46	tags=67%, list=16%, signal=57%	7097/54472
hsa04066	hsa04066	HIF-1 signaling pathway	2	-0.804123711340206	-1.33934924972928	0.0898203592814371	60	tags=100%, list=20%, signal=80%	1536
hsa04380	hsa04380	Osteoclast differentiation	3	-0.7	-1.33396345305608	0.0963584329150487	91	tags=100%, list=31%, signal=70%	4688/140885
hsa04144	hsa04144	Endocytosis	7	0.624226533637877	1.34168270802161	0.0964247020585049	19	tags=29%, list=6%, signal=27%	30011/5869
