accession	gene_name	IDHwt_1.raw	IDHwt_2.raw	IDHwt_3.raw	IDHwt_4.raw	mIDH1_1.raw	mIDH1_2.raw	mIDH1_3.raw	mIDH1_4.raw	mIDH2_1.raw	mIDH2_2.raw	mIDH2_3.raw	mIDH2_4.raw	IDH2_vs_IDH1_ratio	IDH2_vs_IDH1_t.test	IDH2_vs_IDH1_logFC	IDH2_vs_IDH1_p.value
Q15149	PLEC	441505.12	662336.62	694724.19	1081734.12	1847808.5	1760226.25	1963573.12	2061476	1002654.62	1319979.5	1097772.25	2041639.12	0.634350477347372	0.100523653079382	-0.656647948174163	0.997731737315934
E9PMV1	PLEC	227262.22	137434.28	152390.17	25125.38	46061.79	417413.19	23459.49	403976.59	58023.66	538989.62	1083905.25	805124.5	2.98666553728151	0.170793016694638	1.57853568601752	0.76752989051461
Q09666	AHNAK	189347168	213631296	197014720	196124432	163172576	166613296	144641760	135279520	129426432	134512496	113590656	132237024	0.85006910139494	0.0364137327904346	-0.234347973416153	1.43873479903382
P35579	MYH9	236918704	222320304	257343424	257621104	374486176	357171520	253037568	303098208	400878560	332150720	367425856	299452608	1.05953150104134	0.45771710084943	0.0834264812641531	0.339402861516759
P78527	PRKDC	320685952	309273120	290370144	289552032	296875808	282414464	261044448	275744672	268411088	244557232	239301680	230540512	0.866883440209424	0.0233431686753891	-0.206090070917305	1.63184019178544
Q14204	DYNC1H1	100837656	88956792	81876096	85356560	127096136	122197568	106703976	116109832	125752608	121039360	115036640	114749720	0.990636463659962	0.836072775631179	-0.0135723697627844	0.0777559179205176
P21333	FLNA	162748064	156641936	145151584	122275936	275245792	284898048	174136976	220025744	268988160	195230336	250417248	218796288	0.947386437325968	0.87103170061731	-0.077975076274605	0.0599660388469406
Q9Y490	TLN1	151717040	149315808	126279680	125727408	208031424	202389104	166276304	187896304	200387120	164363120	182582560	160730592	0.888953757656243	0.320377457891248	-0.169819721203711	0.494338048948124
P46013	MKI67	48738880	88655048	91496336	80326520	64585108	72951296	116852600	57377532	54905872	74715832	78369352	75152904	1.08966594764249	0.645439048111981	0.123885924411285	0.190144763960665
Q6P2Q9	PRPF8	100290488	151193744	155665456	172673568	134669184	124191136	164497616	95353424	97877224	101334072	139485888	96893272	0.769570616307667	0.285987843363773	-0.377874379610618	0.543652427263408
P49327	FASN	249230448	198310016	197111968	197013472	126839072	132307784	151386032	134785216	152451584	127376744	143516288	140809824	1.06452101702403	0.5484229247121	0.0902044334511056	0.2608843994918
O75643	SNRNP200	90405336	121571192	121162760	135178144	107474248	102042576	128890688	74449728	78006488	85483112	104473848	76976296	0.780317288505672	0.247549259031555	-0.357867230557364	0.606338369267817
P12270	TPR	68729984	78481256	81703384	73709048	88769608	92396640	91292952	77700736	60728008	68514232	72903264	75883112	0.78537979244547	0.00868299878171047	-0.348537616457484	2.06133025991207
Q14980	NUMA1	14632114	18550324	23017442	18692240	38808228	35932792	39779168	26735172	24780418	30075164	30913046	29058046	0.791174779257762	0.110066313928665	-0.337931657692884	0.958345577607664
P15924	DSP	72965.05	7368254	3338354.5	2745654	1296926.5	128787600	1658182.25	3060577.75	15132245	1355635.12	328241888	1985907.62	3.62768028465105	0.574479333725101	1.85904731361909	0.240725589970623
Q92616	GCN1	88662144	83124280	77216168	83594752	62693956	58963444	65295892	63972748	64085340	61226680	56863404	58630888	0.946243679001863	0.27102167067984	-0.0797163370974469	0.566995981891656
Q14152	EIF3A	131015752	99094208	103529960	94250000	75371544	83939928	71732872	76951072	107010800	88316488	105521040	80660184	1.27254594944719	0.0591475799762182	0.347717750479951	1.22806301983529
P07814	EPRS1	162478752	146907536	149290032	133566872	102317120	111731320	92309176	94781672	110718648	90735848	116074528	94871584	1.04308215141166	0.721784530301952	0.060852786589117	0.141592430223997
A0A087WVQ6	CLTC	152410912	116391448	114930752	114676808	123479936	125400536	104001696	121929152	164100816	121715592	142998912	121584576	1.07866626357374	0.164282533758936	0.10924856791793	0.784408607565168
