"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Plasma Membrane Raft (GO:0044853)" "6/82" 0.00202260399150097 0.230829872114379 0 0 4.92893060677171 30.5759777593965 "PTGIS;MYOF;TREM2;TFPI;MS4A4A;CD320"
"2" "Smooth Endoplasmic Reticulum (GO:0005790)" "3/19" 0.00325112495935745 0.230829872114379 0 0 11.6309148264984 66.6306521760188 "MYO1D;SLMAP;HYOU1"
"3" "Caveola (GO:0005901)" "4/62" 0.0173484174148053 0.651900669982146 0 0 4.28240942819729 17.3619755197956 "PTGIS;MYOF;TFPI;CD320"
"4" "Supramolecular Fiber (GO:0099512)" "3/36" 0.0196241410889184 0.651900669982146 0 0 5.63435618009751 22.1486247463786 "MYH3;TNK2;FBLN5"
"5" "Actin Filament (GO:0005884)" "4/71" 0.0270520366969056 0.651900669982146 0 0 3.70546004156433 13.3766847478644 "GAS2L3;MYO1B;COTL1;AIF1L"
"6" "Lytic Vacuole (GO:0000323)" "8/223" 0.02754509873164 0.651900669982146 0 0 2.32140727489565 8.33833397360554 "GRN;NPC2;HPS4;TMEM106B;CD1D;TINAG;TMEM175;ITM2C"
"7" "Clathrin-Coated Vesicle (GO:0030136)" "4/78" 0.0364552867937351 0.73050336402854 0 0 3.35374615121451 11.1064964541762 "LMBRD1;TNK2;GPR107;ATP7A"
"8" "Protein Carboxyl O-methyltransferase Activity (GO:0051998)" "2/5" 0.00247187878890137 0.355950545601797 0 0 41.251572327044 247.623980264211 "PCMT1;PCMTD1"
"9" "Chitinase Activity (GO:0004568)" "2/5" 0.00247187878890137 0.355950545601797 0 0 41.251572327044 247.623980264211 "CHI3L2;CTBS"
"10" "Clathrin Heavy Chain Binding (GO:0032050)" "2/9" 0.00852957876346573 0.575265335102596 0 0 17.6756513926325 84.2106088313138 "LMBRD1;GPR107"
"11" "GDP-dissociation Inhibitor Activity (GO:0005092)" "2/12" 0.0151506387379318 0.575265335102596 0 0 12.3710691823899 51.8312242680564 "GPSM2;RGS14"
"12" "Frizzled Binding (GO:0005109)" "3/33" 0.0155296781026663 0.575265335102596 0 0 6.198738170347 25.8177591673348 "WNT10A;WNT8A;WNT2"
"13" "Monoatomic Cation Channel Activity (GO:0005261)" "5/105" 0.0268392226600383 0.575265335102596 0 0 3.10793650793651 11.2441753008841 "HVCN1;TRPV2;TRPM7;KCNN4;TMEM175"
"14" "Protein Tyrosine Kinase Binding (GO:1990782)" "4/85" 0.0475195297901406 0.575265335102596 0 0 3.06282231598687 9.33123887564017 "ACVR1;SHC4;CEACAM20;TREM2"
"15" "Semaphorin Receptor Binding (GO:0030215)" "2/22" 0.0477647736942279 0.575265335102596 0 0 6.18238993710692 18.8035341289122 "SEMA3C;SEMA3B"
"16" "Extrinsic Pathway Of Fibrin Clot Formation R-HSA-140834" "2/5" 0.00247187878890137 0.523716136076796 0 0 41.251572327044 247.623980264211 "F7;TFPI"
"17" "Defects In Vitamin And Cofactor Metabolism R-HSA-3296482" "3/21" 0.00435820750660107 0.523716136076796 0 0 10.3375394321767 56.1917054958234 "LMBRD1;SP8;CD320"
"18" "Transport Of RCbl Within Body R-HSA-9758890" "2/8" 0.00670462746882754 0.523716136076796 0 0 20.622641509434 103.2154406628 "LMBRD1;CD320"
"19" "WNT Ligand Biogenesis And Trafficking R-HSA-3238698" "3/26" 0.00803283145273999 0.523716136076796 0 0 8.08819092031271 39.0191978741318 "WNT10A;WNT8A;WNT2"
"20" "Sperm Motility And Taxes R-HSA-1300642" "2/9" 0.00852957876346573 0.523716136076796 0 0 17.6756513926325 84.2106088313138 "CATSPER1;HVCN1"
"21" "Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933" "6/123" 0.0142961552620069 0.604380417062801 0 0 3.19500244977952 13.5716184330053 "TREML2;CD300LB;TREM2;CD300C;CD1D;CD22"
"22" "Cell-cell Junction Organization R-HSA-421270" "4/61" 0.0164305230386068 0.604380417062801 0 0 4.35776149233844 17.9043621119423 "CLDN11;CADM3;CDH24;CLDN16"
"23" "Glutamate And Glutamine Metabolism R-HSA-8964539" "2/13" 0.0177179926826228 0.604380417062801 0 0 11.2458547741567 45.3564960551493 "OAT;RIMKLB"
"24" "Defects In Cobalamin (B12) Metabolism R-HSA-3296469" "2/13" 0.0177179926826228 0.604380417062801 0 0 11.2458547741567 45.3564960551493 "LMBRD1;CD320"
"25" "Metabolism Of Vitamins And Cofactors R-HSA-196854" "7/186" 0.0304402213795498 0.891460905919343 0 0 2.43645028289932 8.5080611767054 "VKORC1;VKORC1L1;LMBRD1;PTGIS;SP8;NADK;CD320"
"26" "LDL Clearance R-HSA-8964038" "2/18" 0.0329813766764685 0.891460905919343 0 0 7.72955974842767 26.371806404554 "SCGB1D1;NPC2"
"27" "Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741" "2/21" 0.0438758971067241 0.891460905919343 0 0 6.50810989738497 20.3468906817397 "LMBRD1;CD320"
"28" "Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849" "5/122" 0.0464756039238283 0.891460905919343 0 0 2.65404965404965 8.14482123051727 "LMBRD1;PTGIS;SP8;NADK;CD320"
"29" "Cell Junction Organization R-HSA-446728" "4/86" 0.0492359375880649 0.891460905919343 0 0 3.0253164556962 9.1096256268214 "CLDN11;CADM3;CDH24;CLDN16"
"30" "Ubiquinone and other terpenoid-quinone biosynthesis" "2/11" 0.0127591850885473 0.99970380075741 0 0 13.7463312368973 59.954676855572 "VKORC1;VKORC1L1"
"31" "Signaling pathways regulating pluripotency of stem cells" "6/143" 0.0276778387171142 0.99970380075741 0 0 2.72578920451904 9.77774178191075 "ACVR1;WNT10A;ESRRB;WNT8A;BMPR1B;WNT2"
"32" "Vitamin K Metabolism And Activation Of Dependent Proteins WP5186" "3/13" 0.00103023279933298 0.169988411889941 0 0 18.615141955836 128.034396918572 "VKORC1;VKORC1L1;F7"
"33" "TYROBP Causal Network In Microglia WP3945" "4/61" 0.0164305230386068 0.826323023656759 0 0 4.35776149233844 17.9043621119423 "FKBP15;KCNE3;NPC2;CD37"
