"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Organophosphate Ester Transport (GO:0015748)" "4/25" 0.00062382766601531 0.610477119966872 0 0 11.8499095840868 87.4480241507886 "PRELID1;OSBPL5;NPC2;PCTP"
"2" "Chitin Catabolic Process (GO:0006032)" "2/5" 0.00247187878890137 0.610477119966872 0 0 41.251572327044 247.623980264211 "CHI3L2;CTBS"
"3" "Chitin Metabolic Process (GO:0006030)" "2/5" 0.00247187878890137 0.610477119966872 0 0 41.251572327044 247.623980264211 "CHI3L2;CTBS"
"4" "Embryonic Brain Development (GO:1990403)" "2/5" 0.00247187878890137 0.610477119966872 0 0 41.251572327044 247.623980264211 "RNF112;MFSD2A"
"5" "Phospholipid Transport (GO:0015914)" "5/59" 0.00251029313777125 0.610477119966872 0 0 5.7689594356261 34.5408124178427 "PRELID1;OSBPL5;NPC2;PCTP;MFSD2A"
"6" "Lysosome Organization (GO:0007040)" "4/43" 0.00485725680025375 0.610477119966872 0 0 6.37487828627069 33.9607708074401 "GRN;HPS4;TMEM106B;TMEM175"
"7" "Glucosamine-Containing Compound Catabolic Process (GO:1901072)" "2/8" 0.00670462746882754 0.610477119966872 0 0 20.622641509434 103.2154406628 "CHI3L2;CTBS"
"8" "Vitamin K Metabolic Process (GO:0042373)" "2/8" 0.00670462746882754 0.610477119966872 0 0 20.622641509434 103.2154406628 "VKORC1;VKORC1L1"
"9" "Quinone Metabolic Process (GO:1901661)" "2/9" 0.00852957876346573 0.610477119966872 0 0 17.6756513926325 84.2106088313138 "VKORC1;VKORC1L1"
"10" "Muscle Cell Migration (GO:0014812)" "2/9" 0.00852957876346573 0.610477119966872 0 0 17.6756513926325 84.2106088313138 "DDR1;THBS4"
"11" "Alpha-Amino Acid Metabolic Process (GO:1901605)" "3/29" 0.0108987817914121 0.610477119966872 0 0 7.15384615384615 32.3289766167021 "THAP4;ATP7A;RIMKLB"
"12" "post-Golgi Vesicle-Mediated Transport (GO:0006892)" "4/56" 0.0123008521498334 0.610477119966872 0 0 4.77799415774099 21.0140327419311 "MYO1B;OSBPL5;KIF16B;VPS13A"
"13" "Macrophage Activation Involved In Immune Response (GO:0002281)" "2/11" 0.0127591850885473 0.610477119966872 0 0 13.7463312368973 59.954676855572 "GRN;TREM2"
"14" "Astrocyte Activation (GO:0048143)" "2/12" 0.0151506387379318 0.610477119966872 0 0 12.3710691823899 51.8312242680564 "GRN;TREM2"
"15" "Negative Regulation Of Neuroinflammatory Response (GO:0150079)" "2/13" 0.0177179926826228 0.610477119966872 0 0 11.2458547741567 45.3564960551493 "GRN;TREM2"
"16" "Regulation Of Cell Projection Organization (GO:0031344)" "2/13" 0.0177179926826228 0.610477119966872 0 0 11.2458547741567 45.3564960551493 "TREM2;MFSD2A"
"17" "Lytic Vacuole Organization (GO:0080171)" "3/36" 0.0196241410889184 0.610477119966872 0 0 5.63435618009751 22.1486247463786 "GRN;HPS4;TMEM106B"
"18" "Aminoglycan Catabolic Process (GO:0006026)" "2/14" 0.0204550424360228 0.610477119966872 0 0 10.3081761006289 40.0939174406629 "CHI3L2;CTBS"
"19" "Regulation Of Microglial Cell Activation (GO:1903978)" "2/14" 0.0204550424360228 0.610477119966872 0 0 10.3081761006289 40.0939174406629 "GRN;TREM2"
"20" "Generation Of Neurons (GO:0048699)" "7/172" 0.0209873309697117 0.610477119966872 0 0 2.64507696776067 10.2201444320116 "RNF112;WNT10A;WNT8A;SMARCA1;WNT2;ASTN1;ITM2C"
"21" "Neuron Differentiation (GO:0030182)" "7/173" 0.0215841135642785 0.610477119966872 0 0 2.62900804495939 10.0843430595316 "EPHA5;RNF112;WNT10A;WNT8A;SMARCA1;WNT2;ITM2C"
"22" "Regulation Of Neurotransmitter Secretion (GO:0046928)" "3/38" 0.0226527204972796 0.610477119966872 0 0 5.31185218566922 20.1185090780138 "PNKD;FER1L4;MYOF"
"23" "Golgi To Endosome Transport (GO:0006895)" "2/15" 0.0233557359443626 0.610477119966872 0 0 9.514755684567 35.7461062243344 "KIF16B;VPS13A"
"24" "Cellular Response To Zinc Ion (GO:0071294)" "2/15" 0.0233557359443626 0.610477119966872 0 0 9.514755684567 35.7461062243344 "HVCN1;MT1G"
"25" "Regulation Of Oxidative Phosphorylation (GO:0002082)" "2/17" 0.0296245885827482 0.610477119966872 0 0 8.24528301886792 29.0163924119588 "ATP7A;COX7A1"
"26" "Carbohydrate Derivative Transport (GO:1901264)" "2/17" 0.0296245885827482 0.610477119966872 0 0 8.24528301886792 29.0163924119588 "NPC2;MFSD2A"
"27" "Regulation Of Aerobic Respiration (GO:1903715)" "2/17" 0.0296245885827482 0.610477119966872 0 0 8.24528301886792 29.0163924119588 "ATP7A;COX7A1"
"28" "Lipid Transport (GO:0006869)" "5/108" 0.0298263418512572 0.610477119966872 0 0 3.01695176452458 10.5966307195111 "PRELID1;OSBPL5;NPC2;PCTP;MFSD2A"
"29" "Vesicle Transport Along Actin Filament (GO:0030050)" "2/18" 0.0329813766764685 0.610477119966872 0 0 7.72955974842767 26.371806404554 "MYO1D;MYO1B"
"30" "Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338)" "2/19" 0.0364790602326385 0.610477119966872 0 0 7.27450980392157 24.0860247201344 "CLDN11;CLDN16"
"31" "Dopamine Metabolic Process (GO:0042417)" "2/19" 0.0364790602326385 0.610477119966872 0 0 7.27450980392157 24.0860247201344 "MOXD1;ATP7A"
"32" "Skeletal Muscle Contraction (GO:0003009)" "2/19" 0.0364790602326385 0.610477119966872 0 0 7.27450980392157 24.0860247201344 "MYH3;STAC2"
"33" "Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843)" "2/19" 0.0364790602326385 0.610477119966872 0 0 7.27450980392157 24.0860247201344 "SEMA3C;SEMA3B"
"34" "Vacuolar Transport (GO:0007034)" "3/46" 0.0371532952164853 0.610477119966872 0 0 4.32183992370332 14.2305344673839 "GRN;VPS13A;TMEM106B"
"35" "Actin Filament-Based Transport (GO:0099515)" "2/20" 0.0401123016474221 0.610477119966872 0 0 6.87002096436059 22.0944835568841 "MYO1D;MYO1B"
"36" "Microglial Cell Activation (GO:0001774)" "2/20" 0.0401123016474221 0.610477119966872 0 0 6.87002096436059 22.0944835568841 "GRN;TREM2"
"37" "Chloride Transmembrane Transport (GO:1902476)" "3/48" 0.0413667370919939 0.610477119966872 0 0 4.12933753943218 13.1530887332018 "ANO8;CLCN3;GABRG2"
"38" "Regulation Of Neurotransmitter Transport (GO:0051588)" "2/21" 0.0438758971067241 0.610477119966872 0 0 6.50810989738497 20.3468906817397 "FER1L4;MYOF"
"39" "snRNA Metabolic Process (GO:0016073)" "2/21" 0.0438758971067241 0.610477119966872 0 0 6.50810989738497 20.3468906817397 "USPL1;TUT1"
"40" "Protein Mannosylation (GO:0035268)" "2/21" 0.0438758971067241 0.610477119966872 0 0 6.50810989738497 20.3468906817397 "DPY19L3;TMTC3"
"41" "Peptidyl-Glutamic Acid Modification (GO:0018200)" "2/22" 0.0477647736942279 0.610477119966872 0 0 6.18238993710692 18.8035341289122 "VKORC1;VKORC1L1"
"42" "Positive Regulation Of Cholesterol Efflux (GO:0010875)" "2/22" 0.0477647736942279 0.610477119966872 0 0 6.18238993710692 18.8035341289122 "EEPD1;TREM2"
"43" "Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)" "3/51" 0.0481165477659571 0.610477119966872 0 0 3.87066246056782 11.7440897342107 "GPSM2;STAC2;TREM2"
