"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "CatSper Complex (GO:0036128)" "2/13" 0.019423058437434 0.999975633363062 0 0 10.6984213391399 42.1656274651613 "CATSPER1;CATSPERB"
"2" "MHC Class I Receptor Activity (GO:0032393)" "2/11" 0.0140017419431125 0.716487816518165 0 0 13.0771789753826 55.8209000553773 "LILRA1;MR1"
"3" "Complement Receptor Activity (GO:0004875)" "2/11" 0.0140017419431125 0.716487816518165 0 0 13.0771789753826 55.8209000553773 "C5AR2;FPR1"
"4" "Pseudouridine Synthase Activity (GO:0009982)" "2/11" 0.0140017419431125 0.716487816518165 0 0 13.0771789753826 55.8209000553773 "TRUB2;PUS1"
"5" "Catalytic Activity, Acting On A tRNA (GO:0140101)" "3/39" 0.0275032029399992 0.716487816518165 0 0 4.91191191191191 17.650723665016 "DTWD1;TARS2;DUS4L"
"6" "Phosphatidylinositol Phosphate Binding (GO:1901981)" "5/109" 0.0368917956991501 0.716487816518165 0 0 2.84104113409249 9.37477119864478 "MYO1B;SNX24;SNX11;PLEKHA4;RCSD1"
"7" "tRNA Modification In Mitochondrion R-HSA-6787450" "3/9" 0.000366175000967488 0.0848832701152098 0 0 29.5165165165165 233.546461498449 "PUS1;MTO1;GTPBP3"
"8" "Metallothioneins Bind Metals R-HSA-5661231" "3/11" 0.000701514629051321 0.0848832701152098 0 0 22.1351351351351 160.751301379302 "MT2A;MT1B;MT1E"
"9" "Response To Metal Ions R-HSA-5660526" "3/14" 0.00149074103883135 0.120253110465729 0 0 16.0958230958231 104.759373947279 "MT2A;MT1B;MT1E"
"10" "Sperm Motility And Taxes R-HSA-1300642" "2/9" 0.00937012505883699 0.566892566059638 0 0 16.8152266894782 78.5309565706474 "CATSPER1;CATSPERB"
"11" "Defects In Cobalamin (B12) Metabolism R-HSA-3296469" "2/13" 0.019423058437434 0.940076028371806 0 0 10.6984213391399 42.1656274651613 "MMACHC;CD320"
"12" "RND1 GTPase Cycle R-HSA-9696273" "3/42" 0.0333096056181238 0.983012891964586 0 0 4.53337953337953 15.4221467502526 "UBXN11;EPSTI1;PKP4"
"13" "Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844" "2/20" 0.0438132605639236 0.983012891964586 0 0 6.53559547571524 20.4421581028527 "PPFIBP2;LRRC4B"
"14" "Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741" "2/21" 0.0478995771995289 0.983012891964586 0 0 6.19130160731169 18.8131899695095 "MMACHC;CD320"
"15" "Defects In Vitamin And Cofactor Metabolism R-HSA-3296482" "2/21" 0.0478995771995289 0.983012891964586 0 0 6.19130160731169 18.8131899695095 "MMACHC;CD320"
"16" "Mitochondrial tRNA Aminoacylation R-HSA-379726" "2/21" 0.0478995771995289 0.983012891964586 0 0 6.19130160731169 18.8131899695095 "SARS2;TARS2"
"17" "Mineral absorption" "4/60" 0.0182571134371822 0.99988726763688 0 0 4.21858864027539 16.8878561435711 "MT2A;SLC31A1;MT1B;MT1E"
"18" "Copper Homeostasis WP3286" "4/51" 0.0105160990623871 0.551644164441142 0 0 5.02871058702897 22.9050121185313 "MT2A;SLC31A1;MT1B;MT1E"
"19" "Ciliopathies WP4803" "8/184" 0.0127840068545927 0.551644164441142 0 0 2.70066518847007 11.7737128844692 "RSPH1;KIAA0586;CSPP1;NEK1;IFT122;HYLS1;PIBF1;WDR35"
"20" "Vitamin B12 Disorders WP4271" "2/13" 0.019423058437434 0.551644164441142 0 0 10.6984213391399 42.1656274651613 "MMACHC;CD320"
"21" "Zinc Homeostasis WP3529" "3/36" 0.022288653108733 0.551644164441142 0 0 5.35926835926836 20.3849287919781 "MT2A;MT1B;MT1E"
"22" "7Q11 23 Distal Copy Number Variation WP5401" "2/21" 0.0478995771995289 0.810861085611584 0 0 6.19130160731169 18.8131899695095 "TMEM120B;RHBDD2"
