"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "tRNA Modification (GO:0006400)" "6/67" 0.000906645943564639 0.698835555301676 0 0 5.84292101341282 40.9340938114358 "DTWD1;PUS1;CDKAL1;DUS4L;MTO1;GTPBP3"
"2" "Cellular Response To Zinc Ion (GO:0071294)" "3/15" 0.00184036442075263 0.698835555301676 0 0 14.7537537537538 92.9160675242958 "MT2A;MT1B;MT1E"
"3" "Positive Regulation Of Pyruvate Dehydrogenase Activity (GO:1904184)" "2/5" 0.00272126085887603 0.698835555301676 0 0 39.2435129740519 231.798086578276 "PPM1M;PPM1H"
"4" "Regulation Of Pyruvate Dehydrogenase Activity (GO:1904182)" "2/6" 0.0040366371929787 0.698835555301676 0 0 29.4311377245509 162.234535188811 "PPM1M;PPM1H"
"5" "Cellular Response To Copper Ion (GO:0071280)" "3/20" 0.00433334611417196 0.698835555301676 0 0 10.4117647058824 56.6547353621218 "MT2A;MT1B;MT1E"
"6" "Negative Regulation Of Inflammatory Response To Wounding (GO:0106015)" "2/7" 0.00558872296325152 0.698835555301676 0 0 23.5437125748503 122.121342322286 "REG3A;SIGLEC10"
"7" "tRNA Aminoacylation For Mitochondrial Protein Translation (GO:0070127)" "2/7" 0.00558872296325152 0.698835555301676 0 0 23.5437125748503 122.121342322286 "SARS2;TARS2"
"8" "Response To Copper Ion (GO:0046688)" "3/24" 0.00732205037877309 0.698835555301676 0 0 8.42685542685543 41.4337095295156 "MT2A;MT1B;MT1E"
"9" "mRNA Pseudouridine Synthesis (GO:1990481)" "2/8" 0.00736924127622524 0.698835555301676 0 0 19.6187624750499 96.336766321083 "TRUB2;PUS1"
"10" "Response To Zinc Ion (GO:0010043)" "3/25" 0.0082184061630563 0.698835555301676 0 0 8.04340704340704 38.6194455552896 "MT2A;MT1B;MT1E"
"11" "Regulation Of Inflammatory Response To Wounding (GO:0106014)" "2/9" 0.00937012505883699 0.698835555301676 0 0 16.8152266894782 78.5309565706474 "REG3A;SIGLEC10"
"12" "Purine Nucleobase Metabolic Process (GO:0006144)" "2/9" 0.00937012505883699 0.698835555301676 0 0 16.8152266894782 78.5309565706474 "SLC25A16;PAICS"
