"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "tRNA Methyltransferase Complex (GO:0043527)" "4/6" 0.000667575675478123 0.196267248590568 0 0 21.6755476613381 158.488522293467 "METTL1;TRMT6;TRMT61A;TRMT61B"
"2" "Junctional Sarcoplasmic Reticulum Membrane (GO:0014701)" "3/8" 0.0245188712703117 0.999976751937156 0 0 6.49775147928994 24.0956910961834 "JPH2;CASQ2;JPH1"
"3" "Cytochrome-B5 Reductase Activity, Acting On NAD(P)H (GO:0004128)" "4/5" 0.000238598532182963 0.143548624224602 0 0 43.3534635879218 361.599456320185 "CYB5R2;NQO1;CYB5R4;CYB5RL"
"4" "Oxidoreductase Activity, Acting On NAD(P)H, Heme Protein As Acceptor (GO:0016653)" "5/9" 0.00040723013964426 0.143548624224602 0 0 13.5537618483412 105.802455150841 "CYB5R2;NQO1;CYB5R4;POR;CYB5RL"
"5" "Pseudouridine Synthase Activity (GO:0009982)" "5/11" 0.00129239958333015 0.303713902082586 0 0 9.03485387045814 60.0931137855566 "PUS3;RPUSD4;TRUB2;PUS1;PUSL1"
"6" "Carbon-Nitrogen Ligase Activity, With Glutamine As amido-N-donor (GO:0016884)" "4/8" 0.0027115308370523 0.477907310030468 0 0 10.8365896980462 64.0468666930093 "GATC;GATB;QRSL1;PFAS"
"7" "Testosterone Dehydrogenase [NAD(P)] Activity (GO:0030283)" "3/5" 0.00531403000711719 0.749278231003524 0 0 16.2470414201183 85.0923324734866 "HSD17B1;HSD17B2;HSD17B3"
"8" "Purine Ribonucleotide Transmembrane Transporter Activity (GO:0005346)" "4/10" 0.00708653277564241 0.814468952684744 0 0 7.22360371028222 35.7536533944051 "SLC35B2;SLC25A41;SLC25A42;SLC25A25"
"9" "tRNA Binding (GO:0000049)" "10/51" 0.00948076257592821 0.814468952684744 0 0 2.64713128414707 12.3316360068257 "RPUSD4;PTCD1;TRMT10B;ALKBH1;PUS1;IFIT5;DARS2;TRNAU1AP;YARS2;PSTK"
"10" "Proton Channel Activity (GO:0015252)" "3/6" 0.00996050291444583 0.814468952684744 0 0 10.8307692307692 49.9203986389301 "SLC4A11;OTOP3;TMEM175"
"11" "mRNA Methyltransferase Activity (GO:0008174)" "4/11" 0.0103974759917201 0.814468952684744 0 0 6.19132199949251 28.2707661932501 "METTL3;TRMT61A;CMTR2;TRMT61B"
"12" "Peptide alpha-N-acetyltransferase Activity (GO:0004596)" "3/7" 0.016341106250224 0.99999248916981 0 0 8.12263313609467 33.4170934078793 "NAA30;NAA40;NAA11"
"13" "Zinc Ion Binding (GO:0008270)" "40/341" 0.0221028345024928 0.99999248916981 0 0 1.44756438007609 5.51818695642473 "ZNF195;DHH;ZDHHC20;KDM1B;RCHY1;ZFYVE1;PHF8;PRIMPOL;ADAMTS4;RNF112;PITRM1;SAP30L;CHORDC1;RNPEP;TIMP2;PGGT1B;ARIH1;TK1;ZIM2;PIAS4;TIMM8B;NQO2;SLC30A8;TET1;BBOX1;PEX12;ZDHHC15;SLC25A16;ZEB1;ZNF92;LACTB2;WT1;RGN;MSRB2;ALPI;MT1B;RBAK;ZCCHC4;CDO1;S100A8"
"14" "cAMP Response Element Binding Protein Binding (GO:0008140)" "3/8" 0.0245188712703117 0.99999248916981 0 0 6.49775147928994 24.0956910961834 "CRTC1;DAPK3;CREM"
"15" "Mannosidase Activity (GO:0015923)" "3/8" 0.0245188712703117 0.99999248916981 0 0 6.49775147928994 24.0956910961834 "MANBA;MAN2B2;MAN2B1"
"16" "Transition Metal Ion Binding (GO:0046914)" "51/456" 0.0247271366628868 0.99999248916981 0 0 1.37291469301214 5.07958390226683 "DYRK2;KDM1B;ZFYVE1;PHF8;ADAMTS4;RNF112;RNPEP;CHORDC1;TIMP2;TK1;ARIH1;PIAS4;SLC30A8;SLC11A2;TET1;ZDHHC15;SLC25A16;ZEB1;ZNF92;LACTB2;RGN;MT1B;S100A8;CUTA;ZNF195;DHH;ZDHHC20;ALOX15;RCHY1;PRIMPOL;PITRM1;FTMT;SAP30L;PGGT1B;MGAT1;ZIM2;TIMM8B;NQO2;BBOX1;DOHH;PEX12;ALOX15B;SOD3;ATOX1;NUDT8;WT1;MSRB2;ALPI;CDO1;RBAK;ZCCHC4"
"17" "Adenine Nucleotide Transmembrane Transporter Activity (GO:0000295)" "4/14" 0.0257079114044942 0.99999248916981 0 0 4.33321492007105 15.8637113175743 "SLC35B2;SLC25A41;SLC25A42;SLC25A25"
