"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing (GO:0060054)" "3/8" 0.00186349957213018 0.999996006592826 0 0 17.3300448430493 108.924514711689 "MMP12;ODAM;LACRT"
"2" "Regulation Of Ceramide Biosynthetic Process (GO:2000303)" "3/9" 0.00272571355035108 0.999996006592826 0 0 14.440956651719 85.274210511607 "SAMD8;ORMDL2;ORMDL1"
"3" "Regulation Of GTPase Activity (GO:0043087)" "15/214" 0.00597372735229405 0.999996006592826 0 0 2.1946490443083 11.2374462894483 "EPHA5;ARHGAP11A;ARHGAP11B;ODAM;ASAP3;RASIP1;RASGRP4;FGD5;TBC1D2;RASGEF1A;RGS11;RGS8;CCL17;TBC1D10B;PLXNA3"
"4" "Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)" "10/118" 0.0064635413365866 0.999996006592826 0 0 2.6882622804073 13.5530837476649 "ARHGAP11A;ARHGAP32;ARHGAP11B;ARHGAP20;FGD5;ARHGAP40;ARHGAP28;ARHGEF10L;ARHGAP6;ARHGAP23"
"5" "Regulation Of Cilium Assembly (GO:1902017)" "7/71" 0.00970294862777489 0.999996006592826 0 0 3.16842105263158 14.6866627650925 "TCHP;TBC1D2;TBC1D21;TBC1D10C;TBC1D24;TBC1D13;TBC1D10B"
"6" "Protein Repair (GO:0030091)" "2/5" 0.0105366444337976 0.999996006592826 0 0 19.228855721393 87.5469832111527 "MSRB3;MSRB1"
"7" "Positive Regulation Of GTPase Activity (GO:0043547)" "15/234" 0.012989011047695 0.999996006592826 0 0 1.99213944663372 8.65315966095713 "ARHGAP11A;ARHGAP11B;ARHGEF26;ODAM;ASAP3;RASGRP4;TBC1D2;RASGEF1A;TBC1D21;TBC1D10C;TBC1D13;RGS11;RGS8;CCL17;TBC1D10B"
"8" "Negative Regulation Of Response To Type II Interferon (GO:0060331)" "2/6" 0.0154549753895842 0.999996006592826 0 0 14.4208955223881 60.1326005163197 "NR1H2;OTOP1"
"9" "Negative Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060336)" "2/6" 0.0154549753895842 0.999996006592826 0 0 14.4208955223881 60.1326005163197 "NR1H2;OTOP1"
"10" "Motile Cilium Assembly (GO:0044458)" "3/17" 0.0180670503834608 0.999996006592826 0 0 6.18641896220372 24.8302158652808 "RSPH6A;CCDC39;DNAAF3"
"11" "Negative Regulation Of Peptide Hormone Secretion (GO:0090278)" "3/18" 0.021149743228521 0.999996006592826 0 0 5.77369207772795 22.2640928786313 "BMP8A;SIRT4;CRH"
"12" "Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752)" "2/8" 0.0275911186690148 0.999996006592826 0 0 9.61293532338308 34.5129501073555 "FCN2;FCN3"
"13" "Complement Activation, Lectin Pathway (GO:0001867)" "2/8" 0.0275911186690148 0.999996006592826 0 0 9.61293532338308 34.5129501073555 "FCN2;FCN3"
"14" "Positive Regulation Of Opsonization (GO:1903028)" "2/8" 0.0275911186690148 0.999996006592826 0 0 9.61293532338308 34.5129501073555 "FCN2;FCN3"
"15" "SMAD Protein Signal Transduction (GO:0060395)" "5/51" 0.0277981529287367 0.999996006592826 0 0 3.14223323121048 11.2579482928324 "MAGI2;BMP8A;GDF1;LEFTY2;INHBC"
"16" "Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)" "3/20" 0.0281224978032791 0.999996006592826 0 0 5.09390662094434 18.1912848997346 "GABRR3;GABBR2;GABRA1"
"17" "Proteolysis (GO:0006508)" "18/330" 0.030690022376952 0.999996006592826 0 0 1.67748764996471 5.84406113497914 "FCN2;CELA3B;FCN3;MMP3;KLK13;IHH;KLK4;TMPRSS2;CPN1;MMP12;ADAM2;ADAMTS2;ADAMTS3;ADAMTS19;CAPN10;MMP23B;FBXO3;LPA"
"18" "Regulation Of Hydrolase Activity (GO:0051336)" "6/71" 0.031923155234621 0.999996006592826 0 0 2.66985446985447 9.19610991295539 "EPHA5;FGD5;RASIP1;SERPINA5;TBC1D10B;PLXNA3"
"19" "Nerve Growth Factor Signaling Pathway (GO:0038180)" "2/9" 0.0346955357454841 0.999996006592826 0 0 8.23923240938166 27.6932486633557 "NTF4;MAGI2"
"20" "Cellular Response To Prostaglandin Stimulus (GO:0071379)" "2/9" 0.0346955357454841 0.999996006592826 0 0 8.23923240938166 27.6932486633557 "PTGFR;PTGER2"
"21" "Protein K11-linked Deubiquitination (GO:0035871)" "2/9" 0.0346955357454841 0.999996006592826 0 0 8.23923240938166 27.6932486633557 "OTUD7A;OTUD3"
"22" "Positive Regulation Of Hydrolase Activity (GO:0051345)" "11/176" 0.0357894309278289 0.999996006592826 0 0 1.9327281896117 6.43618327492879 "ARHGAP11A;ARHGAP11B;TBC1D2;RASGEF1A;ODAM;CHP2;ASAP3;RGS11;RGS8;CCL17;RASGRP4"
"23" "Acetylcholine Receptor Signaling Pathway (GO:0095500)" "3/22" 0.0361647796079844 0.999996006592826 0 0 4.55723389190465 15.1285106869463 "CHRNA7;LY6H;RGS8"
