"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Nucleus (GO:0005634)" "154/4487" 0.0136640382265727 0.999992091656342 0 0 1.24369445516869 5.33916517809692 "PRDM8;PUS10;CRTC1;NAB1;RORC;RORB;NOC2L;ETS1;MBD3L1;CRHBP;ZC3H12C;RASSF2;CCND2;ZNF207;ADNP2;CCNL2;ZFPL1;SSX3;CSNK1G3;SFMBT1;FOXH1;SOX13;DNTTIP1;HNF1A;ZNF14;ERF;SRFBP1;S100A4;ATF5;HOXB7;DGKI;HOXB5;GCM1;DLX4;FOXG1;GPR88;CDCA7;CREM;PRDM14;GLIS2;DEAF1;DND1;HESX1;ZBED1;PMAIP1;LPXN;ZNF425;S100A11;ZNF784;ISOC2;ZBTB14;FOXF1;PLK2;CBX2;MICAL2;RFXANK;FOXN2;ST18;PBX1;TDRD3;NMRAL1;NFATC4;FIBP;LIN28A;C19ORF47;NFE2L3;HOXD9;ZNF653;CDKN1C;ZNF496;BTG1;TCF21;OTUD7B;PTPN22;NR2E3;AIFM3;HHEX;SCML2;SENP5;MLX;HMG20B;TLK1;ZNF385D;DFFB;POU1F1;PRMT7;TGIF2;PTGIS;TET1;ZFP91;FOXL1;ZFY;ZHX1;ARL4A;ETV3L;ELF3;ELF5;C1D;FAM193B;BIRC7;DNASE1L2;ERGIC2;VGLL4;CILK1;DNASE1L1;TSSC4;CXXC1;IGHMBP2;TULP3;LENG8;WIZ;PBXIP1;CXXC5;TBXT;BARX2;TFPT;FTMT;RNF138;CCDC85B;ASB10;GSC;TBX21;NRIP1;ZNF625;PLAGL2;ASCC2;APBB2;MSX1;ZNF346;ATOH1;RIBC2;ZNF462;MBD4;ATE1;CIZ1;EYA1;GDF15;ZNF76;GZMB;SORBS1;RANBP6;MAPK15;TARBP2;TBX3;TBX18;HIPK2;TBX2;GFI1B;ZNF71;STK17B;NEDD4;PDCD2;CSNK1A1L;CDK5R1"
"2" "Intracellular Membrane-Bounded Organelle (GO:0043231)" "174/5175" 0.0179866866800803 0.999992091656342 0 0 1.22021143216612 4.90296013736876 "ERO1A;PRDM8;ANKRD13B;PUS10;CRTC1;NAB1;RORC;RORB;NOC2L;ETS1;MBD3L1;CRHBP;ZC3H12C;RASSF2;CCND2;ZNF207;ADNP2;CCNL2;ZFPL1;SSX3;CSNK1G3;SFMBT1;FOXH1;SOX13;DNTTIP1;HNF1A;ZNF14;RC3H2;SCAMP3;ERF;SRFBP1;S100A4;ATF5;HOXB7;DGKI;HOXB5;PPIC;GCM1;DLX4;FOXG1;GPR88;PEX11B;CDCA7;CREM;ARHGAP19;PRDM14;GLIS2;DPP7;DEAF1;DND1;HESX1;ZBED1;PMAIP1;LPXN;ZNF425;S100A11;ZNF784;ISOC2;ZBTB14;FOXF1;TGFB3;PLK2;CBX2;MICAL2;RFXANK;FOXN2;ST18;PBX1;TDRD3;NMRAL1;NFATC4;FIBP;BMP2;DAB1;LIN28A;C19ORF47;NFE2L3;HOXD9;ZNF653;CDKN1C;ZNF496;BTG1;TCF21;OTUD7B;PTPN22;OSBPL11;NR2E3;RND1;AIFM3;HHEX;SCML2;SENP5;MLX;BDKRB2;HMG20B;TLK1;ZNF385D;C11ORF24;DFFB;POU1F1;PRMT7;TGIF2;PTGIS;TET1;ZFP91;FOXL1;ZFY;ZHX1;ARL4A;ETV3L;CCKBR;ELF3;ELF5;C1D;FAM193B;BIRC7;DNASE1L2;ERGIC2;VGLL4;FAM72B;CILK1;DNASE1L1;CCL13;TSSC4;CXXC1;IGHMBP2;TULP3;LENG8;WIZ;PBXIP1;CXXC5;TBXT;BARX2;TFPT;SNX27;FTMT;RNF138;CCDC85B;ASB10;GSC;TBX21;NRIP1;ZNF625;PLAGL2;ASCC2;APBB2;MSX1;ZNF346;ATOH1;RIBC2;ZNF462;MBD4;ATE1;CIZ1;EYA1;GDF15;ZNF76;GZMB;SORBS1;RANBP6;MAPK15;TARBP2;TBX3;TBX18;HIPK2;TBX2;GFI1B;ZNF71;SNX14;STK17B;NEDD4;PDCD2;CSNK1A1L;CDK5R1"
"3" "Serine/Threonine Protein Kinase Complex (GO:1902554)" "5/60" 0.0307560046045933 0.999992091656342 0 0 3.03448275862069 10.5650676836094 "CCND2;CCNL2;AZI2;ACVR1B;CDK5R1"
"4" "90S Preribosome (GO:0030686)" "2/12" 0.0464290576695283 0.999992091656342 0 0 6.65694682675815 20.4356935652639 "SRFBP1;NOC2L"
"5" "Sequence-Specific DNA Binding (GO:0043565)" "57/717" 7.68255515197485e-12 2.98851395411822e-09 0 0 3.06770833333333 78.5090030993278 "RORC;TCF21;RORB;NR2E3;MBD3L1;HHEX;MLX;ZNF385D;ZSCAN5A;POU1F1;TGIF2;FOXH1;SOX13;TET1;FOXL1;ZFY;ADRA2A;ELF3;HAND2;ELF5;ERF;ATF5;HOXB7;HOXB5;GCM1;DLX4;FOXG1;CREM;CXXC1;CXXC5;TBXT;BARX2;GLIS2;ZBTB2;PGBD1;GSC;TBX21;HESX1;PLAGL2;ZBED1;MSX1;ZNF784;ATOH1;ZNF384;ZBTB14;EGR4;FOXF1;ZNF76;FOXN2;PBX1;TBX3;TBX18;NFATC4;TBX2;GFI1B;ZSCAN4;HOXD9"
"6" "G Protein-Coupled Receptor Activity (GO:0004930)" "30/250" 6.06053899125209e-11 1.17877483379853e-08 0 0 4.71621621621622 110.956708273524 "GPR27;OPRD1;CALCRL;GPR88;RORB;CRHR1;MCHR2;GRM3;HCAR3;PROKR2;P2RY6;CNR2;GRM6;GRM8;OXER1;CCR7;DRD2;NTSR1;NTSR2;GPR17;MRGPRX1;GPR50;GPR37L1;SSTR3;TSHR;ADGRF3;MTNR1A;ADGRF1;GPR183;NMUR1"
"7" "Sequence-Specific Double-Stranded DNA Binding (GO:1990837)" "53/715" 5.57196402435519e-10 7.22498001824723e-08 0 0 2.82212990936556 60.1342357209929 "RORC;TCF21;RORB;ETS1;HHEX;MLX;ZNF385D;ZSCAN5A;POU1F1;TGIF2;FOXH1;SOX13;HNF1A;ADRA2A;ELF3;HAND2;ELF5;ATF5;HOXB7;HOXB5;GCM1;ZBTB8A;DLX4;ZBTB46;FOXG1;ZBTB48;CREM;TBXT;BARX2;GLIS2;ZBTB2;GSC;TBX21;HESX1;ZBED1;MSX1;ZNF784;ATOH1;MBD4;ZNF384;ZBTB14;EGR4;ZNF76;FOXN2;PBX1;TBX3;TBX18;NFATC4;TBX2;GFI1B;ZSCAN4;ZNF579;HOXD9"
"8" "Olfactory Receptor Activity (GO:0004984)" "33/362" 8.72059043041774e-09 8.48077419358125e-07 0 0 3.46811814457513 64.3598760726746 "OR2G6;OR10H1;OR51B2;OR2G3;OR5K2;OR52D1;OR52N5;OR2T35;OR52N2;OR2T33;OR1S1;OR51Q1;OR56B1;OR13D1;OR5D16;OR52B6;OR5AU1;OR6F1;OR2L8;OR1L8;OR51M1;OR2L3;OR10Q1;OR2T8;OR10A7;OR2L13;OR2A12;OR2Z1;OR10G8;OR7C2;OR13C3;OR2A4;OR5C1"
"9" "RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)" "72/1225" 1.15935408961784e-08 9.01977481722681e-07 0 0 2.22297287016327 40.6199780379057 "ZNF496;RORC;TCF21;RORB;ETS1;NR2E3;GLI4;LYL1;HHEX;ZNF280B;ZNF41;MLX;TEAD3;ZSCAN5A;POU1F1;TGIF2;SOX13;FOXL1;HNF1A;ZFY;ZNF14;ADRA2A;ZNF837;HAND2;ATF5;HOXB7;HOXB5;GCM1;ZBTB8A;ZNF394;DLX4;SATB2;ZBTB48;CREM;PRDM14;WIZ;TBXT;BARX2;GLIS2;ZBTB2;ZNF628;DEAF1;GSC;TBX21;NRIP1;HESX1;ZNF625;ZBED1;E4F1;MSX1;ZNF500;ZNF784;ZBTB17;ZNF384;EGR4;FOXF1;ZNF76;RFXANK;ST18;PBX1;TBX3;TBX18;NFATC4;RAX2;TBX2;GFI1B;ZNF71;NFE2L3;ZSCAN4;HOXD9;ZNF497;ZNF574"
"10" "DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)" "30/348" 1.43337973086797e-07 9.29307858846068e-06 0 0 3.24613292537821 51.1527591819726 "GCM1;SATB2;TCF21;ETS1;NR2E3;BARX2;GLIS2;HHEX;ZBED1;PLAGL2;E4F1;ZNF784;ZBTB17;ZNF384;EGR4;FOXF1;FOXH1;ZNF76;RFXANK;HNF1A;ZFY;TBX3;RAX2;GFI1B;ZNF71;ELF3;HAND2;ATF5;HOXB7;ZNF574"
"11" "DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)" "24/243" 2.18275448207374e-07 1.05663664876641e-05 0 0 3.74985959514565 57.5135017188346 "ZBTB8A;TGIF2;DLX4;ZBTB46;SOX13;RORC;CREM;TCF21;TBX18;TBX3;ZBTB2;NFATC4;TBX2;HHEX;DEAF1;TBX21;HESX1;MLX;ERF;E4F1;ZNF425;ZNF764;HOXD9;ZNF785"
