"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Regulation Of DNA-templated Transcription (GO:0006355)" "110/1922" 3.72287880796832e-12 8.29085110534544e-09 0 0 2.24971534797258 59.2046876642177 "PRDM8;NAB1;RORC;RORB;ETS1;EPC2;PIM2;CCNL2;ZFPL1;SFMBT1;FOXH1;SOX13;HNF1A;ZNF14;EID1;ERF;ATF5;HOXB7;HOXB5;GCM1;ZBTB8A;CALCA;ZNF394;DLX4;FOXG1;CREM;PRDM14;GLIS2;DEAF1;HESX1;ZBED1;E4F1;ZNF425;ZNF784;ZBED3;ZBTB14;EGR4;FOXF1;TGFB3;IGF2;RFXANK;FOXN2;BMP7;PBX1;NFATC4;RAX2;BMP4;BMP2;NFE2L3;ZSCAN4;HOXD9;ZNF653;RCOR2;ZNF497;CDKN1C;ZNF496;BTG1;MSTN;TCF21;GLI4;LYL1;HHEX;ZNF280B;MLX;ERC1;TEAD3;ZSCAN5A;POU1F1;TGIF2;ZFP91;FOXL1;ZFY;ZHX1;ADRA2A;ETV3L;ELF3;HAND2;ELF5;VGLL4;ZBTB46;SATB2;ZBTB48;CXXC1;TULP3;WIZ;PBXIP1;ACVR1B;TBXT;BARX2;TFPT;ZNF628;CCDC85B;GSC;TBX21;ZNF625;PLAGL2;ASCC2;APBB2;MSX1;ZNF500;DAB2IP;ZNF76;TBX3;TBX18;HIPK2;TBX2;GFI1B;ZNF71;ZNF579;CDK5R1"
"2" "Regulation Of Transcription By RNA Polymerase II (GO:0006357)" "105/2028" 3.90468203445465e-09 4.34786344536526e-06 0 0 1.98979459178367 38.5245911427325 "CRTC1;RORC;RORB;NOC2L;ETS1;MBD3L1;EPC2;CCNL2;FOXH1;SOX13;PTOV1;HNF1A;ZNF14;EID1;ADCYAP1;ERF;ATF5;HOXB7;HOXB5;GCM1;ZBTB8A;ZNF394;DLX4;FOXG1;CREM;PRDM14;GLIS2;ZBTB2;DEAF1;HESX1;ZBED1;E4F1;ZNF425;ZNF785;ZNF784;ZBED3;ZBTB17;EGR4;FOXF1;TGFB3;CBX2;IGF2;MICAL2;RFXANK;ST18;PBX1;NFATC4;RAX2;BMP4;BMP2;NFE2L3;ZSCAN4;HOXD9;ZNF653;RCOR2;ZNF497;ZNF134;ZNF496;TCF21;OTUD7B;NR2E3;LYL1;HHEX;MLX;ZNF764;TEAD3;ZSCAN5A;POU1F1;TGIF2;TET1;ZFP91;FOXL1;ZFY;ZHX1;ADRA2A;ETV3L;GAL;ELF3;HAND2;ELF5;ZBTB46;SATB2;ZBTB48;WIZ;CXXC5;TBXT;BARX2;GSC;TBX21;NRIP1;ZNF625;PLAGL2;APBB2;MSX1;ZNF500;ATOH1;DAB2IP;ZNF76;TBX3;TBX18;HIPK2;TBX2;GFI1B;ZNF71;ZNF579"
"3" "Negative Regulation Of DNA-templated Transcription (GO:0045892)" "58/1025" 1.18551782621855e-06 0.000880049399662901 0 0 2.09961754992553 28.6499762210034 "CDKN1C;NAB1;RORC;TCF21;OTUD7B;RORB;NOC2L;NR2E3;MBD3L1;HHEX;MLX;ZNF764;TGIF2;SFMBT1;SOX13;TET1;ZHX1;EID1;ELF3;ERF;ATF5;VGLL4;ZBTB8A;CALCA;DLX4;ZBTB46;FOXG1;CREM;PBXIP1;CXXC5;TBXT;GLIS2;ZBTB2;CCDC85B;DEAF1;TBX21;NRIP1;HESX1;E4F1;ZNF425;APBB2;ZNF785;ZBTB17;ZBTB14;CBX2;DAB2IP;IGF2;BMP7;TBX3;NFATC4;TBX2;BMP4;GFI1B;BMP2;HOXD9;RCOR2;ZNF134;CDK5R1"
"4" "Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911)" "16/139" 3.1847966033009e-06 0.00171181643906013 0 0 4.41041907782874 55.8232129204787 "OR2G6;OR10H1;OR2L8;OR2G3;OR2L3;OR2T8;OR2T35;OR2T33;OR10A7;OR2L13;OR2A12;OR2Z1;OR10G8;OR13D1;OR13C3;OR2A4"
"5" "Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907)" "16/141" 3.8433238416258e-06 0.00171181643906013 0 0 4.33940246045694 54.1087599179953 "OR2G6;OR10H1;OR2L8;OR2G3;OR2L3;OR2T8;OR2T35;OR2T33;OR10A7;OR2L13;OR2A12;OR2Z1;OR10G8;OR13D1;OR13C3;OR2A4"
"6" "Positive Regulation Of MAPK Cascade (GO:0043410)" "25/310" 5.18090304932125e-06 0.00192297851513974 0 0 2.99655388471178 36.4696524955487 "CCL13;PTPN22;HTR2A;RASGRP1;P2RY6;CALCR;THPO;PDGFC;CCR7;CCR1;CCL25;AVPR1B;GDF15;NTRK3;IGF2;DAB2IP;GPR37L1;ADRA2A;BMP4;ADCYAP1;BMP2;GPR183;HAND2;KIT;CCL26"
"7" "Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)" "17/163" 6.124797659006e-06 0.00194856062665805 0 0 3.95008923403434 47.4135721983301 "CALCA;CALCRL;ADM;GPR37L1;CRHR1;ADRA2A;TSHR;MC4R;ADCYAP1;ADGRF3;MTNR1A;CALCR;ADGRF1;GNAT3;GRM8;OXER1;CCR3"
"8" "Regulation Of ERK1 And ERK2 Cascade (GO:0070372)" "21/244" 1.09277695730183e-05 0.00304201785488898 0 0 3.20446522278409 36.6084623051536 "CCR1;CCL25;CCL13;EPHA7;NTRK3;DAB2IP;PTPN22;HTR2A;RASGRP1;ADCYAP1;BMP2;SPRED1;P2RY6;CALCR;THPO;GPR183;HAND2;PDGFC;CCR7;ROS1;CCL26"
"9" "G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)" "9/50" 1.26573646747318e-05 0.00313199457006974 0 0 7.38338414634146 83.2644263110862 "OPRD1;CCR1;MTNR1A;CALCRL;CNR2;HRH3;HTR2A;AGTR2;TSHR"
"10" "Sensory Perception Of Smell (GO:0007608)" "20/230" 1.51565533996762e-05 0.00337536444210789 0 0 3.23725242309313 35.9240411941533 "OR2G6;OR10H1;OR2L8;OR2G3;OR52D1;OR51M1;OR2L3;OR2T8;OR2T35;OR2T33;OR10A7;OR2L13;OR2A12;OR2Z1;OR10G8;OR13D1;OR5D16;OR13C3;DRD2;OR2A4"
"11" "Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)" "13/110" 1.98569925222372e-05 0.00392898384200277 0 0 4.52624179943768 49.0054133157662 "CALCA;CALCRL;ADRB1;ADM;CRHR1;ADRA2A;TSHR;MC4R;ADCYAP1;ADGRF3;CALCR;ADGRF1;DRD2"
"12" "Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)" "17/179" 2.11709951073342e-05 0.00392898384200277 0 0 3.55700095635542 38.2835690051639 "CCR1;CCL25;CCL13;NTRK3;PTPN22;HTR2A;RASGRP1;ADCYAP1;BMP2;P2RY6;CALCR;THPO;GPR183;HAND2;PDGFC;CCR7;CCL26"
"13" "Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)" "30/456" 3.40139782459626e-05 0.0058268561195199 0 0 2.409465803832 24.7903647680793 "CDKN1C;CALCA;NAB1;FOXG1;PBXIP1;RORB;GLIS2;HHEX;CCDC85B;DEAF1;TBX21;MLX;ZNF425;ZBTB14;SFMBT1;SOX13;DAB2IP;ZHX1;BMP7;TBX3;TBX2;BMP4;EID1;BMP2;ELF3;ATF5;ZNF653;RCOR2;VGLL4;CDK5R1"
"14" "Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)" "42/763" 6.94957263375527e-05 0.0106275764764327 0 0 2.00547122244274 19.2008734234117 "ZBTB8A;DLX4;ZBTB46;RORC;CREM;TCF21;OTUD7B;NOC2L;CXXC5;TBXT;NR2E3;GLIS2;MBD3L1;ZBTB2;HHEX;DEAF1;TBX21;NRIP1;HESX1;MLX;E4F1;ZNF425;APBB2;ZNF764;ZNF785;ZBTB17;TGIF2;CBX2;SOX13;DAB2IP;IGF2;TET1;ZHX1;TBX3;TBX2;BMP4;EID1;GFI1B;BMP2;ERF;HOXD9;ZNF134"
"15" "Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)" "29/452" 7.15822394012081e-05 0.0106275764764327 0 0 2.34182016089256 22.3518855720662 "PRDM8;GCM1;BTG1;DLX4;NAB1;CREM;CXXC1;TULP3;RORB;ACVR1B;GLI4;LYL1;ZNF628;ZNF280B;MLX;ZBED1;ASCC2;APBB2;ERC1;ZFPL1;POU1F1;TGIF2;SOX13;IGF2;FOXN2;BMP2;ATF5;HOXB7;ZNF653"
"16" "Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)" "10/83" 0.000151614539683114 0.0204470983948054 0 0 4.60798094103633 40.523363979011 "OPRD1;GPR17;CALCA;P2RY6;CCKBR;NMUR1;HTR2A;NMBR;DRD2;ADRA2A"
