"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Regulation Of Cytoplasmic Translational Elongation (GO:1900247)" "6/7" 1.31972260643107e-06 0.00275175791817987 0 0 72.5065445026178 981.60005184058 "DPH1;DPH2;DPH3;DPH5;DPH6;DPH7"
"2" "Peptidyl-Diphthamide Biosynthetic Process From Peptidyl-Histidine (GO:0017183)" "5/5" 2.63831056393085e-06 0.00275175791817987 0 0 92330 1186013.17677597 "DPH2;DPH3;DPH5;DPH6;DPH7"
"3" "Peptidyl-Diphthamide Metabolic Process (GO:0017182)" "5/5" 2.63831056393085e-06 0.00275175791817987 0 0 92330 1186013.17677597 "DPH2;DPH3;DPH5;DPH6;DPH7"
"4" "Galactose Metabolic Process (GO:0006012)" "4/6" 0.000455932802059607 0.356653434411127 0 0 24.1359477124183 185.681831156878 "GALT;GALM;GALK2;GALK1"
"5" "Synaptic Transmission, GABAergic (GO:0051932)" "5/14" 0.00293453969978828 0.999993326220332 0 0 6.70627134655912 39.1056407904489 "GABBR2;GABRB2;GABRA3;GABRG3;GABRG1"
"6" "Equilibrioception (GO:0050957)" "3/5" 0.00400254711980583 0.999993326220332 0 0 18.0901371652515 99.8724695861543 "USH1G;USH1C;MYO7A"
"7" "Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)" "10/52" 0.00554569030033179 0.999993326220332 0 0 2.87839020122485 14.9524719482558 "CHRM2;AKAP12;GABBR2;GABBR1;CHRM1;HTR1D;NPY1R;OPRM1;INSL3;DRD4"
"8" "Glycoprotein Metabolic Process (GO:0009100)" "10/53" 0.00637622530186738 0.999993326220332 0 0 2.8112982970152 14.2116161199694 "ERP44;TNIP1;MGAT4A;ST8SIA3;MGAT4B;MAN1B1;STT3B;PCSK6;ST6GALNAC3;B4GALT7"
"9" "Negative Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034392)" "3/6" 0.00754917706593829 0.999993326220332 0 0 12.0594382756368 58.926234874636 "DNMT1;LYPD3;LRP6"
"10" "Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887)" "3/6" 0.00754917706593829 0.999993326220332 0 0 12.0594382756368 58.926234874636 "GRIPAP1;NCOA2;LRRC7"
"11" "Spinal Cord Development (GO:0021510)" "4/12" 0.0103497967642243 0.999993326220332 0 0 6.03202614379085 27.5711151010228 "SOX11;PKD2;PKD1;SOX4"
"12" "Chemical Synaptic Transmission (GO:0007268)" "32/273" 0.0108733651804341 0.999993326220332 0 0 1.61112983518518 7.2846253378022 "CHRM2;GABRB2;GRIA2;CHRM1;CHRNA7;STXBP2;CACNA1A;HTR2C;HTR4;SLC1A6;LIN7B;CDH8;LRP6;RPS6KA3;GRM2;GRIN2A;CHRNE;CHRNA10;SNCG;SLC17A8;DRD4;GABBR2;RIC3;GABBR1;GRID2;KCND2;GABRA3;HTR1D;HTR3C;GABRG3;GABRG1;CBLN2"
"13" "Sensory Perception Of Light Stimulus (GO:0050953)" "15/102" 0.0108781874145836 0.999993326220332 0 0 2.0861047422306 9.43127046372881 "CABP2;POU6F2;CRYBA2;USH1C;PAX6;GUCA1C;MYO7A;TULP1;MYO9A;BEST1;CRYGC;RS1;SIX6;USH1G;FSCN2"
"14" "Neuroepithelial Cell Differentiation (GO:0060563)" "3/7" 0.0124617673608878 0.999993326220332 0 0 9.04408883082952 39.6591428844477 "SOX11;SOX4;DSPP"
"15" "Neurotransmitter Receptor Transport, Endosome To Plasma Membrane (GO:0099639)" "3/7" 0.0124617673608878 0.999993326220332 0 0 9.04408883082952 39.6591428844477 "GRIPAP1;NCOA2;LRRC7"
"16" "G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)" "9/50" 0.0128127780867636 0.999993326220332 0 0 2.65213914434226 11.5561985626561 "CHRM2;CHRM1;CALCRL;HTR1D;NPY1R;HTR2C;OPRM1;HTR4;DRD4"
"17" "Sensory Perception (GO:0007600)" "9/51" 0.0145293562921886 0.999993326220332 0 0 2.58885245901639 10.9549469141179 "OR1E2;USH1G;CHRNA7;USH1C;MYO7A;OPRM1;PRDM12;BBS4;NIPSNAP1"
"18" "Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)" "5/20" 0.0154568814578159 0.999993326220332 0 0 4.02245476346196 16.7724335410556 "GABBR2;GABRB2;GABRA3;GABRG3;GABRG1"
"19" "BMP Signaling Pathway (GO:0030509)" "10/61" 0.0169494860570399 0.999993326220332 0 0 2.36928104575163 9.66078555843831 "TMEM100;GDF9;SLC39A5;GDF1;INHBB;MEGF8;LEFTY2;INHBC;NODAL;RGMA"
"20" "Sensory Organ Development (GO:0007423)" "11/70" 0.0170480058005788 0.999993326220332 0 0 2.25332472706634 9.17491196334223 "RS1;SIX6;NEUROD6;MAB21L1;MAB21L2;SLC39A5;ECE1;PAX6;MYO7A;BHLHE22;HIPK1"
"21" "Glycosaminoglycan Metabolic Process (GO:0030203)" "6/28" 0.0175579001987639 0.999993326220332 0 0 3.29200380771061 13.3071065942355 "EXT1;GALNT5;HS3ST3A1;IDUA;B4GALT7;SGSH"
"22" "Negative Regulation Of Cation Channel Activity (GO:2001258)" "6/28" 0.0175579001987639 0.999993326220332 0 0 3.29200380771061 13.3071065942355 "KCNE3;EPO;CASQ2;PKD2;CRHR1;DRD4"
"23" "Protein Acylation (GO:0043543)" "7/37" 0.0207128403528092 0.999993326220332 0 0 2.8171141672124 10.921955750883 "ING5;KAT2A;ZDHHC20;ZDHHC23;ZDHHC6;ZDHHC13;ZDHHC2"
"24" "peptidyl-L-cysteine S-palmitoylation (GO:0018230)" "5/22" 0.0231168169318693 0.999993326220332 0 0 3.54884007232716 13.3691722945401 "ZDHHC20;ZDHHC23;ZDHHC6;ZDHHC2;ZDHHC4"
"25" "peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231)" "5/22" 0.0231168169318693 0.999993326220332 0 0 3.54884007232716 13.3691722945401 "ZDHHC20;ZDHHC23;ZDHHC6;ZDHHC2;ZDHHC4"
"26" "Protein Palmitoylation (GO:0018345)" "6/30" 0.0242911876475219 0.999993326220332 0 0 3.01734293193717 11.2173997339511 "ZDHHC20;ZDHHC23;ZDHHC6;ZDHHC13;ZDHHC2;ZDHHC4"
"27" "Neurotransmitter Receptor Transport To Postsynaptic Membrane (GO:0098969)" "3/9" 0.026632219725757 0.999993326220332 0 0 6.02873938602221 21.8579996513568 "GRIPAP1;NCOA2;LRRC7"
"28" "Positive Regulation Of Receptor Recycling (GO:0001921)" "3/9" 0.026632219725757 0.999993326220332 0 0 6.02873938602221 21.8579996513568 "ECE1;OCRL;BVES"
"29" "Protein K11-linked Deubiquitination (GO:0035871)" "3/9" 0.026632219725757 0.999993326220332 0 0 6.02873938602221 21.8579996513568 "OTUD7A;OTUD6A;OTUD3"
"30" "Regulation Of Mast Cell Activation Involved In Immune Response (GO:0033006)" "3/9" 0.026632219725757 0.999993326220332 0 0 6.02873938602221 21.8579996513568 "FER;CD300A;STXBP2"
"31" "Digestive Tract Development (GO:0048565)" "7/39" 0.0271025715112164 0.999993326220332 0 0 2.64075802226588 9.52818943828843 "CCDC39;CDX2;CCDC103;GATA5;COBL;MEGF8;PKD1"
"32" "Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012)" "5/23" 0.0277238586988986 0.999993326220332 0 0 3.35150061768767 12.0166778115781 "EXT1;HS3ST3A1;EXTL1;NDST4;EXTL3"
"33" "Regulation Of Axon Extension Involved In Axon Guidance (GO:0048841)" "5/23" 0.0277238586988986 0.999993326220332 0 0 3.35150061768767 12.0166778115781 "SEMA6B;NELL1;SEMA4C;SEMA4F;MEGF8"
"34" "Cellular Response To BMP Stimulus (GO:0071773)" "10/66" 0.0281221909788337 0.999993326220332 0 0 2.15715223097113 7.70361406524944 "TMEM100;GDF9;SLC39A5;GDF1;INHBB;MEGF8;LEFTY2;INHBC;NODAL;RGMA"
"35" "Synaptic Transmission, Cholinergic (GO:0007271)" "4/16" 0.0297662247698183 0.999993326220332 0 0 4.02047930283224 14.1294957721831 "RIC3;CHRNA7;CHRNE;CHRNA10"
"36" "Visual System Development (GO:0150063)" "7/41" 0.0347133084270825 0.999993326220332 0 0 2.48514965907778 8.35167381054407 "RS1;SIX6;MAB21L1;MAB21L2;SLC39A5;PAX6;HIPK1"
"37" "Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065)" "3/10" 0.0359158978001959 0.999993326220332 0 0 5.16721097322012 17.1891161136018 "GATA5;SOX11;SOX4"
"38" "Embryonic Appendage Morphogenesis (GO:0035113)" "3/10" 0.0359158978001959 0.999993326220332 0 0 5.16721097322012 17.1891161136018 "MYH3;MEGF8;HOXA11"
"39" "Epithelial Cell Apoptotic Process (GO:1904019)" "3/10" 0.0359158978001959 0.999993326220332 0 0 5.16721097322012 17.1891161136018 "GSN;CAPN10;HIPK1"
"40" "Negative Regulation Of Activin Receptor Signaling Pathway (GO:0032926)" "3/10" 0.0359158978001959 0.999993326220332 0 0 5.16721097322012 17.1891161136018 "NOMO3;MAGI2;DACT2"
"41" "Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)" "15/118" 0.0362854550695816 0.999993326220332 0 0 1.76051566884192 5.83846554877421 "ARHGAP11A;ARHGAP11B;ARHGAP18;ARHGAP28;ARHGEF10L;ARHGAP6;MYO9A;ARHGAP23;ARHGAP22;ARHGAP32;ARHGAP20;ARHGAP40;RABL3;TNFRSF25;ARHGEF40"
