"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "tRNA Methyltransferase Complex (GO:0043527)" "3/6" 0.000412132834782776 0.0741839102608996 0 0 34.831541218638 271.482774100323 "TRMT6;TRMT61A;TRMT61B"
"2" "NADPH Oxidase Complex (GO:0043020)" "4/17" 0.00108956021353387 0.0980604192180482 0 0 10.7311144869493 73.2074606194795 "NOXA1;NCF1B;NCF1C;NOX4"
"3" "Membrane Attack Complex (GO:0005579)" "2/6" 0.0109304255019103 0.491869147585964 0 0 17.3837209302326 78.5084482150967 "C8G;C8B"
"4" "Multivesicular Body Lumen (GO:0097486)" "2/6" 0.0109304255019103 0.491869147585964 0 0 17.3837209302326 78.5084482150967 "SFTPC;PGA3"
"5" "Late Endosome Lumen (GO:0031906)" "2/8" 0.0196580462682337 0.707689665656414 0 0 11.5879546809779 45.532185830952 "SFTPC;PGA3"
"6" "Clathrin Vesicle Coat (GO:0030125)" "2/12" 0.0430362752749596 0.999993042394043 0 0 6.95134168157424 21.8669183034901 "EPN3;ENTHD1"
"7" "Proton Channel Activity (GO:0015252)" "3/6" 0.000412132834782776 0.133118905634837 0 0 34.831541218638 271.482774100323 "SLC4A11;OTOP3;TMEM175"
"8" "Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176)" "3/9" 0.0016251356565991 0.262459408540755 0 0 17.413082437276 111.829670908712 "NOXA1;NCF1B;NCF1C"
"9" "Acetylcholine Receptor Regulator Activity (GO:0030548)" "3/14" 0.00634324329993762 0.441045576949885 0 0 9.49560117302053 48.0512085879613 "PATE4;LYPD1;LY6E"
"10" "Acetylcholine Receptor Inhibitor Activity (GO:0030550)" "2/5" 0.00742431862112118 0.441045576949885 0 0 23.1794871794872 113.648895064102 "LYPD1;LY6E"
"11" "Icosatetraenoic Acid Binding (GO:0050543)" "2/6" 0.0109304255019103 0.441045576949885 0 0 17.3837209302326 78.5084482150967 "S100A8;TMEM175"
"12" "Morphogen Activity (GO:0016015)" "2/6" 0.0109304255019103 0.441045576949885 0 0 17.3837209302326 78.5084482150967 "DAND5;NODAL"
"13" "Arachidonic Acid Binding (GO:0050544)" "2/6" 0.0109304255019103 0.441045576949885 0 0 17.3837209302326 78.5084482150967 "S100A8;TMEM175"
"14" "G Protein-Coupled Receptor Activity (GO:0004930)" "14/250" 0.0113011311929144 0.441045576949885 0 0 2.08256127413008 9.33581491564543 "GPR17;GHSR;TPRA1;SCTR;OPN5;MCHR2;RXFP3;HCAR3;CXCR1;OPN1MW3;FFAR2;FFAR1;NTSR1;GPR135"
"15" "Icosanoid Binding (GO:0050542)" "2/7" 0.0150201280075812 0.441045576949885 0 0 13.9062611806798 58.3835478481311 "S100A8;TMEM175"
"16" "Immunoglobulin Receptor Binding (GO:0034987)" "2/7" 0.0150201280075812 0.441045576949885 0 0 13.9062611806798 58.3835478481311 "IGHM;IGHA2"
"17" "Procollagen-Proline Dioxygenase Activity (GO:0019798)" "2/7" 0.0150201280075812 0.441045576949885 0 0 13.9062611806798 58.3835478481311 "P3H3;P4HTM"
"18" "Cytokine Receptor Activity (GO:0004896)" "6/76" 0.0198267211103882 0.533669243221281 0 0 2.99135135135135 11.7282651298533 "CNTFR;IL1RL1;GPR17;IL18RAP;CXCR1;IL11RA"
