"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "Membrane Attack Complex (GO:0005579)" "3/6" 0.00754917706593829 0.999991458933815 0 0 12.0594382756368 58.926234874636 "C6;C8G;C7"
"2" "Monoatomic Ion Channel Complex (GO:0034702)" "7/36" 0.0179479811746015 0.999991458933815 0 0 2.91441410925186 11.7167538764104 "GRID2;CHRNA7;CHRNE;PKD2;SHISA9;PKD1;BEST1"
"3" "Serine-Type Endopeptidase Complex (GO:1905370)" "3/10" 0.0359158978001959 0.999991458933815 0 0 5.16721097322012 17.1891161136018 "FCN2;THBD;FCN3"
"4" "GABA-A Receptor Complex (GO:1902711)" "4/18" 0.044315737996563 0.999991458933815 0 0 3.44575163398693 10.7383934756998 "GABRB2;GABRA3;GABRG3;GABRG1"
"5" "RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)" "124/1225" 0.000797825662890101 0.290607463290105 0 0 1.38704337127434 9.89464096104801 "ZNF331;ZNF692;ZNF175;SOX21;HOXA13;IKZF4;ELK3;FERD3L;HOXA11;ZNF83;NKX1-2;ZNF449;ZNF202;ZNF565;SOX7;SOX4;ZNF563;ZNF441;ZNF320;ZNF18;ZNF682;TBR1;SOX11;OVOL1;ZNF90;RFX8;ZNF93;ZNF714;ZNF713;ZNF317;ZSCAN25;MZF1;ZSCAN29;ZNF552;ZNF324B;ZNF273;HOXD1;GATA5;ZNF23;ZNF26;ZNF708;ZNF707;NHLH1;ZKSCAN8;ALX3;ZNF789;ZNF700;OTX2;ZNF664;HOXC8;ZKSCAN1;ZNF662;ZSCAN18;EGR1;ZNF142;EGR4;TFAP2E;POU6F2;TPRX1;EVX2;RAX2;TFCP2;LHX3;SP4;ZNF418;ZNF814;LHX4;MXD1;ZNF136;ZNF256;ZNF135;ZNF773;ZNF497;ZNF530;ZNF251;TCF23;HOXC13;SIX6;ZNF649;DMRTB1;ZNF526;ZNF766;ZNF366;ZNF485;ZNF880;BATF3;TBP;MSGN1;PAX6;PAX5;ELF4;TFDP3;NFX1;TGIF2LX;ZNF517;HAND1;JDP2;ZNF197;CEBPE;PLAG1;HOXD13;BARX1;ZNF8;NR2C2;ZNF7;ZNF629;TBX22;HSF5;MSX1;ZNF586;DRGX;HES4;ZNF584;CDX2;IRX3;IRX4;PASD1;ZNF76;HEYL;TEF;NFIA;ZNF74;ZNF852;ZNF212"
"6" "G Protein-Coupled Amine Receptor Activity (GO:0008227)" "8/28" 0.000909569525164647 0.290607463290105 0 0 4.835124508519 33.858148519264 "CHRM2;TAAR6;HTR1D;HTR2C;TAAR5;TAAR2;HTR4;DRD4"
"7" "GTPase Activator Activity (GO:0005096)" "29/211" 0.00157843980312927 0.336207678066534 0 0 1.93580373115257 12.4884862028267 "ARHGAP11A;ARHGAP11B;ASAP3;ARHGAP18;ARHGEF10L;SIPA1L2;ARHGAP6;RGPD3;RASGRP3;ARHGAP22;ARHGAP20;ARHGAP40;TBC1D10C;TBC1D13;RGS8;TBC1D10B;ARAP2;TBC1D9;OCRL;ARHGAP28;MYO9A;ARHGAP23;ARHGAP32;NELL1;TBC1D2;TBC1D21;TBC1D5;RGS11;ARHGEF6"
"8" "GTPase Regulator Activity (GO:0030695)" "49/424" 0.00263524865755991 0.355819116981713 0 0 1.5918455667789 9.45361700834427 "DENND1C;ARHGAP11A;DENND1B;ARHGAP11B;GPSM2;RTKN;DENND5B;DOCK9;ARHGEF10L;SIPA1L2;ARHGAP6;ARHGAP40;RASGEF1A;TBC1D10C;ARHGEF40;RGS8;TBC1D10B;PLEKHG2;ARAP2;TBC1D9;OCRL;TBC1D2;TBC1D21;TBC1D5;TNFRSF25;DENND6A;ARHGEF6;ASAP3;ARHGAP18;RASGRP4;RGPD3;RASGRP3;ARHGAP22;ARHGAP20;CYTH4;KRIT1;TBC1D13;FNIP1;FARP2;DENND4B;GCGR;HPS1;ARHGAP28;MYO9A;ARHGAP23;NELL1;ARHGAP32;RGS11;SERGEF"
"9" "Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824)" "9/40" 0.00278418714383187 0.355819116981713 0 0 3.50957165520888 20.6496153098643 "GABRB2;GRIA2;GRIN2A;GRID2;CHRNE;GABRA3;HTR3C;GABRG3;GABRG1"
"10" "Trace-Amine Receptor Activity (GO:0001594)" "3/6" 0.00754917706593829 0.637928720783229 0 0 12.0594382756368 58.926234874636 "TAAR6;TAAR5;TAAR2"
