nodeLabel	mIDH1_filtered_25k	mIDH2_filtered_25k	distance
MAR00012	0	0.543609426628603	0.3876
MRPS28	0	0.495599549150805	0.3539
MRPL37	0	0.485520321638746	0.3469
ST18	0	0.485579434099289	0.3469
MRPL20	0	0.485042910253687	0.3465
RPL36	0.0471959502946159	0.528928055567616	0.3437
GFM1	0	0.479736443129714	0.3428
MRPS6	0	0.468066876176088	0.3346
ZNF500	0	0.463129618595304	0.3311
ABL1	0.0406794440024515	0.49191920781522	0.3224
CUX2	0	0.448975311602248	0.3212
USP21	0	0.442010515704675	0.3163
ZNF410	0	0.44165439143622	0.3161
MRPS23	0.0424967084041641	0.479521334638318	0.3124
SAFB2	0	0.434154051900868	0.3108
ARID4B	0	0.430289798296524	0.3081
PAK2	0.0467971505219701	0.475329486963776	0.3064
TRAPPC4	0	0.420749023937874	0.3014
SCAND1	0.0369277868818282	0.456322760826257	0.3001
CASP1	0	0.417798599991475	0.2993
MRPL49	0.0373967216970363	0.454515284486239	0.2985
AFF4	0	0.414124866540315	0.2967
OAZ1	0	0.411675569807684	0.295
MRPL38	0.144762663782935	0.556753124056618	0.2938
SEC24D	0	0.408810498666561	0.293
RAB6C	0	0.406787094490254	0.2916
MRPL17	0.0544317258243278	0.46135518063823	0.2911
TBX1	0	0.398511570784493	0.2858
TAS1R2	0	0.398294821896983	0.2856
PSMB3	0.0455061583425023	0.441712989146421	0.2837
PSME2	0.0459583116456981	0.442020531219536	0.2836
HOXB7	0	0.39152552737022	0.2809
TTL	0.0351457280471822	0.426559173159747	0.2804
PPP1CB	0	0.389884931002762	0.2797
RGN	0	0.386930457617101	0.2776
MRPL15	0	0.386603900062364	0.2774
DLD	0.0520324393512945	0.43847344859183	0.2768
SRGAP2	0.0402778065349188	0.426111386816982	0.2765
SSU72	0.140501456320589	0.527397061855471	0.2762
BAP1	0	0.382389375709492	0.2744
ICOSLG	0	0.381841411364861	0.2741
RAPGEF6	0	0.38154170552713	0.2739
LSM4	0.0434755370153456	0.425324893702094	0.2736
CBX1	0	0.381090612365416	0.2735
HOXB5	0	0.380163636276031	0.2729
NEK6	0	0.38018091486983	0.2729
SMAD7	0	0.380008551736862	0.2728
OR51D1	0	0.379425363343992	0.2724
CEP250	0	0.377869254037096	0.2713
CHD1L	0	0.377859397420393	0.2713
NDUFS6	0.0484585202199517	0.426717375235928	0.2711
CTSB	0	0.37712448388228	0.2708
USP20	0	0.375169028460985	0.2694
MRPL57	0	0.374986207640866	0.2693
FKBP8	0.0376731200842636	0.412860670583453	0.269
HSP90B1	0.262103870397216	0.638872606012807	0.2679
MRPL43	0.135830847352044	0.50941745056969	0.2669
SEC23A	0.0484847731141298	0.418859081426813	0.2655
ECT2	0	0.36955009469423	0.2654
MTX1	0	0.369197629976587	0.2652
TBC1D1	0	0.369195070400169	0.2652
WSB1	0	0.369152688006564	0.2652
BAMBI	0	0.369006378878563	0.2651
TSHZ2	0	0.369092931413723	0.2651
CYC1	0	0.368827115207917	0.2649
TFAP2C	0.0423647786994789	0.411158724167975	0.2645
GMEB1	0	0.367973075632809	0.2643
VN1R4	0	0.367314132421395	0.2639
MEOX1	0	0.367257004135238	0.2638
MYBL1	0	0.367277203817771	0.2638
ACAD11	0	0.366502509702868	0.2633
PDE3B	0.041181485143335	0.408176409972105	0.2632
SMAD2	0.049409470833139	0.416460257844712	0.2632
OR2M4	0	0.365916972853418	0.2629
CYCS	0	0.3656149045721	0.2627
ZBTB39	0	0.364330681158035	0.2618
OR10G7	0	0.361324412015089	0.2597
CCDC85B	0	0.359678488127152	0.2585
ZNF521	0	0.358857944924614	0.2579
PSMB1	0.260083861737439	0.621760168156137	0.2573
ZNF623	0	0.358030743738195	0.2573
LMAN1	0.193108788987223	0.552574976951456	0.2564
TSPAN8	0	0.356108547809663	0.256
OR13C3	0	0.355156499127772	0.2553
WSB2	0	0.355117920365771	0.2553
NEUROG1	0	0.354448597129621	0.2548
RAI1	0	0.354147553937543	0.2546
ZNF141	0	0.354147872526274	0.2546
FBP1	0	0.353895310096973	0.2544
HSPA5	0.138787231025048	0.494623877652394	0.2544
GPR87	0	0.353307005154411	0.254
ASB6	0	0.350980192183252	0.2524
FRS2	0.0376837138710181	0.389166224052331	0.2524
WTAP	0	0.351021624975928	0.2524
NPAS2	0.0501669361993273	0.40007710807012	0.2511
SPHK1	0	0.346267627561963	0.2491
TRPS1	0	0.34610625445831	0.249
RLIM	0.0446833028003112	0.390500024092151	0.2483
MAST4	0	0.344775326702769	0.248
CYB5R2	0	0.344343449628894	0.2477
IQGAP2	0.0374769827637894	0.381639611482663	0.2472
OR10R2	0	0.342974164651702	0.2468
CYP26C1	0	0.342439310167947	0.2464
BCAP31	0.0477867019039913	0.390620813721179	0.2462
CHEK2	0	0.342191295350876	0.2462
CNST	0	0.342106194633703	0.2462
OR7C2	0	0.3422216254309	0.2462
ZNF449	0	0.342006375831098	0.2461
RELN	0	0.341892155159895	0.246
RPS6KA5	0.0487000955151964	0.391181923504327	0.2459
DNTTIP2	0	0.341626307336069	0.2458
ZNF792	0	0.341419206523499	0.2457
KCNH8	0	0.340500355968581	0.245
OR51F1	0	0.340221083171377	0.2448
RAB40A	0	0.339721167291623	0.2445
OR2A2	0	0.339647971830245	0.2444
PTCH2	0	0.339463738425599	0.2443
SAMM50	0	0.33941247744317	0.2443
TFEB	0	0.339506796568265	0.2443
NDUFA8	0.0479924333908637	0.38757993125059	0.2439
OR51L1	0.0403861962373773	0.379862732598842	0.2439
MNX1	0	0.337458034401024	0.2429
NXN	0.0419101700010108	0.378563497204195	0.2419
ATP6AP1	0	0.335334890710816	0.2414
OTUD6B	0.0376559033819636	0.373539265164398	0.2414
COG1	0	0.334606999269113	0.2409
MRPL30	0.193437856005566	0.530401959377798	0.2406
TRAP1	0.231599255821241	0.568473972815374	0.2402
SRY	0	0.332609084774499	0.2395
FKBP15	0.0365303433374105	0.369301109221848	0.2392
EID1	0.0365620623535753	0.368566480040486	0.2387
NUP133	0.32206249492197	0.657572862755819	0.2383
CDHR1	0	0.330479322617226	0.238
ZNF621	0.0408935438341021	0.370590925243386	0.237
HNRNPA1L2	0	0.328296584836002	0.2365
OR8B12	0	0.328177275541518	0.2364
EHBP1L1	0.039728336090174	0.368137444216275	0.2362
OR10J1	0	0.327842403964802	0.2362
MRPS26	0	0.327030240039293	0.2356
DFFB	0.0396895369740279	0.367011476332091	0.2354
ZNF221	0	0.326626597555617	0.2353
RBM26	0	0.326517548216332	0.2352
OSBP2	0	0.326303896812769	0.2351
ZSWIM3	0	0.326353019988479	0.2351
TAS2R60	0	0.326173337202793	0.235
OR51B4	0	0.325922475143165	0.2348
RAB24	0	0.325469960870873	0.2345
ZNF468	0	0.325043279508515	0.2342
ASCL4	0.0411066545044798	0.366586941544202	0.2341
CSDC2	0	0.324933316393154	0.2341
MCC	0	0.324511674429874	0.2338
SP7	0	0.324311123188674	0.2337
KLF2	0	0.323999127933951	0.2335
P2RY10	0.0433252205420927	0.367991731535958	0.2335
ZNF576	0	0.324089486341272	0.2335
NLRP13	0	0.323787384154368	0.2333
FOXG1	0	0.322858772270642	0.2327
MKLN1	0.0393803704041432	0.362826968246827	0.2327
KCNIP2	0.0435772372761425	0.367009163320496	0.2326
ACO2	0.0441952695024698	0.366991525279775	0.2322
EMX1	0	0.322212553826617	0.2322
MS4A1	0	0.321756936054652	0.2319
OR11A1	0	0.321810212889209	0.2319
ACVR2B	0	0.32143356247266	0.2317
CDKN2A	0	0.319869962250233	0.2306
PRKAB1	0	0.318392881323549	0.2295
GPBP1L1	0.0528097378767708	0.371287578204754	0.229
DDX58	0.047551453575979	0.365569607971366	0.2288
MRPS34	0.135190882705737	0.45444399510722	0.2288
MEF2A	0.136991787296319	0.455540173069347	0.2283
MRPS2	0.0452086641047124	0.362331899969258	0.2282
TAF15	0.039445397458208	0.356271994428465	0.228
PTPRN	0.0380747622405522	0.354651875667269	0.2279
COL24A1	0.0379420073680321	0.353759262829342	0.2273
SEC11C	0	0.315260304011006	0.2273
PSMB4	0.230628098834266	0.548971974510529	0.2272
BRMS1	0	0.31484054870639	0.227
TTC32	0	0.312500632197051	0.2254
PDE6C	0	0.31194112246089	0.225
ZBTB25	0.0553610820933358	0.367790108696967	0.2248
ZBTB49	0	0.310995531920426	0.2243
ACAD9	0.138699705429411	0.451170656796587	0.224
CD99	0	0.310496062288683	0.224
SLU7	0	0.310270020078368	0.2238
TATDN3	0	0.310113337368167	0.2237
RYK	0	0.309936013816467	0.2236
RAB41	0	0.309488317718161	0.2233
OPN4	0	0.309280215052101	0.2231
PRMT7	0	0.30866696108735	0.2227
HOOK1	0	0.308422032428855	0.2225
MCOLN2	0	0.308437775398402	0.2225
DDX43	0	0.308151861780475	0.2223
NAP1L3	0	0.307974149723971	0.2222
ASB18	0	0.307699445495069	0.222
PIK3C2B	0	0.3076596384683	0.222
HSPA4	0.0458699338295214	0.35402324591406	0.2219
GABRA5	0	0.307425530454842	0.2218
CAPN2	0	0.307220516441945	0.2217
CGB8	0	0.306887828564907	0.2214
F7	0	0.306782667432618	0.2214
FBXL5	0	0.306593075681598	0.2212
OR11L1	0	0.306534685160605	0.2212
RUFY3	0	0.306255149441107	0.221
ZKSCAN3	0	0.306269780302953	0.221
BAALC	0	0.306110582901154	0.2209
WLS	0	0.306096392244494	0.2209
NUDT3	0	0.30593377793346	0.2208
ZNF714	0	0.305646080766378	0.2206
SPTA1	0	0.305476473828311	0.2204
OR1S1	0	0.304585816438734	0.2198
CHRNE	0.0368828339561144	0.341829938598696	0.2197
ERAS	0.135125952585114	0.440433105133643	0.219
MAT2A	0	0.303114960390886	0.2188
LDB1	0.0532757726205245	0.355507933780208	0.2176
CHMP4A	0.0517316237289456	0.353304760825047	0.2172
SLC25A3	0.192537160875216	0.495515135700144	0.2168
MT-CYB	0	0.299700787506416	0.2164
UQCR10	0	0.299602746187636	0.2163
PPIB	0.044354367961539	0.344312914990865	0.2161
FBXW5	0.0465654093686604	0.345533946945092	0.2154
ARL4A	0.140923803376099	0.441001814212923	0.2153
EED	0.0532607551881952	0.352114739664512	0.2153
MAU2	0	0.297204237320908	0.2146
TIMM44	0	0.296461469407577	0.2141
MRPL4	0	0.294764519246169	0.2129
RSRC2	0	0.294698182876837	0.2129
VDAC1	0.231118045378082	0.529164780096073	0.2129
SLC22A17	0.0446917827154466	0.338747137171151	0.212
ZNF354A	0	0.292923764821793	0.2116
HNRNPA3P1	0	0.291683259529025	0.2108
NOL8	0	0.291767954194279	0.2108
ANKRD35	0	0.291449302872756	0.2106
RPS6KA1	0.136105916781289	0.429503243054033	0.2106
RCOR2	0	0.290824077045783	0.2102
KCNIP1	0	0.290480486725856	0.2099
TAAR5	0	0.29044443014442	0.2099
AIFM3	0	0.29035733880993	0.2098
DUXA	0	0.290205178221593	0.2097
PSMB2	0.28501471697287	0.579186692247674	0.2097
TDRD3	0	0.290234076378123	0.2097
N4BP2L1	0	0.289983588455283	0.2096
RALGAPA2	0	0.289874465361875	0.2095
RBM33	0	0.289815988073531	0.2095
RCCD1	0	0.289904987503216	0.2095
CXCL10	0	0.289671495519026	0.2094
INSIG1	0	0.289451606258932	0.2092
CNTNAP3	0	0.28937580516807	0.2091
GLO1	0	0.289315029155683	0.2091
RASSF6	0.0487046665762329	0.338729959761035	0.2091
FBXO6	0	0.289212633893203	0.209
EFNB3	0	0.288790784632931	0.2087
BBC3	0	0.288434030902998	0.2085
