A	B	nOverlap
small molecule biosynthetic process	middle ear morphogenesis	2
small molecule biosynthetic process	positive regulation of heart contraction	2
small molecule biosynthetic process	positive regulation of blood circulation	2
small molecule biosynthetic process	branching involved in blood vessel morphogenesis	2
small molecule biosynthetic process	positive regulation of heart rate	2
small molecule biosynthetic process	positive regulation of protein transport	2
small molecule biosynthetic process	cellular ketone metabolic process	7
small molecule biosynthetic process	positive regulation of smooth muscle contraction	3
small molecule biosynthetic process	regulation of muscle contraction	3
small molecule biosynthetic process	positive regulation of establishment of protein localization	2
small molecule biosynthetic process	regulation of heart rate	2
small molecule biosynthetic process	regulation of protein transport	3
small molecule biosynthetic process	organic acid biosynthetic process	10
small molecule biosynthetic process	carboxylic acid biosynthetic process	10
small molecule biosynthetic process	cardiac muscle tissue development	2
small molecule biosynthetic process	Golgi vesicle transport	2
small molecule biosynthetic process	regulation of establishment of protein localization	3
small molecule biosynthetic process	regulation of membrane potential	2
small molecule biosynthetic process	glycosyl compound metabolic process	2
small molecule biosynthetic process	cranial skeletal system development	2
small molecule biosynthetic process	tissue morphogenesis	3
small molecule biosynthetic process	muscle tissue development	3
small molecule biosynthetic process	striated muscle tissue development	2
small molecule biosynthetic process	organic hydroxy compound metabolic process	8
small molecule biosynthetic process	regulation of intracellular protein transport	2
small molecule biosynthetic process	negative regulation of catalytic activity	2
small molecule biosynthetic process	negative regulation of intracellular protein transport	2
small molecule biosynthetic process	sterol biosynthetic process	3
small molecule biosynthetic process	cation transmembrane transport	3
small molecule biosynthetic process	positive regulation of muscle contraction	3
small molecule biosynthetic process	protein processing	2
small molecule biosynthetic process	morphogenesis of a branching epithelium	2
small molecule biosynthetic process	alcohol biosynthetic process	6
small molecule biosynthetic process	lipid homeostasis	2
small molecule biosynthetic process	heart contraction	2
small molecule biosynthetic process	regulation of muscle system process	3
small molecule biosynthetic process	regulation of heart contraction	2
small molecule biosynthetic process	body fluid secretion	2
small molecule biosynthetic process	alcohol metabolic process	7
small molecule biosynthetic process	embryonic organ development	4
small molecule biosynthetic process	embryonic morphogenesis	3
small molecule biosynthetic process	positive regulation of fatty acid metabolic process	2
small molecule biosynthetic process	regulation of cellular ketone metabolic process	5
small molecule biosynthetic process	lipid biosynthetic process	11
small molecule biosynthetic process	organic hydroxy compound biosynthetic process	7
small molecule biosynthetic process	inorganic cation transmembrane transport	2
small molecule biosynthetic process	regulation of intracellular transport	2
small molecule biosynthetic process	biomineralization	2
small molecule biosynthetic process	regulation of endocytosis	2
small molecule biosynthetic process	regulation of blood circulation	2
small molecule biosynthetic process	heart process	2
small molecule biosynthetic process	morphogenesis of a branching structure	2
small molecule biosynthetic process	triglyceride metabolic process	2
small molecule biosynthetic process	inorganic ion transmembrane transport	2
small molecule biosynthetic process	negative regulation of intracellular transport	2
small molecule biosynthetic process	regulation of fatty acid biosynthetic process	3
small molecule biosynthetic process	behavior	3
small molecule biosynthetic process	protein maturation	2
small molecule biosynthetic process	regulation of lipid localization	2
small molecule biosynthetic process	chordate embryonic development	4
small molecule biosynthetic process	regulation of transmembrane transport	3
small molecule biosynthetic process	positive regulation of protein localization	2
small molecule biosynthetic process	muscle contraction	3
small molecule biosynthetic process	vitamin biosynthetic process	2
small molecule biosynthetic process	regulation of urine volume	2
small molecule biosynthetic process	negative regulation of fatty acid biosynthetic process	2
small molecule biosynthetic process	renal tubular secretion	2
small molecule biosynthetic process	embryonic organ morphogenesis	3
small molecule biosynthetic process	cell surface receptor signaling pathway involved in cell-cell signaling	2
small molecule biosynthetic process	steroid biosynthetic process	5
small molecule biosynthetic process	C21-steroid hormone biosynthetic process	2
small molecule biosynthetic process	glutamine family amino acid catabolic process	2
small molecule biosynthetic process	response to mechanical stimulus	2
small molecule biosynthetic process	embryo development ending in birth or egg hatching	4
small molecule biosynthetic process	positive regulation of cation transmembrane transport	2
small molecule biosynthetic process	carboxylic acid metabolic process	13
small molecule biosynthetic process	endocytosis	2
small molecule biosynthetic process	regulation of lipid transport	2
small molecule biosynthetic process	Wnt signaling pathway	2
small molecule biosynthetic process	cell-cell signaling by wnt	2
small molecule biosynthetic process	regulation of smooth muscle contraction	3
small molecule biosynthetic process	rhythmic process	2
small molecule biosynthetic process	small molecule catabolic process	4
small molecule biosynthetic process	regulation of MAPK cascade	2
small molecule biosynthetic process	alpha-amino acid biosynthetic process	3
small molecule biosynthetic process	regulation of cell size	2
small molecule biosynthetic process	branching morphogenesis of an epithelial tube	2
small molecule biosynthetic process	circadian regulation of gene expression	2
