A	B	nOverlap
negative regulation of leukocyte differentiation	negative regulation of hemopoiesis	10
negative regulation of leukocyte differentiation	tissue homeostasis	4
negative regulation of leukocyte differentiation	negative regulation of myeloid leukocyte differentiation	6
negative regulation of leukocyte differentiation	anatomical structure homeostasis	4
negative regulation of leukocyte differentiation	transmembrane receptor protein tyrosine kinase signaling pathway	5
negative regulation of leukocyte differentiation	cell junction assembly	2
negative regulation of leukocyte differentiation	tissue remodeling	5
negative regulation of leukocyte differentiation	negative regulation of platelet activation	2
negative regulation of leukocyte differentiation	regulation of T-helper 1 type immune response	2
negative regulation of leukocyte differentiation	negative regulation of myeloid cell differentiation	6
negative regulation of leukocyte differentiation	negative regulation of cell differentiation	10
negative regulation of leukocyte differentiation	cell-cell junction organization	2
negative regulation of leukocyte differentiation	negative regulation of osteoclast differentiation	4
negative regulation of leukocyte differentiation	negative regulation of cell development	2
negative regulation of leukocyte differentiation	stress-activated MAPK cascade	2
negative regulation of leukocyte differentiation	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
negative regulation of leukocyte differentiation	bone remodeling	4
negative regulation of leukocyte differentiation	tumor necrosis factor-mediated signaling pathway	2
negative regulation of leukocyte differentiation	regulation of DNA-binding transcription factor activity	3
negative regulation of leukocyte differentiation	cell junction organization	2
negative regulation of leukocyte differentiation	bone resorption	4
negative regulation of leukocyte differentiation	stress-activated protein kinase signaling cascade	2
negative regulation of leukocyte differentiation	negative regulation of adaptive immune response	3
negative regulation of leukocyte differentiation	negative regulation of wound healing	2
negative regulation of leukocyte differentiation	negative regulation of immune system process	10
negative regulation of leukocyte differentiation	regulation of tissue remodeling	3
negative regulation of leukocyte differentiation	cellular response to peptide	3
negative regulation of leukocyte differentiation	negative regulation of leukocyte mediated immunity	2
negative regulation of leukocyte differentiation	response to tumor necrosis factor	2
negative regulation of leukocyte differentiation	tissue morphogenesis	2
negative regulation of leukocyte differentiation	T-helper 1 type immune response	2
negative regulation of leukocyte differentiation	regulation of response to biotic stimulus	4
negative regulation of leukocyte differentiation	cell-cell junction assembly	2
negative regulation of leukocyte differentiation	regulation of platelet activation	2
negative regulation of leukocyte differentiation	cytokine-mediated signaling pathway	7
negative regulation of leukocyte differentiation	cellular response to tumor necrosis factor	2
negative regulation of leukocyte differentiation	negative regulation of T cell differentiation	4
negative regulation of leukocyte differentiation	regulation of cytokine-mediated signaling pathway	2
negative regulation of leukocyte differentiation	negative regulation of response to wounding	2
negative regulation of leukocyte differentiation	response to insulin	2
negative regulation of leukocyte differentiation	JNK cascade	2
negative regulation of leukocyte differentiation	regulated exocytosis	2
negative regulation of leukocyte differentiation	response to peptide	3
negative regulation of leukocyte differentiation	cell growth	2
negative regulation of leukocyte differentiation	I-kappaB kinase/NF-kappaB signaling	2
negative regulation of leukocyte differentiation	regulation of innate immune response	3
negative regulation of leukocyte differentiation	negative regulation of DNA-binding transcription factor activity	2
negative regulation of leukocyte differentiation	negative regulation of bone resorption	2
negative regulation of leukocyte differentiation	negative regulation of alpha-beta T cell differentiation	3
negative regulation of leukocyte differentiation	vasculogenesis	2
negative regulation of leukocyte differentiation	morphogenesis of an epithelium	2
negative regulation of leukocyte differentiation	wound healing	2
negative regulation of leukocyte differentiation	regulation of response to cytokine stimulus	2
negative regulation of leukocyte differentiation	regulation of cell development	3
negative regulation of leukocyte differentiation	regulation of adaptive immune response	4
negative regulation of leukocyte differentiation	myeloid leukocyte differentiation	7
negative regulation of leukocyte differentiation	platelet activation	2
negative regulation of leukocyte differentiation	regulation of endothelial cell differentiation	2
negative regulation of leukocyte differentiation	negative regulation of lymphocyte differentiation	4
negative regulation of leukocyte differentiation	regulation of coagulation	2
negative regulation of leukocyte differentiation	regulation of wound healing	2
negative regulation of leukocyte differentiation	multicellular organismal homeostasis	5
negative regulation of leukocyte differentiation	negative regulation of response to biotic stimulus	2
negative regulation of leukocyte differentiation	negative regulation of blood coagulation	2
negative regulation of leukocyte differentiation	positive regulation of CD4-positive, alpha-beta T cell differentiation	2
negative regulation of leukocyte differentiation	regulation of granulocyte differentiation	2
negative regulation of leukocyte differentiation	CD8-positive, alpha-beta T cell differentiation	2
negative regulation of leukocyte differentiation	negative regulation of bone remodeling	2
negative regulation of leukocyte differentiation	endothelial cell differentiation	2
negative regulation of leukocyte differentiation	regulation of CD4-positive, alpha-beta T cell differentiation	3
negative regulation of leukocyte differentiation	regulation of response to wounding	2
negative regulation of leukocyte differentiation	response to wounding	2
negative regulation of leukocyte differentiation	negative regulation of cell activation	6
negative regulation of leukocyte differentiation	regulation of leukocyte differentiation	10
negative regulation of leukocyte differentiation	negative regulation of hemostasis	2
negative regulation of leukocyte differentiation	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
negative regulation of leukocyte differentiation	coagulation	2
negative regulation of leukocyte differentiation	regulation of transcription regulatory region DNA binding	2
negative regulation of leukocyte differentiation	negative regulation of coagulation	2
negative regulation of leukocyte differentiation	calcium ion transport	3
negative regulation of leukocyte differentiation	hemostasis	2
