nodeLabel	flow_class_1	flow_class_2	distance
A2ML1	0	0	-0.0024
A2ML1-AS1	0	0	-0.0024
A2ML1-AS2	0	0	-0.0024
A3GALT2	0	0	-0.0024
AADACL2	0	0	-0.0024
AADACL3	0	0	-0.0024
AADACL4	0	0	-0.0024
AAMDC	0	0	-0.0024
AAMP	0	0	-0.0024
AARS1	0	0	-0.0024
AB019440.1	0	0	-0.0024
AB019440.50	0	0	-0.0024
ABCA10	0	0	-0.0024
ABCA6	0	0	-0.0024
ABCA9	0	0	-0.0024
ABCB10	0	0	-0.0024
ABCB5	0	0	-0.0024
AC000003.1	0	0	-0.0024
AC000123.4	0	0	-0.0024
AC002429.5	0	0	-0.0024
AC002511.1	0	0	-0.0024
AC002511.2	0	0	-0.0024
AC002553.1	0	0	-0.0024
AC002558.1	0	0	-0.0024
AC002978.1	0	0	-0.0024
AC002979.1	0	0	-0.0024
AC003681.1	0	0	-0.0024
AC003682.16	0	0	-0.0024
AC003958.2	0	0	-0.0024
AC004041.2	0	0	-0.0024
AC004069.1	0	0	-0.0024
AC004076.9	0	0	-0.0024
AC004160.4	0	0	-0.0024
AC004231.2	0	0	-0.0024
AC004485.3	0	0	-0.0024
AC004492.1	0	0	-0.0024
AC004528.1	0	0	-0.0024
AC004528.4	0	0	-0.0024
AC004593.3	0	0	-0.0024
AC004691.5	0	0	-0.0024
AC004692.4	0	0	-0.0024
AC004699.1	0	0	-0.0024
AC004837.4	0	0	-0.0024
AC004837.5	0	0	-0.0024
AC004893.11	0	0	-0.0024
AC004906.3	0	0	-0.0024
AC004969.1	0	0	-0.0024
AC004988.1	0	0	-0.0024
AC005008.2	0	0	-0.0024
AC005037.1	0	0	-0.0024
AC005037.2	0	0	-0.0024
AC005042.4	0	0	-0.0024
AC005062.2	0	0	-0.0024
AC005082.1	0	0	-0.0024
AC005154.6	0	0	-0.0024
AC005162.4	0	0	-0.0024
AC005215.1	0	0	-0.0024
AC005224.2	0	0	-0.0024
AC005237.4	0	0	-0.0024
