nodeLabel	Cluster_IDH1_R_25k	Cluster_IDH2_R_25k	distance
MAR00016	0	0.546351240332034	0.3843
FOXN2	0	0.530304239001191	0.3732
ING3	0	0.509959181855267	0.3592
MRPS28	0	0.490886768641105	0.346
KHDRBS3	0	0.482559119543755	0.3403
C18orf32	0	0.481340304009418	0.3394
MRPL37	0	0.48076853368764	0.3391
MRPL20	0	0.480317972652482	0.3387
CRTC3	0.0618757157549923	0.533623867584691	0.3307
YAP1	0	0.466460275887376	0.3292
WFS1	0	0.463473709482999	0.3271
MRPS6	0	0.463233932398277	0.327
PPP2R5C	0	0.459372375225894	0.3243
POU6F1	0	0.457151588133064	0.3228
ZNF839	0	0.455855779785776	0.3219
PLXNA3	0	0.455694088319378	0.3218
MEF2A	0	0.455276682172308	0.3215
PHTF2	0	0.453864986762119	0.3205
RAPGEF6	0	0.451522489876518	0.3189
MEOX1	0	0.450478100760296	0.3182
PRKCH	0	0.448692117611445	0.3169
HLA-DOB	0	0.446720426511666	0.3156
AFF4	0	0.444377927507613	0.314
DYRK2	0	0.440715234914989	0.3114
CHD2	0.0498696441115092	0.492018383654835	0.3107
JAG1	0	0.439101859728496	0.3103
WWTR1	0	0.438905412131478	0.3102
ATF7IP	0.0485885089331554	0.48971393898739	0.31
FRS2	0	0.437877419865098	0.3095
USP6NL	0	0.436643554482815	0.3086
TRAK1	0	0.436250661213295	0.3084
CAMK2A	0	0.431038168776648	0.3048
CNTNAP1	0	0.429148770441315	0.3035
GFM1	0.0452528715481327	0.474977107929111	0.3023
NR1I2	0	0.426784114482519	0.3018
ZNF808	0.0443995938490809	0.468110432216864	0.2982
RC3H2	0	0.420001183758634	0.2972
ZNF449	0	0.41714858990625	0.2952
TRAPPC4	0	0.415174782637209	0.2938
CREG1	0	0.413035612772249	0.2923
TBC1D8B	0	0.412755757199446	0.2922
TMF1	0.0603880299613594	0.47380535000206	0.2905
JAK2	0	0.409983713491998	0.2902
PAK1IP1	0.0439330240153412	0.455462498200045	0.2898
ZCCHC17	0	0.409284570116785	0.2898
CYLD	0	0.408148017154163	0.289
