Gene1	Gene2	Annotation	Direction	Score	weight	Scaled_weight
EFTUD2	HNRNPU	complex; input	-	1	61818.1402227543	1
RPL23A	RPL28	catalyze; catalyzed by; complex; input	<->	1	56647.8002063594	0.992082661703748
RPL23A	RPL8	catalyze; catalyzed by; complex; input	<->	1	54341.6767088299	0.988315268996813
EFTUD2	SRRT	complex; input	-	1	54123.2671518749	0.987950212185516
RPL28	RPL8	catalyze; catalyzed by; complex; input	<->	1	53043.3731565066	0.986123316131247
RPL15	RPL23A	catalyze; catalyzed by; complex; input	<->	1	52491.1548853238	0.985174684087975
RPL23A	RPS13	catalyze; catalyzed by; complex; input	<->	1	52031.5214219279	0.984377457921187
RPL15	RPL28	catalyze; catalyzed by; complex; input	<->	1	51237.0630541438	0.982982731222409
CDC40	EFTUD2	complex; input	-	1	50960.7371407001	0.982492547650798
RPL28	RPS13	catalyze; catalyzed by; complex; input	<->	1	50788.4109184218	0.982185505055621
RPL15	RPL8	catalyze; catalyzed by; complex; input	<->	1	49151.2098590837	0.979215338515474
RPL8	RPS13	catalyze; catalyzed by; complex; input	<->	1	48720.8222848917	0.978418112348686
RPL15	RPS13	catalyze; catalyzed by; complex; input	<->	1	47061.7099726154	0.975277527439848
EFTUD2	SRSF4	complex; input	-	1	45432.9140818782	0.97208472021267
RPL17	RPL36AL	predicted	-	0.65	45074.9070909695	0.971367611020961
CSNK2A1	DDX3X	predicted	-	0.64	44444.5502732532	0.970091014024119
EFTUD2	PTBP1	complex; input	-	1	43792.8486778462	0.968752010837347
RPL23A	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	42202.8994843784	0.965399784089653
RPL23A	RPL29	catalyze; catalyzed by; complex; input	<->	1	41635.2611368743	0.964172304586384
RPL23A	RPL35	catalyze; catalyzed by; complex; input	<->	1	41219.7867866516	0.963263215358865
RPL28	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	41194.6093903407	0.963207831224087
RPL17	RPL23A	catalyze; catalyzed by; complex; input	<->	1	40953.5096359491	0.962675749896796
RPL28	RPL29	catalyze; catalyzed by; complex; input	<->	1	40640.5327679734	0.961980351720819
RPL28	RPL35	catalyze; catalyzed by; complex; input	<->	1	40234.9847184735	0.9610712624933
RPL17	RPL28	catalyze; catalyzed by; complex; input	<->	1	39975.0693252949	0.96048379703123
EFTUD2	HNRNPH1	complex; input	-	1	39651.6544987767	0.959747452453056
RPL8	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	39517.5829861283	0.959440438517152
