nodeID nodeLabel
1 chr1:903641-927394
2 chr1:1005127-1034268
3 chr1:1096739-1107115
4 chr1:1109733-1122642
5 chr1:1160798-1206873
6 chr1:1212439-1220554
7 chr1:1239426-1278099
8 chr1:1465274-1482323
9 chr1:1533887-1545982
10 chr1:1562478-1580659
11 chr1:1648711-1672992
12 chr1:1980724-1991491
13 chr1:2104999-2122560
14 chr1:2335725-2351765
15 chr1:2354920-2357804
16 chr1:2387105-2417285
17 chr1:2420090-2426369
18 chr1:2556307-2565296
19 chr1:2927637-2944794
20 chr1:3470648-3481073
21 chr1:3581866-3590779
22 chr1:3665843-3671123
23 chr1:5861508-5877773
24 chr1:6553634-6581701
25 chr1:6614862-6634284
26 chr1:6808226-6817296
27 chr1:7279196-7281793
28 chr1:7500933-7503257
29 chr1:7879742-7888412
30 chr1:7909867-7918134
31 chr1:8265143-8268856
32 chr1:8351923-8354157
33 chr1:8484342-8487414
34 chr1:8571654-8573207
35 chr1:8943321-8945270
36 chr1:9082025-9091716
37 chr1:9148201-9150970
38 chr1:9205544-9214053
39 chr1:9336978-9341933
40 chr1:9908051-9918370
41 chr1:10221034-10226462
42 chr1:10355588-10362375
43 chr1:10494029-10510019
44 chr1:10517783-10519585
45 chr1:10751037-10767516
46 chr1:11039443-11046834
47 chr1:11085726-11113120
48 chr1:11192293-11204078
49 chr1:11210175-11212490
50 chr1:11228704-11246524
51 chr1:11248311-11249465
52 chr1:11285314-11287968
53 chr1:11837145-11851241
54 chr1:11901356-11913795
55 chr1:12288289-12294700
56 chr1:12566709-12567962
57 chr1:12627258-12642357
58 chr1:12700924-12716452
59 chr1:12773296-12776419
60 chr1:12794756-12801844
61 chr1:12832196-12836206
62 chr1:15495408-15502593
63 chr1:15659242-15665924
64 chr1:15667944-15673815
65 chr1:15763811-15767301
66 chr1:15779730-15788479
67 chr1:15855326-15870456
68 chr1:15932824-15936842
69 chr1:15985644-15986908
70 chr1:16059770-16064295
71 chr1:16064296-16081772
72 chr1:16232922-16239426
73 chr1:16321496-16331357
74 chr1:16331358-16347268
75 chr1:16358634-16372517
76 chr1:16485103-16490906
77 chr1:16516866-16525321
78 chr1:16538420-16542892
79 chr1:16555003-16560581
80 chr1:16763583-16765770
81 chr1:17297144-17307321
82 chr1:17530817-17533093
83 chr1:17573271-17575857
84 chr1:17728739-17733875
85 chr1:17773612-17779452
86 chr1:18504333-18508604
87 chr1:19180246-19189771
88 chr1:19834133-19846538
89 chr1:19852468-19871393
90 chr1:19965667-19968102
91 chr1:20140001-20141953
92 chr1:20247143-20260754
93 chr1:20301548-20307716
94 chr1:20458341-20473891
95 chr1:20503783-20504897
96 chr1:20644901-20650388
97 chr1:21064878-21072569
98 chr1:21167001-21172670
99 chr1:21314908-21317537
100 chr1:21592479-21598521
101 chr1:21904946-21937583
102 chr1:22137923-22169002
103 chr1:22974711-22980184
104 chr1:23072076-23078076
105 chr1:23150255-23167762
106 chr1:23283163-23292199
107 chr1:23487352-23489391
108 chr1:23489392-23491849
109 chr1:23521149-23521709
110 chr1:23903672-23918990
111 chr1:24206181-24218829
112 chr1:24387880-24394506
113 chr1:24469097-24474112
114 chr1:24956915-24958408
115 chr1:24992621-24996135
116 chr1:25098458-25111106
117 chr1:25273787-25293947
118 chr1:25531683-25536069
119 chr1:25669878-25676351
120 chr1:25977545-25994557
121 chr1:26195281-26207401
122 chr1:26331324-26342119
123 chr1:26342120-26347012
124 chr1:26386211-26397146
125 chr1:26499658-26520728
126 chr1:26677864-26685407
127 chr1:26690647-26702056
128 chr1:26793148-26796299
129 chr1:26877973-26882598
130 chr1:27194265-27205526
131 chr1:27651233-27652420
132 chr1:28160590-28162584
133 chr1:28511770-28522951
134 chr1:28522952-28531626
135 chr1:28800678-28809347
136 chr1:28888688-28906020
137 chr1:28906021-28906506
138 chr1:29014066-29021972
139 chr1:29477518-29490888
140 chr1:29544754-29551670
141 chr1:29573666-29580274
142 chr1:30113931-30119220
143 chr1:31193344-31205317
144 chr1:31327214-31331656
145 chr1:31405693-31421067
146 chr1:31421068-31424024
147 chr1:31439279-31444641
148 chr1:31810106-31826059
149 chr1:31881947-31884507
150 chr1:32035875-32051119
151 chr1:32118197-32135719
152 chr1:32378903-32383282
153 chr1:32711309-32716765
154 chr1:32825454-32836565
155 chr1:33186314-33201416
156 chr1:33201417-33221702
157 chr1:33771424-33781316
158 chr1:33905019-33907985
159 chr1:34325381-34335987
160 chr1:35219994-35224428
161 chr1:35224429-35238697
162 chr1:35243910-35244701
163 chr1:35244702-35261317
164 chr1:35314497-35319156
165 chr1:35405452-35410239
166 chr1:35831353-35840472
167 chr1:36037223-36043346
168 chr1:36203489-36211264
169 chr1:36326423-36339124
170 chr1:36588533-36600342
171 chr1:36863902-36875413
172 chr1:38021315-38023385
173 chr1:38266511-38269909
174 chr1:38348182-38352668
175 chr1:38860630-38862962
176 chr1:39346976-39352551
177 chr1:39584614-39593722
178 chr1:39720568-39724686
179 chr1:39876095-39876383
180 chr1:40021774-40035236
181 chr1:40362537-40364674
182 chr1:40637662-40648142
183 chr1:40711556-40713624
184 chr1:40808519-40817618
185 chr1:40980391-40991500
186 chr1:41212984-41230030
187 chr1:41478445-41491742
188 chr1:41947515-41953716
189 chr1:41996483-42007277
190 chr1:42613655-42625305
191 chr1:42626594-42634374
192 chr1:43032590-43040817
193 chr1:43204727-43209067
194 chr1:43218803-43223688
195 chr1:43239860-43244981
196 chr1:43449154-43467973
197 chr1:43480618-43489357
198 chr1:43724149-43732826
199 chr1:43733529-43747953
200 chr1:43765903-43769752
201 chr1:43794944-43813361
202 chr1:43850167-43855391
203 chr1:43884985-43887100
204 chr1:43976174-43992142
205 chr1:44160990-44171673
206 chr1:44176456-44182792
207 chr1:44190395-44205543
208 chr1:44441553-44456606
209 chr1:44795296-44800009
210 chr1:44856226-44857184
211 chr1:45250883-45256643
212 chr1:45822403-45828218
213 chr1:46088828-46095491
214 chr1:46511224-46515113
215 chr1:46636405-46641230
216 chr1:46641231-46646646
217 chr1:46685008-46687010
218 chr1:46805253-46806048
219 chr1:47012627-47024060
220 chr1:47136539-47140305
221 chr1:47647596-47658305
222 chr1:47871330-47889341
223 chr1:47889342-47901439
224 chr1:47966641-47971774
225 chr1:48685214-48689638
226 chr1:49511520-49515406
227 chr1:49616875-49619492
228 chr1:50640832-50646292
229 chr1:50687708-50704911
230 chr1:50926155-50928864
231 chr1:51045806-51048507
232 chr1:51213781-51220245
233 chr1:51650024-51658076
234 chr1:51726697-51731761
235 chr1:51841086-51852074
236 chr1:51923972-51932718
237 chr1:51990649-52005457
238 chr1:52037930-52042859
239 chr1:52253627-52265528
240 chr1:52301074-52302296
241 chr1:52871279-52880535
242 chr1:53575798-53581009
243 chr1:53605720-53610340
244 chr1:53724303-53755493
245 chr1:53923628-53926390
246 chr1:54141109-54157786
247 chr1:54199217-54200856
248 chr1:54233734-54237814
249 chr1:54478314-54494347
250 chr1:54605965-54629016
251 chr1:54637259-54638172
252 chr1:54648228-54650120
253 chr1:54702612-54706786
254 chr1:54750760-54753750
255 chr1:54875902-54879620
256 chr1:54985504-54994167
257 chr1:55087349-55097193
258 chr1:55100009-55109263
259 chr1:55242641-55261046
260 chr1:55269566-55283808
261 chr1:55456364-55458363
262 chr1:55862440-55867207
263 chr1:57281041-57288092
264 chr1:57288093-57293122
265 chr1:57318554-57321294
266 chr1:57430135-57434394
267 chr1:58218202-58225805
268 chr1:60254251-60261332
269 chr1:61326967-61331046
270 chr1:61436105-61444325
271 chr1:62276616-62282730
272 chr1:62316768-62325111
273 chr1:62573480-62589612
274 chr1:62757082-62766613
275 chr1:62777641-62791752
276 chr1:63051627-63064553
277 chr1:63368801-63370947
278 chr1:63997170-64004077
279 chr1:64014379-64017593
280 chr1:64484521-64495579
281 chr1:64636365-64646378
282 chr1:64665090-64681925
283 chr1:65481320-65492283
284 chr1:65521436-65524475
285 chr1:65880831-65885279
286 chr1:67264410-67275226
287 chr1:67593884-67600977
288 chr1:67621847-67634499
289 chr1:67661736-67663094
290 chr1:67695072-67706175
291 chr1:67733113-67736137
292 chr1:67878837-67884716
293 chr1:68006279-68007625
294 chr1:68235398-68242599
295 chr1:68516578-68525789
296 chr1:68647427-68652100
297 chr1:68911549-68921698
298 chr1:68940025-68945623
299 chr1:70494562-70498431
300 chr1:70609204-70613093
301 chr1:70701915-70704607
302 chr1:71403838-71419496
303 chr1:72036539-72043386
304 chr1:74837690-74846361
305 chr1:74928656-74934363
306 chr1:76068563-76079386
307 chr1:76257150-76264083
308 chr1:77218708-77221473
309 chr1:77533471-77539887
310 chr1:77803300-77817351
311 chr1:77854739-77859422
312 chr1:77885731-77887379
313 chr1:78765973-78769705
314 chr1:79077043-79086626
315 chr1:79114114-79115483
316 chr1:79152520-79154652
317 chr1:79470744-79482021
318 chr1:84742051-84745738
319 chr1:84863031-84864954
320 chr1:85100235-85101609
321 chr1:85258626-85259072
322 chr1:86049109-86060796
323 chr1:86883597-86890757
324 chr1:86927687-86935966
325 chr1:87009047-87018556
326 chr1:87155096-87159502
327 chr1:87408669-87410760
