source	target	Annotation	Direction	Score
AATF	ELF1	expression regulated by	<-	1
AATF	ESF1	predicted	-	0.73
AATF	NGDN	predicted	-	0.73
ACADM	UQCRC2	predicted	-	0.58
ACTL6A	ACTR8	complex	-	1
ACTL6A	ARID1B	complex	-	1
ACTL6A	BRD7	complex	-	1
ACTL6A	CUL4A	activate	->	1
ACTL6A	FEN1	predicted	-	0.98
ACTL6A	KAT5	complex; input	-	1
ACTL6A	RBBP4	predicted	-	0.92
ACTL6A	SNW1	reaction	-	1
ACTL6A	SUPT16H	complex	-	1
ACTR10	COG1	input	-	1
ACTR10	DYNLL1	complex; input	-	1
ACTR10	HSP90AA1	activate	->	1
ACTR10	NR3C1	activate	->	1
ACTR10	RAB1B	complex; input	-	1
ACTR10	YKT6	complex; input	-	1
ACTR2	BRK1	activated by; complex; input	<-	1
ACTR2	CD247	input	-	1
ACTR2	CDC42	activated by; complex; input	<-	1
ACTR2	CLTB	complex; input	-	1
ACTR2	EFHD2	predicted	-	0.78
ACTR2	HTT	catalyzed by; complex; input	<-	1
ACTR2	MMP8	catalyzed by	<-	1
ACTR2	MMP9	catalyzed by	<-	1
ACTR2	RHOG	activated by	<-	1
ACTR2	WAS	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
ACTR2	WASF2	PPrel: activated by; activated by; complex; input	<-	1
ACTR8	CUL4A	activate	->	1
AGK	MAP2K1	complex; input	-	1
AGO2	AGO3	reaction	-	1
AGO2	CNOT6L	predicted	-	0.64
AGO2	DDX17	predicted	-	0.56
AGO2	NDC1	catalyzed by	<-	1
AGO2	NUP188	catalyzed by	<-	1
AGO2	NUP214	catalyzed by	<-	1
AGO2	NUP43	catalyzed by	<-	1
AGO2	NUP85	catalyzed by	<-	1
AGO2	POLR2G	complex; input	-	1
AGO2	PRKRA	complex	-	1
AGO2	RAE1	catalyzed by	<-	1
AGO2	RBM4	predicted	-	0.64
ALOX5	ALOX5AP	complex	-	1
ALOX5AP	CORO1A	predicted	-	0.59
ALOX5AP	ITGB2	predicted	-	0.59
ANAPC2	ANAPC7	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC27	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	IST1	predicted	-	0.64
ANAPC2	NR3C1	expression regulated by	<-	1
ANAPC2	PSMB1	catalyzed by	<-	1
ANAPC2	PSMC5	catalyzed by	<-	1
ANAPC7	CDC27	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC7	PSMB1	catalyzed by	<-	1
ANAPC7	PSMC5	catalyzed by	<-	1
ANXA5	GPI	predicted	-	0.64
ANXA5	IQGAP1	predicted	-	0.64
API5	HTT	predicted	-	0.64
APOOL	HSPA9	complex; input	-	1
APOOL	MTX1	complex; input	-	1
APTX	PARP1	predicted	-	0.64
APTX	PRKDC	complex; input	-	1
ARF6	CLTB	activate	->	1
ARF6	CRK	complex; input	-	1
ARF6	GNAQ	activated by	<-	1
ARF6	HTT	catalyze	->	1
ARF6	RCC2	predicted	-	0.64
ARFGAP2	RAB1B	complex; input	-	1
ARFGAP2	YKT6	complex; input	-	1
ARID1B	KAT5	predicted	-	0.54
ASH2L	CHD8	predicted	-	0.64
ASH2L	KMT2A	complex	-	1
ASH2L	POLR2G	catalyze; complex; input; reaction	->	1
ASH2L	PRMT1	complex; input	-	1
ASH2L	RBBP4	catalyze; input	->	1
ASH2L	SUZ12	catalyze; input	->	1
ATP11A	TMEM30A	predicted	-	0.64
ATP5B	HSP90AA1	predicted	-	0.66
ATP5B	TRAP1	predicted	-	0.66
ATP6AP1	ATP6V0D1	complex; input	-	1
ATP6AP1	ATP6V1H	complex; input	-	1
ATP6AP1	PRKCB	PPrel: binding/association	-	1
ATP6V0D1	ATP6V1H	complex	-	1
BCAS2	CCAR1	complex; input	-	1
BCAS2	CDC40	complex; input	-	1
BCAS2	CLP1	complex; input	-	1
BCAS2	CSTF1	complex; input	-	1
BCAS2	CSTF2	complex; input	-	1
BCAS2	CSTF3	complex; input	-	1
BCAS2	FIP1L1	complex; input	-	1
BCAS2	FUS	complex; input	-	1
BCAS2	GPKOW	complex; input	-	1
BCAS2	GTF2F2	complex; input	-	1
BCAS2	HNRNPD	complex; input	-	1
BCAS2	HNRNPH1	complex; input	-	1
BCAS2	HNRNPL	complex; input	-	1
BCAS2	HNRNPM	complex; input	-	1
BCAS2	HNRNPU	complex; input	-	1
BCAS2	NUDT21	complex; input	-	1
BCAS2	POLR2G	complex; input	-	1
BCAS2	PPWD1	complex; input	-	1
BCAS2	PQBP1	complex	-	1
BCAS2	PRCC	complex; input	-	1
BCAS2	PRPF4	complex; input	-	1
BCAS2	SART1	complex; input	-	1
BCAS2	SMNDC1	complex; input	-	1
BCAS2	SNRNP40	complex; input	-	1
BCAS2	SNRPE	complex; input	-	1
BCAS2	SNW1	complex; input	-	1
BCAS2	SRSF1	complex; input	-	1
BCAS2	SRSF11	complex; input	-	1
BCAS2	SRSF3	complex; input	-	1
BCAS2	SRSF4	complex; input	-	1
BCAS2	SRSF6	complex; input	-	1
BCAS2	SUGP1	complex; input	-	1
BCAS2	SYF2	complex; input	-	1
BCAS2	U2SURP	complex; input	-	1
BCAS2	UPF3B	complex; input	-	1
BCCIP	GNL3	predicted	-	0.58
BCCIP	RPL23	predicted	-	1
BCLAF1	CSNK2A1	predicted	-	0.98
BCLAF1	HNRNPDL	predicted	-	0.59
BCLAF1	HNRNPH3	predicted	-	0.59
BCLAF1	MCM2	predicted	-	0.65
BCLAF1	PARP16	expression regulates	->	1
BCLAF1	PCNP	predicted	-	0.59
BCLAF1	SFPQ	predicted	-	0.98
BCLAF1	SRSF11	predicted	-	0.59
BCLAF1	SUZ12	predicted	-	0.58
BCLAF1	SYNCRIP	predicted	-	0.59
BCLAF1	TCERG1	predicted	-	0.59
BCLAF1	U2SURP	predicted	-	0.59
BCLAF1	ZNF638	predicted	-	0.59
BIRC6	CSNK2A1	predicted	-	0.64
BIRC6	MAP2K1	predicted	-	0.64
BPTF	RBBP4	predicted	-	0.64
BRK1	WASF2	complex	-	1
BSG	ITGB1	complex; input	-	1
BSG	SLC16A3	complex; input	-	1
BYSL	DDX10	predicted	-	0.64
BYSL	DDX17	predicted	-	0.64
BYSL	DIMT1	predicted	-	0.66
BYSL	EMG1	predicted	-	0.99
BYSL	NOP14	predicted	-	0.99
BYSL	PNO1	complex	-	1
BYSL	RPP30	complex	-	1
BYSL	RPS27	complex	-	1
BYSL	RPS4Y1	complex	-	1
BYSL	RPSA	complex	-	1
BYSL	TFB1M	predicted	-	0.66
BYSL	TFB2M	predicted	-	0.66
BYSL	WDR3	predicted	-	0.73
C2CD5	HNRNPH3	predicted	-	0.59
CAMP	CTSG	predicted	-	0.64
CAMP	ELANE	predicted	-	0.64
CAMP	PRTN3	catalyzed by	<-	1
CAPN2	CAST	complex; inhibited by; input; reaction	|-	1
CAPN2	HTT	catalyze	->	1
CBX8	CSNK2A1	predicted	-	0.64
CBX8	KAT5	predicted	-	0.64
CBX8	NOP2	predicted	-	0.64
CBX8	PHC3	complex	-	1
CBX8	RNF2	complex	-	1
CBX8	SUZ12	expression regulated by	<-	1
CCAR1	CDC40	complex; input	-	1
CCAR1	CLP1	complex; input	-	1
CCAR1	CSTF1	complex; input	-	1
CCAR1	CSTF2	complex; input	-	1
CCAR1	CSTF3	complex; input	-	1
CCAR1	FIP1L1	complex; input	-	1
CCAR1	FUS	complex; input	-	1
CCAR1	GPKOW	complex; input	-	1
CCAR1	GTF2F2	complex; input	-	1
CCAR1	HNRNPD	complex; input	-	1
CCAR1	HNRNPH1	complex; input	-	1
CCAR1	HNRNPL	complex; input	-	1
CCAR1	HNRNPM	complex; input	-	1
CCAR1	HNRNPU	complex; input	-	1
CCAR1	NUDT21	complex; input	-	1
CCAR1	POLR2G	complex; input	-	1
CCAR1	PPWD1	complex; input	-	1
CCAR1	PQBP1	complex; input	-	1
CCAR1	PRCC	complex; input	-	1
CCAR1	PRPF4	complex; input	-	1
CCAR1	SART1	complex; input	-	1
CCAR1	SMNDC1	complex; input	-	1
CCAR1	SNRNP40	complex; input	-	1
CCAR1	SNRPE	complex; input	-	1
CCAR1	SNW1	complex; input	-	1
CCAR1	SRSF1	complex; input	-	1
CCAR1	SRSF11	complex; input	-	1
CCAR1	SRSF3	complex; input	-	1
CCAR1	SRSF4	complex; input	-	1
CCAR1	SRSF6	complex; input	-	1
CCAR1	SUGP1	complex; input	-	1
CCAR1	SYF2	complex; input	-	1
CCAR1	U2SURP	complex; input	-	1
CCAR1	UPF3B	complex; input	-	1
CCDC124	NR3C1	expression regulated by	<-	1
CCNK	CDK12	complex; input	-	1
CCNK	GTF2E2	complex; input	-	1
CCNK	GTF2F2	catalyze; complex; input	->	1
CCNK	INTS1	catalyze; complex; input	->	1
CCNK	INTS10	catalyze; complex; input	->	1
CCNK	INTS4	catalyze; complex; input	->	1
CCNK	IWS1	complex; input	-	1
CCNK	LEO1	complex; input	-	1
CCNK	PAF1	complex; input	-	1
CCNK	PHAX	complex; input	-	1
CCNK	POLR2G	catalyze; complex; input	->	1
CCNK	SSRP1	complex; input	-	1
CCNK	SUPT16H	complex; input	-	1
CCNK	SUPT5H	activated by; catalyze; complex; input	<->	1
CCNK	SUPT6H	complex; input	-	1
CCNL2	ELF1	expression regulated by	<-	1
CD14	ITGAM	complex; input	-	1
CD14	ITGB1	complex; input	-	1
CD14	ITGB2	complex; input	-	1
CD14	TAB1	PPrel: indirect effect; complex; input	-	1
CD14	TOLLIP	complex; input	-	1
CD247	CD74	complex; input	-	1
CD247	CRK	complex; input	-	1
CD247	FCER1G	predicted	-	0.97
CD247	GNAI2	inhibited by	|-	1
CD247	GNAI3	inhibited by	|-	1
CD247	GNG2	activated by	<-	1
CD247	HCK	catalyzed by	<-	1
CD247	HLA-E	complex; input	-	1
CD247	PTPRC	activated by; catalyzed by; inhibited by	-	1
CD247	PTPRJ	catalyzed by; inhibited by	-	1
CD3EAP	DEK	complex; input	-	1
CD3EAP	MYBBP1A	complex; input	-	1
CD3EAP	POLR1B	complex; input	-	1
CD3EAP	POLR1C	complex; input	-	1
CD63	ITGB1	predicted	-	0.64
CD74	NFYC	GErel: expression by	<-	1
CDC27	PSMB1	catalyzed by	<-	1
CDC27	PSMC5	catalyzed by	<-	1
CDC40	CHTOP	complex; input	-	1
CDC40	CLP1	catalyzed by; complex; input	<-	1
CDC40	CSTF1	complex; input	-	1
CDC40	CSTF2	complex; input	-	1
CDC40	CSTF3	complex; input	-	1
CDC40	DDX39A	complex; input	-	1
CDC40	DDX39B	complex; input	-	1
CDC40	FIP1L1	complex; input	-	1
CDC40	FUS	complex; input	-	1
CDC40	GPKOW	complex; input	-	1
CDC40	GTF2F2	complex; input	-	1
CDC40	HNRNPD	complex; input	-	1
CDC40	HNRNPH1	complex; input	-	1
CDC40	HNRNPL	complex; input	-	1
CDC40	HNRNPM	complex; input	-	1
CDC40	HNRNPU	complex; input	-	1
CDC40	NDC1	activated by; input	<-	1
CDC40	NUDT21	catalyzed by; complex; input	<-	1
CDC40	NUP188	activated by; input	<-	1
CDC40	NUP214	activated by; input	<-	1
CDC40	NUP43	activated by; input	<-	1
CDC40	NUP85	activated by; input	<-	1
CDC40	NXF1	catalyze; complex; input	->	1
CDC40	POLR2G	complex; input	-	1
CDC40	PPWD1	complex; input	-	1
CDC40	PQBP1	complex; input	-	1
CDC40	PRCC	complex; input	-	1
CDC40	PRPF4	complex; input	-	1
CDC40	RAE1	activated by; input	<-	1
CDC40	SARNP	complex; input	-	1
CDC40	SART1	complex; input	-	1
CDC40	SMNDC1	complex; input	-	1
CDC40	SNRNP40	complex; input	-	1
CDC40	SNRPE	complex; input	-	1
CDC40	SNW1	complex; input; predicted	-	1
CDC40	SRSF1	complex; input	-	1
CDC40	SRSF11	complex; input	-	1
CDC40	SRSF3	complex; input	-	1
CDC40	SRSF4	complex; input	-	1
CDC40	SRSF6	complex; input	-	1
CDC40	SUGP1	complex; input	-	1
CDC40	SYF2	complex; input	-	1
CDC40	THOC6	complex; input	-	1
CDC40	U2SURP	complex; input	-	1
CDC40	UPF3B	complex; input	-	1
CDC42	CENPC	complex; input; reaction	-	1
CDC42	CLASP1	complex; input; reaction	-	1
CDC42	CRK	PPrel: activated, indirect effect	<-	1
CDC42	DYNLL1	complex; input; reaction	-	1
CDC42	GNAI2	activated by	<-	1
CDC42	GNAI3	activated by	<-	1
CDC42	GNG2	activated by; complex; input	<-	1
CDC42	HTT	activate; catalyzed by	<->	1
CDC42	IQGAP1	PPrel: activation; PPrel: inhibition; activated by; complex; input; predicted; reaction	<-	1
CDC42	ITGB1	activated by	<-	1
CDC42	MIS12	complex; input; reaction	-	1
CDC42	NUP43	complex; input; reaction	-	1
CDC42	NUP85	complex; input; reaction	-	1
CDC42	PREX1	catalyzed by	<-	1
CDC42	RCC2	complex; input; reaction	-	1
CDC42	RPS27	complex; input; reaction	-	1
CDC42	TUBA4A	PPrel: activated by	<-	1
CDC42	WAS	PPrel: activation; complex; input	->	1
CDK12	GTF2F2	complex; input	-	1
CDK12	PAF1	predicted	-	0.64
CDK12	POLR2G	complex; input	-	1
CDK12	SSRP1	complex; input	-	1
CDK12	SUPT16H	complex; input	-	1
CDK12	SUPT5H	complex; input	-	1
