name	IDH1_vs_Group_control_diff	IDH1_vs_Group_control_p.val
ABCC1	0.991035701164236	0.0359606300510043
ABCD1	-1.48204537247078	0.0123435243766912
ABHD17B	1.48198130334745	0.0365415679890268
ABT1	1.17448514290622	0.0304320195280795
ACOT13	0.813981114179896	0.0273888569028012
ACSF3	0.819863187960912	0.0131101010223016
ACSS1	1.10397312236313	0.0102417654922616
AGO2	0.914232431870794	0.0228412701683518
AGTRAP	-1.12137985622212	0.0346820670001834
ALDH5A1	1.86392364335124	0.0133493369140623
ALG11	-0.638991067882309	0.0173091823792233
ALG2	-1.09780931074492	0.0469404430185399
ALOX5	-2.71805565492894	4.56778796116775e-05
ALOX5AP	-2.05081243489635	0.00939831819425033
ANKRD28	1.88563835393689	0.0278719524182023
ANXA11	-0.633872591976665	0.0319446055129994
ANXA3	-2.71184508234924	0.020343859912521
ANXA6	-1.08895013269594	0.0456291937156052
ANXA7	0.754351436650623	0.0300834869414937
AOAH	-2.2607740410918	0.00211738948310661
AP3M1	-0.744769468280349	0.00969718080560454
AP5B1	-0.899478171197778	0.00846472021073937
AP5Z1	-0.654898840986803	0.0294698262008388
APMAP	-1.15133329676043	0.023370873323494
APOOL	1.0474761540655	0.00770270790575522
ARCN1	-0.632068192679103	0.0273857206864571
ARID1B	0.968582375754472	0.0365990095303101
ARL8A	-0.740456840604622	0.0457251259627193
ARMC8	-0.94452296264906	0.00944588976291414
ARPC2	-0.860595209141731	0.00448278327782389
ARSB	-0.958369743552037	0.0246964039724844
ASH2L	0.581889610469833	0.036183512116983
ATL3	-0.925754530663465	0.0172310729217341
ATP11A	-0.969224993238043	0.0199053950950604
ATP11B	-0.959121388314063	0.0189048751240173
ATP6AP1	-1.1791247557302	0.00167654421944282
ATP6AP2	-0.695304607810492	0.0427938404239466
ATP6V0D1	-1.28321829441972	0.0120291102014075
AZU1	-3.23606060673162	0.00636549664666262
BPI	-4.30350551500306	0.000173787959335332
BRD7	1.18954455173387	0.00180335150150719
BST1	-1.99572312475997	0.00497766680260338
C11orf98	0.680306144173443	0.0362866474725965
C2CD5	0.88010003787095	0.0483031093549188
C3	-2.69085481531856	0.0262088583105347
CA2	2.02970518825746	0.0434945659728091
CANX	-0.865510677245336	0.0147279978243474
CCDC12	1.29500552520955	0.0205092841262395
CCDC22	-0.64944030196429	0.0163372913206807
CD58	-1.02699668565418	0.0247683648619061
CD63	-3.94678008366375	1.72062567440045e-05
CDC42	-0.796953808902298	0.0195715759458071
CDK12	0.774956092014833	0.0256781253085438
CDYL	0.560253306842309	0.0284888458660338
CEACAM8	-3.56045363554952	0.0014058266908939
CEBPB	-2.05032409366243	0.00255865171428384
CECR1	-2.56937886236175	0.00607057422038731
CENPC	0.708056383284863	0.0291031194806606
CERS2	0.698990075449412	0.0188177129654831
CHD1	0.698899391760978	0.0313667413895846
CHMP1B	-1.12008143068539	0.0140317628255661
CHTOP	1.54645387438234	0.022740058982597
CLASRP	0.906246324412482	0.0226738962904364
CLP1	0.51906745491431	0.0266955081000077
CLPX	0.551044790495581	0.0487859711379848
CMPK2	1.61601728391917	0.0220811110372348
CNOT3	0.747935565704481	0.0332055621753208
