name	IDH2_vs_Group_control_diff	IDH2_vs_Group_control_p.val
A0A096LPI6	0.234023631762103	0.29394586021966
A0A0A6YYC8	0.30252071145156	0.437360223360621
A1BG	-0.282054833772992	0.689759368401617
A2M	-0.0422849292065557	0.957572328439532
AAAS	0.146760788745169	0.638609007021509
AAK1	-0.213572548266665	0.466586845781989
AAMDC	0.21246937049942	0.499538088458133
AARS	0.746159331974983	0.0199814756768827
AARS2	0.101741120094164	0.673700160911071
ABCB10	-0.157481122606875	0.6908227146828
ABCB7	0.29857882473544	0.226285365281207
ABCC1	0.741315313183115	0.0231234717708705
ABCD1	-1.13031417221917	0.00733964352364729
ABCD3	0.238420247642175	0.415831240994932
ABCE1	0.330481019950064	0.187811666803361
ABCF1	0.290117205327778	0.36917603716941
ABCF2	0.253340819572124	0.439894287937465
ABCF3	-0.200810701667109	0.439308246023083
ABHD10	0.0846740377604753	0.820142290591435
ABHD11	-0.326218987179608	0.340812738430223
ABHD12	0.365602874500333	0.173309522494053
ABHD14B	0.7445807831511	0.0223632199736143
ABHD16A	-0.20890264454	0.525881202988042
ABI1	0.361773810512929	0.241870148843789
ABR	0.34055785706294	0.346974222151406
ACAA1	0.181042459754249	0.58317444169756
ACAA2	-0.0703982465700079	0.762082435125553
ACAD8	0.673355530105319	0.0147260924722846
ACAD9	-0.619884119145652	0.00462110514661873
ACADM	-0.334218478590969	0.121688267926625
ACADS	-0.196510832446386	0.479750551503119
ACADSB	-0.169775889969916	0.451374689845539
ACADVL	-0.41042463626539	0.0895668577277403
ACAP1	0.401824073515559	0.215753591035674
ACAP2	0.505208161077604	0.202225147327432
ACAT1	-0.701275563246213	0.00489320314096035
ACAT2	0.483204115855617	0.0972198401276277
ACBD3	-0.180243243614495	0.293012934785261
ACIN1	-0.0864710715713812	0.623993304027128
ACLY	0.294435885476393	0.186236225377619
ACO1	0.917968179632613	0.0191850171095397
ACO2	0.0286283410366188	0.877050855296786
ACOT1	0.220360972935826	0.531975616956104
ACOT13	0.248248003742329	0.292750838750755
ACOT7	0.377619636287431	0.339454808110239
ACOT8	-0.0213983679626217	0.942480085534527
ACOT9	-0.114819428001923	0.688209859704581
ACOX1	0.035033706176872	0.906243534314499
ACP1	0.227969121573839	0.26020917153276
ACP2	0.309234675377787	0.520474068723954
ACPP	-0.587843976540515	0.141296120228742
ACSF2	0.0749063912107317	0.860138071707248
ACSF3	0.321758726182029	0.19390745845279
ACSL1	-0.0122798779707409	0.978813729577057
ACSL3	-0.458952088457426	0.0361141001115854
ACSL4	-0.380864416000509	0.110500139387241
ACSL5	-0.0910245777941903	0.754025093153084
ACSS1	0.477028178834772	0.0834998803581448
ACTB	0.00349358780966469	0.988740168867462
ACTBL2	-0.911946909960825	0.55871873501412
ACTC1	-0.0775852723653685	0.742654908911927
ACTL6A	0.143837158018542	0.439391377187611
ACTN1	0.296495332647265	0.435967322416857
ACTN4	0.126589738804714	0.536089478956603
ACTR1A	0.430969431748938	0.158730269886687
ACTR1B	0.0636449541707229	0.761456601771958
ACTR2	-0.0166644686491537	0.967596495564182
ACTR3	0.0228455384143942	0.928259416639184
ACY1	0.302714338962854	0.439885253187389
ACYP1	0.331819549492423	0.306974711746041
ADA	1.08599997468387	0.0413528351886256
ADAM10	0.249485260722501	0.514097332269582
ADAR	0.238984098211017	0.177721731020833
ADCK3	0.0461468666935332	0.876228979642761
ADD1	0.291926798351117	0.289639036325392
ADD3	0.349456532022451	0.324806883034713
ADH5	0.764654410197814	0.0302864208394466
ADK	0.282696457945416	0.375440404802591
ADNP	0.179609382680301	0.517043981670625
ADPGK	-0.640782759058808	0.115414240175895
ADPRHL2	0.344985515217402	0.0667414040760652
ADRBK1	-0.196065400352499	0.492536690784525
ADSL	-0.0819241777008664	0.746760388468861
ADSS	0.296558450555306	0.175430231243997
AFG3L2	-0.103687232392648	0.623255580206154
AFM	0.538212274394461	0.492213400099453
AFP	0.185791471699702	0.794295377435407
AGA	-0.0864425504294921	0.834702859258233
AGFG1	-0.221067305411122	0.516341179483321
AGK	0.121210890793925	0.572921815996027
AGL	0.335250662181455	0.269937661856306
AGO1	0.550215874467138	0.0227325900106621
AGPAT3	-0.312505492278294	0.428053451736697
AGPAT5	0.0651434322732065	0.86354252591165
AGPS	0.0991234859090184	0.72991736913137
AGTPBP1	-0.0898325140223051	0.822848939715496
AGTRAP	-1.07621448900963	0.0423163232756316
AHCTF1	-0.191455989696877	0.339093621621185
AHCY	-0.105747280686462	0.627450111749393
AHCYL1	-0.977273291318436	0.138661421447743
