source	target	Annotation	Direction	Score
PARD6A	CDC42	predicted	-	0.98
A1CF	KHSRP	predicted	-	0.64
A2M	CDC42	catalyze	->	1
AAAS	AGO2	catalyze	->	1
AAAS	CHTOP	activate; input	->	1
AAAS	DYNLL1	input	-	1
AAAS	FIP1L1	activate	->	1
AAAS	GLE1	reaction	-	1
AAAS	HMGA1	complex; input	-	1
AAAS	NDC1	catalyze; catalyzed by; complex; input	<->	1
AAAS	NUP214	catalyze; catalyzed by; complex; input	<->	1
AAAS	NUP43	catalyze; catalyzed by; complex; input	<->	1
AAAS	PHAX	activate	->	1
AAAS	RAE1	catalyze; catalyzed by; complex; input	<->	1
AAAS	SARNP	activate; input	->	1
AAAS	SRSF4	activate; input	->	1
AAAS	SRSF6	activate; input	->	1
AAAS	UPF3B	activate; catalyze; complex; input	->	1
AAK1	ARF6	activated by	<-	1
AASS	ACADM	predicted	-	0.64
AATF	AR	predicted	-	0.64
AATF	ATM	predicted	-	0.64
AATF	ATR	predicted	-	0.64
AATF	CHEK1	predicted	-	0.64
AATF	CHEK2	predicted	-	0.64
AATF	DAPK3	predicted	-	0.64
AATF	E2F1	complex; input	-	1
AATF	E2F2	complex; input	-	1
AATF	E2F3	complex; input	-	1
AATF	E2F6	expression regulated by	<-	1
AATF	ELF1	expression regulated by	<-	1
AATF	ESF1	predicted	-	0.73
AATF	FOXP3	predicted	-	0.54
AATF	HDAC1	input	-	1
AATF	KRR1	predicted	-	0.73
AATF	MAGED1	complex; input	-	1
AATF	MAPKAPK2	predicted	-	0.64
AATF	MAX	expression regulated by	<-	1
AATF	NGDN	predicted	-	0.73
AATF	NGF	complex; input	-	1
AATF	NGFR	complex; input	-	1
AATF	PAWR	predicted	-	0.77
AATF	PIN1	predicted	-	0.64
AATF	RB1	complex; input	-	1
AATF	RBBP8	predicted	-	0.64
AATF	RELA	predicted	-	0.64
AATF	RPL10	predicted	-	0.64
AATF	SIRT7	predicted	-	0.64
AATF	SMAD3	predicted	-	0.64
AATF	SP1	predicted	-	0.64
AATF	TFDP1	complex; input	-	1
AATF	USF1	expression regulated by	<-	1
AATF	XPO1	predicted	-	0.99
ABCE1	DYNLL1	predicted	-	0.64
ABCE1	IQGAP1	predicted	-	0.64
ABL1	CDC42	complex; input	-	1
ABL1	CRK	PPrel: activated by; PPrel: activation, phosphorylation	<->	1
ABL1	ITGB2	predicted	-	0.99
ABL1	PARP1	predicted	-	0.64
ABL1	PRKDC	predicted	-	0.64
ABL1	PSTPIP1	predicted	-	1
ABL1	RUNX2	activate	->	1
ABL2	CRK	PPrel: activated by	<-	1
ABL2	ITGB2	predicted	-	0.54
ABL2	PSTPIP1	predicted	-	0.54
ABLIM1	CDC42	PPrel: activated by	<-	1
ABLIM2	CDC42	PPrel: activated by	<-	1
ABLIM3	CDC42	PPrel: activated by	<-	1
ABR	CDC42	catalyze	->	1
ACAA1	HADHA	predicted	-	0.97
ACAA1	PEX10	complex; input	-	1
ACAA1	PEX12	complex; input	-	1
ACAA1	PEX13	complex; input	-	1
ACAA1	PEX14	complex; input	-	1
ACAA1	PEX2	complex; input	-	1
ACAA1	PEX5	complex; input	-	1
ACAA1	PEX7	complex; input	-	1
ACAA1	PPARA	GErel: expression by	<-	1
ACAA1	PPARG	expression regulated by	<-	1
ACAA1	RXRA	GErel: expression by	<-	1
ACAA1	RXRB	GErel: expression by	<-	1
ACAA1	RXRG	GErel: expression by	<-	1
ACAA1	TYSND1	catalyzed by	<-	1
ACAA2	ACAT1	predicted	-	0.98
ACAA2	ECHS1	predicted	-	0.92
ACAD9	NDUFA7	complex; input	-	1
ACADM	ETFA	predicted	-	0.98
ACADM	LDHA	predicted	-	0.64
ACADM	PPARA	GErel: expression by	<-	1
ACADM	RXRA	GErel: expression by	<-	1
ACADM	RXRB	GErel: expression by	<-	1
ACADM	RXRG	GErel: expression by	<-	1
ACADM	UQCRC2	predicted	-	0.58
ACAN	MMP8	predicted	-	0.64
ACAN	MMP9	catalyzed by	<-	1
ACAP1	ARF6	activate; activated by; complex	<->	1
ACAP2	ARF6	activate	->	1
ACAP2	DEK	predicted	-	0.59
ACAP2	IQGAP1	predicted	-	0.65
ACAT1	ACAT2	predicted	-	0.98
ACAT1	ACO2	predicted	-	0.64
ACAT1	DLD	predicted	-	0.78
ACAT1	HADHA	predicted	-	0.97
ACAT1	PEX7	predicted	-	0.64
ACAT1	RPGRIP1L	predicted	-	0.54
ACAT1	XRCC5	predicted	-	0.56
ACAT1	XRCC6	predicted	-	0.56
ACIN1	API5	predicted	-	0.78
ACKR3	GNG2	complex; input	-	1
ACTA1	CDC42	activated by	<-	1
ACTA1	HTT	catalyzed by; complex; input	<-	1
ACTA1	MMP8	catalyzed by	<-	1
ACTA1	MMP9	catalyzed by	<-	1
ACTA2	CDC42	activated by	<-	1
ACTA2	HTT	catalyzed by; complex; input	<-	1
ACTA2	MMP8	catalyzed by	<-	1
ACTA2	MMP9	catalyzed by	<-	1
ACTB	ACTL6A	complex	-	1
ACTB	ACTR8	complex	-	1
ACTB	BCLAF1	expression regulated by	<-	1
ACTB	BRD7	complex	-	1
ACTB	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
ACTB	COL2A1	complex; input	-	1
ACTB	CSNK2B	predicted	-	0.58
ACTB	DEK	input	-	1
ACTB	DYNLL1	predicted	-	0.99
ACTB	HNRNPU	predicted	-	0.58
ACTB	HTT	catalyzed by; complex; input	<-	1
ACTB	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
ACTB	ITGAM	complex; input	-	1
ACTB	ITGB2	complex; input	-	1
ACTB	MMP8	catalyzed by	<-	1
ACTB	MMP9	catalyzed by	<-	1
ACTB	MYBBP1A	input	-	1
ACTB	NR3C1	complex; reaction	-	1
ACTB	PWP1	predicted	-	0.95
ACTB	TMSB4X	PPrel: binding/association	-	1
ACTBL2	CDC42	activated by	<-	1
ACTBL2	COL2A1	complex; input	-	1
ACTBL2	HTT	catalyzed by; complex; input	<-	1
ACTBL2	ITGAM	complex; input	-	1
ACTBL2	ITGB2	complex; input	-	1
ACTBL2	MMP8	catalyzed by	<-	1
ACTBL2	MMP9	catalyzed by	<-	1
ACTC1	CDC42	activated by	<-	1
ACTC1	HTT	catalyzed by; complex; input	<-	1
ACTC1	MMP8	catalyzed by	<-	1
ACTC1	MMP9	catalyzed by	<-	1
ACTG1	ACTL6A	complex	-	1
ACTG1	BRD7	complex	-	1
ACTG1	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
ACTG1	COL2A1	complex; input	-	1
ACTG1	DYNLL1	predicted	-	0.74
ACTG1	HTT	catalyzed by; complex; input	<-	1
ACTG1	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
ACTG1	ITGAM	complex; input	-	1
ACTG1	ITGB2	complex; input	-	1
ACTG1	MMP8	catalyzed by	<-	1
ACTG1	MMP9	catalyzed by	<-	1
ACTG1	RNF2	predicted	-	0.77
ACTG1	TMSB4X	PPrel: binding/association	-	1
ACTG2	CDC42	activated by	<-	1
ACTG2	HTT	catalyzed by; complex; input	<-	1
ACTG2	MMP8	catalyzed by	<-	1
ACTG2	MMP9	catalyzed by	<-	1
ACTL6A	ACTR5	complex	-	1
ACTL6A	ACTR8	complex	-	1
ACTL6A	ARID1A	complex	-	1
ACTL6A	ARID1B	complex	-	1
ACTL6A	ARID2	complex	-	1
ACTL6A	BAZ1B	complex	-	1
ACTL6A	BRD7	complex	-	1
ACTL6A	BRD8	complex	-	1
ACTL6A	CAND1	predicted	-	0.58
ACTL6A	CCT4	predicted	-	0.58
ACTL6A	CCT6A	predicted	-	0.58
ACTL6A	CDK9	predicted	-	0.64
ACTL6A	CETN2	activate	->	1
ACTL6A	CHAF1A	complex; predicted	-	1
ACTL6A	COPS2	activate	->	1
ACTL6A	COPS3	activate	->	1
ACTL6A	COPS4	activate	->	1
ACTL6A	COPS5	activate	->	1
ACTL6A	COPS6	activate	->	1
ACTL6A	COPS7A	activate	->	1
ACTL6A	COPS7B	activate	->	1
ACTL6A	COPS8	activate	->	1
ACTL6A	CREBBP	reaction	-	1
ACTL6A	CUL4A	activate	->	1
ACTL6A	CUL4B	activate	->	1
ACTL6A	DDB1	activate	->	1
ACTL6A	DDB2	activate	->	1
ACTL6A	DMAP1	complex	-	1
ACTL6A	DPF1	complex	-	1
ACTL6A	DPF3	complex	-	1
ACTL6A	EED	predicted	-	0.92
ACTL6A	EP300	reaction	-	1
ACTL6A	EP400	complex	-	1
ACTL6A	EPC1	complex	-	1
ACTL6A	FBXO6	predicted	-	0.64
ACTL6A	FEN1	predicted	-	0.98
ACTL6A	FOS	expression regulated by	<-	1
ACTL6A	FOXN1	predicted	-	0.64
ACTL6A	FOXR1	predicted	-	0.64
ACTL6A	GMFB	predicted	-	0.92
ACTL6A	GPS1	activate	->	1
ACTL6A	H2AZ1	predicted	-	0.58
ACTL6A	H4C1	catalyze	->	1
ACTL6A	HDAC2	predicted	-	0.98
ACTL6A	HINT1	predicted	-	0.64
ACTL6A	ING3	complex	-	1
ACTL6A	INO80	complex	-	1
ACTL6A	INO80B	complex	-	1
ACTL6A	INO80C	complex	-	1
ACTL6A	INO80D	complex	-	1
ACTL6A	INO80E	complex	-	1
ACTL6A	KAT2A	predicted	-	0.64
ACTL6A	KAT5	complex; input	-	1
ACTL6A	KDM3A	PPrel: binding/association	-	1
ACTL6A	KDM3B	PPrel: binding/association	-	1
ACTL6A	MAX	complex; inhibited by; input	|-	1
ACTL6A	MCRS1	complex	-	1
ACTL6A	MEAF6	complex	-	1
ACTL6A	MED1	reaction	-	1
ACTL6A	MORF4L1	complex	-	1
ACTL6A	MORF4L2	complex	-	1
ACTL6A	MRGBP	complex	-	1
ACTL6A	MTDH	predicted	-	0.64
ACTL6A	MYC	complex; inhibited by; input	|-	1
ACTL6A	NFRKB	complex	-	1
ACTL6A	NTRK1	predicted	-	0.64
ACTL6A	PBRM1	complex	-	1
ACTL6A	PDCL	predicted	-	0.64
ACTL6A	PHF10	complex	-	1
