source	target	Annotation	Direction	Score
16-5-5	CDC42	predicted	-	0.98
A2M	CDC42	catalyze	->	1
AAAS	CHTOP	activate; input	->	1
AAAS	GLE1	reaction	-	1
AAAS	NDC1	catalyze; catalyzed by; complex; input	<->	1
AAAS	SARNP	activate; input	->	1
AAK1	ARF6	activated by	<-	1
AATF	AR	predicted	-	0.64
AATF	ATM	predicted	-	0.64
AATF	ATR	predicted	-	0.64
AATF	CHEK1	predicted	-	0.64
AATF	CHEK2	predicted	-	0.64
AATF	DAPK3	predicted	-	0.64
AATF	E2F1	complex; input	-	1
AATF	E2F2	complex; input	-	1
AATF	E2F3	complex; input	-	1
AATF	E2F6	expression regulated by	<-	1
AATF	ELF1	expression regulated by	<-	1
AATF	ESF1	predicted	-	0.73
AATF	FOXP3	predicted	-	0.54
AATF	HDAC1	input	-	1
AATF	KRR1	predicted	-	0.73
AATF	MAGED1	complex; input	-	1
AATF	MAPKAPK2	predicted	-	0.64
AATF	MAX	expression regulated by	<-	1
AATF	NGDN	predicted	-	0.73
AATF	NGF	complex; input	-	1
AATF	NGFR	complex; input	-	1
AATF	PAWR	predicted	-	0.77
AATF	PIN1	predicted	-	0.64
AATF	RB1	complex; input	-	1
AATF	RBBP8	predicted	-	0.64
AATF	RELA	predicted	-	0.64
AATF	RPL10	predicted	-	0.64
AATF	SIRT7	predicted	-	0.64
AATF	SMAD3	predicted	-	0.64
AATF	SP1	predicted	-	0.64
AATF	TFDP1	complex; input	-	1
AATF	USF1	expression regulated by	<-	1
AATF	XPO1	predicted	-	0.99
ABCE1	IQGAP1	predicted	-	0.64
ABL1	CDC42	complex; input	-	1
ABL1	CRK	PPrel: activated by; PPrel: activation, phosphorylation	<->	1
ABL1	ITGB2	predicted	-	0.99
ABL1	PSTPIP1	predicted	-	1
ABL1	RUNX2	activate	->	1
ABL2	CRK	PPrel: activated by	<-	1
ABL2	ITGB2	predicted	-	0.54
ABL2	PSTPIP1	predicted	-	0.54
ABLIM1	CDC42	PPrel: activated by	<-	1
ABLIM2	CDC42	PPrel: activated by	<-	1
ABLIM3	CDC42	PPrel: activated by	<-	1
ABR	CDC42	catalyze	->	1
ACAA1	HADHA	predicted	-	0.97
ACAA1	PEX10	complex; input	-	1
ACAA1	PEX12	complex; input	-	1
ACAA1	PEX13	complex; input	-	1
ACAA1	PEX14	complex; input	-	1
ACAA1	PEX2	complex; input	-	1
ACAA1	PEX5	complex; input	-	1
ACAA1	PEX7	complex; input	-	1
ACAA1	PPARA	GErel: expression by	<-	1
ACAA1	PPARG	expression regulated by	<-	1
ACAA1	RXRA	GErel: expression by	<-	1
ACAA1	RXRB	GErel: expression by	<-	1
ACAA1	RXRG	GErel: expression by	<-	1
ACAA1	TYSND1	catalyzed by	<-	1
ACAA2	ACAT1	predicted	-	0.98
ACAN	MMP8	predicted	-	0.64
ACAN	MMP9	catalyzed by	<-	1
ACAP1	ARF6	activate; activated by; complex	<->	1
ACAP2	ARF6	activate	->	1
ACAP2	IQGAP1	predicted	-	0.65
ACAT1	ACAT2	predicted	-	0.98
ACAT1	ACO2	predicted	-	0.64
ACAT1	DLD	predicted	-	0.78
ACAT1	HADHA	predicted	-	0.97
ACAT1	PEX7	predicted	-	0.64
ACAT1	RPGRIP1L	predicted	-	0.54
ACAT1	XRCC5	predicted	-	0.56
ACAT1	XRCC6	predicted	-	0.56
ACKR3	GNG2	complex; input	-	1
ACTA1	CDC42	activated by	<-	1
ACTA1	MMP8	catalyzed by	<-	1
ACTA1	MMP9	catalyzed by	<-	1
ACTA2	CDC42	activated by	<-	1
ACTA2	MMP8	catalyzed by	<-	1
ACTA2	MMP9	catalyzed by	<-	1
ACTB	BRD7	complex	-	1
ACTB	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
ACTB	CSNK2B	predicted	-	0.58
ACTB	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
ACTB	ITGAM	complex; input	-	1
ACTB	ITGB2	complex; input	-	1
ACTB	MMP8	catalyzed by	<-	1
ACTB	MMP9	catalyzed by	<-	1
ACTB	PWP1	predicted	-	0.95
ACTB	TMSB4X	PPrel: binding/association	-	1
ACTBL2	CDC42	activated by	<-	1
ACTBL2	ITGAM	complex; input	-	1
ACTBL2	ITGB2	complex; input	-	1
ACTBL2	MMP8	catalyzed by	<-	1
ACTBL2	MMP9	catalyzed by	<-	1
ACTC1	CDC42	activated by	<-	1
