	NodeIn	baitName	oeName	NodeOut	oeName_changed
973	chr1:37979236-37981502	MEAF6	OSCP1	chr1:36915681-36920902	OSCP1
10004	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6431309-6432690	chr12:6431309-6432690
10005	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6580414-6581351	chr12:6580414-6581351
10006	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6601694-6602232	chr12:6601694-6602232
10007	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6606236-6609428	chr12:6606236-6609428
10008	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6645917-6652528	chr12:6645917-6652528
10009	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6658368-6658618	chr12:6658368-6658618
10010	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6692988-6700503	chr12:6692988-6700503
10011	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6700504-6704539	chr12:6700504-6704539
10012	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6704540-6710289	chr12:6704540-6710289
10013	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6710290-6711204	chr12:6710290-6711204
10014	chr12:6754441-6771398	ACRBP;ING4	CHD4;LPAR5	chr12:6711205-6741803	CHD4;LPAR5
10015	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6741804-6746001	chr12:6741804-6746001
10016	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6746002-6749803	chr12:6746002-6749803
10017	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6776626-6777380	chr12:6776626-6777380
10018	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6777381-6782756	chr12:6777381-6782756
10019	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6800741-6801640	chr12:6800741-6801640
10020	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6801641-6801800	chr12:6801641-6801800
10021	chr12:6754441-6771398	ACRBP;ING4	COPS7A;RP4-761J14.9	chr12:6831898-6833309	COPS7A;RP4-761J14.9
10022	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6833420-6836027	chr12:6833420-6836027
10023	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6836028-6837433	chr12:6836028-6837433
10024	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6837434-6840875	chr12:6837434-6840875
10025	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6840876-6842947	chr12:6840876-6842947
10026	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6848705-6850468	chr12:6848705-6850468
10027	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6869045-6874348	chr12:6869045-6874348
10028	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6883919-6889462	chr12:6883919-6889462
10029	chr12:6754441-6771398	ACRBP;ING4	CD4	chr12:6895382-6901849	CD4
10030	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6901850-6905497	chr12:6901850-6905497
10031	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6905539-6905769	chr12:6905539-6905769
10032	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6905770-6908497	chr12:6905770-6908497
10033	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6908498-6920117	chr12:6908498-6920117
10034	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6920118-6921877	chr12:6920118-6921877
10035	chr12:6754441-6771398	ACRBP;ING4	CD4;GPR162;LEPREL2	chr12:6921878-6943614	CD4;GPR162;LEPREL2
10036	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6964791-6965723	chr12:6964791-6965723
10037	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6986763-6994320	chr12:6986763-6994320
10038	chr12:6754441-6771398	ACRBP;ING4	.	chr12:6994880-6996469	chr12:6994880-6996469
10039	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7036349-7036499	chr12:7036349-7036499
10040	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7036500-7040215	chr12:7036500-7040215
10041	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7040216-7041469	chr12:7040216-7041469
10042	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7083462-7084299	chr12:7083462-7084299
10043	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7256159-7260341	chr12:7256159-7260341
10044	chr12:6754441-6771398	ACRBP;ING4	.	chr12:7262368-7264397	chr12:7262368-7264397
17075	chr16:31123572-31133604	KAT8;RP11-196G11.4	PRSS36	chr16:31158850-31168295	PRSS36
17076	chr16:31123572-31133604	KAT8;RP11-196G11.4	COX6A2	chr16:31439056-31440441	COX6A2
17077	chr16:31141369-31158849	KAT8;PRSS36;PRSS8;RP11-388M20.2	.	chr16:31343950-31345581	chr16:31343950-31345581
17078	chr16:31141369-31158849	KAT8;PRSS36;PRSS8;RP11-388M20.2	COX6A2	chr16:31439056-31440441	COX6A2
28666	chr3:9772248-9777628	BRPF1	.	chr3:9785433-9791204	chr3:9785433-9791204
28667	chr3:9772248-9777628	BRPF1	.	chr3:10367901-10372601	chr3:10367901-10372601
34926	chr5:133907439-133923113	JADE2	.	chr5:133405213-133407275	chr5:133405213-133407275
34927	chr5:133907439-133923113	JADE2	.	chr5:133509932-133510290	chr5:133509932-133510290
1	chr1:36915681-36920902	OSCP1	MEAF6	chr1:37979236-37981502	MEAF6
2	chr12:6602233-6606235	MRPL51;NCAPD2	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
3	chr12:6652529-6658367	IFFO1;RP5-940J5.8	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
4	chr12:6658619-6666581	IFFO1	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
5	chr12:6685050-6692987	CHD4;RP5-940J5.6;SCARNA11	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
6	chr12:6711205-6741803	CHD4;LPAR5	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
7	chr12:6801801-6814662	PIANP	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
8	chr12:6831898-6833309	COPS7A;RP4-761J14.9	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
9	chr12:6874349-6875080	PTMS	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
10	chr12:6895382-6901849	CD4	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
11	chr12:6921878-6943614	CD4;GPR162;LEPREL2	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
12	chr12:6943615-6956171	GNB3	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
13	chr12:6956172-6964790	CDCA3;USP5	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
14	chr12:6996470-7017338	LRRC23;SPSB2	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
15	chr12:8085148-8089893	SLC2A3	ACRBP;ING4	chr12:6754441-6771398	ACRBP;ING4
16	chr16:31227702-31236118	PYDC1	KAT8;PRSS36;PRSS8;RP11-388M20.2	chr16:31141369-31158849	KAT8;PRSS36;PRSS8;RP11-388M20.2
17	chr16:31439056-31440441	COX6A2	KAT8;RP11-196G11.4	chr16:31123572-31133604	KAT8;RP11-196G11.4
18	chr16:31439056-31440441	COX6A2	KAT8;PRSS36;PRSS8;RP11-388M20.2	chr16:31141369-31158849	KAT8;PRSS36;PRSS8;RP11-388M20.2
