	NodeIn	baitName	oeName	NodeOut	oeName_changed
224	chr1:26436399-26441817	PDIK1L	.	chr1:26665338-26667921	chr1:26665338-26667921
262	chr1:32814703-32825453	RP4-811H24.9;TSSK3	.	chr1:32705892-32711308	chr1:32705892-32711308
482	chr1:57104761-57115067	PPAP2B;PRKAA2	.	chr1:55908220-55909881	chr1:55908220-55909881
911	chr1:114470859-114473031	HIPK1;RP5-1073O3.7	.	chr1:114357762-114366057	chr1:114357762-114366057
912	chr1:114470859-114473031	HIPK1;RP5-1073O3.7	.	chr1:114374624-114376520	chr1:114374624-114376520
913	chr1:114470859-114473031	HIPK1;RP5-1073O3.7	.	chr1:115294309-115296219	chr1:115294309-115296219
1848	chr1:209756686-209758171	CAMK1G	G0S2;RP1-28O10.1	chr1:209848320-209852873	G0S2;RP1-28O10.1
3359	chr10:105723734-105729377	SLK	.	chr10:105370577-105374334	chr10:105370577-105374334
3360	chr10:105723734-105729377	SLK	.	chr10:105741532-105743684	chr10:105741532-105743684
3361	chr10:105723734-105729377	SLK	.	chr10:105883773-105887538	chr10:105883773-105887538
4318	chr11:33278153-33282590	HIPK3	.	chr11:33184241-33189193	chr11:33184241-33189193
4319	chr11:33278153-33282590	HIPK3	.	chr11:33213056-33217080	chr11:33213056-33217080
4502	chr11:63604712-63606411	MARK2	.	chr11:63897892-63903798	chr11:63897892-63903798
4509	chr11:64610126-64612853	CDC42BPG	.	chr11:64979598-64987492	chr11:64979598-64987492
4510	chr11:64610126-64612853	CDC42BPG	.	chr11:65020449-65027158	chr11:65020449-65027158
4973	chr11:125512923-125521703	CHEK1;RNU2-35P	PATE1	chr11:125616163-125616491	PATE1
5515	chr12:44149653-44153263	IRAK4;PUS7L	.	chr12:41900457-41903912	chr12:41900457-41903912
5516	chr12:44149653-44153263	IRAK4;PUS7L	.	chr12:42548118-42552370	chr12:42548118-42552370
5517	chr12:44149653-44153263	IRAK4;PUS7L	.	chr12:44193515-44198747	chr12:44193515-44198747
5518	chr12:44149653-44153263	IRAK4;PUS7L	.	chr12:44213755-44217628	chr12:44213755-44217628
6793	chr13:99225596-99234792	STK24-AS1;STK24	.	chr13:99097396-99104612	chr13:99097396-99104612
6794	chr13:99225596-99234792	STK24-AS1;STK24	.	chr13:99117455-99123176	chr13:99117455-99123176
6795	chr13:99225596-99234792	STK24-AS1;STK24	.	chr13:99158294-99158894	chr13:99158294-99158894
7580	chr14:61649042-61664840	PRKCH	.	chr14:61103627-61106322	chr14:61103627-61106322
