	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:2104999-2122560	AL590822.2;RP11-181G12.2	.	chr1:2327551-2327802	chr1:2327551-2327802
2	chr1:2104999-2122560	AL590822.2;RP11-181G12.2	.	chr1:2327925-2329775	chr1:2327925-2329775
3	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2327551-2327802	chr1:2327551-2327802
4	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2327925-2329775	chr1:2327925-2329775
5	chr1:2155766-2166195	SKI	.	chr1:2327551-2327802	chr1:2327551-2327802
6	chr1:2155766-2166195	SKI	.	chr1:2327925-2329775	chr1:2327925-2329775
7	chr1:2335725-2351765	PEX10	.	chr1:2327925-2329775	chr1:2327925-2329775
8	chr1:2514865-2526252	FAM213B;MMEL1	.	chr1:2327925-2329775	chr1:2327925-2329775
9	chr1:3565776-3577339	TP73;WRAP73	.	chr1:3803349-3807529	chr1:3803349-3807529
10	chr1:3665843-3671123	CCDC27	.	chr1:3423131-3423866	chr1:3423131-3423866
11	chr1:3688547-3690323	SMIM1	CCDC27	chr1:3665843-3671123	CCDC27
12	chr1:5861508-5877773	AL356693.1	.	chr1:4536215-4538229	chr1:4536215-4538229
13	chr1:6258535-6274327	RNF207;RP1-120G22.11;RPL22	.	chr1:3803349-3807529	chr1:3803349-3807529
14	chr1:6635296-6647590	ZBTB48	RNF207;RP1-120G22.11;RPL22	chr1:6258535-6274327	RNF207;RP1-120G22.11;RPL22
15	chr1:6635296-6647590	ZBTB48	PLEKHG5	chr1:6553634-6581701	PLEKHG5
16	chr1:6635296-6647590	ZBTB48	KLHL21;PHF13	chr1:6669510-6675892	KLHL21;PHF13
17	chr1:6635296-6647590	ZBTB48	THAP3	chr1:6683584-6688403	THAP3
18	chr1:6635296-6647590	ZBTB48	PER3	chr1:7840370-7848466	PER3
19	chr1:6635296-6647590	ZBTB48	KIAA2013	chr1:11980154-11990122	KIAA2013
20	chr1:8081098-8094265	ERRFI1;RP11-431K24.1	.	chr1:8269964-8272701	chr1:8269964-8272701
21	chr1:8265143-8268856	RNU1-7P;RP11-431K24.3	.	chr1:8078323-8078938	chr1:8078323-8078938
22	chr1:8351923-8354157	RNU6-991P	.	chr1:8078323-8078938	chr1:8078323-8078938
23	chr1:8375879-8381244	SLC45A1	.	chr1:8078323-8078938	chr1:8078323-8078938
24	chr1:8375879-8381244	SLC45A1	.	chr1:8170410-8178549	chr1:8170410-8178549
25	chr1:8484342-8487414	RERE;RP5-1115A15.1	.	chr1:8744528-8749099	chr1:8744528-8749099
