	NodeIn	baitName	oeName	NodeOut	oeName_changed
1873	chr1:199996284-199999730	NR5A2	.	chr1:200450872-200458108	chr1:200450872-200458108
4722	chr12:95466821-95467837	NR2C1	USP44	chr12:95944964-95949471	USP44
7457	chr17:38215118-38218659	MED24;THRA	RAPGEFL1	chr17:38332641-38335808	RAPGEFL1
7458	chr17:38255076-38257231	NR1D1	.	chr17:38212644-38214210	chr17:38212644-38214210
7459	chr17:38255076-38257231	NR1D1	.	chr17:38458214-38459211	chr17:38458214-38459211
7513	chr17:38460840-38466232	RARA	.	chr17:38507317-38517586	chr17:38507317-38517586
7514	chr17:38460840-38466232	RARA	.	chr17:38564231-38567143	chr17:38564231-38567143
7515	chr17:38460840-38466232	RARA	.	chr17:38716900-38717994	chr17:38716900-38717994
9467	chr2:157197937-157201343	NR4A2	GALNT5	chr2:158113052-158114583	GALNT5
11406	chr3:119495743-119502148	NR1I2	MAATS1	chr3:119420374-119423385	MAATS1
15580	chr6:33165153-33173879	HSD17B8;RNY4P10;RXRB;SLC39A7	.	chr6:33082088-33086000	chr6:33082088-33086000
15581	chr6:33165153-33173879	HSD17B8;RNY4P10;RXRB;SLC39A7	.	chr6:33088972-33092277	chr6:33088972-33092277
16232	chr6:151977743-151979065	ESR1	.	chr6:152432020-152438077	chr6:152432020-152438077
18195	chr9:102579459-102585189	NR4A3;RP11-554F20.1	.	chr9:102180913-102182072	chr9:102180913-102182072
1	chr17:38332641-38335808	RAPGEFL1	MED24;THRA	chr17:38215118-38218659	MED24;THRA
2	chr2:158113052-158114583	GALNT5	NR4A2	chr2:157197937-157201343	NR4A2
3	chr6:32319045-32331331	RNU6-603P	HSD17B8;RNY4P10;RXRB;SLC39A7	chr6:33165153-33173879	HSD17B8;RNY4P10;RXRB;SLC39A7
